>>swe<< Go.	Gå.
>>swe<< I'm going to miss you.	Jag kommer att sakna dig.
>>swe<< I'm here to apologize.	Jag är här för att be om ursäkt.
>>swe<< I'm just being honest.	Jag är bara ärlig.
>>swe<< I'm just being honest.	Jag är bara uppriktig.
>>swe<< I'm just feeling down.	Jag känner mig bara nere.
>>swe<< I'm more mad than sad.	Jag är mer arg än ledsen.
>>swe<< I'm not at all afraid.	Jag är inte alls rädd.
>>swe<< I'm not satisfied yet.	Jag är inte nöjd än.
>>swe<< I'm off work tomorrow.	Jag är ledig från arbetet i morgon.
>>swe<< I'm seriously wounded.	Jag är allvarligt skadad.
>>swe<< I'm sure it's nothing.	Jag är säker på att det inte är någonting.
>>swe<< I'm very proud of you.	Jag är mycket stolt över dig.
>>swe<< I'm very proud of you.	Jag är mycket stolt över er.
>>swe<< I've been a lot worse.	Jag har varit sämre.
>>swe<< I've been here before.	Jag har varit här förr.
>>swe<< I've been missing you.	Jag har saknat dig.
>>swe<< I've been preoccupied.	Jag har varit upptagen.
>>swe<< I've been rather busy.	Jag har varit ganska upptagen.
>>swe<< I've been there a lot.	Jag har varit där mycket.
>>swe<< I've borrowed a table.	Jag har lånat ett bord.
>>swe<< I've got plenty to do.	Jag har massor att göra.
>>swe<< I've got plenty to do.	Jag har massvis med saker att göra.
>>swe<< I've got some cookies.	Jag har några kakor.
>>swe<< I've just gotten home.	Jag har precis kommit hem.
>>swe<< I've never felt loved.	Jag har aldrig känt mig älskad.
>>swe<< I've seen this before.	Jag har sett det här förut.
>>swe<< I've seen this before.	Jag har sett detta förut.
>>swe<< I've stopped counting.	Jag har slutat räkna.
>>swe<< I've stopped counting.	Jag har slutat att räkna.
>>swe<< Is Tom busy right now?	Är Tom upptagen just nu?
>>swe<< Is Tom older than you?	Är Tom äldre än du?
>>swe<< Is it serious, doctor?	Är det allvarligt, doktorn?
>>swe<< Is that your own idea?	Är det din egen idé?
>>swe<< Is the island sinking?	Sjunker ön?
>>swe<< Is there no other way?	Finns det inget annat sätt?
>>swe<< Isn't that right, Tom?	Stämmer inte det, Tom?
>>swe<< Isn't that right, Tom?	Eller hur, Tom?
>>swe<< Isn't that suspicious?	Är inte det misstänksamt?
>>swe<< Isn't the answer easy?	Är inte svaret lätt?
>>swe<< It almost made me cry.	Det fick mig nästan att gråta.
>>swe<< It could be dangerous.	Det skulle kunna vara farligt.
>>swe<< It is raining heavily.	Det regnar kraftigt.
>>swe<< It made no difference.	Det gjorde ingen skillnad.
>>swe<< It reminded me of you.	Det påminde mig om dig.
>>swe<< It reminded me of you.	Det påminde mig om er.
>>swe<< It seemed appropriate.	Det verkade lämpligt.
>>swe<< It sure is convenient.	Det är helt klart lämpligt.
>>swe<< It was rainy that day.	Det var regnigt den dagen.
>>swe<< It was sunny and warm.	Det var soligt och varmt.
>>swe<< It was time for lunch.	Det var dags för lunch.
>>swe<< It was understandable.	Det var förståeligt.
>>swe<< It was understandable.	Det var begripligt.
>>swe<< It was very difficult.	Det var väldigt svårt.
>>swe<< It wasn't my decision.	Det var inte mitt beslut.
>>swe<< It wasn't sensational.	Det var inte sensationellt.
>>swe<< It wasn't sensational.	Det var inte uppseendeväckande.
>>swe<< It wasn't sensational.	Det var inte fantastiskt.
>>swe<< It's Monday, you know.	Det är måndag, du vet.
>>swe<< It's a difficult word.	Det är ett svårt ord.
>>swe<< It's a moral question.	Det är en moralisk fråga.
>>swe<< It's a quarter to two.	Den är kvart i två.
>>swe<< It's absolutely wrong.	Det är fullständigt fel.
>>swe<< It's an impossibility.	Det är en omöjlighet.
>>swe<< It's been interesting.	Det har varit intressant.
>>swe<< It's driving me crazy.	Det driver mig till vansinne.
>>swe<< It's for the children.	Det är för barnen.
>>swe<< It's for the children.	Det är till barnen.
>>swe<< It's hard being human.	Det är svårt att vara människa.
>>swe<< It's my job, you know.	Det är mitt jobb, du vet.
>>swe<< It's not an emergency.	Det är inte akut.
>>swe<< It's not your problem.	Det är inte ditt problem.
>>swe<< It's nothing personal.	Det är ingenting personligt.
>>swe<< It's probably haunted.	Det är troligen hemsökt.
>>swe<< It's probably haunted.	Det är troligtvis hemsökt.
>>swe<< It's probably haunted.	Det är förmodligen hemsökt.
>>swe<< It's probably haunted.	Det är antagligen hemsökt.
>>swe<< It's probably haunted.	Det spökar troligtvis där.
>>swe<< It's really beautiful.	Det är verkligen vackert.
>>swe<< It's really beautiful.	Den är verkligen vacker.
>>swe<< It's really hot today.	Det är verkligen varmt i dag.
>>swe<< It's relatively early.	Det är relativt tidigt.
>>swe<< It's the best we have.	Det är det bästa vi har.
>>swe<< It's the best we have.	Den är det bästa vi har.
>>swe<< It's the best we have.	Den är den bästa vi har.
>>swe<< It's too overwhelming.	Det är för överväldigande.
>>swe<< It's too small for me.	Den är för liten för mig.
>>swe<< It's very interesting.	Det är väldigt intressant.
>>swe<< It's your choice, Tom.	Det är ditt val, Tom.
>>swe<< It's your only chance.	Det är din enda chans.
>>swe<< It's your only chance.	Det är din enda möjlighet.
>>swe<< Jesus was a carpenter.	Jesus var snickare.
>>swe<< Just a moment, please.	Ett ögonblick.
>>swe<< Just breathe normally.	Andas bara som vanligt.
>>swe<< Just don't go outside.	Gå inte ut bara.
>>swe<< Just give us a minute.	Ge oss en minut bara.
>>swe<< Keep this door locked.	Håll den här dörren låst.
>>swe<< Keep this door locked.	Håll denna dörr låst.
>>swe<< Leave Tom out of this.	Håll Tom utanför detta.
>>swe<< Leave Tom out of this.	Håll Tom utanför det här.
>>swe<< Leave my family alone.	Lämna min familj ifred.
>>swe<< Let in some fresh air.	Släpp in lite frisk luft.
>>swe<< Let me ask a question.	Låt mig fråga en fråga.
>>swe<< Let me ask a question.	Låt mig ställa en fråga.
>>swe<< Let me be Santa Claus.	Låt mig vara jultomte.
>>swe<< Let me call my lawyer.	Låt mig ringa min advokat.
>>swe<< Let me handle Tom, OK?	Låt mig ta hand om Tom, okej?
>>swe<< Let me think a minute.	Låt mig tänka en minut.
>>swe<< Let me think a minute.	Låt mig fundera en minut.
>>swe<< Look at that mountain.	Titta på det där berget.
>>swe<< Love is for teenagers.	Kärlek är för tonåringar.
>>swe<< Mark the right answer.	Markera rätt svar.
>>swe<< Mary is a gold digger.	Mary är en gold-digger.
>>swe<< Mary is spinning wool.	Mary spinner ull.
>>swe<< May I try it on again?	Kan jag få prova den en gång till?
>>swe<< May comes after April.	Maj kommer efter april.
>>swe<< Mom, are we there yet?	Mamma, är vi framme än?
>>swe<< My cat died yesterday.	Min katt dog i går.
>>swe<< My computer is broken.	Min dator är trasig.
>>swe<< My door's always open.	Min dörr är alltid öppen.
>>swe<< My ears were pounding.	Mina öron dunkade.
>>swe<< My heart was pounding.	Mitt hjärta dunkade.
>>swe<< My mother loves music.	Min mor älskar musik.
>>swe<< My prayers were heard.	Jag blev bönhörd.
>>swe<< My room is very small.	Mitt rum är mycket litet.
>>swe<< My schedule is insane.	Mitt schema är helt galet.
>>swe<< Next question, please.	Nästa fråga, tack.
>>swe<< No one would hurt Tom.	Ingen skulle skada Tom.
>>swe<< No one would've cared.	Ingen skulle ha brytt sig.
>>swe<< Nobody appreciates me.	Ingen uppskattar mig.
>>swe<< Nobody can be perfect.	Ingen kan vara perfekt.
>>swe<< Nobody here eats meat.	Ingen här äter kött.
>>swe<< Nobody's volunteering.	Ingen anmäler sig frivilligt.
>>swe<< Nobody's volunteering.	Ingen ställer upp frivilligt.
>>swe<< Not all birds can fly.	Inte alla fåglar kan flyga.
>>swe<< Not all birds can fly.	Det är inte alla fåglar som kan flyga.
>>swe<< Not all change is bad.	Inte all förändring är dålig.
>>swe<< Nothing happened here.	Ingenting hände här.
>>swe<< Nothing is impossible.	Inget är omöjligt.
>>swe<< Now, why are you here?	Varför är du här?
>>swe<< One can only die once.	Man kan bara dö en gång.
>>swe<< Optimists live longer.	Optimister lever längre.
>>swe<< Pineapple tastes good.	Ananas smakar gott.
>>swe<< Please deal the cards.	Var snäll och dela ut korten.
>>swe<< Please iron the shirt.	Var snäll och stryk skjortan.
>>swe<< Put away your bicycle.	Ställ undan cykeln.
>>swe<< Rephrase the question.	Omformulera frågan.
>>swe<< Rephrase the question.	Formulera om frågan.
>>swe<< Set your mind at ease.	Var inte orolig.
>>swe<< She attempted suicide.	Hon försökte begå självmord.
>>swe<< She can sew very well.	Hon kan sy mycket bra.
>>swe<< She dashed downstairs.	Hon skyndade ner för trapporna.
>>swe<< She didn't say a word.	Hon sa inte ett ord.
>>swe<< She followed him home.	Hon följde honom hem.
>>swe<< She has a large bosom.	Hon har en stor byst.
>>swe<< She has a pretty doll.	Hon har en fin docka.
>>swe<< She ironed his shirts.	Hon strök hans skjortor.
>>swe<< She is a good swimmer.	Hon är en god simmare.
>>swe<< She is as tall as you.	Hon är lika lång som du.
>>swe<< She is sewing a dress.	Hon syr en klänning.
>>swe<< She loves Tom, not me.	Hon älskar Tom, inte mig.
>>swe<< She misses her father.	Hon saknar sin far.
>>swe<< She needs to help him.	Hon måste hjälpa honom.
>>swe<< She taught us singing.	Hon lärde oss att sjunga.
>>swe<< She took her own life.	Hon tog sitt liv.
>>swe<< Shouldn't you go home?	Borde inte du gå hem?
>>swe<< Shouldn't you go home?	Borde inte ni gå hem?
>>swe<< Shouldn't you go home?	Borde inte du åka hem?
>>swe<< Shouldn't you go home?	Borde inte ni åka hem?
>>swe<< So where're you going?	Så vart ska ni?
>>swe<< So where're you going?	Så vart ska du?
>>swe<< So where're you going?	Så vart ska ni åka?
>>swe<< So where're you going?	Så vart ska du åka?
>>swe<< So where're you going?	Så vart ska du gå?
>>swe<< So where're you going?	Så vart ska ni gå?
>>swe<< Someday I'll beat you.	Förr eller senare kommer jag att slå dig.
>>swe<< Someone lost a wallet.	Någon tappade sin plånbok.
>>swe<< Someone lost a wallet.	Någon tappade en plånbok.
>>swe<< Something smells good.	Det är något som luktar gott.
>>swe<< Sometimes, people lie.	Ibland ljuger folk.
>>swe<< Speak a little louder.	Tala lite högre.
>>swe<< Stop asking questions.	Sluta ställa frågor.
>>swe<< Stop being so curious.	Sluta vara så nyfiken.
>>swe<< Stop your bellyaching.	Sluta gnäll!
>>swe<< Stop your bellyaching.	Sluta jämra dig!
>>swe<< Study these sentences.	Studera de här meningarna.
>>swe<< Take good care of Tom.	Ta väl hand om Tom.
>>swe<< Tell me what Tom said.	Berätta för mig vad Tom sa.
>>swe<< Tell me what to think.	Säg mig vad jag ska tänka.
>>swe<< Tell the truth to Tom.	Berätta sanningen för Tom.
>>swe<< Telling lies is wrong.	Det är fel att ljuga.
>>swe<< Thanks for everything.	Tack för allt.
>>swe<< Thanks for your reply.	Tack för ditt svar.
>>swe<< Thanks for your reply.	Tack för ert svar.
>>swe<< That man is a soldier.	Den där mannen är en soldat.
>>swe<< That serves him right.	Det är rätt åt honom.
>>swe<< That serves you right.	Rätt åt dig!
>>swe<< That was Tom's mother.	Det var Toms mamma.
>>swe<< That was Tom's mother.	Det där var Toms mamma.
>>swe<< That was a close call.	Det var nära ögat.
>>swe<< That'll make me happy.	Det kommer att göra mig lycklig.
>>swe<< That's a minor detail.	Det är en liten detalj.
>>swe<< That's just an excuse.	Det är bara en ursäkt.
>>swe<< That's part of my job.	Det är en del av mitt arbete.
>>swe<< That's probably safer.	Det är förmodligen säkrare.
>>swe<< That's their business.	Det är deras angelägenhet.
>>swe<< The Milky Way is huge.	Vintergatan är enorm.
>>swe<< The baby smiled at me.	Spädbarnet log mot mig.
>>swe<< The benefits are real.	Fördelarna är verkliga.
>>swe<< The birds are singing.	Fåglarna sjunger.
>>swe<< The bottle was broken.	Flaskan var trasig.
>>swe<< The cat is on the mat.	Katten är på mattan.
>>swe<< The ceiling fan is on.	Takfläkten är på.
>>swe<< The children are gone.	Barnen är borta.
>>swe<< The children need you.	Barnen behöver er.
>>swe<< The coffee was bitter.	Kaffet var bittert.
>>swe<< The goats drank water.	Getterna drack vatten.
>>swe<< The house burned down.	Huset brann ned.
>>swe<< The house burned down.	Huset brann ner.
>>swe<< The house caught fire.	Huset fattade eld.
>>swe<< The ice is very thick.	Isen är väldigt tjock.
>>swe<< The island is sinking.	Ön sjunker.
>>swe<< The lake is very deep.	Sjön är mycket djup.
>>swe<< The mountain is green.	Berget är grönt.
>>swe<< The pain was terrible.	Smärtan var fruktansvärd.
>>swe<< The pie was delicious.	Pajen smakade utsökt.
>>swe<< The pond has dried up.	Dammen har torkat ut.
>>swe<< The priest blessed us.	Prästen välsignade oss.
>>swe<< The rent is very high.	Hyran är mycket hög.
>>swe<< The soldiers are dead.	Soldaterna är döda.
>>swe<< The surgery went well.	Operationen gick bra.
>>swe<< The toilets are dirty.	Toaletterna är smutsiga.
>>swe<< The town was deserted.	Staden var öde.
>>swe<< The town was deserted.	Staden låg öde.
>>swe<< The train was crowded.	Tåget var fullproppat.
>>swe<< The war ended in 1945.	Kriget slutade 1945.
>>swe<< The water is lukewarm.	Vattnet är ljummet.
>>swe<< The wind blew all day.	Vinden blåste hela dagen.
>>swe<< The wind blew all day.	Det blåste hela dagen.
>>swe<< The wind is subsiding.	Vinden avtar.
>>swe<< The women are working.	Kvinnorna arbetar.
>>swe<< There was no standard.	Det fanns ingen standard.
>>swe<< There's a couple here.	Det är ett par här.
>>swe<< There's a couple here.	Det finns ett par här.
>>swe<< There's a hotel there.	Det finns ett hotell där.
>>swe<< They couldn't help us.	De kunde inte hjälpa oss.
>>swe<< They don't believe me.	De tror inte på mig.
>>swe<< They don't believe me.	De tror mig inte.
>>swe<< They hated themselves.	De hatade sig själva.
>>swe<< They missed the train.	De missade tåget.
>>swe<< They started shooting.	De började skjuta.
>>swe<< They talked all night.	De pratade hela natten.
>>swe<< They won't be in time.	De kommer inte att komma i tid.
>>swe<< They'll never succeed.	De kommer aldrig att lyckas.
>>swe<< They're all different.	De är alla olika.
>>swe<< They're both laughing.	Båda skrattar.
>>swe<< They're both laughing.	Bägge skrattar.
>>swe<< They're heavily armed.	De är tungt beväpnade.
>>swe<< They're not prisoners.	De är inte fångar.
>>swe<< They're playing chess.	De spelar schack.
>>swe<< This is a catastrophe.	Det här är en katastrof.
>>swe<< This is a catastrophe.	Detta är en katastrof.
>>swe<< This is a dirty movie.	Det här är en snuskig film.
>>swe<< This is an apple, too.	Det här är också ett äpple.
>>swe<< This is an apple, too.	Detta är också ett äpple.
>>swe<< This is an old letter.	Det här är ett gammalt brev.
>>swe<< This is an old letter.	Detta är ett gammalt brev.
>>swe<< This is based on fact.	Det här bygger på fakta.
>>swe<< This is disappointing.	Det här är en besvikelse.
>>swe<< This is morally wrong.	Detta är moraliskt fel.
>>swe<< This is my friend Tom.	Detta är min vän Tom.
>>swe<< This is not a mistake.	Det här är inte något misstag.
>>swe<< This is not a mistake.	Detta är inte något misstag.
>>swe<< This is not a mistake.	Detta är inget misstag.
>>swe<< This is not my ticket.	Detta är inte min biljett.
>>swe<< This is not my ticket.	Det här är inte min biljett.
>>swe<< This is truly amazing.	Detta är sannerligen fantastiskt.
>>swe<< This wine tastes good.	Det här vinet smakar gott.
>>swe<< This wine tastes good.	Det här vinet är gott.
>>swe<< This won't hurt a bit.	Det här kommer inte att göra ont alls.
>>swe<< This worries me a lot.	Det oroar mig mycket.
>>swe<< Those are your orders.	Det där är dina order.
>>swe<< Tom almost didn't cry.	Tom grät nästan inte.
>>swe<< Tom asked for my help.	Tom bad mig om hjälp.
>>swe<< Tom ate a quick lunch.	Tom åt en snabb lunch.
>>swe<< Tom ate a quick lunch.	Tom åt en snabblunch.
>>swe<< Tom became very upset.	Tom blev väldigt upprörd.
>>swe<< Tom bought trash bags.	Tom köpte soppåsar.
>>swe<< Tom bought trash bags.	Tom köpte sopsäckar.
>>swe<< Tom can't afford both.	Tom har inte råd med båda.
>>swe<< Tom can't afford both.	Tom har inte råd med bägge.
>>swe<< Tom can't be replaced.	Tom kan inte ersättas.
>>swe<< Tom can't handle this.	Tom kan inte hantera det här.
>>swe<< Tom can't stand still.	Tom kan inte stå still.
>>swe<< Tom caught three fish.	Tom fångade tre fiskar.
>>swe<< Tom chased after Mary.	Tom sprang efter Mary.
>>swe<< Tom committed perjury.	Tom begick mened.
>>swe<< Tom could be anywhere.	Tom skulle kunna vara var som helst.
>>swe<< Tom could hardly walk.	Tom kunde knappt gå.
>>swe<< Tom couldn't stand it.	Tom stod inte ut med det.
>>swe<< Tom deserves a reward.	Tom förtjänar en belöning.
>>swe<< Tom did it right away.	Tom gjorde det direkt.
>>swe<< Tom did it, didn't he?	Tom gjorde det, eller hur?
>>swe<< Tom did not look back.	Tom såg sig inte om.
>>swe<< Tom did not look back.	Tom såg inte tillbaka.
>>swe<< Tom did not look back.	Tom tänkte inte tillbaka på gamla tider.
>>swe<< Tom did not look back.	Tom drog sig inte ur.
>>swe<< Tom did not look back.	Tom backade inte ut.
>>swe<< Tom didn't leave Mary.	Tom lämnade inte Mary.
>>swe<< Tom doesn't like beer.	Tom tycker inte om öl.
>>swe<< Tom doesn't like beer.	Tom gillar inte öl.
>>swe<< Tom doesn't like kids.	Tom gillar inte barn.
>>swe<< Tom doesn't like kids.	Tom tycker inte om barn.
>>swe<< Tom doesn't live here.	Tom bor inte här.
>>swe<< Tom doesn't look busy.	Tom ser inte upptagen ut.
>>swe<< Tom doesn't seem busy.	Tom verkar inte upptagen.
>>swe<< Tom got in Mary's way.	Tom kom i vägen för Mary.
>>swe<< Tom got off his horse.	Tom hoppade av sin häst.
>>swe<< Tom grew up on a farm.	Tom växte upp på en bondgård.
>>swe<< Tom had a hectic week.	Tom hade en hektisk vecka.
>>swe<< Tom handed Mary a cup.	Tom gav Mary en kopp.
>>swe<< Tom handed Mary a cup.	Tom räckte Mary en kopp.
>>swe<< Tom has a back injury.	Tom har en ryggskada.
>>swe<< Tom has a lot of time.	Tom har mycket tid.
>>swe<< Tom has a reservation.	Tom har en bokning.
>>swe<< Tom has done his best.	Tom har gjort sitt bästa.
>>swe<< Tom has no confidence.	Tom har inget självförtroende.
>>swe<< Tom has seen the list.	Tom har sett listan.
>>swe<< Tom hung up the phone.	Tom lade på telefonen.
>>swe<< Tom hung up the phone.	Tom la på telefonen.
>>swe<< Tom ironed his shirts.	Tom strök sina skjortor.
>>swe<< Tom is Mary's protege.	Tom är Marys skyddsling.
>>swe<< Tom is Mary's protege.	Tom är Marys protegé.
>>swe<< Tom is a car salesman.	Tom är bilförsäljare.
>>swe<< Tom is a data analyst.	Tom är dataanalytiker.
>>swe<< Tom is a draft dodger.	Tom är en desertör.
>>swe<< Tom is a draft dodger.	Tom är en värnpliktsvägrare.
>>swe<< Tom is a faith healer.	Tom är en helbrägdagörare.
>>swe<< Tom is a good husband.	Tom är en bra make.
>>swe<< Tom is a househusband.	Tom är en hemmaman.
>>swe<< Tom is a little crazy.	Tom är lite galen.
>>swe<< Tom is a lousy dancer.	Tom är en urusel dansare.
>>swe<< Tom is a normal child.	Tom är ett normalt barn.
>>swe<< Tom is at the airport.	Tom är på flygplatsen.
>>swe<< Tom is busy, isn't he?	Tom är upptagen, eller hur?
>>swe<< Tom is out of control.	Tom är utom kontroll.
>>swe<< Tom is very energetic.	Tom är mycket energisk.
>>swe<< Tom is very energetic.	Tom är väldigt energisk.
>>swe<< Tom isn't Mary's type.	Tom är inte Marys typ.
>>swe<< Tom isn't a good cook.	Tom är inte en bra kock.
>>swe<< Tom isn't busy either.	Tom är inte heller upptagen.
>>swe<< Tom isn't busy either.	Tom är inte upptagen heller.
>>swe<< Tom isn't cooperating.	Tom samarbetar inte.
>>swe<< Tom isn't helping any.	Tom hjälper inte till något.
>>swe<< Tom isn't really sure.	Tom är inte riktigt säker.
>>swe<< Tom isn't that strong.	Tom är inte så stark.
>>swe<< Tom isn't very bright.	Tom är inget ljushuvud.
>>swe<< Tom isn't very bright.	Tom är inget större ljus.
>>swe<< Tom killed the spider.	Tom dödade spindeln.
>>swe<< Tom knew I was coming.	Tom visste att jag var på väg.
>>swe<< Tom knows I'm waiting.	Tom vet att jag väntar.
>>swe<< Tom knows how to cook.	Tom vet hur man lagar mat.
>>swe<< Tom knows some French.	Tom kan lite franska.
>>swe<< Tom knows that's true.	Tom vet att det är sant.
>>swe<< Tom knows you're here.	Tom vet att du är här.
>>swe<< Tom knows you're here.	Tom vet att ni är här.
>>swe<< Tom left the water on.	Tom lämnade vattnet på.
>>swe<< Tom lived a long life.	Tom levde ett långt liv.
>>swe<< Tom looks disgruntled.	Tom verkar missnöjd.
>>swe<< Tom looks worried now.	Tom ser orolig ut nu.
>>swe<< Tom lowered his voice.	Tom sänkte rösten.
>>swe<< Tom made many changes.	Tom gjorde många ändringar.
>>swe<< Tom majored in French.	Toms huvudämne var franska.
>>swe<< Tom must've had a key.	Tom måste ha haft en nyckel.
>>swe<< Tom needs to buy time.	Tom behöver vinna tid.
>>swe<< Tom often wears a hat.	Tom har ofta på sig en hatt.
>>swe<< Tom put the book down.	Tom lade ned boken.
>>swe<< Tom put the book down.	Tom la ner boken.
>>swe<< Tom ran at full speed.	Tom sprang med full fart.
>>swe<< Tom shook Mary's hand.	Tom skakade Marys hand.
>>swe<< Tom shook Mary's hand.	Tom tog Mary i hand.
>>swe<< Tom taught me to sing.	Tom lärde mig att sjunga.
>>swe<< Tom thinks it's funny.	Tom tycker att det är roligt.
>>swe<< Tom thinks it's funny.	Tom tycker att det är kul.
>>swe<< Tom thinks it's great.	Tom tycker att det är jättebra.
>>swe<< Tom took Mary's place.	Tom tog Marys ställe.
>>swe<< Tom took Mary's place.	Tom tog Marys plats.
>>swe<< Tom took all my money.	Tom tog alla mina pengar.
>>swe<< Tom turned off the TV.	Tom stängde av tv:n.
>>swe<< Tom underwent surgery.	Tom genomgick en operation.
>>swe<< Tom underwent surgery.	Tom opererades.
>>swe<< Tom wanted more space.	Tom ville ha mer utrymme.
>>swe<< Tom wants more coffee.	Tom vill ha mer kaffe.
>>swe<< Tom wants some coffee.	Tom vill ha lite kaffe.
>>swe<< Tom was very talented.	Tom var mycket begåvad.
>>swe<< Tom wasn't a nice kid.	Tom var inte ett snällt barn.
>>swe<< Tom wasn't apologetic.	Tom var inte ursäktande.
>>swe<< Tom wasn't home alone.	Tom var inte ensam hemma.
>>swe<< Tom won't forgive you.	Tom kommer inte att förlåta dig.
>>swe<< Tom won't forgive you.	Tom kommer inte att förlåta er.
>>swe<< Tom won't let you pay.	Tom kommer inte att låta dig betala.
>>swe<< Tom works at a museum.	Tom jobbar på ett museum.
>>swe<< Tom's bags are packed.	Toms väskor är packade.
>>swe<< Tom's bedroom is blue.	Toms sovrum är blått.
>>swe<< Tom's car was totaled.	Toms bil blev totalkvaddad.
>>swe<< Tom's career was over.	Toms karriär var över.
>>swe<< Tom's hands are dirty.	Toms händer är smutsiga.
>>swe<< Tom's not at all sure.	Tom är inte alls säker.
>>swe<< Tom's phone is tapped.	Toms telefon är avlyssnad.
>>swe<< Tom's very, very good.	Tom är väldigt, väldigt bra.
>>swe<< Tom's wrong, you know.	Tom har fel, vet du.
>>swe<< Wait. Don't shoot yet.	Vänta. Skjut inte än.
>>swe<< Was Tom afraid of you?	Var Tom rädd för dig?
>>swe<< Wash behind your ears.	Tvätta dig bakom öronen.
>>swe<< Watch out for the car!	Se upp för bilen!
>>swe<< We all desire success.	Vi vill alla ha framgång.
>>swe<< We are disturbing him.	Vi stör honom.
>>swe<< We can't trust anyone.	Vi kan inte lita på någon.
>>swe<< We don't have secrets.	Vi har inga hemligheter.
>>swe<< We don't hear a thing.	Vi hör ingenting.
>>swe<< We don't hear a thing.	Vi hör inget alls.
>>swe<< We don't hear a thing.	Vi hör ingenting alls.
>>swe<< We don't hear a thing.	Vi hör inget.
>>swe<< We had lunch with Tom.	Vi åt lunch med Tom.
>>swe<< We have a big problem.	Vi har ett stort problem.
>>swe<< We have three minutes.	Vi har tre minuter.
>>swe<< We hear with our ears.	Vi hör med öronen.
>>swe<< We just need a minute.	Vi behöver bara en minut.
>>swe<< We knew Tom would win.	Vi visste att Tom skulle vinna.
>>swe<< We made a sand castle.	Vi byggde ett sandslott.
>>swe<< We made a sand castle.	Vi gjorde ett sandslott.
>>swe<< We need a few minutes.	Vi behöver några minuter.
>>swe<< We needed information.	Vi behövde information.
>>swe<< We should consider it.	Det är ingenting vi borde överväga.
>>swe<< We want to contribute.	Vi vill bidra.
>>swe<< We went to the museum.	Vi gick till museet.
>>swe<< We'll need Tom's help.	Vi kommer att behöva Toms hjälp.
>>swe<< We'll need their help.	Vi kommer att behöva deras hjälp.
>>swe<< We're French teachers.	Vi är fransklärare.
>>swe<< We're a little behind.	Vi ligger lite efter.
>>swe<< We're a perfect match.	Vi passar perfekt ihop.
>>swe<< We're almost finished.	Vi är nästan färdiga.
>>swe<< We're behind schedule.	Vi är försenade.
>>swe<< We're behind schedule.	Vi ligger efter.
>>swe<< We're behind schedule.	Vi släpar efter.
>>swe<< We're behind schedule.	Vi ligger efter i tid.
>>swe<< We're discussing that.	Vi diskuterar det.
>>swe<< We're in need of help.	Vi är i behov av hjälp.
>>swe<< We're never satisfied.	Vi är aldrig nöjda.
>>swe<< We're not responsible.	Vi är inte ansvariga.
>>swe<< We've got to warn Tom.	Vi måste varna Tom.
>>swe<< We've had a complaint.	Vi har fått in ett klagomål.
>>swe<< We've had it analyzed.	Vi fick den analyserad.
>>swe<< We've had it analyzed.	Vi fick det analyserat.
>>swe<< We've met a few times.	Vi har träffats några gånger.
>>swe<< We've never needed it.	Vi har aldrig behövt det.
>>swe<< We've never needed it.	Vi har aldrig behövt den.
>>swe<< We've run out of coal.	Vi har slut på kol.
>>swe<< Weren't you listening?	Lyssnade inte du?
>>swe<< Weren't you listening?	Lyssnade inte ni?
>>swe<< Weren't you surprised?	Vad du inte förvånad?
>>swe<< Weren't you surprised?	Blev du inte förvånad?
>>swe<< What a beautiful ring!	Vilken vacker ring!
>>swe<< What a beautiful star!	Vilken vacker stjärna!
>>swe<< What an exciting game!	Vilken spännande match!
>>swe<< What are they made of?	Vad är de gjorda av?
>>swe<< What are we afraid of?	Vad är vi rädda för?
>>swe<< What are you implying?	Vad anspelar du på?
>>swe<< What are you watching?	Vad tittar du på?
>>swe<< What can I do for you?	Vad kan jag göra för dig?
>>swe<< What can I do for you?	Vad kan jag göra för er?
>>swe<< What causes allergies?	Vad orsakar allergier?
>>swe<< What did Tom discover?	Vad upptäckte Tom?
>>swe<< What did you do today?	Vad har du gjort idag?
>>swe<< What did you tell Tom?	Vad sa du till Tom?
>>swe<< What did you tell Tom?	Vad sa ni till Tom?
>>swe<< What did you tell Tom?	Vad berättade du för Tom?
>>swe<< What did you tell Tom?	Vad berättade ni för Tom?
>>swe<< What do you guys want?	Vad vill ni?
>>swe<< What else did Tom eat?	Vad mer åt Tom?
>>swe<< What else did Tom say?	Vad mer sa Tom?
>>swe<< What else do you need?	Vad mer behöver du?
>>swe<< What happened tonight?	Vad hände i natt?
>>swe<< What happens tomorrow?	Vad händer i morgon?
>>swe<< What has Tom done now?	Vad har Tom gjort nu?
>>swe<< What haven't you done?	Vad har du inte gjort?
>>swe<< What is Tom afraid of?	Vad är Tom rädd för?
>>swe<< What is going on here?	Vad är det som pågår här?
>>swe<< What is wrong with me?	Vad är det för fel på mig?
>>swe<< What ship were you on?	Vilket skepp var du på?
>>swe<< What ship were you on?	Ombord på vilket skepp var du?
>>swe<< What'll become of Tom?	Vad ska det bli av Tom?
>>swe<< What're we doing here?	Vad gör vi här?
>>swe<< What's Tom doing here?	Vad gör Tom här?
>>swe<< What's Tom hiding for?	Varför gömmer sig Tom?
>>swe<< What's Tom hiding for?	Vad är det Tom gömmer sig för?
>>swe<< What's her name again?	Vad heter hon nu igen?
>>swe<< What's in this drawer?	Vad finns det i den här byrålådan?
>>swe<< What's in this drawer?	Vad finns det i den här lådan?
