>>afr<< Really?	Regtig?
>>afr<< You wouldn't be any happier if I told you.	Jy sou nie minder gelukkig gewees het as ek jou vertel het nie.
>>afr<< Farmers separate good apples from bad ones.	Boere skei goeie appels van slegtes.
>>afr<< His meeting began at five in the afternoon.	Sy vergadering het teen vyf in die middag begin.
>>afr<< I didn't want to make a big deal out of it.	Ek wou nie 'n groot saak hiervan maak nie.
>>afr<< I don't think anybody noticed what you did.	Ek dink nie enigiemend het agtergekom wat jy gedoen het nie.
>>afr<< I don't want you to think about it anymore.	Ek wil nie meer daaroor dink nie.
>>afr<< I know that Tom knew that I should do that.	Ek weet dat Tom weet dat ek dit moes doen.
>>afr<< I want to talk to you about something else.	I wil met jou aanspreek oor iets anders.
>>afr<< I wouldn't be surprised if Tom didn't come.	Ek sou nie verbaas wees as Tom nie gekom het nie.
>>afr<< I'm afraid I wouldn't be very good company.	Ek sou ongelukkig nie baie goeie geselskap wees nie.
>>afr<< I'm sure Tom knows enough French to get by.	Ek is seker Tom ken genoeg Frans om verby te kom.
>>afr<< January is the first month of the calendar.	Januarie is die eerste maand op die kalender.
>>afr<< No matter what he may say, don't trust him.	Dit maak nie saak wat hy sê nie, moet hom nie vertrou nie.
>>afr<< Tom isn't planning to come home for dinner.	Tom beplan nie om huis toe te kom vir aandete nie.
>>afr<< Tom read an article about the solar system.	Tom het 'n artikkel oor die sonnestelsel gelees.
>>afr<< Tom wasn't given the chance you and I were.	Tom het nie die kans gehad wat jy en ek gehad het nie.
>>afr<< Whatever you do, don't drop your new phone.	Wat jy ook al doen, moenie die nuwe foon laat val nie.
>>afr<< A madman is not accountable for his actions.	'n Gek is nie verantwoordelik vir sy dade nie.
>>afr<< Don't you want to know why I didn't do that?	Wil jy nie weet hoekom ek dit nie gedoen het nie?
>>afr<< I'm saving up so that I can go to Australia.	Ek is besig om te bespaar sodat ek Australië toe kan gaan.
>>afr<< You're the most beautiful girl in the world.	Jy is die pragtigste meisie ter wêreld.
>>afr<< Tom and his uncle walked together in silence.	Tom en sy oom het in stilte saam geloop.
>>afr<< Tom might be able to do that, but I doubt it.	Tom mag dit dalk kan doen, maar ek betwyfel dit.
>>afr<< Why would you want to do something like that?	Hoekom sou jy wou iets soos dit doen?
>>afr<< Do you plan to join us for a drink afterwards?	Beplan jy om saam met ons daarna 'n drankie te kom kry?
>>afr<< I had to walk there because my car broke down.	Ek moes daarntoe loop, omdat my kar afgebreek het.
>>afr<< I'm going to open the wine and let it breathe.	Ek gaan die wyn oopmaak sodat dit kan asemhaal.
>>afr<< I'm surprised that building is still standing.	Ek is verbaas daardie gebou staan nogsteeds.
>>afr<< I'm trying to find out why we need to do that.	Ek probeer uitvind waarom ons dit moet doen.
>>afr<< Maybe all of Tom's suggestions weren't stupid.	Miskien was al Tom se voorstelle nie dom nie.
>>afr<< The potato was so hot that it burned my mouth.	Die aartappel was so warm, dat dit my mond verbrand het.
>>afr<< This book is about a king who loses his crown.	Die boek gaan oor die koning wat sy kroon verloor.
>>afr<< Tom always seems to be wearing the same thing.	Tom lyk altyd of hy dieselfde ding dra.
>>afr<< Tom doesn't like people who manipulate others.	Tom hou van die mense wat andere manipuleer nie.
>>afr<< Tom went back to his car and got a flashlight.	Tom het terug na sy kar gegaan en 'n flitslig gaan haal.
>>afr<< You can do whatever you want to do, of course.	Jy kan natuurlik doen wat okal jy wil doen.
>>afr<< I checked into a hotel and went right to sleep.	Ek het my in 'n hotel bespreek en reguit gaan slaap.
>>afr<< I won't be able to carry Tom across the bridge.	Ek gaan nie Tom oor die brug kan dra nie.
>>afr<< No matter what you say, I won't change my mind.	Ek gaan nie my keuse verander nie maak nie saak wat jy sê nie.
>>afr<< Why don't you just tell us what's on your mind?	Hoekom sê jy nie net vir ons wat op joy gedagtes is nie?
>>afr<< I know Tom and Mary were more than just friends.	Ek weet dat Tom en Mary meer as vriende was.
>>afr<< I like grapes, but I can't eat too many of them.	Ek hou van druiwe, maar kan nie te veel daarvan eet nie.
>>afr<< That company has been very successful up to now.	Daardie maatskappy was nog baie suksesvol tot nou toe.
>>afr<< Tom wasn't given the chance that you and I were.	Tom het nie die kans gehad wat jy en ek gehad het nie.
>>afr<< Tom wasn't wearing socks, so his feet were cold.	Tom het nie sokkies gedra nie so sy voete was koud.
>>afr<< My friend sent me a letter to find out how I was.	My vriend het vir my 'n brief geskryf om uit te vind hoe ek was.
>>afr<< The period is missing at the end of the sentence.	Die punt aan die einde van die sin kort.
>>afr<< What's the real reason you don't want to do this?	Wat is die ware rede waarom jy dit nie wil doen nie?
>>afr<< I didn't know that you could speak French so well.	Ek het nie geweet jy kan so goed Frans praat nie.
>>afr<< She is proud of never having been late for school.	Sy is trots om nog nooit laat vir skool te gewees het nie.
>>afr<< The pension is not sufficient for living expenses.	Die pensioen is nie genoeg vir die lewenskoste nie.
>>afr<< Is this the reason you didn't want to come with me?	Is hierdie die rede hoekom jy nie wil saam kom nie?
>>afr<< Out of twenty students, only one has read the book.	Uit twintig studente het net een die book gelees.
>>afr<< I think that most people want to do the right thing.	Ek dink die meeste mense wil die regte ding doen.
>>afr<< I don't think I could spend six hours alone with you.	Ek dink ek sal ses ure met jou kan spandeer nie.
>>afr<< I hate to interrupt you, but I need to say something.	Ek haat dit om jou te onderbreek, maar ek moet iets sê.
>>afr<< I know that Tom and Mary were more than just friends.	Ek weet dat Tom en Mary meer as vriende was.
>>afr<< Properly used, certain poisons will prove beneficial.	Met die korrekte gebruik is sommige gifstowwe voordelig.
>>afr<< Yesterday at this time, we were at the movie theater.	Gister hierdie tyd was on by die bioskoop.
>>afr<< If you really want to know, all you have to do is ask.	As jy regtig sou wou weet moet jy net vra.
>>afr<< Tom poured cold water over himself to wake himself up.	Tom het koue water oor homself gegooi om homself wakker te maak.
>>afr<< Tom doesn't want to spend the rest of his life in jail.	Tom wil nie die res van sy lewe in die tronk spandeer nie.
>>afr<< Tom went for a walk and took pictures of things he saw.	Tom het gaan wandel en fotos geneem van wat hy gesien het.
>>afr<< "Can I speak to Tom, please?" "I'm sorry, he just left."	"Kan ek assebleif met Tom praat?" "Ek is jammer, hy het sopas gegaan."
>>afr<< Are you sure you want me to help you with your homework?	Is jy seker jy wil hê dat ek jou moet help met jou huiswerk?
>>afr<< I have always identified hard work with success in life.	Ek het nog altyd harde werk met sukses in die lewe assosieer.
>>afr<< He tried getting close to her using every means possible.	Hy het alles in sy mag probeer om naby haar te kom.
>>afr<< Land covers about 30 percent of the surface of the earth.	Grond bedek omtrent 30 persent van die wêreld se oppervlakte.
>>afr<< After lunch today, our plan is to take a walk in the park.	Ons plan is om 'n loop deur die park te neem na middagete.
>>afr<< He reached for an English-Japanese dictionary on the desk.	Hy reik uit na a Engelse-Japanese woordeboek op die lessenaar.
>>afr<< I want everything you just said written into the contract.	Ek soek alles wat jy sopas gesê het in die kontrak.
>>afr<< We recommend cutting off all further contact with the rebels.	Ons stel voor alle kontak met die rebelle word afgesny.
>>afr<< I don't know if I've ever told you, but you have beautiful eyes.	Ek weet nie of ek jou ooit gesê het nie, maar jy het mooi oë.
>>afr<< If you want more details about that, you'll have to ask my boss.	As jy meer besonderhede oor dit versoek sal jy my baas moet vra.
>>afr<< Tom said that he thought Mary was still living with her parents.	Tom het gesê dat hy dink dat Mary steeds by haar ouers woon.
>>afr<< What we know of health we have learned from the study of disease.	Wat ons weet oor gesondheid het ons deur die studie van siektes geleer.
>>afr<< As time went on, people grew less and less concerned about the matter.	Met die verloop van tyd, het mense hulle minder bekommer oor die saak.
>>afr<< A 5% consumption tax is levied on purchases of most goods and services.	'n Verbruiksbelasting van 5% word gehef op die aankoop van die meeste goedere en dienste.
>>afr<< Since you have a sore throat and a fever, you should probably stay in bed.	Aangesien jy 'n seer keel en koors het moet jy eerder in die bed bly.
>>afr<< In the past, the boys were taught to fend for themselves while still very young.	In die verlede was die seuns geleer om vir hulself te verdedig terwyl hulle nog baie jonk was.
>>afr<< These three hours of driving have worn me out. Let's stop at the first rest area we see.	Hierdie drie ure van bestuur het my uitgeput. Kom ons stop by die eerste rusplek wat ons sien.
>>afr<< I had an appointment at 2:30, but I got caught in traffic and couldn't get there in time.	Ek het 'n afspraak gehad om 2:30, maar ek was vasgevang in die verkeer en kon nie daar kom in tyd nie.
