>>npi<< Who?	को?
>>npi<< I have a lot of homework to do.	म संग गृहकार्य धेरै छ।
>>npi<< I haven't decided anything yet.	मैले अझै केही निर्णय गरेको छैन।
>>npi<< I haven't decided what I'll do.	मैले के गर्ने भन्ने निर्णय गरेको छैन।
>>npi<< I haven't done anything so far.	मैले अहिलेसम्म केही गरेको छैन।
>>npi<< I need to have another surgery.	मलाई अर्को शल्यक्रिया गर्न आवश्यक छ।
>>npi<< I think Tom gave up too easily.	मलाई लाग्छ टमले सजिलै हार मान्यो।
>>npi<< I thought Tom would be pleased.	मैले सोचें कि टम खुसी हुनेछ।
>>npi<< I told Tom to lose some weight.	मैले टमलाई केही तौल घटाउन भनें।
>>npi<< I want you to watch this video.	म तपाईले यो भिडियो हेर्नुहोस् भन्ने चाहन्छु।
>>npi<< I was always very close to Tom.	म सधैं टमसँग धेरै नजिक थिए।
>>npi<< I was working when it happened.	यो घटना हुँदा म काम गरिरहेको थिएँ।
>>npi<< I'd like to drink a cup of tea.	म एक गिलास चिया पिउन चाहान्छु।
>>npi<< I'll be back in thirty minutes.	म तीस मिनेटमा फर्कने छु।
>>npi<< I'm Tom. This is my wife, Mary.	म टम हुँ। यिनी मेरी श्रीमती मेरी हुन्।
>>npi<< I'm friends with Tom's brother.	म टमको भाईसँग साथी छु।
>>npi<< I'm friends with Tom's brother.	म टमको दाईसँग साथी छु।
>>npi<< I'm going to break up with Tom.	म टमसँग ब्रेकअप गर्न जाँदैछु।
>>npi<< I'm now used to wearing a mask.	मलाई अहिले मास्क लगाउने बानी परेको छ ।
>>npi<< I'm pretty sure Tom's Canadian.	म टम क्यानेडियन हो भनेर पक्का छु।
>>npi<< I've already found a volunteer.	मैले पहिले नै स्वयंसेवक फेला पारेको छु।
>>npi<< I've finished cleaning my room.	मैले मेरो कोठा सफा गरिसकेको छु।
>>npi<< Is Tom good at speaking French?	के टम फ्रान्सेली बोल्नमा राम्रो छ?
>>npi<< It started raining really hard.	भारी पानी पर्न थाल्यो।
>>npi<< It'll be much better next time.	यो अर्को पटक धेरै राम्रो हुनेछ।
>>npi<< It's healthy to breathe deeply.	गहिरो सास फेर्नु स्वस्थकर हुन्छ।
>>npi<< Kyiv is the capital of Ukraine.	कीभ युक्रेनको राजधानी हो।
>>npi<< Let me think over until Monday.	मलाई सोमबार सम्म सोच्न दिनुहोस्।
>>npi<< Madrid is the capital of Spain.	म्याड्रिड स्पेनको राजधानी हो।
>>npi<< None of those books are useful.	यस्ता किताबहरु सबै मेरो लागि बेकार छन्।
>>npi<< Paris is the capital of France.	पेरिस फ्रान्सको राजधानी हो।
>>npi<< Payment is required in advance.	अग्रिम भुक्तानी आवश्यक छ।
>>npi<< Please call me Tom from now on.	कृपया मलाई अब देखि टम भन्ने गर्नुहोस्।
>>npi<< Please call me Tom from now on.	कृपया मलाई अब देखि टम भनेर बोलाउनुहोस्।
>>npi<< She frankly admitted her guilt.	उनले इमानदारीपूर्वक आफ्नो अपराध स्वीकार गरिन्।
>>npi<< She is always dressed in black.	उनी सधैं कालो लुगा लगाउँछिन्।
>>npi<< Tell me why you don't like Tom.	मलाई भन्नुहोस् कि तपाई टमलाई किन मन पराउनुहुन्न।
>>npi<< That book is written in French.	त्यो पुस्तक फ्रान्सेलीमा लेखिएको छ।
>>npi<< The capital of Ukraine is Kyiv.	युक्रेनको राजधानी कीभ हो।
>>npi<< The students helped each other.	विद्यार्थीहरूले एकअर्कालाई सहयोग गरे।
>>npi<< Things didn't turn out so well.	चीजहरू त्यति राम्ररी बाहिर आएनन्।
>>npi<< Those roses are very beautiful.	त्यो गुलाब एकदमै सुन्दर छ।
>>npi<< Tom and Mary are great friends.	टम र मेरी महान साथी हुन्।
>>npi<< Tom asked me several questions.	टमले मलाई धेरै प्रश्नहरू सोधे।
>>npi<< Tom asked me several questions.	टमले मलाई धेरै प्रश्नहरू सोध्यो।
>>npi<< Tom bought a very cheap camera.	टमले एकदमै सस्तो क्यामेरा किन्यो।
>>npi<< Tom decided not to go swimming.	टमले पौडी खेल्न नजाने निर्णय गरे।
>>npi<< Tom doesn't usually wear a hat.	टमले सामान्यतया टोपी लगाउँदैन।
>>npi<< Tom has been bitten by a snake.	टमलाई सर्पले टोकेको छ।
>>npi<< Tom is working as a waiter now.	टम अहिले वेटरको रूपमा काम गर्दैछ।
>>npi<< Tom knows he shouldn't be here.	टमलाई थाहा छ ऊ यहाँ हुनुहुँदैन।
>>npi<< Tom obviously needed some help.	टमलाई स्पष्ट रूपमा केही मद्दत चाहिन्छ।
>>npi<< Tom offered to buy Mary a beer.	टमले मेरीलाई बियर किनिदिने प्रस्ताव गरे।
>>npi<< Tom put the knife on the table.	टमले चक्कु टेबुलमा राख्यो।
>>npi<< Tom rolled his shirtsleeves up.	टमले आफ्नो शर्टको बाहुला माथि घुमाए।
>>npi<< Tom rolled up his shirtsleeves.	टमले आफ्नो शर्टका बाहुलाहरू सुर्कियो।
>>npi<< Tom was as nervous as Mary was.	टम मेरी जस्तै नर्भस थियो।
>>npi<< Tom was detained by the police.	टमलाई प्रहरीले नियन्त्रणमा लिएको थियो।
>>npi<< Tom was hiding in the basement.	टम बेसमेन्टमा लुकेको थियो।
>>npi<< We really appreciate your help.	हामी तपाईंको सहयोगको साँच्चै कदर गर्छौं।
>>npi<< What does a liter of milk cost?	एक लिटर दूधको मूल्य कति पर्छ?
>>npi<< What kind of music do you make?	कस्तो प्रकारको संगीत रचना गर्नुहुन्छ?
>>npi<< What language are you speaking?	तपाई कुन भाषा बोल्नुहुन्छ?
>>npi<< What language are you speaking?	कुन भाषा बोल्दै हुनुहुन्छ ?
>>npi<< What's Mary's boyfriend's name?	मेरीको प्रेमीको नाम के हो?
>>npi<< Where do you go to high school?	तपाईं कुन हाईस्कूल जानुहुन्छ?
>>npi<< Where do you go to high school?	तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?
>>npi<< Who's your downstairs neighbor?	तपाईको तलको छिमेकी को हो?
>>npi<< Why didn't anyone say anything?	किन कसैले केही भनेनन् ?
>>npi<< Will anyone care if we do that?	हामीले त्यसो गर्‍यौं भने कसैले वास्ता गर्छ?
>>npi<< You need someone you can trust.	तपाईलाई विश्वास गर्न सक्ने व्यक्ति चाहिन्छ।
>>npi<< Zoology is my favorite subject.	प्राणीशास्त्र मेरो मनपर्ने विषय हो।
>>npi<< "Who is it?" "It's your mother."	"उँहा को हुनुहुन्छ?" "मेरी आमा।"
>>npi<< Are you still afraid to do that?	के तपाई अझै पनि त्यसो गर्न डराउनुहुन्छ?
>>npi<< Aren't you allergic to anything?	तपाईलाई कुनै कुरामा एलर्जी छैन?
>>npi<< Beijing is the capital of China.	बेइजिङ चीनको राजधानी हो।
>>npi<< Being modest never hurt anybody.	नम्र हुनाले कसैलाई कहिल्यै हानि पुर्याउदैन।
>>npi<< Contact Tom Jackson for details.	विवरणका लागि टम ज्याक्सनलाई सम्पर्क गर्नुहोस्।
>>npi<< Could I have something to drink?	के म पिउन केहि पाउन सक्छु?
>>npi<< Delete Tom's name from the list.	सूचीबाट टमको नाम मेटाउनुहोस्।
>>npi<< Everyone knows that you hit Tom.	सबैलाई थाहा छ कि तपाईले टमलाई हिर्काउनुभयो।
>>npi<< Everything was clear and simple.	सबै कुरा स्पष्ट र सरल थियो।
>>npi<< Excuse me. Do you speak English?	मलाईं माफ गर्नुहोस्। के तपाईँ अङ्ग्रेजी बोल्नुहुन्छ?
>>npi<< Have you ever made marshmallows?	के तपाईंले कहिल्यै मार्शमेलो बनाउनुभएको छ?
>>npi<< Have you seen any movies lately?	हालसालै कुनै चलचित्र हेर्नुभएको छ?
>>npi<< He has no more than 100 dollars.	उहाँसँग १०० डलरभन्दा बढी छैन।
>>npi<< How long did you stay in Boston?	तपाईं बोस्टनमा कति लामो बस्नु भयो?
>>npi<< How much of this is Tom's fault?	यसमा टमको कत्तिको गल्ती छ?
>>npi<< How much of this stuff is yours?	यो सामान तपाईको कति हो?
>>npi<< How often do you ride a bicycle?	तपाई कत्तिको पटक साइकल चलाउन हुन्छ?
>>npi<< I did not understand him at all.	मैले उसलाई पटक्कै बुझिन।
>>npi<< I don't think that you're funny.	मलाई लाग्दैन कि तपाईं हास्यास्पद हुनुहुन्छ।
>>npi<< I have more than one girlfriend.	मेरो एक भन्दा बढी प्रेमिका छन्।
>>npi<< I have more than one girlfriend.	मे संग एक भन्दा बढी प्रेमिका छन्।
>>npi<< I hope our plane leaves on time.	मलाई आशा छ कि हाम्रो विमान समयमै प्रस्थान गर्छ।
>>npi<< I probably won't be able to win.	सायद म जित्न सक्दिन होला।
>>npi<< I slept for the rest of the day.	म बाँकी दिन सुतेको थिएँ ।
>>npi<< I think I'd like to go with you.	मलाई लाग्छ म तपाईंसँग जान चाहन्छु।
>>npi<< I think it'll be sunny tomorrow.	भोलि घाम लाग्छ जस्तो लाग्छ।
>>npi<< I think that Tom is working now.	मलाई लाग्छ कि टम अहिले काम गरिरहेको छ।
>>npi<< I think you worry too much, Tom.	मलाई लाग्छ तपाईं धेरै चिन्तित हुनुहुन्छ, टम।
>>npi<< I want to eat breakfast outside.	म बिहानको खाजा बाहिर खान चाहन्छु।
>>npi<< I want to punch you in the face.	म तेरो अनुहारमा मुक्का हान्न चाहन्छु।
>>npi<< I'll be staying here for a week.	म यहाँ एक हप्ता बस्नेछु।
>>npi<< I'll give you anything you want.	म तिमी जे चाहन्छौ त्यहि दिन्छु।
>>npi<< I'm hoping we can do that today.	मलाई आशा छ कि आज हामी त्यो गर्न सक्छौं।
>>npi<< I'm positive that I can do that.	म त्यो गर्न सक्छु भन्नेमा सकारात्मक छु।
>>npi<< I'm pretty sure Tom's competent.	म पक्का छु कि टम सक्षम छ।
>>npi<< I'm sure that Tom remembers you.	म पक्का छु कि टमले तपाईलाई सम्झेको छ।
>>npi<< I've already spent all my money.	मैले पहिले नै सबै पैसा खर्च गरिसकेको छु।
>>npi<< I've been in line all afternoon.	दिउँसो दिनभर लाइनमा बसेको छु ।
>>npi<< I've changed my opinion on that.	मैले यसमा मेरो धारणा परिवर्तन गरेको छु।
>>npi<< It isn't raining much this year.	यो वर्ष खासै पानी परेको छैन ।
>>npi<< It's getting darker outside now.	बाहिर अँध्यारो हुँदैछ।
>>npi<< It's not healthy to eat and run.	खाना खाएर दौडनु स्वस्थकर होइन।
>>npi<< It's walking distance from here.	यहाँबाट हिड्ने दूरीमा छ।
>>npi<< Learning French isn't difficult.	फ्रान्सेली सिक्न गाह्रो छैन।
>>npi<< Mary doesn't eat pork, does she?	मेरी सुँगुरको मासु खादिनन् , हैन?
>>npi<< May I see your passport, please?	के म तपाईंको पासपोर्ट हेर्न सक्छु?
>>npi<< Ottawa is the capital of Canada.	ओटावा क्यानाडाको राजधानी हो।
>>npi<< Please don't smoke in this room.	कृपया यस कोठामा धुम्रपान नगर्नुहोस्।
>>npi<< The capital of Poland is Warsaw.	पोल्याण्डको राजधानी वारसा हो।
>>npi<< The color I like most is orange.	मलाई सबैभन्दा मनपर्ने रङ सुन्तले हो।
>>npi<< The exam is coming up next week.	अर्को हप्ता परीक्षा आउँदैछ।
>>npi<< The plane flew above the clouds.	विमान बादल माथि उड्यो।
>>npi<< The process is very complicated.	प्रक्रिया एकदमै जटिल छ।
>>npi<< This is one of Tom's best poems.	यो टमको उत्कृष्ट कविताहरू मध्ये एक हो।
>>npi<< Tom and Mary are often together.	टम र मेरी अक्सर सँगै हुन्छन्।
>>npi<< Tom and Mary were drinking beer.	टम र मेरी बियर पिइरहेका थिए।
>>npi<< Tom did Mary's homework for her.	टमले उनको लागि मेरीको गृहकार्य गरे।
>>npi<< Tom didn't look very busy to me.	टम मेरो लागि धेरै व्यस्त देखिएन।
>>npi<< Tom is already three hours late.	टम पहिले नै तीन घण्टा ढिलो छ।
>>npi<< Tom is an amazing guy, isn't he?	टम एक अचम्मको मान्छे हो, हैन?
>>npi<< Tom is my husband's middle name.	टम मेरो श्रीमानको बीचको नाम हो।
>>npi<< Tom is my husband's middle name.	टम मेरो पतिको बीचको नाम हो।
>>npi<< Tom is still too young to drive.	टम अझै पनि ड्राइभ गर्न को लागी धेरै जवान छ।
>>npi<< Tom is working in Australia now.	टम अहिले अस्ट्रेलियामा काम गर्दैछ।
>>npi<< Tom left at four in the morning.	टम बिहान चार बजे निस्कियो।
>>npi<< Tom left at four in the morning.	टम बिहान चार बजे गए।
>>npi<< Tom looked really uncomfortable.	टम साँच्चै असहज देखिन्थ्यो ।
>>npi<< Tom plans to go home by himself.	टमले एक्लै घर जाने योजना बनाउँछ।
>>npi<< Tom planted a little peach tree.	टमले एउटा सानो आरुको रूख रोपे।
>>npi<< Tom said he couldn't believe it.	टमले भने कि उसले यो विश्वास गर्न सक्दैनन्।
>>npi<< Tom seemed very full of himself.	टम आफैंमा धेरै भरिएको देखिन्थ्यो।
>>npi<< Tom should tell Mary to do that.	टमले मेरीलाई त्यसो गर्न भन्नु पर्छ।
>>npi<< Tom thinks that Mary is my name.	टम सोच्छन् कि मेरो नाम मेरी हो।
>>npi<< Tom went from Boston to Chicago.	टम बोस्टनबाट शिकागो गए।
>>npi<< Tom's dog never barks at anyone.	टमको कुकुर कहिल्यै कसैलाई भुक्दैन।
>>npi<< Tom's grandfather couldn't read.	टमका हजुरबुवाले पढ्न सक्नुहुदैन थियो।
>>npi<< We should only eat healthy food.	हामीले स्वस्थकर खाना मात्रै खानुपर्छ।
>>npi<< Were you popular in high school?	के तपाई हाई स्कूलमा लोकप्रिय हुनुहुन्थ्यो?
>>npi<< What do you do to stay in shape?	आफ्नो स्वास्थ्यको लागि ध्यान दिनुपर्ने कुरा के हो?
>>npi<< What kind of mushrooms are they?	तिनीहरू कुन प्रकारका च्याउ हुन्?
>>npi<< Where do you attend high school?	तपाईं कुन हाईस्कूल जानुहुन्छ?
>>npi<< Where do you attend high school?	तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?
>>npi<< Why don't you have any kids yet?	तपाईका अझै बच्चाहरू किन छैनन्?
>>npi<< Why would you like to work here?	किन यहाँ काम गर्न चाहान्छौ?
>>npi<< You like older women, don't you?	तपाईलाई वृद्ध महिलाहरू मनपर्छ, हैन?
>>npi<< You need to respect the elderly.	ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ।
>>npi<< You seem to know a lot about me.	तिमीलाई मेरो बारेमा धेरै कुरा थाहा छ जस्तो लाग्छ।
>>npi<< Answering that question was hard.	त्यो प्रश्नको जवाफ दिन गाह्रो भयो।
>>npi<< Berlin is the capital of Germany.	बर्लिन जर्मनीको राजधानी हो।
>>npi<< Can I still get something to eat?	के म अझै पनि खानेकुरा पाउन सक्छु?
>>npi<< Can you talk about that a little?	यसबारे अलिकति कुरा गर्न सक्नुहुन्छ?
>>npi<< Did you forget your wallet again?	के तपाईंले आफ्नो वालेट फेरि बिर्सनुभयो?
>>npi<< Do you know how to change a fuse?	के तपाईंलाई फ्यूज कसरी परिवर्तन गर्ने थाहा छ?
>>npi<< Do you know where Tom's house is?	के तपाईलाई थाहा छ टमको घर कहाँ छ?
>>npi<< Don't forget to do your homework.	आफ्नो गृहकार्य गर्न नबिर्सनुहोस्।
>>npi<< Have you already eaten some cake?	अघिनै केक खाइसक्नु भयो?
>>npi<< He has been dead for three years.	उनको मृत्यु भएको तीन वर्ष भयो ।
>>npi<< He reads the paper every morning.	ऊ हरेक बिहान पत्रिका पढ्छ।
>>npi<< How will the weather be tomorrow?	भोलिको मौसम कस्तो रहनेछ?
>>npi<< I didn't really think about that.	मैले साँच्चै यसको बारेमा सोचेको छैन।
>>npi<< I don't mind the smell of durian.	मलाई डुरियनको गन्धमा कुनै आपत्ति छैन।
>>npi<< I don't want anybody to get hurt.	म कसैलाई चोट पुर्याउन चाहन्न।
>>npi<< I gave Tom some milk and cookies.	मैले टमलाई केही दूध र कुकीहरू दिएँ।
>>npi<< I haven't decided what to do yet.	मैले अझै के गर्ने निर्णय गरेको छैन।
>>npi<< I just downloaded a lot of files.	मैले भर्खरै धेरै फाईलहरू डाउनलोड गरें।
>>npi<< I live next door to the toy shop.	म खेलौना पसलको छेउमा बस्छु।
>>npi<< I thought Tom might be in Boston.	मैले सोचे कि टम बोस्टन मा हुन सक्छ।
>>npi<< I was surprised when Tom told me.	जब टमले मलाई भन्यो म छक्क परें।
>>npi<< I've forgotten Tom's wife's name.	मैले टमकी श्रीमतीको नाम बिर्सिए।
>>npi<< It is said that he was very rich.	भनिन्छ उनी निकै धनी थिए ।
>>npi<< It's colder today than yesterday.	हिजो भन्दा आज चिसो बढेको छ ।
>>npi<< London is the capital of England.	लन्डन इङ्गल्याण्ड को राजधानी हो।
>>npi<< My brother and I were very close.	मेरो भाइ र म धेरै नजिक थियौं।
>>npi<< Never be afraid to make mistakes.	असफलता देखि नडराऊ।
>>npi<< Results will be announced Monday.	नतिजा सोमबार घोषणा हुनेछ।
>>npi<< The pig is an intelligent animal.	सुँगुर एक बुद्धिमान प्राणी हो।
>>npi<< The public has the right to know.	जनतालाई जान्न पाउने अधिकार छ ।
>>npi<< There were too many people there.	त्यहाँ धेरै मानिसहरू थिए।
>>npi<< There's no time to do that today.	आज त्यो गर्ने समय छैन।
>>npi<< This ring is the one Tom gave me.	यो टमले मलाई दिएको एउटा औंठी हो।
>>npi<< Tom always gets up at six-thirty.	टम जहिले पनि साढे छ बजे उठ्छ।
>>npi<< Tom doesn't express himself well.	टमले आफूलाई राम्रोसँग व्यक्त गर्दैन।
>>npi<< Tom gave me this for my birthday.	टमले मलाई मेरो जन्मदिनको लागि यो दिए।
>>npi<< Tom has everything under control.	टमको नियन्त्रणमा सबै कुरा छ।
>>npi<< Tom is in the hospital, isn't he?	टम अस्पतालमा छ, हैन?
>>npi<< Tom is still doing that, I think.	टम अझै पनि त्यही गरिरहेको छ, मलाई लाग्छ।
>>npi<< Tom is working in his office now.	टम अहिले आफ्नो कार्यालयमा काम गर्दैछ।
>>npi<< Tom isn't here because he's sick.	टम यहाँ छैन किनभने ऊ बिरामी छ।
>>npi<< Tom loves pizza and french fries.	टमलाई पिज्जा र फ्रेन्च फ्राइज मन पर्छ।
>>npi<< Tom said he was happy to do that.	टमले यसो गर्न पाउँदा खुसी लागेको बताए।
>>npi<< Tom was the one who gave me this.	टम एक थियो जसले मलाई यो दियो।
>>npi<< We all just sat there and waited.	हामीले बसेर पर्खिने मात्र गर्यौ।
>>npi<< We expected Tom to behave better.	हामीले टमले राम्रो व्यवहार गर्ने अपेक्षा गरेका थियौं।
>>npi<< What did you do for Father's day?	बुवाको दिनमा के गर्नुभयो ?
>>npi<< When was the last time you cried?	तिमी अन्तिम पटक कहिले रोएको थियौ ?
>>npi<< Why do you need to borrow my car?	तपाईंले मेरो कार किन सापटी लिनु पर्यो ?
>>npi<< You have to go back to Australia.	तपाई अष्ट्रेलिया फर्किनु पर्छ।
>>npi<< You must respect senior citizens.	ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ।
>>npi<< You're going to be my son-in-law.	तपाई मेरो ज्वाइँ बन्दै हुनुहुन्छ।
>>npi<< You're in better shape than I am.	तपाईं म भन्दा राम्रो अवस्थामा हुनुहुन्छ।
>>npi<< "What are you studying?" "French."	"तिमी के पढ्दै छौ?" "फ्रान्सेली भाषा।"
>>npi<< An explosion blew the house apart.	विष्फोटले घर ध्वस्त पारेको छ ।
>>npi<< Can you pick me up at the station?	के मलाई स्टेशनमा लिन आउन सक्छौ?
>>npi<< Can you please explain this to me?	कृपया मलाई यो कुरा बुझाउन सक्नुहुन्छ?
>>npi<< Could you leave this book with me?	के तपाईं यो किताब मसँग छोड्न सक्नुहुन्छ?
>>npi<< Excuse me, are you a student here?	माफ गर्नुहोस्, के तपाईं यहाँको विद्यार्थी हुनुहुन्छ?
>>npi<< French is an interesting language.	फ्रेन्च एउटा रोचक भाषा हो।
>>npi<< Have my piece of cake if you like.	यदि तपाईलाई मन पर्यो भने मेरो केकको टुक्रा लिनुहोस्।
>>npi<< He had friends all over the world.	संसारभरि उनका साथी थिए ।
>>npi<< He is very good at playing violin.	उनी भायोलिन बजाउन निकै माहिर छन् ।
>>npi<< He really likes the United States.	उसलाई संयुक्त राज्य अमेरिका मन पर्छ।
>>npi<< He was very friendly to everybody.	उनी सबैसँग निकै मिलनसार थिए।
>>npi<< He was very friendly to everybody.	उहाँ सबैसँग धेरै मिलनसार हुनुहुन्थ्यो।
>>npi<< How could you write such a letter?	तपाई यस्तो पत्र कसरी लेख्न सक्नु हुन्छ ?
>>npi<< How could you write such a letter?	तिमीले यस्तो चिठ्ठी कसरी लेख्न सक्यौ?
>>npi<< How do I get to the train station?	स्टेशन सम्म कसरी पुग्न सकिन्छ?
>>npi<< How long are you going to do this?	तपाई कहिले सम्म यो गर्न जाँदै हुनुहुन्छ?
>>npi<< How was the man you met yesterday?	हिजो भेटेको मान्छे कस्तो थियो?
>>npi<< I bought a watch and an empty box.	मैले एउटा घडी र एउटा खाली बक्स किनेँ।
>>npi<< I didn't know Tom was from Boston.	टम बोस्टनबाट आएको मलाई थाहा थिएन।
>>npi<< I don't think I have one of those.	के तपाई आज त्यसो गर्न रुचाउनुहुन्छ?
>>npi<< I forgot Tom used to be a plumber.	टम प्लम्बर हुनुहुन्थ्यो भनेर मैले बिर्सें।
>>npi<< I found a good Mexican restaurant.	मैले एउटा स्वादिष्ट मेक्सिकन रेस्टुरेन्ट फेला पारे।
>>npi<< I guess nobody buys these anymore.	मलाई लाग्छ अब यो कसैले किन्दैन।
>>npi<< I had the good fortune to succeed.	म सफल हुन भाग्यशाली थिएँ।
>>npi<< I have heard nothing from him yet.	मैले अहिलेसम्म उहाँबाट केही पनि सुनेको छैन।
>>npi<< I never thought I'd do this again.	मैले कहिल्यै सोचेको थिइन कि म यो फेरि गर्नेछु।
>>npi<< I saw Tom limping down the street.	मैले टमलाई सडकमा लङ्गडा गरिरहेको देखेँ।
>>npi<< I showed Tom how to tie a bowline.	मैले टमलाई बाउलाइन कसरी बाँध्ने भनेर देखाएँ।
>>npi<< I think Tom is having a good time.	मलाई लाग्छ टमले राम्रो समय बिताइरहेको छ।
>>npi<< I think Tom was born in Australia.	मलाई लाग्छ टम अष्ट्रेलियामा जन्मिएको हो।
>>npi<< I think that Tom would be nervous.	मलाई लाग्छ कि टम नर्भस हुनेछ।
>>npi<< I was at a loss as to what to say.	म के भन्नू भनी अलमलमा परें।
>>npi<< I would like to improve my French.	म मेरो फ्रान्सेली सुधार गर्न चाहन्छु।
>>npi<< I'm tired and I want to go to bed.	म थाकेको छु र म ओछ्यानमा जान चाहन्छु।
>>npi<< I've never seen Tom wearing a tie.	मैले टमलाई टाई लगाएको कहिल्यै देखेको छैन।
>>npi<< It'll be finished in a day or two.	यो एक दुई दिनमा सकिन्छ।
>>npi<< My father is the one drinking tea.	चिया पिउने मेरो बुवा हुनुहुन्छ।
>>npi<< Nowadays jobs are hard to come by.	आजकल काम पाउन गाह्रो छ।
>>npi<< Only a few people listened to him.	थोरै मानिसले मात्र उनको कुरा सुने।
>>npi<< Phoenix is the capital of Arizona.	फिनिक्स एरिजोना को राजधानी हो।
>>npi<< Something has gone terribly wrong.	केही नराम्रोसँग गडबड भएको छ।
>>npi<< The capital of Brazil is Brasilia.	ब्राजिलको राजधानी ब्रासिलिया हो।
>>npi<< The fire destroyed the whole city.	आगलागीले पूरै सहर ध्वस्त पारेको छ ।
>>npi<< Those books are written in French.	ती पुस्तकहरू फ्रेन्चमा लेखिएका छन्।
>>npi<< Tom and I agreed to work together.	टम र म सँगै काम गर्न सहमत भयौं।
>>npi<< Tom and Mary are now eating lunch.	टम र मेरी अहिले खाजा खाँदैछन्।
>>npi<< Tom and Mary argued all afternoon.	टम र मेरीले दिउँसो भरी बहस गरे।
>>npi<< Tom asked me a confusing question.	टमले मलाई एक भ्रमित प्रश्न सोध्यो।
>>npi<< Tom has decided to buy the island.	टमले टापु किन्ने निर्णय गरेको छ।
>>npi<< Tom has earned a number of awards.	टमले धेरै अवार्ड जितिसकेका छन्।
>>npi<< Tom is a former student of Mary's.	टम मेरीको पूर्व विद्यार्थी हो।
>>npi<< Tom is good at baking gingerbread.	टम जिंजरब्रेड पकाउने मा राम्रो छ।
>>npi<< Tom is likely to be here tomorrow.	टम भोलि यहाँ हुने सम्भावना छ।
>>npi<< Tom is no longer Mary's boyfriend.	टम अब मेरीको प्रेमी रहेन।
>>npi<< Tom isn't from around here, is he?	टम यहाँ वरिपरिबाट होइन, हो?
>>npi<< Tom left the hospital immediately.	टमले तुरुन्तै अस्पताल छोड्यो।
>>npi<< Tom put something in Mary's drink.	टमले मेरीको पेय पदार्थमा केही राख्यो।
>>npi<< Tom said he had something for you.	टमले तिम्रो लागि केही छ भन्यो।
>>npi<< Tom said he would quit doing that.	टमले त्यसो गर्न छोड्ने बताए।
>>npi<< Tom said that Mary was very drunk.	टमले मेरी धेरै मातेको बताए।
>>npi<< Tom speaks French as well as Mary.	टम फ्रेन्च बोल्छन् र मेरी पनि।
>>npi<< Tom threw a chair across the room.	टमले कोठाभरि कुर्सी फ्याँक्यो।
>>npi<< Tom told Mary to try to keep calm.	टमले मेरीलाई शान्त रहन कोसिस गर्न भने।
>>npi<< Tom urged Mary to drive carefully.	टमले मेरीलाई सावधानीपूर्वक गाडी चलाउन आग्रह गरे।
>>npi<< Tom was dating Mary in those days.	टम ती दिनहरूमा मेरीलाई डेट गर्दै थिए।
>>npi<< Tom was dating Mary in those days.	टम त्यतिबेला मेरीसँग डेट गर्दै थिए।
>>npi<< Tom was sitting alone in his room.	टम आफ्नो कोठामा एक्लै बसिरहेको थियो।
>>npi<< Tom wasn't wearing a blue sweater.	टमले निलो स्वेटर लगाएको थिएन।
>>npi<< Tom works every day except Monday.	टम सोमबार बाहेक हरेक दिन काम गर्दछ।
>>npi<< Tom works every day except Monday.	टम सोमबार बाहेक हरेक दिन काम गर्छ।
>>npi<< We'll all be dead in thirty years.	तीस वर्षमा हामी सबै मर्नेछौं।
>>npi<< Where did you buy your motorcycle?	तपाईले आफ्नो मोटरसाइकल कहाँ किन्नुभयो?
>>npi<< Why don't you ask Tom to help you?	तपाईं किन टमलाई मद्दत गर्न आग्रह गर्नुहुन्न?
>>npi<< Why is it important to save money?	किन पैसा बचत गर्न महत्त्वपूर्ण छ?
>>npi<< You've always been a quiet person.	तपाईं सधैं शान्त व्यक्ति हुनुहुन्छ।
>>npi<< Bangkok is the capital of Thailand.	बैंकक थाइल्याण्डको राजधानी हो।
>>npi<< Being with you makes me feel happy.	तिम्रो साथमा हुँदा मलाई खुसी लाग्छ।
>>npi<< Bern is the capital of Switzerland.	बर्न स्विट्जरल्याण्ड को राजधानी हो।
>>npi<< Boston is a really beautiful place.	बोस्टन साँच्चै सुन्दर ठाउँ हो।
>>npi<< Boston is a really beautiful place.	बोस्टन एक साँच्चै सुन्दर स्थान हो।
>>npi<< Brussels is the capital of Belgium.	ब्रसेल्स बेल्जियम को राजधानी हो।
>>npi<< Did I tell you I got my own office?	के मैले तपाईलाई मेरो आफ्नै अफिस छ भनेको थिएँ?
>>npi<< Don't forget to take your medicine.	आफ्नो औषधि लिन नबिर्सनुहोस्।
>>npi<< Halloween is still three days away.	हलोविन आउन अझै तीन दिन बाँकी छ।
>>npi<< He has red spots all over his body.	मेरो जिउभरि रात दागहरू छन्।
>>npi<< He tends to ask a lot of questions.	उसको धेरै प्रश्न सोध्ने बानी छ।
>>npi<< Helsinki is the capital of Finland.	हेलसिंकी फिनल्याण्डको राजधानी हो।
>>npi<< How can I get to the train station?	स्टेशन सम्म कसरी पुग्न सकिन्छ?
>>npi<< How much does a liter of milk cost?	एक लिटर दूधको मूल्य कति पर्छ?
>>npi<< I can't buy such an expensive book.	म यति महँगो किताब किन्न सक्दिन।
