>>heb<< Go.	לך!
>>heb<< Let's go for a walk in the park.	בוא נצא לטיול בפרק.
>>heb<< Let's go out before it gets hot.	בואו נלך, לפני שיהיה חם.
>>heb<< Let's go out for dinner tonight.	בוא נצא לאכול הלילה.
>>heb<< Let's have a glass of champagne.	בואו נרים כוס שמפניה.
>>heb<< Let's hope we get there on time.	בוא נקווה שנגיע לשם בזמן.
>>heb<< Let's just start with the facts.	בוא פשוט נתחיל בעובדות.
>>heb<< Let's leave the decision to Tom.	הבה נשאיר לטום את ההחלטה.
>>heb<< Let's not forget why we're here.	בוא לא נשכח למה אנו פה.
>>heb<< Let's not get caught doing this.	בוא לא ניתן להם לתפוס אותנו כשאנחנו עושים את זה.
>>heb<< Let's not let this happen again.	בוא לא ניתן לזה לקרות שוב.
>>heb<< Let's not talk about it anymore.	בואו לא נדבר על כך יותר.
>>heb<< Let's not talk about that today.	בוא לא נדבר על כך היום.
>>heb<< Let's not talk about this today.	בוא לא נדבר על זה היום.
>>heb<< Let's see who can find it first.	בוא נראה מי יכול למצוא את זה קודם.
>>heb<< Let's sit here and wait for Tom.	בוא נשב פה ונחכה לתום.
>>heb<< Let's split up and look for Tom.	בואו נתפצל ונחפש את תום.
>>heb<< Let's throw all this stuff away.	בוא נזרוק את כל החומר הזה.
>>heb<< Let's wait for the rain to stop.	נחכה עד שהגשם ייפסק.
>>heb<< Life cannot exist without water.	אין חיים בלי מים.
>>heb<< Life is full of disappointments.	החיים מלאי אכזבות.
>>heb<< Life is getting hard these days.	החיים נעשים קשים בימינו.
>>heb<< Life is getting hard these days.	החיים הופכים קשים יותר ויותר בימינו אלה.
>>heb<< Life is getting hard these days.	החיים הופכים קשים יותר ויותר בימים אלה.
>>heb<< Life would be empty without Tom.	החיים יהיו חסרי משמעות בלי תום.
>>heb<< Listen to me very carefully Tom.	תקשיב לי רוב קשב, תום.
>>heb<< Listen to me very carefully, OK?	תקשיב לי טוב, טוב?
>>heb<< Look, there's a cat on the roof.	תביט, על הגג יש חתול.
>>heb<< Losses were heavy on both sides.	ההפסדים היו כבדים משני הצדדים.
>>heb<< Love is more precious than gold.	אהבה יקרת ערך יותר מזהב.
>>heb<< Many died of hunger and disease.	רבים נספו מרעב ומחלות.
>>heb<< Mary called her first child Tom.	מרי קראה לילדהּ הראשון טום.
>>heb<< Mary called her first child Tom.	מרי קראה לילד הראשון שלה טום.
>>heb<< Mary confessed to being a witch.	מרי התוודתה כי היא מכשפה.
>>heb<< Mary is breast-feeding her baby.	מרי מניקה את תינוקה.
>>heb<< Mary isn't like the other girls.	מרי אינה כבנות האחרות.
>>heb<< Mary was just defending herself.	מרי רק הגנה על עצמה.
>>heb<< Mary went to her spinning class.	מרי הלכה לשיעור הספינינג שלה.
>>heb<< Mary went to her spinning class.	מרי הלכה לשיעור הספינינג.
>>heb<< Mary works part-time as a nurse.	מרי עובדת כאחות במשרה חלקית.
>>heb<< Mary wrapped herself in a towel.	מרי עטפה את עצמה במגבת.
>>heb<< Mathematics is difficult for me.	מתמטיקה היא מקצוע קשה עבורי.
>>heb<< Mathematics is difficult for me.	קשה לי במתמטיקה.
>>heb<< Mathematics is his best subject.	מתמטיקה היא המקצוע הטוב ביותר שלו.
>>heb<< Matters are complicated already.	העניינים כבר מסובכים.
>>heb<< May I ask you what your name is?	מותר לי לשאול מה שמך?
>>heb<< May I disturb you just a moment?	מותר להפריע לך לרגע?
>>heb<< May I have a cup of tea, please?	אפשר לקבל כוס תה, בבקשה?
>>heb<< May I see your passport, please?	אפשר לראות את הדרכון בבקשה?
>>heb<< May I see your passport, please?	תוכל להראות לי את דרכונך, בבקשה?
>>heb<< May I see your passport, please?	תוכלי להראות לי את דרכונך, בבקשה?
>>heb<< May I see your passport, please?	דרכון, בבקשה.
>>heb<< May I share this table with you?	אפשר להצטרף אליך לשולחן?
>>heb<< May I trouble you for the sugar?	אפשר להטריד אותך בעניין הסוכר?
>>heb<< Maybe I accidentally damaged it.	אולי גרמתי לזה נזק בשוגג.
>>heb<< Maybe I'll even get to meet Tom.	אולי אפילו יצא לי לפגוש את תום.
>>heb<< Maybe Tom has already gone home.	אולי תום כבר הסתלק הביתה.
>>heb<< Maybe Tom has something to hide.	אולי לתום יש משהו להסתיר.
>>heb<< Maybe Tom just doesn't like you.	אולי טום פשוט לא אוהב אותך.
>>heb<< Maybe we need to get a watchdog.	אולי אני צריך להשיג כלב שמירה.
>>heb<< Maybe we should just ignore Tom.	אולי אנו צריכים פשוט להתעלם מתום.
>>heb<< Meanwhile, you can stay with us.	בינתיים תוכל להישאר אצלנו.
>>heb<< Modern art doesn't interest Tom.	אמנות מודרנית לא מעניינת את תום.
>>heb<< Most people are pretty friendly.	רוב האנשים די ידידותיים.
>>heb<< My attitude towards him changed.	היחס שלי כלפיו השתנה.
>>heb<< My boss is twice as old as I am.	הבוס שלי מבוגר ממני כפליים.
>>heb<< My children really like animals.	הילדים שלי באמת אוהבים בעלי חיים.
>>heb<< My dream is to be a firefighter.	אני חולמת להיות כבאית.
>>heb<< My father bought me this camera.	אבא קנה לי את המצלמה הזאת.
>>heb<< My father goes abroad sometimes.	אבא שלי נוסע לחו"ל לפעמים.
>>heb<< My father has made me what I am.	אבי עשה אותי למי שאני.
>>heb<< My father has made me what I am.	אבי עשה אותי מי שאני.
>>heb<< My father is very angry with me.	אבי כועס עליי מאוד.
>>heb<< My father is very angry with me.	אבא שלי כועס עליי מאוד.
>>heb<< My father left me some property.	אבא שלי הוריש לי קצת רכוש.
>>heb<< My father repaired my old watch.	אבי תיקן את השעון הישן שלי.
>>heb<< My father went to buy postcards.	אבא שלי הלך לקנות גלויות.
>>heb<< My father-in-law is an engineer.	חמי מהנדס.
>>heb<< My favorite flavor is chocolate.	טעם הגלידה האהוב עלי הוא שוקולד.
>>heb<< My friends tried to cheer me up.	חבריי ניסו לעודד אותי.
>>heb<< My grandmother lives by herself.	סבתי גרה לבדה.
>>heb<< My hands are numb from the cold.	הידיים שלי שותקו בגלל הקור.
>>heb<< My home is close to the station.	ביתי קרוב לתחנה.
>>heb<< My idea is different from yours.	יש לי דעה שונה משלך.
>>heb<< My initials are on my briefcase.	ראשי התיבות שלי על התיק שלי.
>>heb<< My last year in Boston was 2013.	שנתי האחרונה בבוסטון הייתה 2013.
>>heb<< My mother bought me a new dress.	אמי קנתה לי שמלה חדשה.
>>heb<< My mother died when I was a kid.	אמי נפטרה כשהייתי ילד.
>>heb<< My mother died when I was a kid.	אמי מתה כשהייתי ילד.
>>heb<< My mother hates writing letters.	אמי שונאת לכתוב מכתבים.
>>heb<< My mother is not always at home.	אמי לא תמיד נמצאת בבית.
>>heb<< My mother is not always at home.	אמי לא כל הזמן בבית.
>>heb<< My mother made a sweater for me.	אמא עשתה לי סוודר.
>>heb<< My mother told me not to go out.	אמא אמרה לי לא לצאת.
>>heb<< My parents call me up every day.	הוריי מתקשרים יום יום.
>>heb<< My parents want me to come home.	ההורים שלי רוצים שאבוא הביתה.
>>heb<< My secretary said it was urgent.	המזכירה שלי אמרה שזה דחוף.
>>heb<< My secretary told me you phoned.	המזכירה שלי אמרה לי שצלצלת.
>>heb<< My sister has a very good brain.	לאחותי יש מוח טוב מאד.
>>heb<< My sister plays piano every day.	אחותי מנגנת בפסנתר כל יום.
>>heb<< My sister plays piano every day.	אחותי מנגנת בפסנתר מדי יום.
>>heb<< My sister was a beautiful woman.	אחותי היתה אישה יפה.
>>heb<< My taxes pay your salary, right?	המסים שלי משלמים את המשכורת שלך, נכון?
>>heb<< My thoughts are with all of you.	המחשבות שלי אתכם.
>>heb<< My thoughts are with all of you.	מחשבותיי עם כולכם.
>>heb<< My wife wanted to adopt a child.	אישתי רצתה לאמץ ילד.
>>heb<< Neither decision was a surprise.	אף אחת מההחלטות לא הפתיעה.
>>heb<< New York is on the Hudson River.	ניו יורק שוכנת על גדות ההדסון.
>>heb<< No alcohol is allowed on campus.	אסור לצרוך אלכוהול בקמפוס.
>>heb<< No further action will be taken.	לא תנקט שום תגובה נוספת.
>>heb<< No one can answer this question.	איש אינו יכול להשיב לשאלה הזו.
>>heb<< No one can do anything about it.	איש לא יכול לעשות דבר בנוגע לזה.
>>heb<< No one cares about that anymore.	כבר לא אכפת לאיש מזה.
>>heb<< No one could tell where she was.	איש לא היה יכול לומר איפה היא.
>>heb<< No prior experience is required.	שום נסיון קודם אינו הכרחי.
>>heb<< Nobody can answer this question.	איש אינו יכול להשיב לשאלה הזו.
>>heb<< Nobody cares about my situation.	לאיש לא אכפת ממצבי.
>>heb<< Nobody cares about our problems.	איש לא דואג לבעיות שלנו.
>>heb<< Nobody else is going to want it.	אף אחד אחר לא ירצה את זה.
>>heb<< Nobody ever caught Tom stealing.	איש מעולם לא תפס את תום גונב.
>>heb<< Nobody is being refused service.	לא מסרבים לשרת איש.
>>heb<< Nobody was supposed to get hurt.	אף אחד לא היה אמור להיפגע.
>>heb<< Non-members pay 50 dollars more.	מי שאינם חברים משלמים 50 דולר יותר.
>>heb<< Non-members pay 50 dollars more.	לא-חברים משלמים 50 דולר יותר.
>>heb<< Not all of these eggs are fresh.	לא כל הביצים טריות.
>>heb<< Not all truths should be spoken.	לא כל אמת צריכה להיאמר.
>>heb<< Not being well, she stayed home.	היות שלא הרגישה טוב, היא נשארה בבית.
>>heb<< Not everyone was that impressed.	לא כולם התרשמו כל כך.
>>heb<< Not much has changed since then.	לא הרבה השתנה מאז.
>>heb<< Now it's time to say good night.	עכשיו הגיע הזמן להגיד לילה טוב.
>>heb<< Now it's time to say good night.	עכשיו הגיע הזמן לומר לילה טוב.
>>heb<< Now, I'll take your temperature.	עכשיו אמדוד לך חום.
>>heb<< Numbers speak louder than words.	מספרים מדברים חזק יותר ממילים.
>>heb<< Of course she can speak English.	בודאי שהיא יכולה לדבר אנגלית.
>>heb<< Of course she can speak English.	כמובן שהיא יכולה לדבר אנגלית.
>>heb<< Oh my God, I can't believe this.	אלוהים אדירים, אני לא מאמין!
>>heb<< Oh my God, I can't believe this.	בחיי, אני לא מאמין!
>>heb<< On Mondays, he's always at home.	בימי שני הוא תמיד בבית.
>>heb<< On Mondays, he's always at home.	הוא תמיד בבית בימי שני.
>>heb<< One ought to be true to oneself.	אדם צריך להיות נאמן לעצמו.
>>heb<< One should take care of oneself.	אדם צריך לדאוג לעצמו.
>>heb<< One suspect has been identified.	חשוד אחד זוהה.
>>heb<< Operations are already underway.	המבצעים כבר בתהליכים.
>>heb<< Opportunity seldom knocks twice.	נדיר שההזדמנות נופלת לה פעמים.
>>heb<< Oranges are sweeter than lemons.	תפוזים מתוקים יותר מלימונים.
>>heb<< Our class has increased in size.	כיתתנו גדלה.
>>heb<< Our dinner should be ready soon.	ארוחת הערב שלנו תהיה מוכנה עוד מעט.
>>heb<< Our dog was run over by a truck.	הכלב שלנו נדרס על ידי משאית.
>>heb<< Our native language is Japanese.	שפת האם שלנו היא יפנית.
>>heb<< Our pricing is very competitive.	המחירים שלנו תחרותיים מאד.
>>heb<< Our school is now coeducational.	בית הספר שלנו מיועד עכשיו לבנים ובנות.
>>heb<< Our school was reduced to ashes.	בית הספר שלנו הפך לאפר.
>>heb<< Our school was reduced to ashes.	בית הספר שלנו נשרף כליל.
>>heb<< Our school was reduced to ashes.	בית ספרנו נשרף כליל.
>>heb<< Our sister will be with us soon.	האחות שלנו תצטרף אלינו בקרוב.
>>heb<< Our supply of sugar has run out.	מלאי הסוכר שלנו אזל.
>>heb<< Pardon me, but that's my racket.	סליחה, אבל זה המחבט שלי.
>>heb<< People are very hospitable here.	אנשים כאן מאירי פנים מאד.
>>heb<< People respond to encouragement.	אנשים מגיבים לעידוד.
>>heb<< Please be careful and stay safe.	תשמור על עצמך בבקשה.
>>heb<< Please be careful in Boston, OK?	תזהר בבוסטון בבקשה, בסדר?
>>heb<< Please be careful with that one.	בבקשה תזהר עם זה.
>>heb<< Please correct my pronunciation.	אנא תקן את ההגייה שלי.
>>heb<< Please correct my pronunciation.	בבקשה תקני לי את ההגייה .
>>heb<< Please correct my pronunciation.	אנא תקנו את ההגייה שלי.
>>heb<< Please don't forget the receipt.	אל תשכח את הקבלה בבקשה.
>>heb<< Please drop in on your way home.	אנא, סור אלינו בדרכך הביתה.
>>heb<< Please give me a glass of water.	תן לי בבקשה כוס מים.
>>heb<< Please give me a piece of bread.	תן לי בבקשה פרוסת לחם.
>>heb<< Please give me a piece of bread.	תני לי בבקשה חתיכת לחם.
>>heb<< Please give me a sheet of paper.	תן לי בבקשה דף נייר.
>>heb<< Please give me a sheet of paper.	תן לי גליון נייר בבקשה.
>>heb<< Please give me some more coffee.	עוד קפה, בבקשה.
>>heb<< Please have a look at this book.	אנא, העף בספר הזה מבט.
>>heb<< Please help me with my homework.	בבקשה תעזרי לי להכין את שיעורי הבית.
>>heb<< Please remember what I tell you.	זכרו בבקשה מה אני אומר לכם.
>>heb<< Please show me your stamp album.	תראה לי בבקשה את אלבום הבולים שלך.
>>heb<< Please show me your stamp album.	תראי לי בבקשה את אלבום הבולים שלך.
>>heb<< Please sit between Tom and Mary.	שב בבקשה בין תום לבין מרי.
>>heb<< Please sit between Tom and Mary.	נא לשבת בין תום למרי.
>>heb<< Please take me across the river.	אנא, קח אותי אל הגדה הנגדית של הנהר.
>>heb<< Please tell me what I should do.	נא לומר לי מה עלי לעשות.
>>heb<< Politicians really love to talk.	פוליטיקאים אוהבים מאוד לדבר.
>>heb<< Poverty is the root of all evil.	עוני הוא שורש כל רע.
>>heb<< Power and money are inseparable.	אי אפשר להפריד כוח מממון.
>>heb<< Put the coffee cups in the sink.	שים את ספלי הקפה בכיור.
>>heb<< Rainforests should be preserved.	יש לשמר את יערות העד.
>>heb<< Read the instructions carefully.	קרא את ההוראות בקפידה.
>>heb<< Say your prayers before you eat.	תתפלל לפני האכילה.
>>heb<< See that the knife doesn't slip.	דאג לכך שהסכין לא תחליק.
>>heb<< See you tomorrow at the library.	אפגוש אותך מחר בספרייה.
>>heb<< See you tomorrow at the library.	ניפגש מחר בספרייה.
>>heb<< See you tomorrow at the library.	להתראות מחר בספרייה.
>>heb<< Self-diagnosis can be dangerous.	אבחון עצמי עלול להיות מסוכן.
>>heb<< Sharing a bathroom's not so bad.	לשתף בית שימוש זה לא נורא.
>>heb<< She achieved remarkable results.	היא השיגה השגים יוצאים מן הכלל.
>>heb<< She asked us to leave her alone.	היא ביקשה מאיתנו שנשאיר אותה לבד.
>>heb<< She asked us to leave her alone.	היא ביקשה שנשאיר אותה לבד.
>>heb<< She attacked him with her fists.	היא התנפלה עליו באגרופים.
>>heb<< She bought two pounds of butter.	היא קנתה שני פאונד חמאה.
>>heb<< She bought two pounds of butter.	היא קנתה קילו חמאה.
>>heb<< She bought two pounds of butter.	היא קנתה 900 גרם חמאה.
>>heb<< She bought vegetables yesterday.	היא קנתה אתמול ירקות.
>>heb<< She came home three hours later.	היא באה הביתה כעבור שלוש שעות.
>>heb<< She cannot control her children.	היא לא משתלטת על הילדים.
>>heb<< She could not cope with anxiety.	היא לא יכלה להתמודד עם החרדה.
>>heb<< She did nothing but look around.	היא לא עשתה דבר חוץ מלהביט מסביב.
>>heb<< She eats nothing but vegetables.	היא לא אוכלת דבר מלבד ירקות.
>>heb<< She explained her reasons to us.	היא הסבירה לנו את הסיבות שלה.
>>heb<< She finished reading the letter.	היא סיימה לקרוא את האיגרת.
>>heb<< She gave him a slap in the face.	היא סטרה לו על פניו.
>>heb<< She gave me a fake phone number.	היא מסרה לי מספר טלפון מפוברק.
>>heb<< She gave me a wonderful present.	היא נתנה לי מתנה נהדרת.
>>heb<< She gazed at me for a long time.	היא בהתה בי זמן ממושך.
>>heb<< She gets up early every morning.	היא קמה מוקדם כל בוקר.
>>heb<< She greeted me with a big smile.	היא קבלה את פני עם חיוך גדול.
>>heb<< She greeted me with a big smile.	היא באה לקראתי עם חיוך רחב.
>>heb<< She had suffered a heart attack.	היא קיבלה התקף לב.
>>heb<< She had suffered a heart attack.	היה לה התקף לב.
>>heb<< She has a very open personality.	יש לה אישיות פתוחה מאד.
>>heb<< She has been dead for ten years.	היא מתה לפני עשר שנים.
>>heb<< She informed me of her decision.	היא דיווחה לי על החלטתה.
>>heb<< She is afraid of her own shadow.	היא פוחדת מהצל של עצמה.
>>heb<< She is an expert in mathematics.	היא מומחית במתמטיקה.
>>heb<< She is expecting a baby in June.	היא ממתינה לתינוק ביוני.
>>heb<< She is good at speaking English.	היא מדברת אנגלית היטב.
>>heb<< She is good at speaking English.	היא מיטיבה לדבר אנגלית.
>>heb<< She is popular with other girls.	היא פופולרית בקרב הנערות.
>>heb<< She is two years older than you.	היא גדולה ממך בשתי שנים.
>>heb<< She is two years older than you.	היא גדולה ממך בשנתיים.
>>heb<< She liked talking about herself.	היא אהבה לדבר על עצמה.
>>heb<< She looks a lot like her mother.	היא דומה מאוד לאמה.
>>heb<< She loves to wear tight clothes.	היא אוהבת ללבוש בגדים הדוקים.
>>heb<< She loves to wear tight clothes.	היא אוהבת ללבוש בגדים צמודים.
>>heb<< She made the same mistake again.	היא עשתה שוב את אותה השגיאה.
>>heb<< She poured the milk into a bowl.	היא מזגה את החלב לקערה.
>>heb<< She rarely stays home on Sunday.	בימי ראשון לעתים רחוקות היא נשארת בבית.
>>heb<< She reached out to take his hat.	היא הושיטה את ידה לקחת את הכובע שלו.
>>heb<< She really wants to lose weight.	היא באמת רוצה לרדת במשקל.
>>heb<< She reluctantly went by herself.	היא הלכה לבדה בחוסר רצון.
>>heb<< She saved money for a rainy day.	היא חסכה כסף ליום סגריר.
>>heb<< She seated herself on the bench.	היא התיישבה על הספסל.
>>heb<< She shut herself up in her room.	היא נעלה את עצמה בחדרה.
>>heb<< She spent all afternoon cooking.	היא בילתה את כל אחר הצהריים בבישול.
>>heb<< She spent more money than usual.	היא הוציאה כסף יותר מהרגיל.
>>heb<< She spent more money than usual.	היא הוציאה כסף יותר מאשר בדרך כלל.
>>heb<< She suddenly lost consciousness.	היא איבדה לפתע את הכרתה.
>>heb<< She takes private piano lessons.	היא לוקחת שיעורים פרטיים בפסנתר.
>>heb<< She teaches reading and writing.	היא מלמדת קריאה וכתיבה.
>>heb<< She teaches reading and writing.	היא מלמדת לקרוא ולכתוב.
>>heb<< She thought that I was a doctor.	היא חשבה שאני רופא.
>>heb<< She told me she knew my brother.	היא אמרה לי שהיא הכירה את אחי.
>>heb<< She took a taxi to the hospital.	היא לקחה מונית לבית החולים.
>>heb<< She took a taxi to the hospital.	היא נסעה במונית לבית החולים.
>>heb<< She tore the letter into pieces.	הוא קרע את המכתב לגזרים.
>>heb<< She translated it word for word.	היא תרגמה זאת מילה במילה.
>>heb<< She translated it word for word.	היא תרגמה את זה מילולית.
>>heb<< She translated it word for word.	היא תרגמה את זה באופן מילולי.
>>heb<< She traveled all over the world.	היא טיילה בכל רחבי העולם.
>>heb<< She tried to keep away from him.	היא ניסתה לשמור מרחק ממנו.
>>heb<< She was a genius in mathematics.	היא גאונה במתמטיקה.
>>heb<< She was a pioneer in this field.	היא הייתה חלוצה בתחום הזה.
>>heb<< She was astonishingly beautiful.	היא הייתה יפה באופן מדהים.
>>heb<< She was born in a small village.	היא נולדה בכפר קטן.
>>heb<< She was busy doing her homework.	היא הייתה עסוקה בהכנת שיעורי הבית שלה.
>>heb<< She was busy doing her homework.	היא עסקה בהכנת שיעורי הבית.
>>heb<< She was busy with the housework.	היא הייתה עסוקה בעבודות הבית.
>>heb<< She was eager to feed the birds.	היא הייתה להוטה להאכיל את העופות.
>>heb<< She was sticking her tongue out.	היא הוציאה את השלון.
>>heb<< She was very happy with my gift.	היא שמחה מאד למתנה שלי.
>>heb<< She was washing the dishes then.	אז היא שטפה את הכלים.
>>heb<< She was wearing a white T-shirt.	היא לבשה חולצת טי לבנה.
>>heb<< She was wearing a white T-shirt.	היא לבשה טי-שרט לבנה.
>>heb<< She was wearing a white T-shirt.	היא לבשה טישרט בצבע לבן.
>>heb<< She weighs fifty-five kilograms.	היא שוקלת חמישים וחמישה קילוגרם.
>>heb<< She wondered which door to open.	היא התלבטה איזו דלת לפתוח.
>>heb<< She wrapped some gifts in paper.	היא עטפה כמה מתנות בנייר.
>>heb<< She wrote a book about the bird.	היא כתבה ספר על הציפור.
>>heb<< She'll love her husband forever.	היא תאהב את בעלה לנצח.
>>heb<< She'll love her husband forever.	היא תאהב את אישהּ לנצח.
>>heb<< She'll love her husband forever.	היא תמיד תאהב את בעלה.
>>heb<< She's absent because she's sick.	היא נעדרת מפאת מחלה.
>>heb<< She's found herself a boyfriend.	היא מצאה לעצמה חבר.
>>heb<< She's frightened by loud noises.	היא נבהלה מהקולות החזקים.
>>heb<< She's materialistic and shallow.	היא חומרנית ושטחית.
>>heb<< Should Tom really be doing that?	תום באמת אמור לעשות את זה?
>>heb<< Show me the way to the bus stop.	הראה לי את הדרך לתחנת האוטובוס.
>>heb<< Show me the way to the bus stop.	תראה לי את הדרך לתחנת האוטובוס.
>>heb<< Show me the way to the bus stop.	תראה לי איך להגיע לתחנת האוטובוס.
>>heb<< Skydiving is not my idea of fun.	צניחה חופשית זה לא ההעדפה שלי לשעשוע.
>>heb<< Smell is one of the five senses.	חוש הריח הוא אחד מחמשת החושים.
>>heb<< Snow reflects ultraviolet light.	השלג משקף את האור העל-סגולי.
>>heb<< So what I told you still stands.	אז מה שאמרתי לך תקף עדיין.
>>heb<< So what if that's what happened?	ובכן אז מה אם זה מה שקרה.
>>heb<< Soccer is very popular in Spain.	כדורגל פופולרי מאד בספרד.
>>heb<< Some things are better not said.	יש דברים שמוטב שלא ייאמרו.
>>heb<< Someday my dream will come true.	ביום מן הימים החלום שלי יתגשם.
>>heb<< Someone called on her yesterday.	מישהו ביקר אותה אתמול.
>>heb<< Someone has to take care of Tom.	מישהו צריך לטפל בתום.
>>heb<< Someone is hiding in the corner.	מישהו מתחבא בפינה.
>>heb<< Someone is knocking at the door.	דופקים בדלת.
>>heb<< Something else has just come up.	משהו אחר בדיוק צץ ועלה.
>>heb<< Something has changed this time.	משהו השתנה הפעם.
>>heb<< Something is definitely missing.	משהו בכל אופן חסר.
>>heb<< Something tells me Tom is right.	יש לי תחושה שטום צודק.
>>heb<< Something's happened, hasn't it?	משהו קרה, לא?
>>heb<< Sometimes everything goes wrong.	לעתים כל דבר משתבש.
>>heb<< Stop feeling sorry for yourself.	תפסיק לרחם על עצמך.
>>heb<< Stop pulling your sister's hair.	הפסיקי למשוך בשיער אחותך.
>>heb<< Stop repeating everything I say.	תפסיק לחזור על כל מה שאני אומר.
>>heb<< Such things happen all the time.	דברים כאלה קורים כל הזמן.
>>heb<< Suddenly Tom's attitude changed.	לפתע תום שינה את הגישה שלו.
>>heb<< Suddenly there was a rifle shot.	לפתע נשמעה יריית רובה.
>>heb<< Suddenly, Tom cried out in pain.	לפתע תום זעק בכאב.
>>heb<< Suddenly, everything went black.	לפתע החשיך הכל.
>>heb<< Suddenly, there was a commotion.	לפתע היתה המולה.
>>heb<< Swimming here is very dangerous.	השחיה פה מסוכנת מאד.
>>heb<< Take care not to break the eggs.	הזהר פן תשבור את הביצים.
>>heb<< Take your time. There's no rush.	תפעל בנחת. אין מה למהר.
>>heb<< Teachers' salaries are very low.	משכורות המורים נמוכות מאד.
>>heb<< Tell me the object of your plan.	תאר לי את מטרת התכנית שלך.
>>heb<< Tell me what you're going to do.	תספר לי מה אתה מתעתד לעשות.
>>heb<< Tell me when I can open my eyes.	תגיד לי מתי אני יכול לפקוח את עיניי.
>>heb<< Tell the jury what you saw next.	תגיד לחבר המושבעים מה ראית לאחר מכן.
>>heb<< Tell them we're looking into it.	תגיד להם שאנו חוקרים את זה.
>>heb<< Tell whoever comes that I'm out.	תגיד לכל מי שבא שאני פרשתי.
>>heb<< Ten percent is more than enough.	עשרה אחוזים זה יותר ממספיק.
>>heb<< Thank you for your prompt reply.	תודה לך על התשובה המהירה.
>>heb<< Thanks for telling me the truth.	תודה על שאמרת לי את האמת!
>>heb<< That boy watches over the sheep.	הנער הזה שומר על הצאן.
>>heb<< That bucket leaks. Use this one.	הדלי הזה דולף. תשתמש בזה.
>>heb<< That child has no fear of water.	הילד לא מפחד ממים.
>>heb<< That child resembles his father.	הילד הזה דומה לאביו.
>>heb<< That doesn't make it any easier.	זה לא עושה את זה קל יותר.
>>heb<< That dress matches her red hair.	השמלה הזאת מתאימה לשערה האדום.
>>heb<< That girl is far from being shy.	הנערה רחוקה מלהיות ביישנית.
>>heb<< That has nothing to do with you.	זה לא מתייחס אליך.
>>heb<< That has nothing to do with you.	זה לא מתייחס אליכם.
>>heb<< That is why I am angry with him.	בגלל זה אני כועס עליו.
>>heb<< That isn't good for your health.	זה לא טוב לבריאות שלך.
>>heb<< That makes me feel a bit better.	זה עוזר לי להרגיש קצת יותר טוב.
>>heb<< That man looks vaguely familiar.	האיש הזה נראה מוכר באופן מעורפל.
>>heb<< That never even crossed my mind.	זה אפילו לא עלה על דעתי.
>>heb<< That old woman lives by herself.	הזקנה חיה לבדה.
>>heb<< That photo came with the wallet.	התצלום הזה בא עם הארנק.
>>heb<< That place is open to everybody.	המקום פתוח לכולם.
>>heb<< That question is easy to answer.	קל לענות על השאלה הזאת.
>>heb<< That runs against my principles.	זה בניגוד לעקרונות שלי.
>>heb<< That seemed a little ridiculous.	זה נראה די מגוחך.
>>heb<< That should get Tom's attention.	זה צריך למשוך את תשומת ליבו של תום.
>>heb<< That should never have happened.	זה לא היה צריך מעולם לקרות.
>>heb<< That shouldn't be too difficult.	זה לא צריך להיות יותר מדי קשה.
>>heb<< That sounds terribly farfetched.	זה נשמע נורא מופרך.
>>heb<< That sounds too good to be true.	זה נשמע יותר מדי טוב.
>>heb<< That store employs eight clerks.	החנות ההיא מעסיקה שמונה זבנים.
>>heb<< That was one of my better ideas.	זה היה אחד מרעיונותי הטובים יותר.
>>heb<< That was the disappointing part.	זה היה החלק המאכזב.
>>heb<< That wasn't what I wanted to do.	זה לא מה שרציתי לעשות.
>>heb<< That will benefit the community.	זה לתועלת הציבור.
>>heb<< That will benefit the community.	זה לטובת הקהילה.
>>heb<< That would appear to be correct.	זה נראה בסדר.
>>heb<< That would appear to be correct.	זה נחזה להיות תקין.
>>heb<< That would've been a good start.	זאת הייתה יכולה להיות התחלה טובה.
>>heb<< That'll complicate matters more.	זה יסבך את הפרשה עוד יותר.
>>heb<< That's a convincing explanation.	זה הסבר משכנע.
>>heb<< That's a dangerous line of work.	זה סוג תעסוקה מסוכן.
>>heb<< That's a pretty impressive list.	זאת רשימה די מרשימה.
>>heb<< That's a very interesting topic.	זה נושא מעניין מאד.
>>heb<< That's a very unfair assessment.	זאת הערכה מאד לא הוגנת.
>>heb<< That's all I can get out of Tom.	זה כל מה שאני יכולה להוציא מתום.
>>heb<< That's definitely a possibility.	זאת בהחלט אפשרות.
>>heb<< That's not entirely Tom's fault.	זאת לא לגמרי אשמתו של תום.
>>heb<< That's not entirely true, is it?	זה לא לגמרי נכון, אכן?
>>heb<< That's not good for your health.	זה לא טוב לבריאות שלך.
>>heb<< That's only my personal opinion.	זוהי רק דעתי האישית.
>>heb<< That's quite an impressive list.	זאת רשימה מרשימה למדי.
>>heb<< That's the car I told you about.	זאת המכונית שסיפרתי לך עליה.
>>heb<< That's what I'm here to ask you.	בשביל זה אני פה לשאול אותך.
>>heb<< That's what really impressed me.	זה מה שכל כך הרשים אותי.
>>heb<< That's what we hope will happen.	זה מה שאנו מקווים שיקרה.
>>heb<< That's what you're trying to do.	זה מה שאתה מנסה לעשות.
>>heb<< That's where your mom and I met.	שם בדיוק פגשתי את אמא שלך.
>>heb<< That's why I'm not disappointed.	לכן אני לא מאוכזבת.
>>heb<< That's why I'm not disappointed.	לכן אני לא מאוכזב.
