>>pam<< Help!	Sakóru!
>>pam<< She goes to the movies once a week.	Misán ya parúminggúng mánalbeng síne.
>>pam<< Some kinds of food make us thirsty.	Mákakáwa lang dánum deng áliwáng klásing pámangán.
>>pam<< Termites are destroying the houses.	Sisirán dong áne deng balé.
>>pam<< They want to know what's happening.	Burí rang ábálû nung nánung malilyári.
>>pam<< Tom didn't want to live any longer.	Éne bísang kumabyé i Tom.
>>pam<< Tom got some money from his father.	Kínangwa yang kwálta kang táta na i Tom.
>>pam<< Tom helped Mary escape from prison.	Sinópan neng Tom tumákas king sukúlan i Mary.
>>pam<< Tom is getting ready to go to work.	Mágsadyá yang magóbra i Tom.
>>pam<< Tom never goes to places like that.	E bitasáng púnta karéng lugál a antí kaníta i Tom.
>>pam<< Tom went to Boston three years ago.	Mintá ya king Boston i TOm atlú nang banwá ing mílábas.
>>pam<< Tom won't be that easy to convince.	E makanyán kalagwáng kumbinsyán i Tom
>>pam<< We can't pretend it never happened.	Éta malyáring magkanwaríng e milyári itá.
>>pam<< We'll have a French test on Monday.	Miká pámagsúlit támu king Pransés keng Lúnis.
>>pam<< We're concerned about Tom's future.	Makí masabál kamí king payntungúlan nang Tom.
>>pam<< We're concerned about Tom's future.	Migáganaká kamí king payntungúlan nang Tom.
>>pam<< What are you shaking your head for?	Ot pípilíng ka?
>>pam<< Why don't you want to come with us?	Ot éka bísang túki kékami?
>>pam<< You're going to tell us everything.	Sabián mu kékamí ing éganáganá.
>>pam<< You're the one who brought me here.	Íka ing migdalá káku kéni.
>>pam<< Could you find a room for my sister?	Ápanintún meng kwártu ing kapatád kung babái?
>>pam<< Have you ever had your fortune told?	Pépaulá naká?
>>pam<< He showed me how to use this camera.	Pépákit na káku nung makanánu yang gamítan iníng kámera.
>>pam<< He's not the same man he used to be.	Aliwa neng tau ketang kakilala ku.
>>pam<< His wife was killed in the accident.	Méte ya ing asáwa na king aksidénti.
>>pam<< I think you know what we have to do.	King palagé ku bálu mu ing kaylángan tang gáwan.
>>pam<< I was in bed all day long yesterday.	Patingápun kung atyú king pagkéran nápun.
>>pam<< If Tom is really alive, where is he?	Nung taganáng mabyé ya i Tom, núkarín ya?
>>pam<< Is that all you're going to tell me?	Yan mu ing sabián mu kakó?
>>pam<< Let's discuss that problem tomorrow.	Búkas táya pisabyán ing prublémang itá.
>>pam<< She was educated by her grandfather.	Pépagáral ne ning ingkúng na.
>>pam<< Take things a little more seriously.	Siryósuan mong bagyá deng báge.
>>pam<< The answer was right in front of me.	Atyú mû king aráp ku ing pakíbat.
>>pam<< The jets took off one after another.	Tukí-tukí lang sínulagpó deng jet.
>>pam<< We looked down at the beautiful sea.	Lináwe miyá ing masantíng a dáyatmálat.
>>pam<< An old woman limped along the street.	Tínikúl ya king dálan ing métung a matwáng babái.
>>pam<< Don't worry. It won't take very long.	Éka migáganakâ. E lumbát iní.
>>pam<< Don't worry. This won't happen again.	Éka migáganakâ.Éna marapát pasíbáyu iní.
>>pam<< He earns three times as much as I do.	Makatatlú karakál ing pánakitá'na késa káku.
>>pam<< I couldn't do this without your help.	Éku ágawâ iní nuné king sáup mu.
>>pam<< I didn't want to appear hypocritical.	Éku bísang luntóng ipókritu.
>>pam<< I want you to get started right away.	Burí ku tambíng kang magúmpisá.
>>pam<< If you're looking for a job, call me.	Nung mánintún kang óbra, awsán mukú.
>>pam<< Necessity is the mother of invention.	Ing pámangaylángan ing indú pámaglaláng.
>>pam<< Should I tell Tom you're unavailable?	Sabyán ku kang Tom a éka malyáre?
>>pam<< Tell me again who will be helping us.	Sabián mung pasibáyu káku nung nínung sumáup kékatámu.
>>pam<< There are no flowers growing on Mars.	Aláng sampágang tútúbu king Mars.
>>pam<< Tom came over to my house last night.	Mintá ya king balé ku i Tom nabéngi.
>>pam<< Tom doesn't know why Mary isn't here.	Éna bálung Tom ot alá yu kéni i Mary.
>>pam<< Tom's dirty clothes are on the floor.	Atyú la king landé deng marinát nang imálang Tom.
>>pam<< We're leaving the day after tomorrow.	Keng makadwá kamí makó.
>>pam<< We're leaving the day after tomorrow.	Keng makadwá támu makó.
>>pam<< What did Tom say about what happened?	Nánung sinábi nang Tom kétang milyári?
>>pam<< You should report this to the police.	Kaylángan isumbúng mu iní king pulís.
>>pam<< Your watch seems to be very valuable.	Lúpa yang taganáng maulagá ing riló mu.
>>pam<< Your watch seems to be very valuable.	Lúpa yang asnáng kamál ing riló mu.
>>pam<< Can you think of anyone more suitable?	Atín kang áisip a táung mas báge?
>>pam<< Do you have a crowbar in your toolbox?	Atín kang balwát king kékang kahún kasangkápan?
>>pam<< Does anybody have a problem with this?	Atíng makí prubléma kanité?
>>pam<< Few people seem to have read the book.	Balámu dítak la pámung táu deng mékapamása na king librú.
>>pam<< How many people are on board the ship?	Pilán lang táu deng makásaké king bapór?
>>pam<< I'm tired of living this kind of life.	Mapagál nákung mabibyéng antí kaníni.
>>pam<< The children ran toward the classroom.	Memulayi la reng ának papunta king clasi.
>>pam<< The children ran toward the classroom.	Memulayi la reng ának papunta king classroom.
>>pam<< Tom doesn't really mean that, does he?	Éna taganáng sasaryán Tom itá, alé?
>>pam<< Tom may have been there. I don't know.	Malyáring atyú karín i Tom. Éku bálû.
>>pam<< Tom took some money out of the drawer.	Miglwál yang péra i Tom king kahún lamésa.
>>pam<< Where do you think all the money goes?	King palagé mu, nukarín ngan mirarás ing péra?
>>pam<< Where do you think all the money goes?	King palagé mu, nukarín ngan mirarás ing cuálta?
>>pam<< Which would you prefer, coffee or tea?	Sánung burí mu, kapé o tsa?
>>pam<< As far as I know, Tom is still married.	Ing bálu ku, talásáwa ya pa i Tom.
>>pam<< Have you ever seen one of these before?	Atín nakáng ikít métung man karéne?
>>pam<< I have no idea where Tom hid the money.	Alá kung kabalú-bálâ nung nung núkarín na sélikút Tom ing péra.
>>pam<< I have to get home before it gets dark.	Kaylángan kung múlî báyu dálumdúm.
>>pam<< I told Tom everything I could think of.	Sinábi ku ngan kang Tom ing áisip ku.
>>pam<< It is very important to keep your word.	Maúlagáng tuparán mu ing kékang sinábi.
>>pam<< Maybe it's a good thing Tom isn't here.	Sigúru masantíng a alá yu kéni i Tom.
>>pam<< Thank you for inviting me to the party.	Salamat king pamanagkat kaku king party.
>>pam<< The boy was accompanied by his parents.	Inabáyan de reng péngari na ing anák a laláki.
>>pam<< The entire nation was glad at the news.	Masayá ya ing mabílug a bangsâ king balítâ.
>>pam<< These are my shoes and those are yours.	Déni deng sapátus ku at déta deng kéka.
>>pam<< Tom and I are the only ones still here.	I Tom námu ampó yáku ing atyú pa kéni.
>>pam<< Tom and I used to play tennis together.	Mipág-tennis keng Tom kaníta.
>>pam<< Tom used to go fishing with his father.	Tútukí yang mámadwás i Tom kang táta na kaníta.
>>pam<< Tom wouldn't do what I asked him to do.	Éna gáwang Tom ing pépagawá ku kayá.
>>pam<< We've been wondering where you've been.	Mágtaká kamí nung núkarín ka ibát.
>>pam<< Come here. I want to show you something.	Mékéni. Atín kung buríng pákit kéka.
>>pam<< Do you think Tom knows how to get there?	King palagé mu byása yang muntá karín i Tom?
>>pam<< I bought this book in Boston last month.	Séli ke iníng librú king Boston anyáng mílabásan a búlan.
>>pam<< I didn't know you were from Boston, too.	Éku bálung ibát ka namán Boston.
>>pam<< I lived in Boston for about three years.	Atlú kung banwáng ménuknángan king Boston.
>>pam<< Tom came in and handed Mary an envelope.	Dínatáng ya i Tom at dinínan neng sóbri i Mary.
>>pam<< Tom hasn't written to me in a long time.	Malambát neng e súsúlat káku i Tom.
>>pam<< Tom translated the contract into French.	Liníkas neng Tom king Pransés ing kontráta.
>>pam<< Cats have the ability to see in the dark.	Mánákit la king madalumdúm deng púsâ.
>>pam<< Did you know Tom was seeing someone else?	Bálu mung atín yang aliwáng pákikitán i Tom?
>>pam<< He proposed that we should start at once.	Pépamunikála nang magumpisá keng tambíng.
>>pam<< He proposed that we should start at once.	Pépamunikála nang magumpisá támung tambíng.
>>pam<< He proposed that we should start at once.	Pépawagá nang magumpisá keng tambíng.
>>pam<< He proposed that we should start at once.	Pépawagá nang magumpisá támung tambíng.
>>pam<< I don't remember where I put my car keys.	Éku átatandánan nung nu ko biníli deng súsi ning kótsi ku.
>>pam<< I just want you to know that Tom is safe.	Burí kū mung ábálu mung ligtás ya i Tom.
>>pam<< I will tell it to him at the proper time.	Sabián ku kayá king ustúng panaún.
>>pam<< It was Tom who told me what had happened.	I Tom ing sínabi káku king milyári.
>>pam<< Please explain the rules of soccer to me.	Pakí-ispliká mo káku deng pátakarán ning soccer.
>>pam<< The time bomb exploded with a loud noise.	Masikan yang memakbung ing "time bomb".
>>pam<< There were few children in the classroom.	Dítak la reng ának king kwártu.
>>pam<< You can mix different foods in a blender.	Ápisamút-sámut mo reng miyáyaliwáng pámangán king blender.
>>pam<< You have told Tom the truth, haven't you?	Sinábi mu na kang Tom ing tutú, e warí?
>>pam<< He does nothing but watch TV all day long.	Alá yang gagáwan nuné manalbéng TV patingápun.
>>pam<< He graduated from high school this spring.	Méyári ya king mátas a pipágarálan ngéning kasíbul.
>>pam<< I don't even know what Tom's last name is.	Éke man bálu ing pilídu nang Tom.
>>pam<< I don't want them to take advantage of me.	Éku burí ing samántalánan dáku.
>>pam<< I don't want them to take advantage of me.	Éku bísang pasámantalá karéla.
>>pam<< I exercise because I want to stay healthy.	Mág-exercise ku úling bísa kung manátíling masánting katáwan.
>>pam<< I exercise because I want to stay healthy.	Mág-exercise ku úling bísa kung manátíling masánting mabúlas.
>>pam<< I will lend you as much money as you want.	Páramán daká nung makanánu karakál a péra ing burí mu.
>>pam<< Tom doesn't have to be at today's meeting.	E kaylángang tumágun king púlung ngéni i Tom.
>>pam<< Tom finished his coffee and left for work.	Gísan neng Tom ing kapé na at méko ya bang magóbra.
>>pam<< Tom thinks that I was in Boston last week.	Balá nang Tom atyú ku Boston anyáng mílabásan a Dumínggu.
>>pam<< We always play tennis on Saturday morning.	Pané keng mámyálung tennis neng Sábadung ábak.
>>pam<< We disputed for hours about what to write.	Pilán kamíng óras mipámakíbat tungkúl king isúlat.
>>pam<< We've been married more than thirty years.	Maygít nakéng atlúng púlung banwáng miyásáwa.
>>pam<< What's going to happen that's so terrible?	Nánung malyáring misnáng kagrábi?
>>pam<< You won't find a dog bigger than this one.	Éka manákit ásung mas maragúl késa kaníti.
>>pam<< Do you think I'd look good with a mustache?	King palagé mu báge káku ing atíng bigóte?
>>pam<< He was arrested because he stole the money.	Mérakap ya ulíng pénako na ing péra.
>>pam<< He will arrive on the afternoon of the 5th.	Dátang ya keng gatpanápun ning a-singkú.
>>pam<< I didn't know Tom didn't understand French.	Éku bálung e mákáintindíng Pransés i Tom.
>>pam<< I have to find out when Tom plans to leave.	Kaylángan kung ábálû nung kapilán ya mágbálak makó i Tom.
>>pam<< It looks like Tom isn't interested in that.	Balámu e interesádu kanyán i Tom.
>>pam<< My parents still haven't met my girlfriend.	E re pa ikít deng péngári ku ing táu ku.
>>pam<< Tom and Mary split up after their son died.	Míkawáni ya i Tom ampó i Mary kaybát nang méte ning anák dang laláki.
>>pam<< Tom is the only person who can help me now.	I Tom mû kabúd ing táung makásáup káku ngéni.
>>pam<< We made use of the maps during our journey.	Gínámit kamíng mápa king byáhi mi.
>>pam<< We'll tell Tom everything he needs to know.	Sabyán támu kang Tom ing éganáganáng kaylángan nang ábálû.
>>pam<< What should we do during our next vacation?	Numánu támu keng tútuki tang bakasyún?
>>pam<< Would you like another helping of potatoes?	Bísa ka pang patátas?
>>pam<< Could you send me more information by email?	Makápagparlá kang karágdagágan impormasyún king e-mail?
>>pam<< He came late, as is often the case with him.	Tawlí yang dínatáng, antí ing maralás nang gagáwan.
>>pam<< I don't want to work under these conditions.	Éku bísang magóbra nung makanyán ing kábilyán.
>>pam<< I told them they didn't have to do anything.	Sábi ku karéla alá lang kaylángang gáwan.
>>pam<< I was about to leave when the doorbell rang.	Palakó náku anyáng tigtíg ya ing tímbre.
>>pam<< New York State is almost as large as Greece.	Álus kasíndagúl ne ning Grécia ing Estádo ning New York.
>>pam<< Take the one you like best, whichever it is.	Kwanán me ing pékaburí mu, anggyáng sánu.
>>pam<< Those are the children you gave the book to.	Déta deng ának a dinínan mung librú.
>>pam<< What does Tom eat for a mid-afternoon snack?	Nánung kakanán nang Tom neng minindál?
>>pam<< How many more pages do you have left to read?	Pilán la pang bilungan deng básan mu pa?
>>pam<< I don't think my gift meant very much to Tom.	Palagé ku e masyádung makabaldúgan kang Tom ing regálu ku.
>>pam<< I don't think we'll reach Boston before dark.	King palagé ku éta mirás Boston báyu dálumdum.
>>pam<< Much of what they wrote about never happened.	E milyári ing dakál king karélang sinúlat.
>>pam<< The new bridge is in process of construction.	Gagáwan de ing báyung téte.
>>pam<< They decided to settle in a suburb of London.	Migdisisyún lang mandatún king karulún ning London.
>>pam<< Tom was at the gym for three hours yesterday.	Atlú yang óras king gym i Tom nápun.
>>pam<< You'll soon get used to eating Japanese food.	E lumbát misáne kang mámangán pámangán Apón.
>>pam<< Doctors did everything they could to cure him.	Géwa da reng dóctor ing éganáganá ba yang maúlu.
>>pam<< I didn't know that you used to live in Boston.	Éku bálung sadyá kang makátuknáng king Boston.
>>pam<< The Pacific is the largest ocean in the world.	Ing Pacifico ing pékamaragúl a kadayátmalátan king yátu
>>pam<< What happened in Vietnam was like a bad dream.	Balámu bangúngut ing milyári king Vietnam.
>>pam<< A tsunami is coming, so please be on the alert.	Atíng dáratáng a tsunami, anyá sána magsadyá kayú.
>>pam<< Broccoli is one of the best vegetables for you.	Ing broccoli ing métung karéng pékamasantíng a gúle pará kéka.
>>pam<< I got to know my current girlfriend at the gym.	Ákilála ke ing táu ku ngeni king gym.
>>pam<< They went to an expensive restaurant for lunch.	Mintá la king mal a restóran bang maugtú.
>>pam<< Tom and Mary didn't invite me to their wedding.	Éraku inagkát di Tom ampóng king karélang kasál.
>>pam<< Tom obviously feels very passionate about this.	Malínong masikán ya kapanámdáman kaníti i Tom.
>>pam<< Tom used to play the piano when he was younger.	Títigtíg yang pyánu i Tom anyáng mas anák ya pa.
>>pam<< Tom wanted to stick around for a few more days.	Bísa ya pang maglambát piláng aldó i Tom.
>>pam<< My sister has three times as many books as I do.	Makatátlu la karakál deng librú ning kapatád kung babái késa káku.
>>pam<< There's a helicopter waiting for us on the roof.	Atíng helicopter a mánáya kékatámu king bubúngan.
>>pam<< Tom doesn't take very good care of his children.	Éno íngátan masáléseng Tom deng ának na.
>>pam<< We hope Tom sticks around for a couple of weeks.	Sána lumbát yang adwáng duminggú i Tom.
>>pam<< What should you do if you are bitten by a cobra?	Nánung dápat mung gáwan nung méket kang cobra?
>>pam<< What were you dreaming about when I woke you up?	Nánung páninápan mu anyáng ginísing daká?
>>pam<< He was set free after doing five years in prison.	Míbúlus ya kaybát ning limáng banwáng pángasúkul.
>>pam<< How come you know so much about Japanese history?	Ot karakál mu bálu king kasálesáyan ning Japan?
>>pam<< How many hotels do you think there are in Boston?	King palagé mu, pilán laréng hotél king Boston?
>>pam<< I really like him, but not his circle of friends.	Taganáng burí ke, óneng deng barkáda na alí kulá.
>>pam<< I will have him call you the moment he gets back.	Payáus daká kayá kabúd dátang ya.
>>pam<< I'll try to explain it to the best of my ability.	Ispliká ku anggá king agyú ku.
>>pam<< How are you coming along with your French lessons?	Kómusta la reng lisyún mu king Pransés?
>>pam<< I hear he was released after five years in prison.	Míbúlus ya kanú kaybát ning limáng banwá king sukúlan.
>>pam<< I want some beautiful flowers to put on the table.	Bísa kung mangásantíng a sampága king lamésa.
>>pam<< I want you to take care of Tom for a little while.	Burí ku ingátan me pámû i Tom.
>>pam<< If anything happens, we'll be in in three seconds.	Nung atíng malyári, dátang kamí kilúb ning atlúng minútu.
>>pam<< Tom peeked out the door to see what was happening.	Sínílip ya i Tom king pasbúl ba nang ákit ing malilyári.
>>pam<< We have not seen each other since our school days.	Éke pa míkit manibát anyáng mágarál kamí.
>>pam<< I didn't even know that you used to live in Boston.	Éku man bálung sadyá kang makátuknáng king Boston.
>>pam<< I forgot to tell Tom I wasn't planning to be there.	Ákalingwán kung sabián kang Tom a éku bálak muntá karín.
>>pam<< I've been waiting for a friend of mine for an hour.	Métung ku neng óras pánáyan ing kálugúran ku.
>>pam<< Out of twenty students, only one has read the book.	Karéng adwáng púlung istúdyánti, métung ya mû ing mékabása king librú.
>>pam<< Tom can't remember his kindergarten teacher's name.	Éne átatandánan Tom ing lagyú ning méstra na anyáng kindergarten.
>>pam<< Tom didn't even text Mary to tell her he'd be late.	Éne man tinext Tom i Mary a mitawlí ya.
>>pam<< Tom was about to get into his car when he was shot.	Pasaké ne king kótsi na i Tom anyáng mébaríl ya.
>>pam<< You're the most beautiful woman in the whole world.	Íka ing pékamalagúng babái king yátu.
>>pam<< Let's not forget that Tom doesn't understand French.	Éta kakalingwán a e mákáintindíng Pransés i Tom.
>>pam<< That boy over there looks about the same age as you.	Balámu kasíng-idád me ing anák a laláki bandá karín.
>>pam<< The cop went through his pockets, but found nothing.	Kilkál ne bulsá ning pulís, óneng alá yang ikít.
>>pam<< Tom is talking with someone right now. Can you wait?	Atín yang pákisabián i Tom ngéni. Makāpanáya ka?
>>pam<< Tom probably won't even notice that Mary isn't here.	Sigúru éna man ápansínan Tom a aláyu kéni i Mary.
>>pam<< All the passengers were killed in the airplane crash.	Méte la ngan deng pasáhérus anyáng míbagsák ya ing éruplánu.
>>pam<< I forgot to shutter the windows before the storm hit.	Ákalingwán kong isará deng áwang báyu minagyú.
>>pam<< My mom bought me this toy when I was eight years old.	Penyali nakung ima ku kaniting pyalungan anyang walu kung banwa.
>>pam<< The government was earning more money than it needed.	Mas dákal ing pánákitán ning gubyérnu késa king kailángan na.
>>pam<< The government was earning more money than it needed.	Mas dákal ing pánákitán ning kapámahalán késa king kailángan na.
>>pam<< There were a lot of students absent from class today.	Dakál la reng istudyánting e línub ngéni.
>>pam<< Tom doesn't know how to treat his employees properly.	Éno bálung itrátung masaléng Tom deng empléyádu na.
>>pam<< I've never had a beer in the middle of the day before.	Éku pa mínum beer neng ugtú.
>>pam<< Can you see the woman standing behind Tom? That's Mary.	Ákakit me ing babáing makátikdó king gúlut nang Tom? I Mary itá.
>>pam<< How is it that you know so much about Japanese history?	Óbat karakál mu bálu tungkúl king kasalésáyan ning Hapón?
>>pam<< My friend copied my homework and the teacher found out.	Kinópya ne ning kálugúran ku ing kákung págarálan balé, at ábálu ning méstra.
>>pam<< My friend copied my homework and the teacher found out.	Kinópya ne ning kálugúran ku ing kákung págarálan balé, at ábálu ning taláturû.
>>pam<< Next time you come to see me, I will show you the book.	Keng tútukí mukúng puntalán, pákit ke ing librú.
>>pam<< A mother is responsible for the conduct of her children.	Kapakíbatán ning imá ing panúgáli daréng ának na.
>>pam<< Both of my kids have already graduated from high school.	Paréu nong miyári king mátas a pipágarálan deng adwá kung ának.
>>pam<< He doesn't want to talk to me now, and I don't know why.	Énáku buríng pakisabián ngéni, at éku bálu nung bákit.
>>pam<< He went out of the room without being noticed by anyone.	Ére ápansínang línwal king kwártu.
>>pam<< In this game, players were not allowed to kick the ball.	King pyálung a iní, ére malyáring paldakán deng mámyalung ing bóla.
>>pam<< More than half of the residents are opposed to the plan.	Kóntra la king plánu deng maygít kapitná karéng residénti.
>>pam<< We're finding it difficult deciding on which one to buy.	Mágkasákit keng magdisisyún nung sánung salwán.
>>pam<< If God did not exist, it would be necessary to invent him.	Nung aláng Dios, kaylángan yang imbéntuan.
>>pam<< It's not only Tom that has to study. I have to study, too.	Aliwá mu i Tom ing kaylángang magáral. Anggá yáku kaylángan.
>>pam<< I watched the birds on the balcony while drinking my coffee.	Inalbén ko reng áyup king barkún kábang ínumán ke ing kapé ku.
>>pam<< If it had not been for civil war, they would be wealthy now.	Nung e king géra sibíl, makwálta no sâ ngéni.
>>pam<< If you leave now, I'm sure you'll be caught in a traffic jam.	Nung makó ka ngéni, sigúrádu kung mirásan kang trápik.
>>pam<< Our captain got sick, so I attended the meeting in his place.	Mésakít ya ing kapitán mi, anyá yáku ing ménalíli kayá king púlung.
>>pam<< The more people you know, the less time you have to see them.	Kuntóru dárakál la reng kakílála mu, lakwás dírítak ing panaún mung makíkit karéla.
>>pam<< Burj Khalifa is currently the tallest skyscraper in the world.	Ing Burj Khalifa ing pékamátas a skyscraper ngéni.
>>pam<< I have a cat and a dog. The cat is black and the dog is white.	Atín kung púsâ ampóng ásu. Matulíng ya ing púsâ at maputí ya ing ásu.
>>pam<< If you work too long without a rest, it begins to tell on you.	Nung masyádu kang malambát mágobrang e mágpaynáwa, panámdamán mu.
>>pam<< You shouldn't read people's private letters without permission.	Émo dápat babásan deng súlat daréng táu nung aláng paintúlut.
>>pam<< I think you're the most beautiful woman in the whole wide world.	Palagé ku, íka ing pékamalagúng babái king mabílug a yátu.
>>pam<< It is not safe for a girl to go out by herself so late at night.	E ligtás keng babái ing lumwál dilí na nung mábéngi na.
>>pam<< I have some questions to ask, but I don't want to bother you now.	Atín ku sang ikutáng, óneng e raká buríng pangábalánan.
>>pam<< I thought Tom was supposed to be in Boston. What's he doing here?	Balá ku atyú dápat king Boston i Tom. Nánánu ya kéni?
>>pam<< Let's not forget we never could have done this without Tom's help.	Éta kakalingwáng e támu agawá iní nuné king sáup nang Tom.
>>pam<< As a result of the collision, one of the passengers was thrown out.	Úli ning pámisápungán, míbalugsé ya paluál ing métung karíng pasáhérus.
>>pam<< Everyone is anxious to know what has become of the former champion.	Migáganaká la reng sablá king milyári king sadyáng kampyún.
>>pam<< First, let us talk about the experiments conducted in laboratories.	Múmúna, pisabyán tála deng ekspériméntung gagáwan da karéng laboratóryu.
>>pam<< Tom moved the flower pot to the left and the secret door slid open.	Dinusúg neng Tom ing pasú king kaylî, at míbusní ya ing sikrétung pasbúl.
>>pam<< Tom moved the flower pot to the left and the secret door slid open.	Dinusúg neng Tom ing pasú king kaylî, at míbusní ya ing líhim a pasbúl.
>>pam<< In the mountain area, snow has fallen more than fifty centimeters deep.	King kabundúkan, maygít singkwénta sentímétrung nyébe ing ménábû
