>>ara<< Hi.	مرحبًا.
>>ara<< What did you major in at college?	أي تخصص درست في الجامعة؟
>>ara<< What did you major in at college?	ما المجال الذي قمت بدراسته في الجامعة؟
>>ara<< What do you do in your free time?	ما الذي تفعله بوقت فراغك؟
>>ara<< What do you say to taking a rest?	ما رأيك أن تأخذ استراحة؟
>>ara<< What do you think about that now?	ما رأيك في ذلك الآن؟
>>ara<< What do you think of my new coat?	ما رأيك بمعطفي الجديد؟
>>ara<< What he needs most is a good job.	ما يحتاجه حقاً هو وظيفة جيدة.
>>ara<< What is the matter with your car?	ما مشكلة سيارتك؟
>>ara<< What kind of surgery do you need?	ما نوع الجراحة التي تحتاجها
>>ara<< What made you come here so early?	ما الذي جاء بك إلى هنا باكراً هكذا؟
>>ara<< What season do you like the best?	أي فصل من فصول السنة تحب أكثر؟
>>ara<< What time do you leave your work?	في أي وقت تخرج من عملك؟
>>ara<< What were you doing at that time?	ما الذي كنت تفعله آن ذاك؟
>>ara<< What you're suggesting is stupid.	ما تقترحه غباء.
>>ara<< What's everyone eating for lunch?	ماذا ستأكلون على الغداء؟
>>ara<< When did the accident take place?	متى حصل الحادث؟
>>ara<< When did you change your address?	متى غيرت عنوانك؟
>>ara<< When did you get up this morning?	متى استيقظت هذا الصباح؟
>>ara<< When will his new novel come out?	متى ستنشر روايته الجديدة؟
>>ara<< Whenever I see you, I feel happy.	أشعر بالسعادة كلما أراك.
>>ara<< Whenever they meet, they quarrel.	كلما تقابلا بدآ بالجدال.
>>ara<< Whenever they meet, they quarrel.	كلما تقابلا تجادلا.
>>ara<< Where are you going to eat lunch?	أين ستأكل طعام الغداء؟
>>ara<< Where in Austria did you grow up?	في أي مكان في النمسا تربيت؟
>>ara<< Where would you like to go first?	إلى أين تفضل أن تذهب أولاً؟
>>ara<< Whether he comes or not, I'll go.	سأذهب بغض النظر عن مجيئه.
>>ara<< Who does this suitcase belong to?	من مالك تلك الحقيبة؟
>>ara<< Who is the woman dressed in pink?	من تلك المرأة التي ترتدي فستاناً وردياً؟
>>ara<< Why do these things happen to me?	لماذا تحدث هذه الأشياء لي؟
>>ara<< Why don't we have lunch together?	لمَ لا نأكل طعام الغداء معاً؟
>>ara<< Why don't you sit down and relax?	لمَ لا تجلس و تستريح؟
>>ara<< Will he be able to come tomorrow?	هل سيتمكن من القدوم غداً؟
>>ara<< Will she go to America next year?	هل ستذهب إلى أمريكا العام المقبل؟
>>ara<< Will we be in time for the train?	هل سنلحق بالقطار؟
>>ara<< Will you go to the party tonight?	هل ستحضر حفلة الليلة؟
>>ara<< Will you go to the party tonight?	هل ستذهب إلى الحفلة الليلة؟
>>ara<< Will you lend me your dictionary?	أيمكنك أن تعيرني قاموسك؟
>>ara<< Will you lend me your dictionary?	هل يمكنك إعارتي قاموسك؟
>>ara<< Would three o'clock be all right?	هل الساعة الثالثة توقيت مناسب؟
>>ara<< Would you ever go skinny dipping?	هل لك ان تذهب للسباحة عارياً.
>>ara<< Would you like me to call a taxi?	هل تريدني أن أستدعي لك سيارة أجرة؟
>>ara<< Would you mind shutting the door?	هل لك أن تغلق الباب؟
>>ara<< Would you mind shutting the door?	أيمكنك أن تقفل الباب؟
>>ara<< Would you please shut the window?	هلّا أغلقت النافذة من فضلك؟
>>ara<< You can always sleep on my couch.	أنتَ يمكنكَ دائماً النوم على أريكتي.
>>ara<< You can always sleep on my couch.	أنتِ يمكنكِ دائماً النوم على أريكتي.
>>ara<< You can go to the station by bus.	يمكنك الذهاب إلى المحطة بالحافلة.
>>ara<< You can go to the station by bus.	بإمكانك الوصول إلى المحطة عن طريق الحافلة.
>>ara<< You can say whatever you want to.	يمكنك أنت تقول أي شيء تريد.
>>ara<< You don't need to worry about me.	لا داعي لأن تقلق علي.
>>ara<< You haven't finished your coffee.	لم تنهِ قهوتك.
>>ara<< You should always keep your word.	عليك دائماً أن تفي بوعدك.
>>ara<< You should rewrite this sentence.	من الأفضل أن تعيد كتابة هذه الجملة.
>>ara<< You should try to be more polite.	يجب أن تحاول أن تكون أكثر أدباً.
>>ara<< You should've told Tom the truth.	كان يجب عليك أن تقول الحقيقة لتوم.
>>ara<< You talk as if you were the boss.	تتكلم و كأنك رئيسنا.
>>ara<< You talk as if you were the boss.	تتكلم و كأنك رئيس عملنا.
>>ara<< You'll find this map very useful.	ستجد أن هذه الخريطة مفيدة للغاية.
>>ara<< You're a philosopher, aren't you?	أنت فيلسوف، أليس كذلك؟
>>ara<< You're a philosopher, aren't you?	إنك فيلسوف ، أليس ذلك صحيحاً؟
>>ara<< You're in better shape than I am.	مظهرك أفضل من مظهري .
>>ara<< You're in better shape than I am.	أنت في حال أفضل من حالي.
>>ara<< You're in better shape than I am.	أنت في حالة أفضل مما أنا عليه.
>>ara<< You're to blame for the accident.	أنت المخطأ في الحادث.
>>ara<< "May I come in?" "Yes, certainly."	"هل تأذن لي بالدخول؟" "نعم، بالطبع".
>>ara<< "May I come in?" "Yes, certainly."	"هل تأذنين لي بالدخول؟" "نعم، بالطبع".
>>ara<< All of my friends are out of town.	جميع أفراد عائلتي خارج المدينة.
>>ara<< Birds of a feather flock together.	الطيور على أشكالها تقع.
>>ara<< Boston is not at all like Chicago.	بوسطن ليست مثل شيكاغو على الإطلاق.
>>ara<< Can I ride this horse for a while?	أيمكنني ركوب هذا الحصان قليلاً؟
>>ara<< Can you pick me up at the station?	أيمكنك أن تأتي لأخذي من المحطة؟
>>ara<< Can you read this document for me?	هل يمكنكَ قراءة هذا النص من أجلي
>>ara<< Complaining won't change anything.	لن يغير التذمر شيئاً.
>>ara<< Did you actually see the accident?	هل رأيت الحادث حقا؟
>>ara<< Did you drive her home last night?	هل أوصلتها إلى المنزل ليلة الأمس؟
>>ara<< Did you enjoy the party yesterday?	هل استمتعت بالحفلة بالأمس؟
>>ara<< Do I have to stay in the hospital?	هل يجب علي أن أبقى في المستشفى؟
>>ara<< Do I have to stay in the hospital?	هل يتوجب علي البقاء في المستشفى؟
>>ara<< Do you have any trouble with that?	هل لديك أي مشكلة في ذلك؟
>>ara<< Do you have your driver's license?	هل رخصتك معك؟
>>ara<< Do you know how to tie your shoes?	أتعرف كيف تربط ربطات حذائك؟
>>ara<< Do you know how to use a computer?	هل تعرف كيف تستعمل الحاسوب؟
>>ara<< Do you like to travel by yourself?	أتحب السفر بمفردك؟
>>ara<< Do you really want Tom to do that?	أتريد حقا من توم أن يفعل ذلك؟
>>ara<< Do you want me to give you a hand?	أتود أن أساعدك؟
>>ara<< Do you want me to give you a hand?	هل تريدني أن أساعدك؟
>>ara<< Do you want to go out for a drink?	أتريد الخروج لاحتساء شيء؟
>>ara<< Does this come in any other color?	أيتوافر هذا بلون مختلف؟
>>ara<< Don't forget to add a little salt.	لا تنس أن تضيف قليلا من الملح.
>>ara<< Don't forget what I just told you.	لا تنس ما قلته لك للتّو.
>>ara<< Don't mention our plan to anybody.	لا تذكر خطتنا لأي أحد.
>>ara<< Don't sleep with the windows open.	لا تنم والنوافذ مفتوحة.
>>ara<< Don't worry. I'll take care of it.	لا تقلق. أنا سوف أعتني بها.
>>ara<< English is not my native language.	الانجليزية ليست لغتي الأم.
>>ara<< Everybody wants to sit beside her.	الكل يريد أن يجلس بجانبها.
>>ara<< Everything was better in the past.	كل شيء كان أفضل في الماضي.
>>ara<< God created the world in six days.	خلق الله الأرض في ستة أيام.
>>ara<< Have you answered that letter yet?	هل رددت على تلك الرسالة بعد؟
>>ara<< Have you ever gone skinny dipping?	هل سبق و ذهبت للسباحة عارياً.
>>ara<< He asked me what I had been doing.	سالني عما كنت افعله?
>>ara<< He built a fence around his house.	بنى سِياجاً حول بيته.
>>ara<< He built a fence around his house.	بنى سِياجاً خشبياً حول بيته.
>>ara<< He dipped his spoon into the soup.	هو غمس ملعقته في الحساء.
>>ara<< He doesn't know a lot about Japan.	إنه لا يعرف الكثير عن اليابان.
>>ara<< He finally decided to get married.	وأخيراً قرر أن يتزوج.
>>ara<< He got up at eight in the morning.	نهض من النوم في الساعة الثامنة صباحاً.
>>ara<< He measured the length of the bed.	قاس طول السرير.
>>ara<< He never goes against his parents.	هو لا يخالف أبدا رأي والديه.
>>ara<< He paid no attention to my advice.	لم يعر أي اهتمام لنصيحتي.
>>ara<< He pretended that he was a lawyer.	تظاهر بأنه محامٍ.
>>ara<< He rested his hand on my shoulder.	وضع يديه على كتفي.
>>ara<< He seldom gives his wife presents.	نادرًا ما يهدي زوجته.
>>ara<< He started going bald quite young.	أصابه الصلع في شبابه.
>>ara<< He stood on the edge of the cliff.	وقف على حافة الجرف.
>>ara<< He tried to pull a fast one on me.	لقد حاول أن يخدعني.
>>ara<< He was very friendly to everybody.	كان لطيفًا جدًّا مع الجميع.
>>ara<< He's a little taller than you are.	إنه أطول منك بقليل.
>>ara<< Her answer couldn't be understood.	جوابها لم يكن مفهوماً.
>>ara<< His leg was bitten by a crocodile.	عضّ تمساحٌ ساقه.
>>ara<< How many days are there in a week?	كم عدد الأيام في الأسبوع؟
>>ara<< How much did the tickets cost you?	كم كلّفتك التذاكر؟
>>ara<< How was your doctor's appointment?	كيف كان موعدك عند الطّبيب؟
>>ara<< Hurry up, or we'll miss the train.	أسرع و إلا فاتنا القطار.
>>ara<< I am determined to be a scientist.	عقدتُ العزم على أن أكون عالمًا.
>>ara<< I am determined to be a scientist.	عقدتُ العزم على أن أكون عالمًا في العلوم الطبيعية.
>>ara<< I asked Tom to sign the documents.	طلبتُ من سامي توقيع الوثائق.
>>ara<< I broke his heart, but I love him.	فطرت قلبه ولكني أحبه.
>>ara<< I can't bear the noise any longer.	لا يمكنني احتمال الضجيج أكثر من ذلك.
>>ara<< I can't bear the noise any longer.	لا أستطيع أن أحتمل ذلك الصوت المزعج أكثر من ذلك.
>>ara<< I can't help you because I'm busy.	لا يمكنني مساعدتك لأني مشغول.
>>ara<< I can't understand those comments.	لا أستطيع فهم تلك التعليقات.
>>ara<< I convinced him that he was wrong.	أقنعته أنه كان مخطئا.
>>ara<< I didn't tell Tom that I knew you.	لم أخبر توم أني أعرفك.
>>ara<< I dipped my finger into the honey.	غمست اصبعي في العسل.
>>ara<< I don't believe Tom is the killer.	لا أصدق أن توم هو القاتل
>>ara<< I don't blame you for hitting him.	لا ألومك على ضربه.
>>ara<< I don't have anything to give you.	لا شيء معي لأعطيك إياه.
>>ara<< I don't know where this came from.	لا أعلم من أين أتى هذا.
>>ara<< I have no memory of what happened.	لا أتذكر ما حصل.
>>ara<< I haven't eaten anything for days.	أنا لم أذُقِ الطعامَ منذُ أيامٍ.
>>ara<< I hope I can find a job in Boston.	آمل بأن أجد وظيفة في بوستن.
>>ara<< I just have one other thing to do.	هناك شئ واحد آخرعليّ فعله.
>>ara<< I killed two birds with one stone.	أصبت عصفورين بحجر واحد.
>>ara<< I know that I'll never forget you.	أعلم أنّني لن أنساك أبدا.
>>ara<< I know you're not in love with me.	انا اعرف انك لا تحبيني
>>ara<< I know you're not in love with me.	أعلم أنك لا تحبني.
>>ara<< I like learning ancient languages.	أُحب تعلم اللغات القديمة.
>>ara<< I like to study foreign languages.	أحبّ دراسة اللّغات الأجنبيّة.
>>ara<< I listen to the radio every night.	أستمع إلى المذياع كل ليلة.
>>ara<< I listen to the radio every night.	أستمع إلى الراديو كل ليلة.
>>ara<< I met an old man near the station.	قابلت رجلاً عجوزاً قرب المحطة.
>>ara<< I need you to tell me where to go.	أحتاج لتقول لي أين أذهب.
>>ara<< I remember everything you tell me.	أتذكر كل ما تقوله لي.
>>ara<< I saw Tom kill the neighbor's cat.	رأيتُ ساميًا حين قتل قطّة الجيران.
>>ara<< I think I'll ask Mary to marry me.	أظن بأني سأطلب من ماري أن تتزوجني.
>>ara<< I think you'd better go on a diet.	أظن أنه من الأفضل لك أن تبدأ حمية غذائية.
>>ara<< I thought you two knew each other.	أظنّكما تعرفان بعضكما.
>>ara<< I told them to stay in their room.	لقد قلت لهم أن يبقوا في غرفتهم.
>>ara<< I want a massage. I need to relax.	أريد التدليك. أحتاج إلى الاسترخاء.
>>ara<< I want to learn more about Boston.	أريد أن أتعلم المزيد عن بوسطن.
>>ara<< I was late because of the traffic.	تأخّرتُ بسبب إزدحام الطريق.
>>ara<< I wasn't aware Tom should do that.	لم أكن أعلم بأنه على توم فعل ذلك.
>>ara<< I would like to hear your opinion.	أود الاستماع إلى رأيك.
>>ara<< I'd never testify against my wife.	لن أدلي أبدا بشهادة ضد زوجتي.
>>ara<< I'll be calling you every morning.	سأتصل بِكَ كُل صباح.
>>ara<< I'll be going to Europe next week.	سأذهب إلى أوروبا الاسبوع المقبل.
>>ara<< I'll never ask Tom for help again.	لن أطلب المساعدة من توم مرة أخرى.
>>ara<< I'll never forget this experience.	لن أنس هذه التّجربة أبدا.
>>ara<< I'll teach you how to drive a car.	سأعلمك كيف تقود السيارة.
>>ara<< I'll teach you how to drive a car.	سأعلمك القيادة.
>>ara<< I'm a member of the swimming club.	أنا عضو في نادي السباحة.
>>ara<< I'm going to need some more money.	سأحتاج إلى المزيد من المال.
>>ara<< I'm just trying to understand you.	أحاول أن أفهمك فقط.
>>ara<< I'm looking forward to seeing Tom.	أنا أتتطلع لرؤية توم.
>>ara<< I'm not as nice as you think I am.	أنا لست لطيفًا كما تظنني.
>>ara<< I'm not sure I can be of any help.	لست متأكدًا من أنه يمكنني تقديم أي مساعدة.
>>ara<< I'm not used to this kind of work.	لست معتادا على هكذا عمل.
>>ara<< I've been a teacher for two years.	لقد كنتُ مدرساً لمدة عامين.
>>ara<< I've been a teacher for two years.	لقد كنتُ معلماً لعامين.
>>ara<< I've been a teacher for two years.	لقد كنتُ معلمة لعامين.
>>ara<< I've been thinking of you all day.	كنت أفكر بك طوال اليوم.
>>ara<< If I knew the truth, I'd tell you.	إذا عرفت الحقيقة سأخبرك.
>>ara<< If it rains tomorrow, we won't go.	لن نذهب إن أمطرت غدًا.
>>ara<< Is that all you wanted to tell me?	أهذا كل ما أردت قوله؟
>>ara<< Is there a cash machine near here?	هل هناك صرّاف آلي قريب من هنا؟
>>ara<< Is there a cash machine near here?	أيوجد صرّاف آلي بالقرب من هنا؟
>>ara<< Is this your first visit to Japan?	هل هذه أول زيارة لك إلى اليابان؟
>>ara<< Is your school far from your home?	هل المدرسة بعيدة عن منزلك؟
>>ara<< It is a lot of fun to drive a car.	قيادة السيارة أمر ممتع.
>>ara<< It looks like we fell into a trap.	يبدو أننا وقعنا في الفخ.
>>ara<< It must've been extremely painful.	لابد أنه كان مؤلماً للغاية
>>ara<< It was very nice seeing you again.	سررت بلقائك.
>>ara<< It'll probably start to rain soon.	أغلب الظن أنها ستُمطر قريبًا.
>>ara<< It's hard to forget what happened.	من الصّعب نسيان ما حدث.
>>ara<< Italy is a very beautiful country.	إيطاليا بلد جميل جدا.
>>ara<< Italy is a very beautiful country.	إيطاليا بلد جميل.
>>ara<< Keep your room as neat as you can.	أبقِ غرفتك نظيفةً بقدر الإمكان.
>>ara<< Let me explain why I arrived late.	دعني أشرح سبب وصولي متأخراً.
>>ara<< Let me have a look at the picture.	دعني ألقي نظرة على الصورة.
>>ara<< May I see the telephone directory?	ألي بدليل الهاتف؟
>>ara<< May I see the telephone directory?	أيمكنني أن أتصفح دليل الهاتف؟
>>ara<< My father does not eat much fruit.	لا يُكثِرُ أبي من أكل الفاكهة.
>>ara<< My father does not eat much fruit.	أبي لا يأكل الكثير من الفواكه
>>ara<< My father gave a nice watch to me.	أعطاني أبي ساعةً حلوة.
>>ara<< My father is retiring next spring.	سيتقاعد أبي الربيع المقبل.
>>ara<< My father used to be a strong man.	والدي اعتاد أن يكون رجلاً قوياً.
>>ara<< My father used to be a strong man.	أبي اعتاد أن يكون رجلاً قوياً.
>>ara<< My grandfather is in his nineties.	جدي في التسعينات من عمره.
>>ara<< My upper right wisdom tooth hurts.	يؤلمني سن العقل في أعلى يمين أسناني.
>>ara<< No one I know wears a tie anymore.	لا أحد أعرفهُ يرتدي ربطة العُنُق بعد الآن.
>>ara<< One is red and the other is white.	واحدة حمراء والأخرى بيضاء.
>>ara<< Our band needs a distinctive logo.	تحتاج فرقتنا لرمز يميّزها.
>>ara<< Pick up the pencil from the floor.	ارفع القلم من على الأرض.
>>ara<< Please don't run in the classroom.	من فضلك لا تركض في الصف.
>>ara<< Please explain why you can't come.	من فضلك اشرح لماذا لا يمكنك المجيء.
>>ara<< Please help me fill out this form.	الرجاء مساعدتي في ملء هذا النموذج.
>>ara<< Please help me fill out this form.	الرجاء مساعدتي في ملء هذه الإستمارة.
>>ara<< She accepted his hand in marriage.	قبلت أن تتزوج به.
>>ara<< She always buys expensive clothes.	إنها دائماً تشتري ثياباً ثمينة.
>>ara<< She came to Tokyo when she was 18.	أتت إلى طوكيو عندما كان عمرها ثمانية عشر عاماً.
>>ara<< She is absent because of sickness.	غابت لأنها مريضة.
>>ara<< She is absent because of sickness.	كانت غائبة بسبب المرض.
>>ara<< She must still be in her twenties.	لا بد أنها ما زالت في العشرينات من عمرها.
>>ara<< She promised not to be late again.	هي وعدت بأن لاتتأخر مرة اخرى.
>>ara<< She put the magazine on the table.	هىَ وضعت المجلة علىَ الطاولة.
>>ara<< She put the magazine on the table.	هىَ وضعت المجلة علىَ المنضدة.
>>ara<< She wants to work at the hospital.	إنها تريد أن تعمل في المستشفى.
>>ara<< She's anxious to know the results.	إنها توّاقة إلى معرفة النتائج.
>>ara<< Some people find reading relaxing.	يرى البعض بأن القراءة تريحهم.
>>ara<< Speech is silver, silence is gold.	إذا كان الكلام من فضة فالسكوت من ذهب.
>>ara<< Taking care of the baby is my job.	مهمتي هي الإهتمام بالطفل.
>>ara<< Thank you so much for inviting me.	شكرا جزيلا على دعوتك لي.
>>ara<< That bus will take you to the zoo.	ستُوصلك تلك الحافلة إلى حديقة الحيوان.
>>ara<< That couldn't have gone any worse.	لَم يُمكِن لِلأمرِ أن يَسوءَ أكثر
>>ara<< That fighter plane dropped a bomb.	الطائرة المقاتلة أسقطت قنبلة.
>>ara<< That fighter plane dropped a bomb.	الطائرة المقاتلة ألقت قنبلة.
>>ara<< That hotel was very near the lake.	ذاك الفندق قريب جداً من البحيرة.
>>ara<< That wasn't what I wanted to hear.	لم يكن هذا ما أردت سماعه.
>>ara<< The bank is not open on Saturdays.	البنك يكون مغلقاً أيام السبت.
>>ara<< The boy didn't change his opinion.	لم يغير الولد رأيه.
>>ara<< The decision hasn't yet been made.	لم يُتّخذ القرار بعد.
>>ara<< The door will be painted tomorrow.	سيُطلى الباب غداً.
>>ara<< The earthquake damaged the clinic.	ألحق الزّلزال ضررا بالعيادة.
>>ara<< The lake is deepest at this point.	هذه أعمق نقطة في البحيرة.
>>ara<< The magazine comes out every week.	تصدر المجلة كل إسبوع.
>>ara<< The old man spoke to me in French.	تحدث إليّ الرجل العجوز بالفرنسية.
>>ara<< The peace talks failed once again.	فشلت محادثات السلام مرة أخرى.
>>ara<< The peace talks failed once again.	تعثرت مفاوضات السلام مجدداً.
>>ara<< The pharmacy is near the hospital.	الصيدلية بجوار المشفى.
>>ara<< The puppy licked her on the cheek.	الكلب لعق خدها.
>>ara<< The sand on the beach is very hot.	الرمل على الشاطىء حار جدا
>>ara<< The teacher went through my purse.	فتّش المدرّس حقيبتي.
>>ara<< The women of France are beautiful.	نساء فرنسا جميلات.
>>ara<< There are twelve months in a year.	هناك اثنا عشر شهرًا في السنة.
>>ara<< There is a basket under the table.	توجد سلة تحت الطاولة.
>>ara<< There is a fence around the house.	هناك سياج حول المنزل.
>>ara<< There was a lot of snow last year.	هطل الكثير من الثلج السنة الماضية.
>>ara<< There were no roses in the garden.	الحديقة كانت خالية من الورود.
>>ara<< There were no roses in the garden.	لم يكن هنالك ورود في الحديقة.
>>ara<< There's a hotel across the street.	يوجد هناك فندق عبر الشارع.
>>ara<< There's something I forgot to say.	ثمّة ما نسيت قوله.
>>ara<< They claimed that he'd killed her.	زعموا أنه قتلها.
>>ara<< This book is adapted for children.	تم تكييف هذا الكتاب للأطفال.
>>ara<< This house and this land are mine.	هذا بيتي وهذه أرضي!
>>ara<< This isn't a time for celebration.	هذا ليس وقت الإحتفال.
>>ara<< Though I was tired, I did my best.	مع أني كنت متعبا إلا أني قدمت أفضل ما عندي.
>>ara<< Tom always puts his arm around me.	توم دائما يضع ذراعه حولي .
>>ara<< Tom and Mary played hide-and-seek.	لعب سامي وليلى الغمّيضة.
>>ara<< Tom came just in the nick of time.	جاء توم في آخر لحظة.
>>ara<< Tom doesn't want me here, does he?	توم لا يريدني هنا. أليس كذلك؟
>>ara<< Tom doesn't want to sell his farm.	لا يرغب توم في بيع مزرعته.
>>ara<< Tom got these tickets for nothing.	حصل توم على هذه التذاكر دون مقابل.
>>ara<< Tom has a right to know the truth.	توم له الحق في معرفة الحقيقة.
>>ara<< Tom has a tattoo on his right arm.	لدى توم وشم في ذراعه الأيمن.
>>ara<< Tom has decided to sell his house.	قرر توم أن يبيع منزله.
>>ara<< Tom has no choice but to trust us.	ليس لدى توم خيار إلا أن يثق بنا.
>>ara<< Tom has run the office since 2013.	توم كانَ يُديرُ المَكتَبَ مُنذُ 2013
>>ara<< Tom hasn't yet told us about that.	لم يخبرنا توم عن ذلك بعد.
>>ara<< Tom hid the book under his pillow.	أخفى توم الكتاب تحت الوسادة.
>>ara<< Tom is going to come live with us.	توم سيأتي ليعيش معنا.
>>ara<< Tom is hardworking and dependable.	توم مجتهد ويمكن الإعتماد عليه.
>>ara<< Tom is one of our best detectives.	توم واحد من أفضل محققينا.
>>ara<< Tom is trying to get a green card.	يحاول توم الحصول على الكرت الأخضر.
>>ara<< Tom likes Mary and Mary likes Tom.	يحب "توم" "ماري" و هي أيضا تحبه
>>ara<< Tom refused to leave without Mary.	توم رفض أن يغادر بدون ماري
>>ara<< Tom shouldn't be allowed to drive.	لا يجب السماح لتوم بالسياقة.
>>ara<< Tom spotted a pattern in the data.	وجد سامي نمطًا مكرّرًا في البيانات.
>>ara<< Tom was sitting at a nearby table.	توم كان جالسا على طاولة قريبة.
>>ara<< Tom was the only one in the house.	توم كان وحده في المنزل.
>>ara<< Tom wasn't invited to the banquet.	توم لم يكن مدعوّاً إلى المأدبة.
>>ara<< Tom will drive you to the airport.	سيقلك توم للمطار.
>>ara<< Tom will probably not believe you.	مِنَ المُحتَملِ أنَّ توم لَنْ يُصَدِّقَك
>>ara<< Tom's next crime will be his last.	جريمة توم التالية ستكون الأخيرة.
>>ara<< Tourists have increased in number.	زاد السياح عدداً.
>>ara<< We don't know why he had to leave.	لا نعلم لم اضطرّ للمغادرة.
>>ara<< We have to do this again tomorrow.	علينا تكرار هذا غدا.
>>ara<< We left the final decision to him.	تركنا القرار الأخير إليه.
>>ara<< We should've gone there ourselves.	كان يجب أن نذهب إلى هناك بأنفسنا.
>>ara<< We usually have breakfast at 7:30.	عادةً ما نفطر السابعة و النصف صباحاً.
>>ara<< We were late because of the storm.	تأخرنا بسبب العاصفة.
>>ara<< What are you looking for in there?	عمّ تبحث هناك؟
>>ara<< What did you do yesterday evening?	ماذا فعلت ليلة الأمس؟
>>ara<< What do you think I've been doing?	ماذا تعتقد أني كنت أفعل؟
>>ara<< What do you think I've been doing?	ماذا تعتقدين أني كنت أفعل؟
>>ara<< What kind of sandwich do you want?	أي نوع من الشطائر تريد؟
>>ara<< What plans do you have for Sunday?	ماهي خططك ليوم الأحد؟
>>ara<< What time do you get up every day?	متى تستيقظ كل يوم؟
>>ara<< When did you have time to do that?	متى كان لديك الوقت لتفعل ذلك؟
>>ara<< When in Rome, do as the Romans do.	عندما تكون في روما تصرف كما يتصرف الرومان.
>>ara<< Where did you have your suit made?	من أين قمت بخياطة هذه البدلة؟
>>ara<< Where do you think we should stay?	أين تظن أن علينا أن نمكث؟
>>ara<< Where do you think we should stay?	أين تظن أن علينا أن نبقى؟
>>ara<< Where's the closest train station?	أين أقرب محطة قطار؟
>>ara<< Who's the boy swimming over there?	من ذلك الصبي الذي يسبح هناك؟
>>ara<< Why are we not allowed to do that?	لم لا يُسمح لنا بالقيام بذلك؟
>>ara<< Why are we not allowed to do that?	لماذا لا يُسمح لنا بالقيام بذلك؟
>>ara<< Why are you afraid to talk to Tom?	لِمَ أنتَ خائفٌ للتَحدُّثِ إلى توم؟
>>ara<< Why couldn't you sleep last night?	لماذا لم تستطع النوم ليلة أمس ؟
>>ara<< Why do you hate Canadians so much?	لم تكره الكنديّين إلى هذه الدّرجة؟
>>ara<< Why does that name sound familiar?	لم يبدو هذا الإسم مألوفا؟
>>ara<< Why does this always happen to me?	لماذا يحدث هذا دائماً لي؟
>>ara<< Why don't you change your clothes?	لم لا تغيّر ملابسك؟
>>ara<< Why don't you change your clothes?	لم لا تبدّل ملابسك؟
>>ara<< Why don't you do that by yourself?	لم لا تفعل ذلك بنفسك؟
>>ara<< Why don't you keep your eyes open?	لم لا تبقي عيناك مفتوحتان؟
>>ara<< Why is it that you're always late?	لماذا تتأخر دائما؟
>>ara<< Will you drive me to the hospital?	هلّا أوصلتني إلى المستشفى؟
>>ara<< You don't have to make an apology.	ليس عليك الاعتذار.
>>ara<< You have reached your destination.	لقد وصلت إلى وجهتك.
>>ara<< You may choose whichever you want.	يمكنك اختيار أيا كان ما تريد.
>>ara<< You may choose whichever you want.	يمكنك اختيار أيا كان ما تحب.
>>ara<< You must learn from your mistakes.	يجب أن تتعلم من أخطائك.
>>ara<< You should marry someone you love.	عليكَ الزواج بشخص تحبّه.
>>ara<< You should marry someone you love.	عليكِ الزواج بشخص تحبّيه.
>>ara<< You're just the man I want to see.	أنت فقط الرجل الذي أريد ان أراه
>>ara<< You're wrong. That's not the case.	أنتَ مخطئ, تلك ليست القضية.
>>ara<< Your friendship means a lot to me.	صداقتك تعني لي الكثير.
>>ara<< "What do you want?" "I want a dog."	"ماذا تريد؟" "أريد كلبا".
>>ara<< "Where does it hurt?" "Everywhere."	"أين تتألّم؟" "في كلّ مكان."
>>ara<< A cat came out from under the desk.	خرجت قطة من تحت المكتب.
>>ara<< Achilles was an ancient Greek hero.	أكيليز بطل أسطوري عند الإغريق.
>>ara<< After taking a bath, I drank juice.	شربت عصيرا بعد الاستحمام.
>>ara<< All my siblings are taller than me.	جميع اخوتي أطول قامة مني.
>>ara<< Any student can solve this problem.	أي طالب بإمكانه حل هذه المسألة.
>>ara<< Aren't you in love with me anymore?	ألم تعد تحبّني؟
>>ara<< At last, we arrived at the village.	و أخيراً وصلنا إلى القرية.
>>ara<< At least let me help set the table.	على الأقل دعني أساعد في ترتيب الطاولة.
>>ara<< Bangkok is the capital of Thailand.	بانكوك هي عاصمة تايلاند.
>>ara<< Bring me a cup of coffee, will you?	أحضر لي فنجاناً من القهوة؟
>>ara<< By the way, do you play the violin?	بالمناسبة هل يمكنك العزف على الكمان؟
>>ara<< California is famous for its fruit.	اشتهرت كاليفورنيا بفواكهها.
>>ara<< Can you read that sign ahead of us?	أيمكنك قراءة اللافتة التي أمامنا؟
>>ara<< China is rich in natural resources.	الصين غنية بالموارد الطبيعية.
>>ara<< Clean the window with a damp cloth.	نظف زجاج النافذة بقطعة قماش مبلولة.
>>ara<< Could I have a glass of white wine?	هل أستطيع الحصول على كأس من النبيذ الأبيض؟
>>ara<< Diamonds are a girl's best friends.	خير أصدقاء الفتاة: الألماس.
>>ara<< Did anyone call me while I was out?	هل اتصل بي أحد عندما كنت في الخارج؟
>>ara<< Did you buy it on the black market?	هل اشتريت ذلك من السوق السوداء؟
>>ara<< Did you hear the news on the radio?	هل سمعت الأخبار على المذياع؟
>>ara<< Do you have any Japanese magazines?	هل لديك أي مجلات يابانية؟
>>ara<< Do you have these shoes in my size?	هل لديك حذاءً بحجم قدمي؟
>>ara<< Do you often write to your parents?	هل تُراسل والديك في العادة؟
