>>cbk<< Who?	¿Quién?
>>cbk<< He did the right thing.	Ya hace le el lo que debe.
>>cbk<< He earns a good salary.	Bueno de suyu sueldo.
>>cbk<< He fell into the river.	Ya cae le para na río.
>>cbk<< He hid behind the tree.	Ya escondé le atrás del ponô.
>>cbk<< He is washing your car.	Ta lavá le de tuyo coche.
>>cbk<< Here's my phone number.	Aqui esta di mio numero de telefono.
>>cbk<< I bought this from Tom.	Ya comprá yo cuneste desde cun Tom.
>>cbk<< I can help if you want.	Si quiere tu, puede yo ayudá.
>>cbk<< I can't go out tonight.	No puede yo salé este noche.
>>cbk<< I can't stand the cold.	Hinde yo kaya conel frialdad.
>>cbk<< I decided to buy a car.	Ya decidí yo comprá un coche.
>>cbk<< I decided to try again.	Ya decidí yo probá otra vez.
>>cbk<< I didn't pay attention.	Nuáy yo poné atención.
>>cbk<< I don't have a bicycle.	Nuáy yo bike.
>>cbk<< I don't want to buy it.	No quiere yo comprá cunese.
>>cbk<< I don't want to forget.	No quiere yo olvidá.
>>cbk<< I don't want to go out.	No quiere yo salé afuera.
>>cbk<< I don't want to see it.	No quiere yo mirá cunese.
>>cbk<< I don't want to suffer.	No quiere yo sufrí.
>>cbk<< I have to change tires.	Necesita yo cambiá rueda.
>>cbk<< I have to comb my hair.	Necesita yo peiná de mío pelo.
>>cbk<< I knew you'd like that.	Sabe yo quiere tu cunakel.
>>cbk<< I know how old you are.	Sabe yo cuanto años ya tu.
>>cbk<< I like traveling alone.	Ta gusta yo viaja solo.
>>cbk<< I must open the window.	Necesita yo abrí cunel ventánâ.
>>cbk<< I only caught one fish.	Un pescáo lang yo ya cogí.
>>cbk<< I prefer working alone.	Mas quiere yo trabajá solo solo.
>>cbk<< I said you could leave.	Abla yo, puede ya tu andá.
>>cbk<< I saw a woman in black.	Ya puede yo mirá mujer de negro.
>>cbk<< I told Tom to go there.	Ya mandá yo cun Tom andá allá.
>>cbk<< I turned off the radio.	Ya apagá yo cunel radio.
>>cbk<< I want an electric fan.	Quiere yo un ventilador.
>>cbk<< I want an electric fan.	Quiere yo un electric fan.
>>cbk<< I want to drink coffee.	Quiere yo tomá café.
>>cbk<< I was in the mountains.	Tallá yo na monte.
>>cbk<< I was in the mountains.	Tallá yo aquel na monte.
>>cbk<< I will be very careful.	Ay tené gayót yo mucho cuidáo.
>>cbk<< I'd like to rent a car.	Quiere yo arquila coche.
>>cbk<< I'm focusing on my job.	Ta concentrá yo na de mio trabajo.
>>cbk<< It's a present for you.	Regalo se para de tuyu.
>>cbk<< Keep this insect alive.	Mantené cuneste insecto vivo.
>>cbk<< Let's sit in the shade.	Sinta kita na sombra.
>>cbk<< My health is improving.	Ta mejorá de mio salud.
>>cbk<< My neck hurts a little.	Ta duelé un poco de mío pescuezo.
>>cbk<< No one understands you.	Nuáy quien ta entendé cuntigo.
>>cbk<< Nobody understands you.	Nuáy quien ta entendé cuntigo.
>>cbk<< Nobody understands you.	Nuáy quien ta entendé cun ustedes.
>>cbk<< Nobody will believe me.	No hay quien ay cre cumigo.
>>cbk<< Open your eyes, please.	Favor, abrí de tuyo ojos.
>>cbk<< Sharks can sense blood.	Ta puedé ulí sangre el maga tiburón.
>>cbk<< She gave him a massage.	Yan masaje le cunele.
>>cbk<< She really wants to go.	Quiere gayot le andá.
>>cbk<< She shaved her armpits.	Ya raspá le el de suyo subaco.
>>cbk<< She was breathing hard.	Duro le ta resollá.
>>cbk<< The clouds hid the sun.	Ya tapá el maga celaje cunel sol.
>>cbk<< The knife is not sharp.	Hindé agudo el cuchillo.
>>cbk<< The pig is growing fat.	Ta quedá ya gordo el puerco.
>>cbk<< The river has dried up.	Ya secá el río.
>>cbk<< The ship came in sight.	Ya puede columbrá cunel barco.
>>cbk<< The ships reached port.	Ya llegá el mga barco na puerto.
>>cbk<< The wind grew stronger.	Ya quedá más fuerte el viento.
>>cbk<< The wind is cold today.	Frío el viento éste día.
>>cbk<< These scissors are new.	Nuevo esté tijeras.
>>cbk<< They admire each other.	Ta admirá sila a unos otros.
>>cbk<< They admire each other.	Ellos ta admirá a unos otros.
>>cbk<< They admire each other.	Sila ta admirá a unos otros.
>>cbk<< They cut down the tree.	Ya cortá silá cunel ponô.
>>cbk<< This spoon is for soup.	Para caldo este cuchara.
>>cbk<< Tom and I ate together.	Junto kamé ya comé de Tom.
>>cbk<< Tom and Mary are early.	Temprano si Tom y Mary.
>>cbk<< Tom didn't get a reply.	Nuáy si Tom ricibí reply.
>>cbk<< Tom drank all the milk.	Ya tomá si Tom todo el leche.
>>cbk<< Tom has three brothers.	Tiene tres hermano si Tom.
>>cbk<< Tom ironed his clothes.	Ya planchá si Tom de suyo maga ropa.
>>cbk<< Tom is a famous doctor.	Famoso doctor si Tom.
>>cbk<< Tom is a very good man.	Bien buen gente si Tom.
>>cbk<< Tom is fanning himself.	Tan paypáy si Tom de suyo cuerpo.
>>cbk<< Tom is holding a knife.	Ta agarrá si Tom un cuchillo.
>>cbk<< Tom looked at the moon.	Ya mirá si Tom cunel luna.
>>cbk<< Tom stole the necklace.	Ya rubá si Tom cunel cadenita.
>>cbk<< Tom turned off the fan.	Ya apagá si Tom cunel ventilador.
>>cbk<< Tom wants to come home.	Quiere volvé si Tom.
>>cbk<< Tom works in an office.	Ta trabaja na oficina si Tom.
>>cbk<< We are to meet at noon.	Ay man mirahan kamé mediodía.
>>cbk<< What time do you close?	Que hora ustedes ta cerra?
>>cbk<< Where did you buy them?	Donde tu ya cumprá cunesos?
>>cbk<< Where's Tom's umbrella?	Donde ya el payung de Tom?
>>cbk<< Why are you busy today?	Por que tu busy este día?
>>cbk<< Why aren't you working?	Por que tu hindé ta trabajá?
>>cbk<< Why don't they like me?	Por que no quiere silá cumigo?
>>cbk<< Why don't they like me?	Por que hindé silá ta gustá cumigo?
>>cbk<< Why would Tom be angry?	¿Por que man ay rabiá si Tom?
>>cbk<< Are you afraid of death?	Tiene tu miedo murí?
>>cbk<< Are you afraid of death?	Tiene tu miedo na muerte?
>>cbk<< Did Tom really say that?	Ya hablá gayot ansina si Tom?
>>cbk<< Do you have a cellphone?	Tiene tu cellphone?
>>cbk<< Do you have any pencils?	Tiene tu masquín cosa lápiz?
>>cbk<< Do you have the picture?	Tallí cuntigo el retrato?
>>cbk<< Do you know how to swim?	Sabe tu nadá?
>>cbk<< Do you know what we did?	Sabe tu cosa kamé ya hacé?
>>cbk<< Do you know who made it?	Sabe tu quien ya hacé cunese?
>>cbk<< Do you like fruit salad?	Quiere quiere tu fruit salad?
>>cbk<< Does milk spoil quickly?	Pronto lang quedá malo el leche?
>>cbk<< Don't you have any more?	No hay mas ya ba tu?
>>cbk<< Eat a lot of vegetables.	Comé manada guláy.
>>cbk<< Everyone laughed at Tom.	Todo ya ri cun Tom.
>>cbk<< He drowned in the river.	Yan lumús le na río.
>>cbk<< He gave the child a toy.	Ya dale le jurgueza cunel batâ.
>>cbk<< He promised not to tell.	Ya prometé le hindé ablá.
>>cbk<< He was knee deep in mud.	Hasta rodillas de suyo el lodo.
>>cbk<< Help me move this stone.	Ayudá cumigo mové cuneste piedra.
>>cbk<< How do we do this again?	Pakimodo kitá háce cuneste olet?
>>cbk<< How do we do this again?	Pakimodo kitá háce cuneste otra vez?
>>cbk<< How do we do this again?	Pakimodo kamé háce cuneste olet?
>>cbk<< How do we do this again?	Pakimodo kamé háce cuneste otra vez?
>>cbk<< How do you go to school?	Pakimodo tu ta andá na escuela?
>>cbk<< I arrived here just now.	Ahora lang yo ya llegá aquí.
>>cbk<< I decided to go on foot.	Ya decidí yo caminando lang andá.
>>cbk<< I didn't catch the ball.	No hay yo cogí cunel bola.
>>cbk<< I don't know what to do.	Nusabe yo cosa hacé.
>>cbk<< I don't know where I am.	Nusabe yo donde yo.
>>cbk<< I don't know who it was.	Nusabe yo quien aquel.
>>cbk<< I don't like fried fish.	No quiere yo pescao frito.
>>cbk<< I don't want to be here.	No quiere yo está aquí.
>>cbk<< I don't want to be late.	No quiere yo man-late.
>>cbk<< I don't want to be late.	No quiere yo atrasá.
>>cbk<< I don't want to be rich.	No quiere yo quedá rico.
>>cbk<< I don't want to do that.	No quiere yo hacé cunese.
>>cbk<< I don't want to go back.	No quiere yo virá.
>>cbk<< I don't want to go home.	No quiere yo volvé.
>>cbk<< I don't want to hear it.	No quiere yo oí cunese.
>>cbk<< I don't want to see Tom.	No quiere yo mirá cun Tom.
>>cbk<< I have to clean my room.	Necesita yo limpiá mio cuarto.
>>cbk<< I know I made a mistake.	Sabe yo na yan kamalí yo.
>>cbk<< I left my watch at home.	Ya dejá yo de mío reloj na casa.
>>cbk<< I slept aboard the ship.	Ya durmí yo na barco.
>>cbk<< I slept aboard the ship.	Ya durmí yo abordo na barco.
>>cbk<< I thought Tom was funny.	Pensaba yo makarisas si Tom.
>>cbk<< I'll give you a present.	Ay dalé yo cuntigo un regalo.
>>cbk<< I'll lend you this book.	Dale yo cuntigo prestá este libro.
>>cbk<< I'm looking for a house.	Ta buscá yo un casa.
>>cbk<< Is Tom aboard that ship?	Abordo si Tom naquel barco?
>>cbk<< Is it OK if I stay here?	OK lang ba si quedá yo aquí?
>>cbk<< It wasn't what I wanted.	Hindê aquel el cosa yo quiere.
>>cbk<< It's your favorite song.	Amó se el de tuyo favorito canción.
>>cbk<< Let's go out for dinner.	Sale kita afuera para cena.
>>cbk<< Let's stay here forever.	Queda kita aqui hasta para cuando.
>>cbk<< Lunch is served at noon.	Mediodía ta sirví cunel comida.
>>cbk<< May I borrow your knife?	Puede yo prestá de tuyo cuchillo?
>>cbk<< My uncle gave me a book.	Ya dale cumigo un libro de mio tio.
>>cbk<< Nothing happened to Tom.	No hay cosa ya pasá cun Tom.
>>cbk<< Peel two of the bananas.	Cascá dos ságuing.
>>cbk<< Please close the window.	Favor cerrá cunel ventana.
>>cbk<< Please listen carefully.	Favor oí enbuenamente.
>>cbk<< Please tell me about it.	Favor cunta comigo sobre con aquel.
>>cbk<< She has attractive eyes.	Bonito de suyo ojos.
>>cbk<< She likes walking alone.	Quiere quiere le caminá solo solo.
>>cbk<< Show me what you bought.	Dale cumigo mirá el cosa tu ya comprá.
>>cbk<< That boy looks like Tom.	Ta semejá ese batâ hombre cun Tom.
>>cbk<< The bird is in its nest.	Tallá na de suyo pugarán el pajaro.
>>cbk<< The printer needs paper.	Necesita el printer papel.
>>cbk<< They abandoned the ship.	Ya abandoná silá cunel barco.
>>cbk<< They have a large house.	Tiene silá grande casa.
>>cbk<< They offered assistance.	Ya ofrecé silá asistencia.
>>cbk<< They're always fighting.	Pirmi silá tan peleahan.
>>cbk<< This book is very small.	Bien diútay este libro.
>>cbk<< This bread is delicious.	Sabroso esté pan.
>>cbk<< This flower smells nice.	Oloroso este flores.
>>cbk<< This restaurant is busy.	Este restaurante bien lleno.
>>cbk<< Those flowers have died.	Ya murí esos maga flores.
>>cbk<< Tom came here yesterday.	Ya vené si Tom aquí ayer.
>>cbk<< Tom ducked Mary's punch.	Ya man-ílag si Tom el golpe de María.
>>cbk<< Tom gave Mary his knife.	Ya dale si Tom de suyo cuchillo cun María
>>cbk<< Tom is in the warehouse.	Tallá na bodega si Tom.
>>cbk<< Tom is such a hypocrite.	Bien hipócrito si Tom.
>>cbk<< Tom needs a sharp knife.	Necesita si Tom cuchillo agudo.
>>cbk<< Tom picked up the knife.	Ya pipiná si Tom cunel cuchillo.
>>cbk<< Tom says he needs a hat.	Ya hablá si Tom necesita daw le sombrero.
>>cbk<< Tom sharpened his knife.	Ya amulá si Tom de suyo cuchillo.
>>cbk<< Tom used to be a waiter.	Waiter de antes si Tom.
>>cbk<< We are all going to die.	Todo kitá ay murí.
>>cbk<< We have no school today.	No hay kamé clase este dia.
>>cbk<< We have plenty of money.	Manada kitá sen.
>>cbk<< We have plenty of money.	Manada kitá dinero.
>>cbk<< What color is your hair?	Cosa el color de tuyo pelo?
>>cbk<< What time does it start?	Que hora kel ta principiá?
>>cbk<< Where did you get these?	Donde tu ya sacá cunestos?
>>cbk<< Where do you want to go?	Donde tu quiere andá?
>>cbk<< Who wrote these letters?	Quien ya escribí cunestos magá carta?
>>cbk<< Why do people tell lies?	Por que ta man imbusterías el magá gente?
>>cbk<< Why don't you let us go?	Por que hindé tu kanamon mandá andá?
>>cbk<< You don't have the time.	Nuáy tu tiempo.
>>cbk<< You don't have to study.	Usted jendêh necesita estudía.
>>cbk<< You don't have to study.	Tú jendêh necesita estudía.
>>cbk<< You don't have to study.	Vos jendêh necesita estudía.
>>cbk<< You don't have to study.	Evos jendêh necesita estudía.
>>cbk<< You don't have to study.	Jendêh usted necesita estudía.
>>cbk<< You don't have to study.	Jendêh tú necesita estudía.
>>cbk<< You don't have to study.	Jendêh vos necesita estudía.
>>cbk<< You dropped your pencil.	Ya cae de tuyo lápiz.
>>cbk<< Are my socks dry already?	Seco ya de mío mga calcetín?
>>cbk<< Are my socks dry already?	Seco ya de mío mga medias?
>>cbk<< Are you coming in or not?	Entrá tu o hindé?
>>cbk<< Are you paying attention?	Ta poné tu atención?
>>cbk<< Can I ask you a question?	Puede yo priguntá cuntigo?
>>cbk<< Can you taste the garlic?	Puede tu prubá cunel ajos?
>>cbk<< Christmas is coming soon.	Cerca ya el Pascua.
>>cbk<< Did she hurt that kitten?	Ya asé le sintí duele cunaquel gato diútay?
>>cbk<< Did you sew this by hand?	De mano lang tu cuneste ya cusí?
>>cbk<< Do you have a red pencil?	Tiene tu lápiz colorao?
>>cbk<< Do you have enough money?	Tiene tu suficiente sen?
>>cbk<< Do you know Tom's secret?	Sabe tu el sicreto de Tom?
>>cbk<< Do you know where I live?	Sabe tu donde yo ta quedá?
>>cbk<< Do you know where Tom is?	Sabe tu donde ya si Tom?
>>cbk<< Do you know why I'm here?	Sabe tu por qué yo taquí?
>>cbk<< Do you need an ambulance?	Necesita tu un ambulancia?
>>cbk<< Don't forget who you are.	No tu olvidá quien tu.
>>cbk<< Have you had your supper?	Ya cená ya tu?
>>cbk<< He bought a plane ticket.	Ya comprá le ticket para eroplano.
>>cbk<< He bought a plane ticket.	Ya comprá le ticket de eroplano.
>>cbk<< He threw the banana away.	Ya butá le cunel ságuing.
>>cbk<< He'll be here until noon.	Taquí le hasta mediodía.
>>cbk<< Hey, look what I'm doing.	Huy, mirá cosa yo ta hacé.
>>cbk<< Hold your breath, please.	No resollá, favor.
>>cbk<< How did you get up there?	Pakimodo tu ya subí alí arriba?
>>cbk<< How does this soup taste?	Cosa el sabor de este sopas?
>>cbk<< How does this soup taste?	Cosa el sabor d'este sopas?
>>cbk<< I cannot lift this stone.	No puede yo alzá cuneste piedra.
>>cbk<< I don't know who you are.	Nusabe yo quien ustedes.
>>cbk<< I don't want to die here.	No quiere yo murí aquí.
>>cbk<< I don't want to eat here.	No quiere yo comé aquí.
>>cbk<< I don't want to eat this.	No quiere yo comé cunesté.
>>cbk<< I don't want to get sick.	No quiere yo enfermá.
>>cbk<< I don't want to go there.	No quiere yo andá allí.
>>cbk<< I don't want to hurt her.	No quiere yo cunele hacé sentí duele.
>>cbk<< I don't want to kill you.	No quiere yo matá cuntigo.
>>cbk<< I don't want to lie down.	No quiere yo acustá.
>>cbk<< I don't want to remember.	No quiere yo acordá.
>>cbk<< I don't want to tell you.	No quiere yo hablá cuntigo.
>>cbk<< I have a rash on my neck.	Tiene yo rasquina na pescuezo.
>>cbk<< I have many things to do.	Manada yo cosa necesita hacé.
>>cbk<< I just want to say hello.	Quiere lang yo hablá hello.
>>cbk<< I know this is difficult.	Sabe yo dificil esté.
>>cbk<< I left my key in my room.	Ya dejá yo de mío llave na de mío cuarto.
>>cbk<< I made a lot of mistakes.	Manada yo malí ya hacé.
>>cbk<< I need to call Tom again.	Necesita yo llamá cun Tom olet.
>>cbk<< I need to call Tom again.	Necesita yo llamá cun Tom otra vez.
>>cbk<< I sat waiting on a bench.	Ya sinta yo na un banco esperando.
>>cbk<< I saw him cross the road.	Ya mirá yo cunele ta travesá na camino.
>>cbk<< I taught him how to swim.	Ya enseñá yo cunele pakimodo nadá.
>>cbk<< I want to be your friend.	Quiere yo quedá tuyo amigo.
>>cbk<< I would never lie to you.	Nunca gayot yo man imbustero cuntigo.
>>cbk<< I'm proud to be your son.	Orgulloso yo quedá de tuyu anak.
>>cbk<< Is it OK if I open a can?	Okey lang si abrí yo un lata?
>>cbk<< Is the rat alive or dead?	Muerto o vivo el ratón?
>>cbk<< May I ask some questions?	Puede yo preguntá?
>>cbk<< May I use your car today?	Puede ba yo usá de tuyo coche este dia?
>>cbk<< My sister is so annoying.	Bien makaimpestiá gayót de mío hermana.
>>cbk<< Please come back at once.	Favor virá aquí ahora mismo.
>>cbk<< She and I are classmates.	Ele patí yo, classmate kamé dos.
>>cbk<< Someone broke the window.	Tiene quien ya hacé quebrá cunel ventana.
>>cbk<< Someone is looking at me.	Tiene quien ta mirá cumigo.
>>cbk<< Tell her to come at noon.	Hablá cunele vené le mediodía.
>>cbk<< The book is on the table.	Tallá encima del mesa el libro.
>>cbk<< The car is in the garage.	Na garaje el coche.
>>cbk<< The flower pot is broken.	Quebrao el pasó.
>>cbk<< The train is due at noon.	Mediodia ay llega el tren.
>>cbk<< The women have umbrellas.	Tiene páyung el maga mujer.
>>cbk<< The world is a big place.	Un grande lugar el mundo.
>>cbk<< There is a spoon missing.	Tiene un cuchara perdido.
>>cbk<< There's another solution.	Tiene otro solución.
>>cbk<< There's sand in my shoes.	Tiene yo arena na mi zapatos.
>>cbk<< They want to be with you.	Quiere sila man junto contigo.
>>cbk<< This knife is very sharp.	Bien agudo esté cuchillo.
>>cbk<< To relax, breathe slowly.	Para relajá, resollá hinay-hinay.
>>cbk<< Tom and I went to Boston.	Ya andá kamé dos de Tom para na Boston.
>>cbk<< Tom attended the wedding.	Ya atendé si Tom cunel casamiento.
>>cbk<< Tom doesn't drink coffee.	Hindé ta tomá café si Tom.
>>cbk<< Tom gave Mary a necklace.	Ya dale si Tom cun María un cadenita.
>>cbk<< Tom is afraid of spiders.	Tiene si Tom miedo na maga gagamba.
>>cbk<< Tom is always in a hurry.	Apuráo pirmi si Tom.
>>cbk<< Tom is reading the Bible.	Ta lé si Tom cunel Biblia.
>>cbk<< Tom trimmed his mustache.	Ya menguá si Tom de suyo bigote.
>>cbk<< Tom was shot in the neck.	Ya tirá cun Tom na pescuezo.
>>cbk<< Tom's flight was delayed.	Yan delay el flight de Tom.
>>cbk<< We bought her a necklace.	Ya cumprá kamé un cadenita para cunele.
>>cbk<< We don't have to be here.	Hindê kitá necesita está aquí.
>>cbk<< We have lunch about noon.	Maga mediodía ya kamé ta comé.
>>cbk<< We have to do that today.	Necesita kitá hacé cunaquel este dia.
>>cbk<< We must wait for a table.	Debe kita espera para un mesa.
>>cbk<< We'll discuss that later.	Ay discutí kitá cunese luego.
>>cbk<< Welcome to San Francisco.	Bienvenidos na San Francisco.
>>cbk<< What are you waiting for?	Cosa tu ta esperá?
>>cbk<< Who said you could speak?	Quien ya hablá na puede tu man cuento?
>>cbk<< Why hasn't Tom called me?	Por que no hay llamá cumigo si Tom?
>>cbk<< You can pay at a counter.	Puede tu paga na counter.
>>cbk<< You three are very lucky.	Bien suerte gayót kamó tres.
>>cbk<< A fork fell off the table.	Ya cae un tenedor desde el mesa.
>>cbk<< Can I go home early today?	Puede ba yo volvé temprano este dia?
>>cbk<< Can you touch the ceiling?	Puede tu alcanzá cunel quísame?
>>cbk<< Could you look at me, Tom?	Tom, puede tu mirá cumigo?
>>cbk<< Do you have any questions?	Tiene tu mga pregunta?
>>cbk<< Do you know what Tom said?	Sabe tu cosa ya hablá si Tom?
>>cbk<< Do you know what to bring?	Sabe tu cosa llevá?
>>cbk<< Do you know where he went?	Sabe tu donde le ya andá?
>>cbk<< Do you know where we live?	Sabe tu donde kamé ta quedá?
>>cbk<< Do you know who said that?	Sabe tu quien ya hablá cunaquel?
>>cbk<< Do you think I don't care?	Ta pensá tu nuáy yo quever?
>>cbk<< Do you want to buy a duck?	Quiere tu comprá un pato?
>>cbk<< Don't make me do it again.	Numá mandá cumigo hacé cunese olét.
>>cbk<< Forgive me for being late.	Disculpá cumigo que atrasao yo.
>>cbk<< Fruits have seeds in them.	El maga fruta tiene pipita adentro.
>>cbk<< He always tells the truth.	Pirmi le ta ablá el verdad.
>>cbk<< He bought a dress for her.	Ya comprá le camisa para cunele.
>>cbk<< He didn't like being poor.	Nuáy le gustá quedá pobre.
>>cbk<< He tied the dog to a tree.	Ya amarrá le cunel perro na pónô.
>>cbk<< I can't go to Tom's party.	No puede yo andá na party de Tom.
>>cbk<< I can't reach the ceiling.	No puede yo alcanzá cunel quísame.
>>cbk<< I don't mind if you smoke.	Nuáy yo que ver si fumá tu.
>>cbk<< I don't understand German.	Hindé yo ta entendé alemán.
>>cbk<< I don't want to intervene.	No quiere yo entrameté.
>>cbk<< I don't want to leave Tom.	No quiere yo dejá cun Tom.
>>cbk<< I don't want to leave you.	No quiere yo dejá cuntigo.
>>cbk<< I don't want to scare you.	No quiere yo hacé miedo cuntigo.
>>cbk<< I don't want to shoot you.	No quiere yo tirá cuntigo.
>>cbk<< I don't want to sign that.	No quiere yo firmá cunese.
>>cbk<< I grew up in a small town.	Ya engrandá yo na un barrio diútay.
>>cbk<< I guess Tom already knows.	Ta pensá yo sabe ya si Tom.
>>cbk<< I have to open the window.	Necesita yo abrí cunel ventánâ.
>>cbk<< I heard a noise behind me.	Ya puede yo oí un alboroto atrás de mío.
>>cbk<< I know what that smell is.	Sabe yo cosa olor ese.
>>cbk<< I left my shoes at school.	Ya dejá yo de mío zapatos na escuela.
>>cbk<< I need someone to help me.	Necesita yo un gente para ayudá cumigo.
>>cbk<< I suspect Tom is confused.	Ta suspechá yo na confundido si Tom.
>>cbk<< I'm afraid of earthquakes.	Tiene yo miedo na temblor.
>>cbk<< I'm happy if you're happy.	Alegre yo si alegre tu.
>>cbk<< I've never seen Tom smile.	Nunca yo ya mirá cun Tom man-ngisî.
>>cbk<< Is this what you gave Tom?	Este el cosa tu ya dale cun Tom?
>>cbk<< It's nearly three o'clock.	Cerca ya alás tres.
>>cbk<< Mary is now a grandmother.	Abuela ya ahora si Mary.
>>cbk<< Mary is now a grandmother.	Lola ya ahora si Mary.
>>cbk<< Plastic boxes last longer.	Mas ta durá maga plastic cajón.
>>cbk<< Please don't smoke in bed.	Por favor no fumá na cama.
>>cbk<< Please lend me your knife.	Dale cumigo prestá de tuyo cuchillo.
>>cbk<< Stay away from that place.	Está lejos de aquel lugar.
>>cbk<< Tell me the truth, please.	Favor, ablá cumigo el verdad.
>>cbk<< The bottle contained wine.	Tiene lamán vino el botella.
>>cbk<< The fly is on the ceiling.	Tallá na quísame el mosca.
>>cbk<< The glass is full of milk.	Lleno de leche el vaso.
>>cbk<< The meeting was held here.	Aquí ya hacé cunel meeting.
>>cbk<< The meeting was held here.	Aquí ya hacé cunel junta.
>>cbk<< The pain is getting worse.	El dolor ta empeora.
>>cbk<< The two blamed each other.	Yan culpahan el dos.
>>cbk<< There's a cat in my house.	Tiene un gato adentro de miyo casa.
>>cbk<< They sank ten enemy ships.	Ya hacé silá sumí diez barco del enemigo.
>>cbk<< This coffee tastes bitter.	Paít man esté café.
>>cbk<< This store opens at eight.	A las ocho ta abrí este tienda.
>>cbk<< Tom can touch the ceiling.	Ta alcanzá si Tom cunel quísame.
>>cbk<< Tom is playing the violin.	Ta tocá si Tom cunel violín.
>>cbk<< Tom really needs help now.	Necesita gayót si Tom ayuda ahora.
>>cbk<< Tom shot Mary in the knee.	Ya tirá si Tom cun María na rodilla.
>>cbk<< Tom sometimes wears a hat.	Tiene vez ta usa sombrero si Tom.
>>cbk<< Tom told us he could help.	Ya hablá kanamon si Tom na puede le ayudá.
>>cbk<< We began our work at noon.	Ya principiá kamé trabajá mediodía.
>>cbk<< What's become of your dog?	Cosa ya man ya pasá cun tuyo perro?
>>cbk<< What's your favorite song?	Cosa de tuyo favorito canción?
>>cbk<< When does the movie start?	Cuando ay principiá el salida?
>>cbk<< Where is the nearest bank?	Donde el pinakacerca banco?
>>cbk<< Why didn't you wake me up?	Por que nuáy tu cumigo despiertá?
>>cbk<< Why does Tom need a knife?	Por que necesita si Tom cuchillo?
>>cbk<< Why does Tom work at home?	Por que na casa ta trabajá si Tom?
>>cbk<< You should pay your debts.	Necesita tu pagá el tuyo mga debe.
>>cbk<< You should've expected us.	No tú debe anticipá kanámon.
>>cbk<< Be careful with that knife.	Cuidao cunese cuchillo!
>>cbk<< Be careful with that knife.	Tiene cuidao cunese cuchillo!
>>cbk<< Can I borrow your scissors?	Puede yo prestá de tuyo tijeras?
>>cbk<< Did you hear Tom apologize?	Ya oí tu pidí desculpa si Tom?
>>cbk<< Do you know a good dentist?	Tiene tu conoce un buen dentista?
>>cbk<< Do you know what Tom wants?	Sabe tu cosa quiere si Tom?
>>cbk<< Do you know what Tom wants?	Sabe tu cosa si Tom quiere?
>>cbk<< Do you know what they said?	Sabe tu cosa silá ya hablá?
>>cbk<< Do you know what they want?	Sabe tu cosa silá quiere?
>>cbk<< Do you know where Tom went?	Sabe tu donde ya andá si Tom?
>>cbk<< Do you know where he lives?	Sabe tu donde le ta quedá?
>>cbk<< Don't ask me to explain it.	Numa cumigo mandá explicá cunese.
>>cbk<< Dry your face with a towel.	Hacé secá de tuyo cara cun un toalla.
>>cbk<< Every ship needs a captain.	Todo barco necesita un capitán.
>>cbk<< Every ship needs an anchor.	Todo barco necesita ancla.
>>cbk<< Frogs are afraid of snakes.	Tiene miedo el mga palaká na mga culebra.
>>cbk<< Give me back the TV remote.	Devolvé cumigo el remote del TV.
>>cbk<< He bought his son a camera.	Ya comprá le un cámera para de suyo anak.
>>cbk<< He started washing his car.	Ya principiá le lavá cunel de suyo coche.
>>cbk<< He thanked me for the gift.	Ya rindí le gracias cumigo por el regalo.
>>cbk<< He's always looking at you.	Pirmi le ta mirá cuntigo.
>>cbk<< His father was a policeman.	Pulís de suyo tata.
>>cbk<< How can we get out of here?	Pakimodo kitá salé aqui?
>>cbk<< I arrived in Tokyo at noon.	Mediodía yo ya llegá na Tokyo.
>>cbk<< I asked him if he was busy.	Ya preguntá yo con ele si ele ocupao.
>>cbk<< I asked him if he was busy.	Ya preguntá yo con ele si ele ocupado.
>>cbk<< I asked him if he was busy.	Yo ya preguntá con ele si ele ocupao.
>>cbk<< I asked him if he was busy.	Yo ya preguntá con ele si ele ocupado.
>>cbk<< I don't know what he'll do.	Nusabe yo cosa le ay hacé.
>>cbk<< I don't want to bother Tom.	No quiere yo distorbá cun Tom.
>>cbk<< I don't want to discuss it.	No quiere yo discutí cunese.
>>cbk<< I don't want to play cards.	No quiere yo jugá baraja.
>>cbk<< I don't want to scare them.	No quiere yo hacé miedo kanila.
>>cbk<< I don't want to work today.	No quiere yo trabajá este día.
>>cbk<< I left my hat on the plane.	Ya dejá yo de mío sombrero na eroplano.
>>cbk<< I left my umbrella at home.	Ya dejá yo de mío páyung na casa.
>>cbk<< I like to travel by myself.	Ta gusta yo viaja solo.
>>cbk<< I need somebody to help me.	Necesita yo un gente para ayudá cumigo.
>>cbk<< I saw a little boy running.	Ya mirá yo un batâ hombre ta corré.
>>cbk<< I started reading the book.	Ya principiá yo lé cunel libro.
>>cbk<< I took him to the hospital.	Ya llevá yo cunele na hospital.
>>cbk<< I'm allergic to chalk dust.	Allergic yo na polvos de yeso.
>>cbk<< I'm just going to sit here.	Ay sintá lang yo aquí.
>>cbk<< I'm just going to sit here.	Aquí lang yo sintá.
>>cbk<< I'm very sensitive to heat.	Bien sensitivo yo na calor.
>>cbk<< I've never seen a real cow.	Nunca yo ya puede mirá vaca deberasan.
>>cbk<< Is there a hospital nearby?	Tiene hospital cerca aquí?
