>>tuk<< Go.	Gitmek.
>>tuk<< Can you read that sign ahead of us?	Öñümizdaki şekili okap bilýäñmi?
>>tuk<< Could you please turn on the radio?	Haýyş, radiony açyp bilermisiňiz?
>>tuk<< Could you please turn on the radio?	Gaýrat et, radiony açarmysyň?
>>tuk<< Could you please turn the radio on?	Haýyş, radiony açyp bilermisiňiz?
>>tuk<< Could you please turn the radio on?	Gaýrat et, radiony açarmysyň?
>>tuk<< Did you enjoy your winter holidays?	Gyşky dynç alyşyňdan lezzet aldyňmy?
>>tuk<< Did you fill out the questionnaire?	Sen soragnamany doldurdyñmy?
>>tuk<< Don't talk to your mother that way.	Ejeň bilen beýle gepleşme.
>>tuk<< He is prisoner, but he is innocent.	Ol tussagdyr, ýöne bigünädir.
>>tuk<< He said he didn't like his new job.	Ol özüniñ täze işini halamýandygyny aýtdy.
>>tuk<< I am sure that he is an honest man.	Men onuň dogruçtl adamdygyna ynanýaryn.
>>tuk<< I bought the car at a 10% discount.	Men ulagy 10% arzanladyş bilen satyn aldym.
>>tuk<< I can't sleep if the lights are on.	Men çyra yanyk wagty yatyp bilmeýärin.
>>tuk<< I can't sleep if the lights are on.	Eger çyra ýanyp duran bolsa, men ýatyp bilmerin.
>>tuk<< I did it because everyone else did.	Ony başka hemme edendigi üçin men hem etdim.
>>tuk<< I don't have a present for Tom yet.	Häli Tom üçin sowgadym ýok.
>>tuk<< I don't have any chains for my car.	Mende masynym ucin hic hili zynjyrym yok.
>>tuk<< I don't like talking about the war.	Men uruş barada gürrüň etmek halamaýaryn.
>>tuk<< I don't want to read anything else.	Meniñ başga zat okasym gelenok.
>>tuk<< I don't want to read anything else.	Meniñ hiç zat okasym gelenok.
>>tuk<< I don't yet have a present for Tom.	Tom üçin häli sowgadym ýok.
>>tuk<< I felt a sharp pain in the stomach.	Garnymda ýiti agyry duýdum.
>>tuk<< I have a good mind to study abroad.	Daşary ýurda okuwa gidäýesim gelýär.
>>tuk<< I hope to see you again in October.	Oktýabrda ýene görüşeris diyip umyt edýän.
>>tuk<< I knew Tom wouldn't do it properly.	Tomuň muny dogry etmejegini bilýärdim.
>>tuk<< I knew you'd fail your French test.	Men seniň fransuz dili boýunça testiňden geçmejegiňi bilýärdim.
>>tuk<< I knew you'd fail your French test.	Men siziň fransuz dili boýunça testiňizden geçmejegiňizi bilýärdim.
>>tuk<< I know Tom knew that Mary did that.	Meriniň şony edendigingen Tomuň habarynyň bardygyny men bilýärin.
>>tuk<< I know that Tom can't speak French.	Men Tomuñ Fransuzça gürläp bilmeýänligini bilýärin.
>>tuk<< I opened the can, but it was empty.	Men kanserwa gutyny açdym, emma ol boşdy.
>>tuk<< I saw Tom last weekend at the club.	Geçen hepde soňunda Tomy klubda gördüm.
>>tuk<< I saw Tom sitting in the third row.	Tomuň üçünji hatarda oturýandygyny gördüm.
>>tuk<< I saw Tom's car in the parking lot.	Tomuň maşynyny maşyn goýulýan ýerde gördüm.
>>tuk<< I think that Tom is going to be OK.	Meniň pikirimçe Tom gowy boljak.
>>tuk<< I want to spend more time with Tom.	Men köp wagtymy Tom bilen geçirmekligimi isleýärin.
>>tuk<< I want to wait until Tom gets here.	Tom bärik gelýänçä garaşasym gelýär.
>>tuk<< I wonder how Tom went to Australia.	Tomuň nädip Awstraliýa gidendigi barada gyzyklanýaryn.
>>tuk<< I'll be out of town for a few days.	Men birki günlügine şäherde bolmaryn.
>>tuk<< I'm sure Tom wants to live with us.	Tomuň biziň bilen ýaşamak isleýändigine meniň ynanym güýçli.
>>tuk<< I've already told this to the cops.	Eýýäm muny polisiýalara aýtdym.
>>tuk<< It'll take us hours to finish this.	Muny gutarmagymyz sagatlarymyzy alyp biler.
>>tuk<< It's true that Tom is in Australia.	Tomuň Awstraliýadadygy dogry.
>>tuk<< It's true that Tom is in Australia.	Dogry şol Tom Awstraliýada.
>>tuk<< Leave the door open when you leave.	Gitjek wagtyňyz işigi açyklygyna galdyryň.
>>tuk<< Let me have a look at those photos.	Hany, şol suratlara bir seredip goreýinle.
>>tuk<< My mommy and daddy won't forget me.	Meniň ejem we kakam meni ýatlaryndan çykarmazlar.
>>tuk<< My mother is a high school teacher.	Meniň ejem ýokary synp mugallymydyr.
>>tuk<< Not every student has a dictionary.	Her okuwçynyñ sözlügi ýok
>>tuk<< Oregon is just south of Washington.	Oregon Waşingtonyň edil günortasynda.
>>tuk<< Oregon is just south of Washington.	Oregon Waşingtonyň edil günortasynda ýerleşýär.
>>tuk<< Please tell Tom to do that at 2:30.	Haýyşt, Tom-a şony 2:30 da etmelidgini aýdaý.
>>tuk<< She got up at seven in the morning.	Ol irden sagat ýedide oýandy.
>>tuk<< She speaks both English and French.	O iňlisçe we fransuzça ikisinde-de gepleýär.
>>tuk<< She speaks both English and French.	O iňlisçe-de, fransuzça-da gepleýär.
>>tuk<< She speaks both English and French.	O hem iňlisçe, hem fransuzça gepleýär.
>>tuk<< She was reading a gardening manual.	Bagçylyk gollanamsyny okaýardy.
>>tuk<< She went to the market once a week.	Ol bazara hepdede bir gezek barýardy.
>>tuk<< Tell us a little about your family.	Öz maşgalaň hakynda birazajyk gürrüň ber.
>>tuk<< The girl in the picture is smiling.	Suratdaky gyz ýylgyrýar.
>>tuk<< The suspect is armed and dangerous.	Şübheli ýaragly we howply.
>>tuk<< There is a military base near here.	Bu golaýlarda harby ýerzemin bar.
>>tuk<< They were waiting for the go-ahead.	Start uçin garaşýardylar.
>>tuk<< This bicycle belongs to my brother.	Bu welosiped oglan doganymyňky
>>tuk<< This bicycle belongs to my brother.	Bu tigir oglan doganymyňky
>>tuk<< This is something I bought for you.	Bu zat meniñ seniñ üçin satyn alan zadym
>>tuk<< This is the guitar I like the best.	Bu meniň iň gowy görýän gitaram.
>>tuk<< Thousands of people gathered there.	Müňlerçe adamlar şol ýerde ýygnanyşdylar.
>>tuk<< Today's weather is somewhat better.	Bu gün howa biraz gowy.
>>tuk<< Today's weather is somewhat better.	Bu gün howa azajyk gowurak.
>>tuk<< Tom and Mary want to change things.	Tom we Mery üýtgeşiklik isleýärler.
>>tuk<< Tom asked me to come back tomorrow.	Tom menden ertir gelmegimi sorady.
>>tuk<< Tom became the head of the company.	Tom firmanyñ başlygy boldy.
>>tuk<< Tom came downstairs in his pajamas.	Tom pižamasynda aşak geldi.
>>tuk<< Tom came downstairs in his pajamas.	Tom pižamasynda aşaky gata geldi.
>>tuk<< Tom didn't know Mary had done that.	Tom Meriniň şony edendigini bilenokdy.
>>tuk<< Tom hadn't talked to them in years.	Tom ýyllar boldy ol bilen gepleşmändi.
>>tuk<< Tom has no right to give me orders.	Tomuň maňa emir bermäge hakky ýok.
>>tuk<< Tom hasn't asked a single question.	Tom ýekeje sorag hem soramady.
>>tuk<< Tom is going to Australia tomorrow.	Tom ertir Awstraliýa gidip barýar.
>>tuk<< Tom is not as good-looking as Mary.	Tom Meri ýaly göze gelüwli däl.
>>tuk<< Tom is not as good-looking as Mary.	Tom Meri ýaly gelşikli däl.
>>tuk<< Tom is older than anyone else here.	Tom bu ýerdäki adamlaryñ hemmesinden uly.
>>tuk<< Tom is still a bartender, isn't he?	Tom bufetçi, şeýle dälmi?
>>tuk<< Tom is trying to do that, isn't he?	Tom ony etmekçi bolýar, şeýle dälmi?
>>tuk<< Tom is used to hard work, isn't he?	Tom kyn işlere öwrenişen, şeýle dalmi?
>>tuk<< Tom isn't going to let that happen.	Tom şonuň bolmagyna rugsat bermez.
>>tuk<< Tom kept me from joining the group.	Tom meni ol topara goşulmakdan saklady.
>>tuk<< Tom kissed Mary softly on the lips.	Tom Maryýi ýumşakja edip ýaňaklaryndan ogşady.
>>tuk<< Tom knew his plan wasn't very good.	Tom öz planynyň onçakly gowy däldigini bilýärdi.
>>tuk<< Tom passed away three months later.	Tom üç aý mundan ozal ýogaldy.
>>tuk<< Tom plays the piano better than me.	Tom pianinony menden gowy çalýar.
>>tuk<< Tom put the tray down on the table.	Tom podnosy stoluñ üstünde goýdy.
>>tuk<< Tom said that he felt disappointed.	Tom özüniň gamgyn bolandygyny aýtdy.
>>tuk<< Tom says he isn't afraid of ghosts.	Tom ruhlardan gorkmaýandygyny aýdýar.
>>tuk<< Tom seems to know all that already.	Tom eýýäm bulary bilýän ýaly görünýär.
>>tuk<< Tom thinks his parents are perfect.	Tom öz ene-atasyny ajaýyp gorýär.
>>tuk<< Tom thinks his parents are perfect.	Tomuñ pikiriçe onuñ ene-atasy gowy.
>>tuk<< Tom thought that Mary had run away.	Tom Mary gaçandyr öýtdi.
>>tuk<< Tom thought that Mary had run away.	Tom Mary gaçandyr diýip pikir etdi.
>>tuk<< Tom told me he'd never let me down.	Tom meniň lapymy asla keç etmejekdigini aýtdy.
>>tuk<< Tom wanted to do that this morning.	Tom ony irden etjek boldy.
>>tuk<< Tom wants to go and see his father.	Tom gitmek we kakasyny görmek isleýär.
>>tuk<< Tom wants to go and see his father.	Tom gidip kakasyny görmek isleýär.
>>tuk<< Tom will figure out how to do that.	Tom muny nädip etmelidigini biler.
>>tuk<< Tom's mother told him to come home.	Tomuň ejesi onuň öýe gelmegini aýtdy.
>>tuk<< Tom's reply didn't surprise anyone.	Tomuň jogaby hiç kimi geň galdyrmady.
>>tuk<< We don't know what happened to Tom.	Biz Toma näme bolandygyny bilmeýäris.
>>tuk<< We haven't had time to do that yet.	Muny eder ýaly wagtymyz bolmady.
>>tuk<< We leave for Boston in the morning.	Biz Bostona irden ugrarys.
>>tuk<< We were together about three years.	Üç ýyl ýaly bilelikdedik.
>>tuk<< When are you coming back to Boston?	Sen yzyňa Bostona haçan gelýärsiň?
>>tuk<< Where have you been? I was worried.	Sen nirede bolduñ? Men alada etdim.
>>tuk<< Will you please tell me the secret?	Haýyş edýän maňa syry aýdaýda?
>>tuk<< Will you please tell me the secret?	Haýyş edýän maňa syry aýdaýyňda?
>>tuk<< All you have to do is try your best.	Diňe etmeli zat,elimizden gelen zady etmekdir.
>>tuk<< Anyway, I'm just here for the night.	Iñsoñam, men bu gije bu ýerde bolýan.
>>tuk<< Boston wasn't cold when I was there.	Men ol ýerde bolanymda Bostan sowuk däldi.
>>tuk<< Did Tom give any other instructions?	Tom başga-da görkezme berdimi?
>>tuk<< Did you know that Tom could do that?	Tomuň şony edip biljekdigini sen bilmediňmi?
>>tuk<< Did you know that Tom could do that?	Tomuň şony edip biljekdigini siz bilmediňizmi?
>>tuk<< Do we have enough food for everyone?	Hemme kişi üçin ýeterlik nahar barmy?
>>tuk<< Do we have enough food for everyone?	Hemmelere ýeterlik naharymyz barmy?
>>tuk<< Do you go to the same school as Tom?	Sen Tomuň gidýän mekdebine gidýärsiňmi?
>>tuk<< Do you go to the same school as Tom?	Siz Tomuň okaýan mekdebinde okaýarsyňyzmy?
>>tuk<< Don't cut it too short in the front.	Öñ tarapyny gysga kesme.
>>tuk<< Don't you have something else to do?	Seniň etmeli işiň ýokmy?
>>tuk<< Don't you have something else to do?	Seniň edere işiň ýokmy?
>>tuk<< Don't you have something else to do?	Edere başga zadyň ýokmy?
>>tuk<< Don't you have something else to do?	Edere başga zadyňyz ýokmy?
>>tuk<< Germany shares a border with France.	Germaniýanyň Fransiýa bilen araçägi bar.
>>tuk<< He has every reason to quit his job.	Onuñ işden çykmak üçin her hili bahanasy bar.
>>tuk<< He is older than you by eight years.	Ol oglan senden sekiz ýaş uly.
>>tuk<< I advised Tom not to buy a used car.	Men Toma ulanylan ulagy satyn almazlygy maslahat berdim.
>>tuk<< I can't come to the phone right now.	Şu wagt telefona gelip bilmeýen.
>>tuk<< I can't figure out why Tom did that.	Men entägem Tomuň näme üçin beýle edenine düşünemok.
>>tuk<< I can't wait to tell Tom about this.	Toma muny aýtmaga sabyrsyzlanýaryn.
>>tuk<< I did it because everybody else did.	Ony başka hemme edendigi üçin men hem etdim.
>>tuk<< I didn't ask Tom why he wanted this.	Men Tomdan muny näme üçin islänini soramadym
>>tuk<< I don't think Tom's answer is wrong.	Men Tomuñ jogaby ýalñyşdyr öýdemok.
>>tuk<< I don't think Tom's answer is wrong.	Meniñ pikirimçe Tomuñ jogaby ýalñyş däl
>>tuk<< I don't want to look like a tourist.	Men turist ýaly görünmek islämok.
>>tuk<< I don't want to love Mary, but I do.	Men Merini söýmek islämok ýöne söýýän.
>>tuk<< I gave Tom all the money that I had.	Mende bolan hemme puly Toma berdim.
>>tuk<< I had trouble getting the door open.	Meñ gapyny açmakda kynçylygym boldy.
>>tuk<< I have to get rid of all this stuff.	Maña bu zatlaryñ barsyndan dynmak gerek.
>>tuk<< I know Tom doesn't want to be there.	Tomuň şol ýerde bolmak islemeýändigini bilýärin.
>>tuk<< I really wanted to do that with you.	Men hakykatdanam şony seniň bilen etmek isledim.
>>tuk<< I really wanted to do that with you.	Men hakykatdanam şony siziň bilen etmek isledim.
>>tuk<< I saw Tom last night in the library.	Düýn gije Tomy kitaphanada gördüm.
>>tuk<< I saw Tom with Mary the other night.	Geçen gije Tomy Mary bilen gördüm.
>>tuk<< I think I'm in trouble with my wife.	Aýalym bilen ýaman işe düşdüm öýdýärin.
>>tuk<< I thought Tom would want to help me.	Men Tom maňa kömek eder diýip pikir edipdim.
>>tuk<< I thought that Tom was going to win.	Men Tom utar diýip pikir etdim.
>>tuk<< I thought that Tom would come alone.	Men Tom ýeke geler diýip pikir etdim.
>>tuk<< I want books to be written about me.	Men kitaplaryñ men barada ýazylan bolmagyny isleýän.
>>tuk<< I want to know exactly what you did.	Men seniň näme edeniňi takyk bilmek isleýärin.
>>tuk<< I want to know exactly what you did.	Men siziň näme edeniňizi takyk bilmek isleýärin.
>>tuk<< I wish you'd told me the truth then.	Sen ol wagt maña hakykaty aýdan bolsadyñ.
>>tuk<< I'd like to offer you your job back.	Men işiňizi size yzyna bermegi teklip etmek islärdim.
>>tuk<< I'd like to offer you your job back.	Men işiňi yzyna saňa bermegi teklip etmek islärdim.
>>tuk<< I'd love to have breakfast with you.	Men seniñ bilen ertirlik edinsedim gowy bolardy.
>>tuk<< I'll be very tired after doing that.	Ony edenimden soñ men gaty ýadaw bolaryn.
>>tuk<< I'll never be able to do that again.	Muny ýene bir gezek hiç haçan etmerin.
>>tuk<< I'm getting sent to Australia again.	Meni ýene Awstraliýa ugradýarlar.
>>tuk<< I'm going to come back here tonight.	Men bu ýere agşamlyk ýene geljek bolýan.
>>tuk<< I'm going to cook you a nice dinner.	Men seniň üçin bir gowy nahar bişirjek bolýan.
>>tuk<< I'm going to cook you a nice dinner.	Men saňa gowy agşamlyk nahary bişirip berjek.
>>tuk<< I'm going to cook you a nice dinner.	Men size gowy agşamlyk nahary bişirip berjek.
>>tuk<< I've become accustomed to the noise.	Men galmagala öwrenişdim.
>>tuk<< I've never forgotten Tom's birthday.	Tomyň doglan günini hiç ýatdan çykarmadym.
>>tuk<< Is everything arranged for tomorrow?	Ertire hemme zat ýerleşdirilenmi / meýilleşdirilenmi?
>>tuk<< It's pretty clear we have a problem.	Bir meselämiz bardygy boldugyça görünüp dur.
>>tuk<< Mothers often pamper their children.	Köplenç ejeler çagalaryny läliksiredýäler.
>>tuk<< On which chair did you put the book?	Kitaby haýsy stola goýduň?
>>tuk<< Please wait while I get you a towel.	Haýyş men saňa elsüpürgiç getirýänçäm garaş.
>>tuk<< She saw a young man at the entrance.	Ol gyz bosagada bir ýaş ýigidi gördi.
>>tuk<< Sometimes it's better to keep quiet.	Käwagt ýuwaş bolup oturmak gowy
>>tuk<< Sometimes it's better to keep quiet.	Käwagt sessizlik gowy.
>>tuk<< Sometimes it's better to keep quiet.	Käwagt sessiz bolmak gowydyr.
>>tuk<< Swimming isn't allowed in this lake.	Bu kölde ýüzmäge rugsat berilmeýär.
>>tuk<< That's an entirely different matter.	Bu dolulygyna başga bir ýagdaýdyr.
>>tuk<< That's the way I would've done that.	Men şony şeýdip ederdim.
>>tuk<< The economy has entered a recession.	Ykdysadyýet pese düşmegine / çöküşe girdi.
>>tuk<< The fox and the bear lived together.	Tilki we aýy bilelikde ýaşaýardylar.
>>tuk<< The swimmers are entering the water.	Ýüzüjiler suwa girýärler.
>>tuk<< This car belongs to you, doesn't it?	Bu maşyn saňa degişli, şeýle dälmi?
>>tuk<< This car belongs to you, doesn't it?	Bu maşyn size degişli, şeýle dälmi?
>>tuk<< This is a good learning environment.	Bu gowy öwrenme gurşawy.
>>tuk<< Tom and Mary were talking in French.	Tom we Mary Fransuzça gürleýärler.
>>tuk<< Tom came here to ask us to help him.	Tom oňa kömegi bizden soramaga bärik geldi.
>>tuk<< Tom can't stand up straight anymore.	Tom dikligine durup bilmeýär.
>>tuk<< Tom corrected what Mary had written.	Tom Meryñ ýazyp goýan zadyny düzetdi.
>>tuk<< Tom couldn't wait until the weekend.	Tom hepde soňuna çenli garaşyp bilmedi.
>>tuk<< Tom doesn't have to apologize to me.	Toma menden ötünç soramak gerek däl.
>>tuk<< Tom doesn't want to do that with me.	Tom ony meniñ bilen etmek islemeýär.
>>tuk<< Tom is a pretty good French speaker.	Tom fransuzça gowja gepleýär.
>>tuk<< Tom is brushing his daughter's hair.	Tom gyzynyň saçyny daraýar.
>>tuk<< Tom is exactly the same age as Mary.	Tom Mary bilen ýaşdaş.
>>tuk<< Tom is going to do that, eventually.	Tom ahyrsoňy şony eder.
>>tuk<< Tom is still not ready to go, is he?	Tom gitmäge entägem taýyn däl, şeýle gerek?
>>tuk<< Tom is young, but he isn't innocent.	Tom ýaş, emma ol günäsiz däl.
>>tuk<< Tom knew that Mary was in Australia.	Tom Marynyň Awstraliýadadygyny bildi.
>>tuk<< Tom left his daughter alone at home.	Tom gyzyny öýde ýeke goýup gitdi.
>>tuk<< Tom said I needed to get more sleep.	Tom maňa biraz ýene uklamalydygymy aýtdy.
>>tuk<< Tom said that he'd get home by 2:30.	Tom 2:30-a çenli öýe geljekdigini aýtdy.
>>tuk<< Tom said that nobody else was there.	Tom ol ýerde başga hiç kim ýokdy diýdi.
>>tuk<< Tom says he knows Mary will do that.	Tom Meriniň şony etjekdigini bilýändigini aýdýar.
>>tuk<< Tom should leave things as they are.	Tom hemme zady boluşy ýaly goýsa gowy bolar.
>>tuk<< Tom was living with us at that time.	Ol wagt Tom biz bilen ýaşaýardy.
>>tuk<< Tom wasn't frustrated, but Mary was.	Tom gussaly däldi, emma Meri gussalydy.
>>tuk<< Tom's dog has black and white spots.	Tomuň güjüginde ak we gara tegmiller bar.
>>tuk<< Unfortunately, I can't come tonight.	Gynansakda, men şu gije gelip bilmeýärin.
>>tuk<< We need to go to Boston to help Tom.	Biz Toma kömek etmek üçin Bostona gitmeli.
>>tuk<< We spent the night in a cheap hotel.	Arzan otelde gijämizi geçirdik.
>>tuk<< We spent the night in a cheap hotel.	Arzan myhmanhanda gijämizi geçirdik.
>>tuk<< Who told you I'd be able to do that?	Men ony başararyn diýip saña kim aýtdy?
>>tuk<< Why does Tom want to be a carpenter?	Tomyñ näme üçin agaç ussasy bolasy gelýär?
>>tuk<< Why does Tom want to be a carpenter?	Näme üçin Tom agaç ussasy bolmak isleýär?
>>tuk<< You aren't afraid of dying, are you?	Ölmekden gorkmaýaň dälmi?
>>tuk<< You don't entirely trust us, do you?	Sen bize doly ynanañok, şeýle dälmi?
>>tuk<< You have to come back in 30 minutes.	Sen 30 minutdan yzyňa gelmeli.
>>tuk<< You should've followed Tom's orders.	Tomuň görkezmelerini diňlemelidiň.
>>tuk<< You're a lot smarter than you think.	Sen oýlanyňdan köp akylly sen.
>>tuk<< All big cities have traffic problems.	Hemme uly şaherleriñ trafik meselesi bar.
>>tuk<< Can any of your friends speak French?	Seniň haýsydyr bir dostuň Fransuzça gepläp bilýärmi?
>>tuk<< Do you and Tom still hate each other?	Tom ikiñiz entägem bir-biriñizi ýigrenýäñizmi?
>>tuk<< Do you think you're smarter than Tom?	Seniň pikiriňçe sen Toma garnyňda biraz akyllyrakmyň?
>>tuk<< Do you want me to spy on Tom for you?	Siz özüňiz üçin meniň Toma içalylyk etmegimi isleýärsiňizmi?
>>tuk<< Do you want me to spy on Tom for you?	Sen özüň üçin meniň Toma içalylyk etmegimi isleýärsiňmi?
>>tuk<< Do your parents leave you home alone?	Seniñ eneñ-atañ seni öýde ýeke goýup gidýärlermi?
>>tuk<< Don't try to pretend you're innocent.	Özüñi günäsiz ýaly alyp barjak bolma.
>>tuk<< Have you discussed this with anybody?	Muny kimdir biri bilen gepleşip gördüňmi?
>>tuk<< He finally decided to propose to her.	Soňunda özüne teklip bermege karar berdi.
>>tuk<< His house is at the foot of Mt. Fuji.	Onuñ öýi Fuji dagynyñ eteginde.
>>tuk<< Hotels are cheaper in the off season.	Oteller ýapyk sezonda öran arzandyr.
>>tuk<< How many apples have you eaten today?	Şu gün näçe sany alma iýdiňiz?
>>tuk<< How many apples have you eaten today?	Şu gün näçe sany alma iýdiň?
>>tuk<< How many minutes ago did that happen?	Bu näçe minut mundan öň bolup geçdi?
>>tuk<< I brought what Tom asked me to bring.	Tomuň getirmegimi isleyän zadyny getirdim.
>>tuk<< I don't care if Tom does that or not.	Tomuň edip etmemesi meni gyzyklandyrmaýar
>>tuk<< I don't think that Tom was satisfied.	Tom hoşal bolandyr öýdemok.
>>tuk<< I don't think that Tom was satisfied.	Men Tom hoşal bolandyr diýip pikir edemok.
>>tuk<< I don't think this is the wrong road.	Men bu ýol ýalñyşdyr öýdemok.
>>tuk<< I don't think this is the wrong road.	Meniñ pikirimçe bu ýol ýalñyş däl
>>tuk<< I doubt I'll be successful this time.	Men bu gezek başararyn öýdemok
>>tuk<< I doubt I'll be successful this time.	Men bu sapar başararyn diýp pikir edemok
>>tuk<< I know Tom isn't much taller than me.	Tomuň menden gaty uzyn däldigini men bilýärin.
>>tuk<< I run before breakfast every morning.	Men her gün irden ertirlikden öň ylgamana gidýärin.
>>tuk<< I saw Tom's picture in the newspaper.	Gazetde Tomuň suratyny gördüm.
>>tuk<< I suspect that isn't going to happen.	Meniň şübhelemegim boýunça ol bolmaz öýtýän.
>>tuk<< I suspect that's not going to happen.	Meniň şübhelemegim boýunça ol bolmaz öýtýän.
>>tuk<< I think that I'll go and take a bath.	Meniñ pikirimçe men giderin we suwa düşerin
>>tuk<< I think you are a really nice person.	Meniňçe,sen hakykatdan hem gowy adamsyň.
>>tuk<< I thought that your parents liked me.	Men seniň ene-ataň meni halandyr öýdip pikir etdim.
>>tuk<< I usually try to eat a healthy lunch.	Men adatça saglykly günortanlyk nahary iýjek bolýaryn.
>>tuk<< I usually try to eat a healthy lunch.	Men adatça saglykly günortanlyk nahary iýmäge çalyşýaryn.
>>tuk<< I want you to listen to me carefully.	Meni ünüsli diñlemegiñi isleýän.
>>tuk<< I wish I knew more than one language.	Men bir dilden köp dil bilsedim.
>>tuk<< I wonder whether it'll snow tomorrow.	Men ertir gar ýagarmyka diýip gyzyklanýaryn.
>>tuk<< I wrote Tom three letters last month.	Men geçen aý Toma üç sany hat ýazdym
>>tuk<< I'll be here waiting for you at 2:30.	Men 2:30 - da saña garaşmak üçin bu ýerde bolaryn.
>>tuk<< I'll be here waiting for you at 2:30.	Men bu ýerde sagat 2:30-da saña garaşyp oturaryn.
>>tuk<< I'm afraid that's no longer possible.	Bu indi hiç haçan mümkin bolmaz diýip men gorkýaryn.
>>tuk<< I'm grateful you volunteered to help.	Seniň meýletin kömekleşeniň üçin men örän minnetdar.
>>tuk<< I'm grateful you volunteered to help.	Siziň meýletin kömekleşeniňiz üçin men örän minnetdar.
>>tuk<< I'm hoping for a really big discount.	Men hakyky uly arzanladyşa umyt edýärin.
>>tuk<< I'm quite certain Tom didn't do that.	Ony Tomyñ etmedigine takyk ynamym bar.
>>tuk<< I'm sorry, but I can't stay for long.	Bagyşlarsyň weli, men uzak wagtlap galyp bilmeýärin.
>>tuk<< I've never met a kinder man than Tom.	Men hiç haçan Tomdan gowy adamyny görmedim.
>>tuk<< I've never met a kinder man than Tom.	Men Tomdan gowy adama hiç haçan duşmadym.
>>tuk<< If I were a bird, I could fly to you.	Eger-de men guş bolan bolsadym, men saňa uçup bilerdim.
>>tuk<< It gets quite hot here in the summer.	Tomusda bärde ýeterlik gyzýar.
>>tuk<< It isn't true that Tom saw a monster.	Tomuň döw görendigi dogry däl.
>>tuk<< It's only three miles to the village.	Oba çenli bary ýogy üç mil bar.
>>tuk<< Let's put up the Christmas tree here.	Gel, Roždestwo agajyny şu ýerde goýaly.
>>tuk<< Monday morning I was bitten by a dog.	Duşenbe güni irden men bir güjük tarapyndan dişlendim.
>>tuk<< Peach trees require lots of sunshine.	Şetdaly agaçlary günüň ýagtylygynyň bol bolmagyny talap edýärler.
>>tuk<< Police continued their investigation.	Polisiýa olaryň barlagyny dowam etdirdi.
>>tuk<< Rabid dogs usually foam at the mouth.	Guduzlan güjükleriň agzy köpürjikleýär.
>>tuk<< She died on a cold night in December.	Dekabr aýynda sowuk bir gijede aradan çykdy.
>>tuk<< That gold ring belonged to my mother.	Ol altyn ýüzik meniñ ejeme degişlidi.
>>tuk<< That's the way things were back then.	Şol döwürler ýagdaýlar şeýledi.
>>tuk<< The flowers in the garden need water.	Bakjadaky güllere suw gerek
>>tuk<< The person who's helping Tom is Mary.	Toma kömek edip duran kişi Meri.
>>tuk<< The soldier aimed his gun at the man.	Esger ýaragyny adama dogrultdy.
>>tuk<< The teacher permitted him to go home.	Mugallym oňa öýüne gitmäge rugsat berdi.
>>tuk<< They have old construction equipment.	Olaryň köne gurluşyk enjamlary bar.
>>tuk<< Things were happening pretty quickly.	Zatlar ep-esli çalt bolup geçýärdi.
>>tuk<< This is the best book I've ever read.	Bu meniň haçan hem bolsa okan iň gowy kitabym.
>>tuk<< This is the best book I've ever read.	Bu meniň şu wagta çenli okan iň gowy kitabym.
>>tuk<< This seems to be a pretty busy place.	Bu mazaly başagaý ýere meňzeýär.
>>tuk<< Tom and Mary are both horrible liars.	Tom hem Mary hem erbet ýalançydylar.
>>tuk<< Tom doesn't know how much I love him.	Tom meñ ony nähili gowy görýändigimi bilenok.
>>tuk<< Tom gave us something in a small box.	Tom bize kiçi gutuda bir zat berdi.
>>tuk<< Tom had to go to Australia with Mary.	Tom Awstraliýa Meri bilen gitmelidigine mejbur boldy.
>>tuk<< Tom is a really bad singer, isn't he?	Tom hakyktdan hem erbet aýdymçy, şeýle dälmi?
>>tuk<< Tom is already quite drunk, isn't he?	Tom eýýäm serhoş,dälmi?
>>tuk<< Tom isn't as chubby as he used to be.	Tom öňküsi ýaly pokgaja däldir.
>>tuk<< Tom needed to find someplace to live.	Tom ýaşamak üçin bir ýer tapmalydy.
>>tuk<< Tom says Mary doesn't like Australia.	Tom Meriniň Awstraliýany halamaýandygyny aýdýar.
>>tuk<< Tom says that he has a secret weapon.	Tomyň aýtmagyna görä onda gizlin ýarag bar.
>>tuk<< Tom seems to know a lot about Boston.	Tom Boston barada köp zat bilýäne meñzeýär.
>>tuk<< Tom spends most of his money on food.	Tom pulunyň köp bölegini iýmite sarp edýär.
>>tuk<< Tom thought his parents were perfect.	Tom öz ene-atasy birkemsizmikä öýtdi.
>>tuk<< Tom told us that the room was locked.	Tom bize otagyň gulpludygyny aýtdy.
>>tuk<< Tom tried his best to calm Mary down.	Tom Merini köşeşdirmek üçin elinden gelenini etdi.
>>tuk<< Tom was my boyfriend three years ago.	Tom üç ýyl mundan ozal meniň söýgülimdi.
>>tuk<< Tom won't be going to Boston with us.	Tom biziň bilen Bostona gitmez.
>>tuk<< Tom's wife is just as crazy as he is.	Tomuň aýaly hem edil özi ýaly däli.
>>tuk<< We hope that you don't do that again.	Muny indi etmezsiňiz diýip umyt edýen.
>>tuk<< We might actually be able to do that.	Biz hakykatdanam ony başaryp bilerdik.
>>tuk<< We've all said nice things about Tom.	Tom barada hemmämiz gowy zat aýtdyk.
