>>cat<< Wow!	Carai!
>>cat<< Riding a horse is a lot of fun.	Muntar a cavall és molt divertit.
>>cat<< Riding a horse is a lot of fun.	Anar a cavall és molt divertit.
>>cat<< The cows looked big and docile.	Les vaques semblaven grans i dòcils.
>>cat<< The leaves fell from the trees.	Les fulles caigueren dels arbres.
>>cat<< The leaves fell from the trees.	Les fulles queien dels arbres.
>>cat<< There's nobody at the entrance.	No hi ha ningú a l'entrada.
>>cat<< This book is missing two pages.	A aquest llibre li falten dues pàgines.
>>cat<< This is extremely hard for Tom.	Això és extremadament difícil per a en Tom.
>>cat<< Tom doesn't like confrontation.	A en Tom no li agrada la confrontació.
>>cat<< Tom got escorted off the plane.	Van escortar el Tom fora de l'avió.
>>cat<< Was Tom in history class today?	Estava el Tom a classe d'història avui?
>>cat<< Why are you not in your office?	Per què no estàs a la teua oficina?
>>cat<< Why don't we split the profits?	Per què no repartim els beneficis?
>>cat<< You can use my car if you like.	Pots fer servir el meu cotxe si vols.
>>cat<< All my friends have girlfriends.	Tots els meus amics tenen xicotes.
>>cat<< Can you do anything to help Tom?	Pots ajudar el Tom d'alguna forma?
>>cat<< Can you do anything to help Tom?	Podeu ajudar el Tom d'alguna forma?
>>cat<< Can you do anything to help Tom?	Pots fer res per ajudar el Tom?
>>cat<< Can you do anything to help Tom?	Podeu fer res per ajudar el Tom?
>>cat<< Did you enjoy reading this book?	Has gaudit llegint el llibre?
>>cat<< Do you have to go anywhere else?	Que has d'anar a cap altre lloc?
>>cat<< Give me one kilogram of peaches.	Dona'm un quilo de préssecs.
>>cat<< He had a firm belief in his God.	Té una creença ferma en Déu.
>>cat<< He is getting better bit by bit.	Ell s'està millorant poc a poc
>>cat<< He is getting better bit by bit.	Està millorant poc a poc.
>>cat<< He told me an interesting story.	M'ha contat una història interessant.
>>cat<< Helen Keller was deaf and blind.	Hellen Keller era sorda i cega.
>>cat<< How much does he earn per month?	Quant guanya al mes?
>>cat<< I can repeat it again and again.	Puc repetir-ho vint vegades.
>>cat<< I caught the ball with one hand.	Vaig agafar la pilota amb una mà.
>>cat<< I don't want to do that for Tom.	No vull fer-ho per a en Tom.
>>cat<< I heard him sing at the concert.	El vaig sentir cantant al concert.
>>cat<< I hope I don't forget my camera.	Espero no oblidar-me la meva càmera.
>>cat<< I know that I did nothing wrong.	Sé que no vaig fer res malament.
>>cat<< I need that as soon as possible.	Ho necessito tan aviat com sigui possible.
>>cat<< I was not aware of his presence.	Jo no era conscient que ell estava al davant.
>>cat<< I'll be close by if you need me.	Estaré a prop si em necessites.
>>cat<< I'm a professional photographer.	Jo sóc fotògraf professional.
>>cat<< I've still got to take my pills.	Encara haig de prendre'm les meves píldores.
>>cat<< It snowed from Monday to Friday.	Va nevar de dilluns a divendres.
>>cat<< Let me know when he will arrive.	Ja em diràs quan arriba.
>>cat<< Please send us more information.	Sisplau, mandi'ns més informació.
>>cat<< She dumped him for a richer man.	Ella va abandonar-lo per un home més ric.
>>cat<< She made the same mistake again.	Ella va cometre una altra vegada la mateixa errada.
>>cat<< She will have a baby next month.	Ella vol tenir un fill el mes vinent.
>>cat<< Thanks a lot for the invitation.	Moltes gràcies per la invitació.
>>cat<< Thanks very much for joining us.	Moltes gràcies per acompanyar-nos.
>>cat<< The food didn't taste very good.	El menjar no tenia gaire bon gust.
>>cat<< The food didn't taste very good.	El menjar no feia gaire bon gust.
>>cat<< The new furniture arrived today.	El nou mobiliari ha arribat avui.
>>cat<< The sun appeared on the horizon.	El Sol apareix a l'horitzont.
>>cat<< The sun appeared on the horizon.	El sol aparegué a l'horitzó.
>>cat<< The sun gives us heat and light.	El Sol ens dóna calor i llum.
>>cat<< The sun is larger than the moon.	El Sol és més gran que la Lluna.
>>cat<< They are at 229 Broadway Avenue.	Ells estan a l'avinguda Broadway, número 229.
>>cat<< This sparrow's wings are broken.	Les ales d'aquest pardal estan trencades.
>>cat<< This sparrow's wings are broken.	Les ales d'aquest teuladí estan trencades.
>>cat<< This swallow's wings are broken.	Les ales d'aquesta oroneta estan trencades.
>>cat<< Tom is too young to drive a car.	Tom és massa jove per portar un cotxe.
>>cat<< Tom says he's never owned a car.	El Tom diu que mai ha tingut un cotxe.
>>cat<< Tom was fired for a good reason.	Tom va ser despedit per una causa justa.
>>cat<< We have a French exam on Monday.	Tenim un examen de Francès el dilluns.
>>cat<< What did you think of the movie?	Què t'ha semblat la pel·lícula?
>>cat<< You don't have to kick yourself.	No et facis mala sang.
>>cat<< You should've told me yesterday.	M'ho hauries d'haver dit ahir.
>>cat<< You're still too young to drink.	Encara ets massa jove per a beure.
>>cat<< Your guitar is better than mine.	La teva guitarra és millor que la meva.
>>cat<< Your opinion is important to me.	La teua opinió és important per a mi.
>>cat<< Asians generally have black hair.	Els asiàtics normalment tenen el cabell negre,
>>cat<< Do you know who wrote this novel?	Saps qui va escriure aquesta novela?
>>cat<< Do you know who wrote this novel?	Sabeu qui va escriure aquesta novel·la?
>>cat<< Don't compare me to a movie star.	No em comparis amb una estrella de cinema.
>>cat<< Have you already eaten breakfast?	Ja has esmorzat?
>>cat<< Have you eaten breakfast already?	Ja has esmorzat?
>>cat<< He must have reached the station.	Ell deu haver arribar a l'estació.
>>cat<< He went skiing during the winter.	Se'n va anar a esquiar a l'hivern.
>>cat<< How long have you had a headache?	Fa quant de temps que et fa mal el cap?
>>cat<< How much does he earn in a month?	Quant guanya al mes?
>>cat<< I recognized him at first glance.	L'he reconegut a primer cop d'ull.
>>cat<< I recommend this brand of coffee.	Recomano aquesta marca de cafè.
>>cat<< I saw the moon above the horizon.	Veig la lluna sobre l'horitzont.
>>cat<< I think I haven't studied enough.	Crec que no he estudiat prou.
>>cat<< I wash my hands many times a day.	Em rento les mans moltes vegades al dia.
>>cat<< In the alphabet, B comes after A.	En l'abecedari la be va després de la a.
>>cat<< Isn't Tom supposed to be at work?	No se suposa que en Tom ha de ser a la feina?
>>cat<< My brother-in-law is a policeman.	El meu cunyat és policia.
>>cat<< My father died before I was born.	Mon pare va morir abans del meu naixement.
>>cat<< My father died before I was born.	Mon pare va morir abans que jo nasquera.
>>cat<< My father died before I was born.	El meu pare va morir abans de néixer jo.
>>cat<< Please answer the question again.	Si us plau respongui un altre cop a la pregunta.
>>cat<< Take as many peaches as you like.	Agafa tants préssecs com vulguis.
>>cat<< Take as many peaches as you want.	Agafa tants préssecs com vulguis.
>>cat<< Ten years is a long time to wait.	10 anys és un llarg temps per esperar.
>>cat<< The bus arrived ten minutes late.	El bus va arribar deu minuts tard.
>>cat<< The bus arrived ten minutes late.	L'autobús arribà deu minuts tard.
>>cat<< The bus arrived ten minutes late.	L'autobús va arribar amb deu minuts de retard.
>>cat<< The flood caused a lot of damage.	La riada va fer molt de mal.
>>cat<< The flood caused a lot of damage.	La inundació va fer molt de mal.
>>cat<< The policewoman directed traffic.	La policia dirigia el trànsit.
>>cat<< The policewoman directed traffic.	L'agent de policia dirigia el trànsit.
>>cat<< The rumor is true to some extent.	Fins a un cert punt, el rumor és cert.
>>cat<< Thinking is talking with oneself.	Pensar és parlar amb un mateix.
>>cat<< Tom and Mary acted like children.	En Tom i la Mary es portaven com nens.
>>cat<< Tom couldn't hold back his tears.	Tom no va poder contenir les llàgrimes.
>>cat<< Tom couldn't hold back his tears.	Tom no podia contenir les llàgrimes.
>>cat<< Tom doesn't go to school anymore.	Tom ja no va a l'escola.
>>cat<< Tom doesn't like how Mary laughs.	A en Tomàs no li agrada com riu la Maria.
>>cat<< Tom is no longer studying French.	En Tom ja no estudia francès.
>>cat<< Tom took out a pen and a notepad.	En Tom va treure un bolígraf i un bloc de notes.
>>cat<< Tom was walking in front of Mary.	El Tom caminava davant la Mary.
>>cat<< When can we see each other again?	On ens podem tornar a veure?
>>cat<< When was this university founded?	Quan es va fundar aquesta universitat?
>>cat<< Why don't you sit down and relax?	Per què no et sentes i et relaxes?
>>cat<< Why weren't you wearing a helmet?	Per què no portaves casc?
>>cat<< You treated me like a little kid.	Em vas tractar com a un nen petit.
>>cat<< You treated me like a little kid.	Em vas tractar com a una nena petita.
>>cat<< You treated me like a little kid.	Em vas tractar com si fos un nen petit.
>>cat<< You treated me like a little kid.	Em vas tractar com si fos una nena petita.
>>cat<< Are we talking about the same Tom?	Estem parlant del mateix Tom?
>>cat<< Are we talking about the same Tom?	Parlem del mateix Tom?
>>cat<< Both men apologized to each other.	Tots dos homes es van disculpar entre ells.
>>cat<< Can you see that house over there?	Veus la caseta d'allà?
>>cat<< Everyone hoped that she would win.	Tothom esperava que guanyés.
>>cat<< Get me something to drink, please.	Doni'm alguna cosa per beure, si us plau.
>>cat<< He was willing to work for others.	Ell estava disposat a treballar per altres.
>>cat<< How many questions did you answer?	Quantes preguntes has contestat?
>>cat<< I burned my fingers on a hot iron.	Em vaig cremar els dits amb un ferro roent.
>>cat<< I burned my fingers on a hot iron.	Em vaig cremar els dits amb una planxa calenta.
>>cat<< I have nothing in common with her.	No tinc res en comú amb ella.
>>cat<< I just want you to leave me alone.	Només vull que em deixis en pau.
>>cat<< I spend money as soon as I get it.	Em gasto els diners de seguida que en tinc.
>>cat<< I wonder what's going on in there.	Em pregunto què està passant allà dins.
>>cat<< I write letters that I never send.	Escric cartes que no envio mai.
>>cat<< I write to my mother once a month.	Escric a la meva mare un cop al mes.
>>cat<< I'd like to give this to you, Tom.	M'agradaria donar-te això, Tom.
>>cat<< I'd like to go back to the office.	M'agradaria tornar a la oficina.
>>cat<< Is Flight 123 going to be delayed?	El vol 123, té retard?
>>cat<< Last night we worked until 10 p.m.	Ahir a la nit vàrem treballar fins a les deu.
>>cat<< Many people eat three meals a day.	Molta gent menja tres àpats al dia.
>>cat<< My father retired at 65 years old.	Mon pare es va jubilar als 65 anys.
>>cat<< My mother knows how to make cakes.	La meva mare sap com fer pastissos.
>>cat<< People seem more serious nowadays.	Avui dia, la gent sembla més seriosa.
>>cat<< Tell me your plans for the future.	Explica'm els teus plans per al futur.
>>cat<< Tell me your plans for the future.	Conta'm els teus plans de futur.
>>cat<< Tell me your plans for the future.	Expliqueu-me els vostres plans per al futur.
>>cat<< Thank you so much for inviting me.	Moltes gràcies per la invitació.
>>cat<< That pair of pliers came in handy.	Aquelles alicates em van ser molt útils.
>>cat<< That was a very risky thing to do.	Era una cosa molt arriscada de dur a terme.
>>cat<< There's a dictionary on the table.	Hi ha un diccionari a la taula.
>>cat<< There's one thing I must tell you.	T'he de dir una cosa.
>>cat<< There's one thing I must tell you.	Us he de dir una cosa.
>>cat<< Today's meeting has been canceled.	La reunió d'avui ha sigut cancelada.
>>cat<< Tom is calling from his cellphone.	En Tom truca des del seu telèfon mòbil.
>>cat<< Tom is such a good French speaker.	En Tom és un francòfon tan bo.
>>cat<< Tom never told us why he did that.	En Tom mai no ens va dir per què ho havia fet.
>>cat<< Tom studied literature in college.	En Tom va estudiar literatura a la universitat.
>>cat<< Tom was too frightened to do that.	En Tom estava massa esgarrifat per a fer allò.
>>cat<< Tom's father is older than Mary's.	El pare d'en Tom és més gran que el de la Mary.
>>cat<< We don't know why he had to leave.	No sabem per què va haver de marxar.
>>cat<< We have a French test next Monday.	Tenim un examen de Francès el dilluns.
>>cat<< We're sorry for the inconvenience.	Ens sap greu la molèstia causada.
>>cat<< Where's the nearest travel agency?	On és l'agència de viatges més propera?
>>cat<< Why don't you guys stay for a bit?	Us quedeu una estona?
>>cat<< Why is fishing not permitted here?	Per què està prohibit pescar ací?
>>cat<< Will you show me your photo album?	Em mostraràs el vostre àlbum de fotos?
>>cat<< Bangkok is Thailand's capital city.	Bangkok és la capital de Tailàndia.
>>cat<< Clean the window with a damp cloth.	Neteja la finestra amb un drap humit.
>>cat<< Do you want to play tennis with us?	Vols jugar a tennis amb nosaltres?
>>cat<< Fishing in this lake is prohibited.	Està prohibit pescar en aquest llac.
>>cat<< He helped poor people all his life.	Ell va ajudar els pobres tota la seva vida.
>>cat<< He studies contemporary literature.	Ell estudia literatura contemporània.
>>cat<< I can't remember where I bought it.	No puc recordar on el vaig comprar.
>>cat<< I can't remember where I bought it.	No recorde on el vaig comprar.
>>cat<< I can't remember where I bought it.	No recorde on ho vaig comprar.
>>cat<< I can't remember where I bought it.	No recorde on la vaig comprar.
>>cat<< I can't remember where I bought it.	No me'n recorde d'on ho vaig comprar.
>>cat<< I can't remember where I bought it.	No recordo on el vaig comprar.
>>cat<< I didn't do what I was asked to do.	No vaig fer el que se m'havia demanat.
>>cat<< I didn't know that Tom was in town.	No sabia que en Tom era al poble.
>>cat<< I heard a beautiful song yesterday.	Ahir vaig sentir una cançó bonica.
>>cat<< I know those tall girls quite well.	Conec bé aquestes noies altes.
>>cat<< I plan to visit Boston next summer.	Planifico visitar Boston l'estiu que vé.
>>cat<< I thanked him for what he had done.	Li vaig agrair el que va fer.
>>cat<< I wonder which way is the shortest.	Em pregunto quin és el camí més curt.
>>cat<< I'd like to forget the whole thing.	M'agradaria oblidar tot allò.
>>cat<< I'd like to get to know Tom better.	M'agradaria conèixer millor en Tom.
>>cat<< I'd like to meet your older sister.	Voldria trobar-me amb la teva germana gran.
>>cat<< I'd like to meet your older sister.	M'agradaria conèixer la teva germana gran.
>>cat<< I'm the one who pays all the bills.	Jo sóc qui paga totes les factures.
>>cat<< I'm very slow at making up my mind.	Sóc molt lent a l'hora de prendre decisions.
>>cat<< I, too, didn't understand anything.	Jo tampoc entenc res.
>>cat<< Is anybody here willing to do that?	Algú està disposat a fer allò?
>>cat<< Is there a post office around here?	Hi ha alguna oficina postal per aquí?
>>cat<< Is there a post office around here?	Hi ha alguna oficina de correus prop d'ací?
>>cat<< Is there a post office around here?	Hi ha per ací alguna oficina de correus?
>>cat<< Music surrounds our lives like air.	La música envolta les nostres vides com ho fa l'aire.
>>cat<< Only adults are allowed to do that.	Només els adults tenen permís per fer allò.
>>cat<< She is learning how to drive a car.	Està aprenent a conduir un cotxe.
>>cat<< Switzerland is a beautiful country.	Suïssa és un país molt bonic.
>>cat<< The door is locked at nine o'clock.	La porta es tanca amb clau a les nou.
>>cat<< The elevator is out of order today.	L'ascensor no funciona avui.
>>cat<< The lion is the king of the jungle.	El lleó és el rei de la selva.
>>cat<< The situation is beyond my control.	La situació és més enllà del meu control.
>>cat<< These questions are easy to answer.	Aquestes preguntes són fàcils de respondre.
>>cat<< They all looked for the lost child.	Tots buscaven el nen perdut.
>>cat<< Tom and Mary sang a Christmas song.	En Tom i la Maria van cantar una cançó de Nadal.
>>cat<< Tom couldn't find the light switch.	En Tom no podia trobar l'interruptor del llum.
>>cat<< Tom is much taller than I expected.	El Tom és molt més alt del que m'esperava.
>>cat<< Tom was the one who gave Mary that.	En Tom va ser qui li va donar a la Mary
>>cat<< Tom wasn't sure where he should go.	En Tom no estava segur d'on hauria d'anar.
>>cat<< We are sorry for the inconvenience.	Ens sap greu la molèstia causada.
>>cat<< We'll show you how to catch a fish.	T'ensenyarem com atrapar un peix.
>>cat<< We're giving you about ten minutes.	Et donem uns deu minuts.
>>cat<< We're not going to change anything.	No canviarem res.
>>cat<< We're not here to play or have fun.	No estem aquí per jugar ni per divertir-nos.
>>cat<< What little money I had was stolen.	Els pocs diners que tenia me'ls van robar.
>>cat<< Why did you decide to get divorced?	Per què va decidir divorciar-se?
>>cat<< You said that the other day, right?	Això vas dir l'altre día, no?
>>cat<< A lot of jobs are done by computers.	Moltes feines les fan els ordinadors.
>>cat<< Are you going to attend the meeting?	Assistiràs a la reunió?
>>cat<< Aren't you sick of eating fast food?	No n'estàs fart del menjar ràpid?
>>cat<< Do you wonder why no one trusts him?	T'estranya que ningú hi confiï?
>>cat<< Don't go to sleep with the light on.	No et durmis amb el llum encès.
>>cat<< How do you deal with writer's block?	Com treballes el teu bloqueig escriptor?
>>cat<< How much money does he make a month?	Quant guanya al mes?
>>cat<< I can't remember which is my racket.	No recorde quina és la meua raqueta.
>>cat<< I did not know that she has a child.	No sabia que tenia un fill.
>>cat<< I don't think we can take that risk.	Crec que no podem córrer aquest risc.
>>cat<< I don't think we can take that risk.	Crec que no podem córrer eixe risc.
>>cat<< I don't want to waste a moment more.	No vull perdre un instant més.
>>cat<< I have nothing to say to any of you.	No tinc res a dir-vos a cap de vosaltres.
>>cat<< I know that Tom is in Australia now.	Sé que en Tom és a Austràlia ara mateix.
>>cat<< I thought that I saw someone I knew.	Em pensava que havia vist algú que coneixia.
>>cat<< I was caught in a shower on the way.	M'ha enxampat un xàfec pel camí.
>>cat<< I wish every day could be Christmas.	Tant de bo cada dia pogués ser Nadal.
>>cat<< I'd like to get you both to help me.	M'agradaria que tots dos m'ajudéssiu.
>>cat<< I'd like to get you both to help me.	M'agradaria que ambdós m'ajudéssiu.
>>cat<< I'd like to reserve a table for two.	M'agradaria reservar una taula per a dos.
>>cat<< I'd like to stay here for one night.	M'agradaria quedar-me aquí una nit.
>>cat<< Is there any other way to get there?	Hi ha alguna altra manera d'arribar allà?
>>cat<< Look that word up in the dictionary.	Cerca aquella paraula al diccionari.
>>cat<< My apartment is on the fourth floor.	El meu apartament està al quart pis.
>>cat<< Night is when most people go to bed.	La nit és quan la majoria de la gent se'n va al llit.
>>cat<< She doesn't know how to drive a car.	No sap conduir un cotxe.
>>cat<< She doesn't know how to drive a car.	No sap com conduir un cotxe.
>>cat<< Take this medicine before each meal.	Preneu aquest medicament abans de cada àpat.
>>cat<< The body hasn't yet been identified.	El cos no ha estat identificat.
>>cat<< The boy asked his mother a question.	El nen li feu una pregunta a la seva mare.
>>cat<< The teacher told me to study harder.	El professor em va dir que estudiés molt.
>>cat<< Tom had acne when he was a teenager.	En Tom tenia acne quan era adolescent.
>>cat<< Tom hasn't sharpened the knives yet.	En Tom encara no ha afilat els ganivets.
>>cat<< Tom is younger than all his friends.	En Tom és més jove que la resta dels seus amics.
>>cat<< Tom may talk to Mary if he wants to.	En Tom, si vol, pot parlar amb la Mary.
>>cat<< Tom may talk to Mary if he wants to.	Tom pot parlar amb Mary, si vol.
>>cat<< Tom said that he tried to help Mary.	El Tom va dir que va intentar ajudar la Mary.
>>cat<< Tom wants to come to Boston with us.	En Tom vol venir a Boston amb nosaltres.
>>cat<< Tom woke up when the telephone rang.	En Tom va despertar-se quan el telèfon va sonar.
>>cat<< When did you begin studying English?	Quan vas començar a estudiar anglès?
>>cat<< Why are you taking so much medicine?	perquè prens tant de medicament?
>>cat<< Are you brushing your teeth properly?	T'estàs raspallant bé les dents?
>>cat<< Can we spend the night in that hotel?	Podem passar la nit en aquell hotel.
>>cat<< Flowers die if they don't have water.	Sense aigua les flors es panseixen.
>>cat<< His arrogance is no longer tolerable.	La seva arrogància ja no és tolerable.
>>cat<< His courage is worthy of high praise.	La seva valentia mereix grans lloances.
>>cat<< I always get nervous in her presence.	La seva presència em posa sempre nerviós.
>>cat<< I didn't have to tell Tom, but I did.	No li ho havia de dir per força, a en Tom, però ho vaig fer.
>>cat<< I felt that I needed to do something.	Vaig sentir la necessitat de fer alguna cosa.
>>cat<< I know that Tom is a very clumsy guy.	Sé que el Tom és bastant maldestre.
>>cat<< I know that Tom is a very clumsy guy.	Sé que el Tom és bastant sapastre.
>>cat<< I know that Tom is a very clumsy guy.	Sé que el Tom és bastant pocatraça.
>>cat<< I must discuss the new plan with Tom.	He de debatre el nou pla amb en Tom.
>>cat<< I planted an apple tree in my garden.	He plantat un pomer al meu jardí.
>>cat<< I really must have my watch repaired.	He de dur el rellotge a arreglar.
>>cat<< I want them to give me my money back.	Vull que em retornin els diners.
>>cat<< I'd like to find somebody to talk to.	M'agradaria trobar algú amb qui poder xerrar.
>>cat<< I'm not sure when Tom will come back.	No estic segur de quan tornarà Tom.
>>cat<< I'm sick. Will you send for a doctor?	Estic malalt. Oi que avisaràs un metge?
>>cat<< I'm sure of winning the championship.	Estic segur de guanyar el campionat.
>>cat<< It might be easier for us to do that.	Podria ser-nos més fàcil a nosaltres fer-ho.
>>cat<< Please write to me from time to time.	Escriu-me de tant en tant, sí?
>>cat<< There are a lot of birds in the park.	Hi ha molts ocells al parc.
>>cat<< They never returned to their country.	No van tornar mai al seu país.
>>cat<< Tom wants me to play soccer with him.	En Tom vol que jugui a futbol amb ell.
>>cat<< Tom's cat disappeared for a few days.	El gat d'en Tom va desaparèixer uns quants dies.
>>cat<< Trees shelter my house from the wind.	Els arbres protegeixen la meva casa del vent.
>>cat<< Two pages are missing from this book.	A aquest llibre li falten dues pàgines.
>>cat<< We've talked it over among ourselves.	N'hem parlat entre nosaltres.
>>cat<< What are you going to eat for dinner?	Que soparàs avui?
>>cat<< What do you want to talk to me about?	De què vols parlar amb mi?
>>cat<< What languages are spoken in America?	Quins idiomes es parlen a Amèrica?
>>cat<< What's your opinion of Japanese food?	Quina és la teva opinió sobre el menjar japonès?
>>cat<< A lot of people died in that accident.	Molta gent va morir en aquell accident.
>>cat<< As long as there's life, there's hope.	Mentre hi ha vida, hi ha esperança.
>>cat<< Don't you get bored when you're alone?	No s'avorreix quan està sol?
>>cat<< Drink your coffee before it gets cold.	Beu-te el cafè abans no se refredi.
>>cat<< Everyone was listening very carefully.	Tots estaven escoltant atentament.
>>cat<< He had a queer expression on his face.	Ell lluïa un visatge estrany.
>>cat<< I don't know what has happened to him.	No sé què li ha passat.
>>cat<< I don't know who painted this picture.	No sé qui va pintar aquest quadre.
>>cat<< I don't want to sit alone in the dark.	No vull seure sol a la foscor.
>>cat<< I don't want to sit alone in the dark.	No vull seure sola a la foscor.
>>cat<< I know I can't throw a ball very well.	Sé que no tinc la mà trencada a llençar boles.
>>cat<< I know Tom isn't a member of our club.	Sé que en Tom no és membre del nostre club.
>>cat<< I like white roses more than red ones.	M'agraden més les roses blanques que les vermelles.
>>cat<< I thought I was having a heart attack.	Em pensava que estava tenint un atac de cor.
>>cat<< I was the one who knocked on the door.	Vaig ser jo qui va trucar a la porta.
>>cat<< I wonder how many people believe that.	Em pregunto quantes persones creuen això.
>>cat<< I wonder how many people believe that.	Em pregunto quantes persones s'ho creuen.
>>cat<< I'd like to get a copy of that report.	Voldria una còpia de l'informe.
>>cat<< I'd like to go to the movies with you.	M'agradaria anar al cinema amb tu.
>>cat<< I'll make an exception just this once.	Faré una excepció només per aquesta vegada.
>>cat<< I'm the one who takes out the garbage.	Jo sóc qui treu les escombraries.
>>cat<< In general, men are taller than women.	En general, els homes són més alts que les dones.
>>cat<< Japan imports a large quantity of oil.	El Japó importa una gran quantitat de petroli.
>>cat<< Mary's doctor advised her to exercise.	El metge de la Mary li va aconsellar que fes exercici.
>>cat<< No one knows why Tom hasn't done that.	Ningú sap perquè el Tom no ho ha fet.
>>cat<< Please correct me if I make a mistake.	Si us plau, corregeix-me si m'equivoco.
>>cat<< Put the chair near the window, please.	Posa la cadira prop de la finestra, si us plau.
>>cat<< They agreed to elect him as president.	Es van posar d'acord per triar-lo com president.
>>cat<< We're going to leave tomorrow morning.	Sortirem demà al dematí.
>>cat<< Which is larger, the sun or the earth?	Quin és més gran: el Sol o la Terra?
>>cat<< Why are we wasting our time with this?	Per què estem perdent el temps amb això?
>>cat<< Will the work be finished by tomorrow?	Estarà enllestida la feina per a demà?
>>cat<< You should ask Tom to do that for you.	Li hauries de demanar al Tom que ho faci per tu.
>>cat<< "Is she reading a book?" "Yes, she is."	"Està llegint un llibre?" "Sí."
>>cat<< "Is she reading a book?" "Yes, she is."	"Està ella llegint un llibre?" "Sí."
>>cat<< A detective arrived at the crime scene.	Un detectiu va arribar a l'escena del crim.
>>cat<< About how long does it take to do that?	Quant dura fer allò més o menys?
>>cat<< All my friends like playing videogames.	A tots els meus amics els agraden els videojocs.
>>cat<< Blue lines on the map designate rivers.	Les línies blaves al mapa designen rius.
>>cat<< How much time do you spend on Facebook?	Quant de temps passes a Facebook?
>>cat<< I didn't show those pictures to anyone.	No vaig ensenyar aquelles fotos a ningú.
>>cat<< I don't know exactly when I'll be back.	No sé exactament quan tornaré a ser aquí.
>>cat<< I don't know whether it is true or not.	No sé si és veritat o no.
>>cat<< I don't think Tom was talking about me.	No crec que Tom estigués parlant de mi.
>>cat<< I have cookies for breakfast every day.	Cada dia menjo galetes per esmorzar.
>>cat<< I haven't done that since I was twelve.	No ho he fet des que tenia dotze anys.
>>cat<< I made certain I wasn't being followed.	M'he assegurat que no em seguien.
>>cat<< I'm sorry for yelling at you yesterday.	Em sap greu haver-te xisclat ahir.
>>cat<< I've been doing that for several years.	Ho he estat fent moltíssims anys.
>>cat<< I've been waiting for this day to come.	He estat esperant que arribi aquest dia.
>>cat<< Let me see if Tom has changed his mind.	Deixa'm veure si en Tom ha canviat d'idea.
>>cat<< Mathematics is important in daily life.	Les matemàtiques són importants a la vida diària.
>>cat<< The Japanese economy developed rapidly.	L'economia japonesa es va desenvolupar depressa.
>>cat<< The class was divided into four groups.	La classe es va dividir en quatre grups.
>>cat<< The earth is much larger than the moon.	La Terra és molt més gran que la Lluna.
>>cat<< There are billions of stars in the sky.	Hi ha mil milions d'estels al cel.
>>cat<< There are billions of stars in the sky.	Hi ha mil milions d'estrelles al cel.
>>cat<< They arrived in America a few days ago.	Van arribar a Amèrica fa uns quants dies.
>>cat<< They arrived late because of the storm.	Ells van arribar tard a causa de la tempesta.
>>cat<< They say golf is very popular in Japan.	Diuen que el golf és molt popular al Japó.
>>cat<< This is the best book I have ever read.	És el millor llibre que he llegit mai.
>>cat<< Three were sentenced to life in prison.	Es va sentenciar amb cadena perpètua a tres persones.
>>cat<< Tom is interested in French literature.	En Tom està interessat en la literatura francesa.
>>cat<< Tom is making great progress in French.	En Tom està progressant molt amb el francès.
>>cat<< Tom is sick, so he can't do that today.	El Tom està malalt, pel que no podrà fer això avui.
>>cat<< Tom is younger than all of his friends.	En Tom és més jove que la resta dels seus amics.
>>cat<< Tom said that you were going to Boston.	El Tom va dir que anaves a Boston.
>>cat<< Tom said that you were going to Boston.	El Tom va dir que marxaves a Boston.
>>cat<< Tom spent weeks preparing for his trip.	En Tom va passar-se setmanes preparant-se per al seu viatge.
>>cat<< Tom still plays the violin, doesn't he?	En Tom encara toca el violí, oi?
>>cat<< Tom wasn't sure what he should do next.	En Tom no estava segur de què hauria de fer després.
>>cat<< Tortoises are reptiles, not amphibians.	Les tortugues són rèptils, no amfibis.
>>cat<< You have to take a look at the patient.	Has de fer-li una ullada al malalt.
>>cat<< Can I buy a ticket for the concert here?	Puc comprar aquí una entrada per al concert?
>>cat<< Did you bring what I asked you to bring?	Has portat el que et vaig demanar que portessis?
>>cat<< Even a child could answer that question.	Fins i tot un nen pot respondre aquesta pregunta.
>>cat<< He fought against racial discrimination.	Va lluitar contra la discriminació racial.
>>cat<< I have problems communicating in French.	Tinc problemes comunicant-me en francès.
>>cat<< I know that there was a big church here.	Sé que aquí hi havia una església gran.
>>cat<< I noticed that she sat in the front row.	Vaig notar que ella va seure a la fila del davant.
>>cat<< I received an item that I did not order.	He rebut un article que no he demanat.
>>cat<< I was in the shower when the phone rang.	Estava en la dutxa quan ha sonat el telèfon.
>>cat<< I'd like to have a little talk with you.	M'agradaria xerrar una mica amb tu.
>>cat<< I'd like to have a little talk with you.	M'agradaria parlar una mica amb tu.
>>cat<< It's a topic that isn't often discussed.	És un tema del qual se sol parlar poc.
>>cat<< It's a topic that's not often discussed.	És un tema del qual se sol parlar poc.
>>cat<< My husband and daughter are fast asleep.	El meu marit i la meva filla dormen com un soc.
>>cat<< No one knows what tomorrow has in store.	Ningú no sap què ens brinda el demà.
>>cat<< Please raise your hand before you speak.	Per favor, alça la mà abans de parlar.
>>cat<< She killed herself at the age of thirty.	Es va suïcidar als trenta anys.
>>cat<< She left home with everything she owned.	Va marxar de casa amb tot el que tenia.
>>cat<< Some of his books are difficult to read.	Alguns dels seus llibres són difícils de llegir.
>>cat<< The men are wearing short sleeve shirts.	Els homes porten camises de màniga curta.
