>>nus<< Hi.	Maalɛ.
>>nus<< Has Tom quit smoking?	Ci̱ Töm ma̱th tapkä päl ?
>>nus<< Has Tom quit smoking?	töm cɛ ma̲th tapkä pälä?
>>nus<< He did it by himself.	Nɛmɛ jɛn lätɛ jɛ kärɔadɛ.
>>nus<< He sent for a doctor.	Cɛ ja̲ kä ki̲m
>>nus<< He swims like a fish.	Jɛn ketɛ ce̱tkɛ räc.
>>nus<< I can't speak French.	Ɣän ruacä kɛ thok Pi̱rɛɛny.
>>nus<< I didn't want to die.	Cän li̱ää gör.
>>nus<< I don't like to wait.	Cänɛ bi̱ lip.
>>nus<< I don't like to wait.	Cän jɛ bi̱ lip
>>nus<< I had it all planned.	Kɛn ti̱ di̱al cä kɛ ri̱ali̱kä.
>>nus<< I need some time off.	Ɣän görä thaak lɔ̱ŋkä.
>>nus<< I stayed in my house.	Cä lɔ̱ɔ̱ŋ ci̱ëŋdä.
>>nus<< I thought you'd left.	ŋa̱cä ni̱ ɣöö ci̱ nɛy ba̱ny piny.
>>nus<< I used to drink beer.	Laa määthä kɛ bi̱rɛɛ.
>>nus<< I usually wear jeans.	Ɣän la la̱thä jakɛt ni̱ ciaaŋ.
>>nus<< I wanted to call you.	Ɣän bä ji̱ cɔal jɔk.
>>nus<< I was here last year.	Mëë thaar ta̱a̱ ɛn gua̱th ɛmɛ.
>>nus<< I was on my way home.	Ta̱a̱ rɛy duɔ̱p kɛ wedä ci̱ëëŋ.
>>nus<< I was planning on it.	Cä jɛ car ɛn ɣoö bä lät.
>>nus<< I worried, of course.	Ɛ thuɔk ɛpuc,Ɣän ci̱ puɔ̱nydä di̱ɛrɛ.
>>nus<< I worried, of course.	cä diɛɛr ɛ thuɔ̲k.
>>nus<< I'll call you a taxi.	Ɛ ji̱ ci̱ölä Tɛthi̱
>>nus<< I'll need some tools.	Go̱r nɛy tha̱a kuakni̱
>>nus<< I'm a man, not a boy.	Ɛ ɣän wut, ci̱änɛ dhöl.
>>nus<< I'm a private person.	Ɛɤän rami̲ tɛ̲̈ɛ̲̈.
>>nus<< I'm going to be sick.	Ɣän bɛ ɣä moc juey.
>>nus<< I'm going to be sick.	Bɛ ɣä moc juey.
>>nus<< I'm no longer hungry.	Ka̱n bɔth ɣä näk.
>>nus<< I'm not ready to die.	Ɣän ka̱n rɔriali̱kä kɛ li̱a̱a̱.
>>nus<< It can happen easily.	Derɛ tuɔɔk kɛ duɔ̲ɔ̲p mi̲ thi̲a̲k thi̲a̲k.
>>nus<< Let's not discuss it.	Cuanɛ ruac kɛ kui̲dɛ.
>>nus<< Oh, I forgot my keys.	Yi̱a̱a̱, Cä kiydä pa̱l ruëëc.
>>nus<< Saturday was special.	Cäŋkä ba̱kɛl rɛl gɔydɛrɔ.
>>nus<< She knows who we are.	Jɛn ŋäcɛ ɣöö ɛ kɔn ŋani̱.
>>nus<< Tell them what to do.	Läri̱ kɛ mi̱n dee kɛnɛ lät.
>>nus<< These are dark times.	Ni̱n ɛ ti̱i̱ kɛ ni̱n ti̱ bɛ̈cbɛ̈ɛ̈c.
>>nus<< They don't trust Tom.	Ci̱ kɛn Töm ŋäth.
>>nus<< They're able to sing.	Kɛn ŋäckɛ diit.
>>nus<< This book isn't mine.	Ɛn bok ɛmɛ ciɛ/duŋdä.
>>nus<< This looks like silk.	Jɛn ce̱tkɛ kɛ cäth.
>>nus<< This looks like silk.	nɛmɛ jɔcɛ cie thilki̲.
>>nus<< Tom broke the window.	Ci̱ Töm wërnyi̱n to̱l.
>>nus<< Tom collected stamps.	Töm jɛn cɛ thi̱i̱li̱ ruɔ̱ɔ̱l.
>>nus<< Tom collected stamps.	Töm jɛn cɛ thi̱i̱li ma̱a̱t.
>>nus<< Tom drives carefully.	Töm tiitɛ gër ɛ gɔaa.
>>nus<< Tom had things to do.	Töm tëë ŋɔak ti̲ de̲rɛ la̲t.
>>nus<< Tom has lots of toys.	Töm tëë kɛɛ kuak ŋarä ti̲ ŋuan.
>>nus<< Tom is a drug dealer.	Töm jɛn Mäth thuɔpni̱ ti̱ kɛ̈c kɛ̈ɛ̈c.
>>nus<< Tom is a good tenant.	:Töm ɛ cääk ŋɔaani̱ mi̱ gɔaa.
>>nus<< Tom is always absent.	Gatweec la päk kɛ ni̱ ciaŋ.
>>nus<< Tom is just thirteen.	Töm ɛ run wäl diɔk
>>nus<< Tom is not a big guy.	Töm ci̱ëë ram mi̱ di̱i̱t.
>>nus<< Tom is with his kids.	Gatbɛɛl jɛn tee kɛɛl kɛ gaatkɛ.
>>nus<< Tom knows where I am.	Ɣän ŋa̱cä gua̱th Töm.
>>nus<< Tom left an hour ago.	Töm cɛ ji̱ɛn kɛ kɔr thaakni̱ ti̱ ci̱ wee.
>>nus<< Tom let Mary do that.	̈Töm canɛ jɛ la̲t i̲nɛ.
>>nus<< Tom might be injured.	Tom diɛwä jɛ tëë kɛ buɔ̲t.
>>nus<< Tom won't be invited.	CI̱ Töm i̱ co̱li̱kä.
>>nus<< We know your brother.	Kɔn ŋäc nɛy dämuɔɔr.
>>nus<< What do you men want?	Nɛkun go̱r kɛn ni̱ ŋu ?
>>nus<< Who invited you guys?	Ɛŋa ci yiɛ la̱rlärɔ?
>>nus<< Who invited you guys?	ɛŋa ci̲ yiɛ ciölɔ?
>>nus<< You have to trust me.	Bi̱ä yi̱k ŋäth.
>>nus<< You may speak freely.	Ruacni̱ ɛ thi̱ɛl di̱ɛɛr.
>>nus<< You may speak freely.	Ruacni̱ athi̱ɛlɛ mi̱ di̱ɛɛr kɛ ji̱.
>>nus<< You should know that.	Däri jɛ ŋa̱c.
>>nus<< All I want is freedom.	Min göörä kärɔa ɛ lɔar
>>nus<< Am I missing anything?	Te kɛ mi̱ ka̱n luäŋ kɛ jek?
>>nus<< Am I missing anything?	tëkɛ mi̲ cä pa̲l ruëc?
>>nus<< Are you leaving today?	Bi̱ jiɛɛn ɛn wa̱lɛ ?
>>nus<< Are you leaving today?	Ji̱n jɛyi̱ ɛn wa̱lɛ ?
>>nus<< Are you leaving today?	Ji̱n nyuɔŋi̱ ɛn wa̱lɛ ?
>>nus<< Are you leaving today?	Ji̱n ri̱i̱yi̱ ɛn wa̱lɛ?
>>nus<< Can Tom do that today?	Bi Töm nɔmɔ la̱t ɛn walɛ?
>>nus<< Can we change history?	Dee kɔn lɛ̈ɛ̈ŋ ɛmɛ gɛr?
>>nus<< Can we change history?	ci̲ kɔn lɛ̈ŋ dee gɛr?
>>nus<< Do you have two books?	Ti̱kɛ buɔkni da̱ŋ rɛw?
>>nus<< Do you have two books?	Ti̱kɛ buɔni rɛw?
>>nus<< Do you live here, Tom?	Töm, ciëŋ i̲ ɛn gua̲th ɛmɛ ?
>>nus<< He didn't go to class.	Känɛ we duel gɔ̱ɔ̱kä.
>>nus<< He is afraid of death.	Jɛn dualɛ kɛ li̱a̱.
>>nus<< He went back to Japan.	Cɛ locjɔk k̈ä Japan
>>nus<< How did she tell them?	Cɛ kɛ ji̱ök i̱di̱ ?
>>nus<< How was the interview?	Teetdi̱ ɛn thiëëcni ?
>>nus<< How was the interview?	wëë i̲di̲ ɛn thiecni̲ dun?
>>nus<< How will you help Tom?	Bi̱ Töm luäk i̱di̱ ?
>>nus<< I am as strong as you.	Ɣän bumni̱ ɣän kä ji̱.
>>nus<< I can't be late today.	Kɛ cäŋ ɛmɛ cän bi̱ jääny.
>>nus<< I don't feel too well.	Puɔ̱nydä /cɛ puɔl.
>>nus<< I don't see a problem.	Ka̱nɛ nɛn ɛn ri̱ɛk.
>>nus<< I forced Tom to do it.	Cä ja lät Tömɛ.
>>nus<< I forced Tom to do it.	Cä cä jakä lät Tömɛ.
>>nus<< I gave them some food.	Cä kɛ moc kɛ kuän.
>>nus<< I have a secret dream.	Ta̱a̱ kɛ ta̱a̱ɣ la̱kni̱.
>>nus<< I know this very well.	Jɛn ŋa̱cä jɛ i̱ lotɛ rɔdɛ ɛlɔ̱ŋ.
>>nus<< I like milk in my tea.	Nhɔkä ca̱y mi̱ ca moc kɛ cak.
>>nus<< I love what I'm doing.	Nhɔakä la̱t in la̱tä.
>>nus<< I must go and see him.	Bä jɛ yi̱k wee nɛn.
>>nus<< I myself was confused.	Ɣän puɔ̱nydä cɛ ɣä yi̱c.
>>nus<< I put it in your room.	Cä kuëŋ rɛy duëëlu.
>>nus<< I put it in your room.	Cä jɛ la̱th rɛc duëëlu.
>>nus<< I'm getting Tom ready.	Ri̱al Töm kɛ kä.
>>nus<< I'm really bummed out.	Cä kɛ̈ɛ̈c ɛ lɔ̱ŋ.
>>nus<< I'm really bummed out.	Cä gaak ɛ lɔ̱ŋ.
>>nus<< I'm really bummed out.	Ɛ puc cä gaak ɛ lɔ̱ŋ
>>nus<< I'm really bummed out.	Cä kɛ̈ɛ̈c ɛ puc.
>>nus<< I'm telling the truth.	Ɣän la̱rä ni thuɔk.
>>nus<< Let me see your notes.	Ɛ tin ci̱ gɔa̱r piny nɛ̈nä.
>>nus<< Let's clean the house.	Canɛ duel yi̱ɛc.
>>nus<< Let's just go see him.	Ɛduundan la we̲ banɛ jɛ wë nɛn
>>nus<< More work is required.	G̲o̲rɛ la̲t mi̲ di̲i̲t.
>>nus<< My husband is at work.	Cɔdä jɛn cɛ we lät.
>>nus<< Put it where you want.	K,uëŋ ni jɛ guɔ̲a̲th ɛn nhɔki̲
>>nus<< Tell me what Tom said.	Ci̱ Töm ŋu lat läri̱ jɛ ɣä.
>>nus<< That's what I'm doing.	Ɛ jɛn lɛ̈lä mɔ.
>>nus<< That's what I'm doing.	Ɛ jɛn la̱tä mɔ.
>>nus<< The bridge was bombed.	Kubri̱ ca mär.
>>nus<< The bridge was bombed.	caa kubri̲i̲ määr.
>>nus<< There were 13 arrests.	Ca nɛy da̱ŋ wa̱l di̱ɔ̱k yi̱ɛn.
>>nus<< There were 13 arrests.	caa nɛɛ wäldiɔ̲k yiɛn.
>>nus<< This should be washed.	Nɛmɛ jɛn görɛ ɣöö de lak.
>>nus<< This should be washed.	nɛmɛ dëë lak.
>>nus<< Tom isn't a smart boy.	Töm jɛn cɛ rɔdɛ yɔp.
>>nus<< Tom lit his cigarette.	Töm jɛn cɛ thi̱ja̱a̱r dɔp.
>>nus<< Tom rarely went there.	Töm cɛ gör i̱ we gua̱a̱th ɛ mi̱.
>>nus<< Tom was wearing a wig.	Töm cɛ wi̲i̲k la̲th.
>>nus<< Tom wears glasses now.	Töm cɛ nääni la̱th ɛn täämɛ
>>nus<< Tom wears glasses now.	tɔm cɛ neni̲ la̲th ɛntämɛ.
>>nus<< We should go this way.	Dee kɔn wee kɛ duɔ̱ɔ̱p ɛmɛ.
>>nus<< We're not that stupid.	/Ci̱ nɛy ŋɔak kui̱c inɔ.
>>nus<< What else did you see?	Ɛ ŋu dɔŋ ci̱ nɛn nɔ ?
>>nus<< Who'll do that for us?	Ɛŋa bi̱ nɔmɔ lät kä kɔnɔ?
>>nus<< Who'll do that for us?	Ɛŋa bi̱ nɔmɔ lät kä kɔ mɔ?
>>nus<< Why would Tom do that?	Ɛŋu dee Töm nɔmɔ la̱t kɛ jɛ mɔ?
>>nus<< Will you take me home?	bi̠ jin ɣä naŋ ceŋ?
>>nus<< Will you take me home?	deri̠ ɣä naŋ ceŋ?
>>nus<< You need to wait here.	Go̱o̱ri̱ ɣöö bi̱ liep ɛn gua̱th ɛmɛ.
>>nus<< Come by this afternoon.	Ber kɛ gua̲a̲th thiaaŋ ɛmɛ.
>>nus<< Do you play the guitar?	Ji̱ laa ŋari̱ kɛ thom?
>>nus<< Does Tom have a chance?	Dee Töm tëë kɛ baŋ?
>>nus<< Everyone looks worried.	Gui̱ɛcä nɛy diaal ciɛ di̱ɛɛr kɛn.
>>nus<< Good evening, everyone.	cia thiaŋ kɛ mal.
>>nus<< He looked at his watch.	Jɛn guicɛ thaak dɛ.
>>nus<< He looks down on women.	La guicɛ män piny.
>>nus<< He speaks English well.	Ruacɛ kɛ Thok Liŋɛli̱thni̱ ɛ gɔaa
>>nus<< He's rich and powerful.	Jɛn ri̱eŋɛ kä tëë kɛ lua̱ŋ mi̱ di̱i̱t.
>>nus<< I assume I was invited.	Diɛwä jɛ caa ɤä cɔl
>>nus<< I bought three oranges.	Cä lemuuni̱ da̱ŋ di̱ɔ̱k kɔk.
>>nus<< I did that a few times.	Cä la̱t kɛ gua̱a̱th mi̱ ci̱ɛk.
>>nus<< I didn't read the book.	Ka̱n bok kuɛn ɛn nëë.
>>nus<< I have to study French.	Bä gɔ̱a̱r kɛ thok Pi̱rɛny.
>>nus<< I want to learn karate.	Ɣän göörä ŋi̱i̱c Karate kä
>>nus<< I wouldn't have waited.	Cäni̱ bi̱ yi̱k lip.
>>nus<< I'll stay home tonight.	ɤän bä tee ciëŋ ɛn thiaani̲.
>>nus<< I'll talk to Tom alone.	Bä ruac kɛ Töm kärɔa.
>>nus<< I'm not doing it again.	Cänɛ bi̱ la̱t ɛ nyɔk.
>>nus<< I'm not your boyfriend.	Ciɛ ɣän luumdu.
>>nus<< I'm still working hard.	Ɣän ŋuɔtä la̱tä ɛ bum.
>>nus<< Is this a recent photo?	Nɛmɛni̱ ɛ jɛn thuurɛ mɛn pay thuur ?
>>nus<< It was raining heavily.	Cɛ dɛ̈m ɛ lɔ̱ŋ.
>>nus<< It's always your fault.	Ɛ duäriɛn kɛn diaal.
>>nus<< May I start eating now?	Dee mi̱äth tok ?
>>nus<< My father will help me.	Bi̲ gua̲a̲r ɤä luäk.
>>nus<< My neck hurts a little.	ŋuäkdä bɛcɛ kä mi̱ tɔt.
>>nus<< My neck hurts a little.	ŋuäkdä bɛcɛ ɛ määth.
>>nus<< Never play on the road.	Cuarɛ mët ŋar rɛy car.
>>nus<< Nothing really matters.	Ɣän thiɛlɛ mi̱ di̱ɛɛrä kɛ kui̱dɛ.
>>nus<< Shall I carry your bag?	Dee bɛ̈ɛ̈kdu kap?
>>nus<< Someone made a mistake.	Ram kɛl cɛ duer la̱t.
>>nus<< Tell Tom to hurry back.	Läri̱ kɔ ɣöö bi̱ Töm luny jɔk.
>>nus<< That was a good answer.	Nɛmɛ ɛ jɛn jëkdɛ mi̱n gɔaa.
>>nus<< There were no problems.	Thi̱ɛlɛ ri̱ɛk mi̱ ci̱ tuɔɔk.
>>nus<< There were no problems.	thiɛlɛ mi̲ la riɛk.
>>nus<< This is Tom's umbrella.	Kumca̱ŋ ɛmɛ ɛ duŋ Töm.
>>nus<< Tom could take no more.	Ci̱ Töm ɛ bi̱ lɛ nhɔk.
>>nus<< Tom crossed the border.	Töm cɛ key ŋok.
>>nus<< Tom did an amazing job.	Töm cɛ la̱t mi̱ gääy nath lät.
>>nus<< Tom did this correctly.	Ci̱ Töm ɛ la̱t kɛ gua̱a̱thdɛ
>>nus<< Tom drives a black car.	Töm gɛrɛ thurbi̲i̲l mi ca̲r.
>>nus<< Tom gave Mary a dollar.	Töm cɛ Mɛri̱ moc kɛ Dɔlɔr.
>>nus<< Tom has a nice bicycle.	Töm tee kɛ ji̱o̱k thiɛliɛk mi̱ gɔaa.
>>nus<< Tom has suffered a lot.	Töm cɛ tee ɣɔ̱ɔ̱n ɛ lɔ̱ŋ.
>>nus<< Tom is as tall as I am.	Töm jɛn bärɛ ce̱t kɛ ɣä
>>nus<< Tom is at the computer.	tom jɛnɛ ka computɛr.
>>nus<< Tom isn't afraid of us.	Töm cɛ dual kɛ kɔn.
>>nus<< Tom isn't very careful.	Töm cɛ rɔ tiit.
>>nus<< Tom knew I was outside.	Töm ŋäcɛ ɣöö ta̱a̱ raar i̱n wën.
>>nus<< Tom looks very content.	Töm cätdɛ mi tɛth lɔcdɛ.
>>nus<< Tom seemed very hungry.	Nɛ̈nä Töm ci̱ëë näk bɔthɛ ɛ lɔ̱ŋ
>>nus<< Tom won't be with Mary.	Töm ci̱ kɛn bi̱ tee kɛɛl kɛnɛ Mɛri̱.
>>nus<< Tom won't believe Mary.	Töm /cɛ mɛrɛ ŋäth.
>>nus<< Wait till you see this.	Lipɛ amäni̱ ci̱ɛ nɛn .
>>nus<< Wait till you see this.	Guikni̱ amäni̱ mi̱ ci̱ɛ nɛn .
>>nus<< Wait till you see this.	Ji̱n lipɛ ama̱ni̱ mi̱ ciɛ nɛn.
>>nus<< Wait till you see this.	Teeni̱ amäni̱ ciɛ nɛn.
>>nus<< We have an orange tree.	Tee nɛy kɛ jiath lemuun.
>>nus<< We have to do this now.	Banɛ jɛ dhil la̱t ɛntäämɛ.
>>nus<< We ran to the bus stop.	Ci nɛy ɛ ŋuac gɔ̱a̱ cuŋ ba̱th thi̱n.
>>nus<< We'll obey these rules.	Bi̱ kɔn ŋuɔ̱t yi̱k luɔ̱th.
>>nus<< What's your story, Tom?	Ɛŋu la muɔŋdu, Töm?
>>nus<< What's your story, Tom?	Ɛŋu la caalku, Töm?
>>nus<< Why aren't you married?	Ɛ ŋu käni̱ jɛ kuɛn nɔni̱ ?
>>nus<< Why's Tom still crying?	Ɛ ŋu ro̱t kɛ Töm ɔ ?
>>nus<< Will you study tonight?	Bi̱ kuën ɛn wääri̱?
>>nus<< Women seem to like Tom.	Töm lätdɛ ci̱ëë nhɔk mään nɛ.
>>nus<< Caesar was born in Rome.	Köthɛɛr dapkɛ jɛ kä Röm.
>>nus<< Does anyone want coffee?	Tee kɛ ram mi̱ gör bun.
>>nus<< He died three years ago.	Cɛ li̱w kɛ kɔr run ti jiɛn diɔ̱k ti ci wä.
>>nus<< I can't leave Australia.	Ɣän cän Athi̱ra̱li̱aa bi̱ ba̱ny pi̱ny.
>>nus<< I didn't buy either one.	Thi̱ɛlɛ mi̱ cä kɔk kä kɛn da̱ŋ rɛw.
>>nus<< I didn't want Tom there.	Cän Töm gör ɛn gua̱a̱th ɛmɛ.
>>nus<< I discussed it with Tom.	Ɣän ci̱ nɛy ruac kɔnɛ Töm.
>>nus<< I don't do that anymore.	Cänɛ bi̱ la̱t ɛ we wee nhiam.
>>nus<< I don't want Tom to win.	Cänɛ go̱r i̱ bi̱ Töm pa̱a̱th.
>>nus<< I know that Tom is bald.	Ɣän ŋa̱cä Töm i̱ ɛ wi̱c laaŋ.
>>nus<< I like fishing with Tom.	Ɣän nhɔkä dëp rɛc kɔnɛ Töm kɛɛl
>>nus<< I might be able to help.	Dɔ̲ŋ bä kɛ luäŋ kɛ luäk.
>>nus<< I owe you a big apology.	La̱rä ji̱ dua̱r kɛ kui̱ päli̱kä.
>>nus<< I should do that myself.	Ɣän nɛmɔ dee jɛ la̱t.
>>nus<< I think Tom is confused.	Ɣän di̱ɛwä jɛ ɛn ɣöö ci̱ Töm wi̱dɛ nyuɔn.
>>nus<< I thought you liked Tom.	Di̱ɛɛwä jɛ nhɔki̱ Töm.
>>nus<< I went there many times.	Ni̱ ciaŋ lɛ ɣän ɛ we gua̱ mi̱i̱.
>>nus<< I went there many times.	Lɛ ɣän ɛ we gua̱ mi̱i̱ ni̱ ciaŋ.
>>nus<< I'm sure about his name.	Cän ci̱ötdɛ luäŋ kɛ ti̱ät.
>>nus<< Is this milk still good?	Kɛn cak ŋuɔt kɛn kɛ gɔɔy ?
>>nus<< Let's run away together.	Can rɔ̱ɔ̱dan bar kɛɛl.
>>nus<< Mary can speak Japanese.	Mɔri̱ kui̱cɛ thok Japaan.
>>nus<< My wife loves apple pie.	Ci̱ëkdä nhɔkɛ Ɣa̱pɛl.
>>nus<< Now's the time to begin.	Ca gua̱a̱th kɛ ɣöö ba tok.
>>nus<< Now's the time to begin.	Ɛn tämɛ ca gua̱a̱th kɛ ɣöö ba jɛ tok.
>>nus<< Now's the time to begin.	Ca gua̱a̱th kä ɣöö ba jɛ tpk ɛn tämɛ.
>>nus<< She has gone to America.	Cɛ we kaä Amëri̱ca
>>nus<< Spend some time with me.	Teyni kɛɛl kɛ ɣä kɛ thaaŋ guäthni
>>nus<< Tell Tom what Mary said.	Lätniɛ Töm ɛn min ci mɛrɛ jɛ lar.
>>nus<< The baby's name was Tom.	Ci̲öt gatkä ɛn ciɔalɛ Töm.
>>nus<< The grass needs cutting.	Juaɔ go̱o̱r kɛn ɣöö dee kɛ puur.
>>nus<< The grass needs cutting.	Juaac göör kɛn ɣöö dee kɛ ŋɛɛr.
>>nus<< The lion is eating meat.	Jɛn lony laa camɛni̲ ri̲ŋ.
>>nus<< They came in full force.	Ci̱ kɛn ben kɛ buɔ̱m mi̱ di̱i̱t.
>>nus<< They took our passports.	Cikɛn pa̱th-puɔt nikɔ ka̱n.
>>nus<< They want us to find it.	Bi̱ kɛn ɛ gör ɛ nyɔk
>>nus<< They want us to find it.	Gör kɛnɛ ɛ nyɔk .
>>nus<< This house is very good.	Duël ɛmɛ jɛn gɔayɛ ɛlɔ̱ŋ.
>>nus<< Those days are now over.	Ɛn tämɛ ni̲n ɛ tɔ̲ cikɛ thuɔk
>>nus<< Tom has no such problem.	Töm jɛn cɛ tee kɛ ri̱k di̱al ɛ tɔni̱
>>nus<< Tom may be able to help.	Dɔ̱ŋ bi Töm ɛ ɣɔ̱n bɛ luek.
>>nus<< Tom prefers to be alone.	Töm cɛ mɛk ni̱ ɣöö bɛ tee kärɔa..
>>nus<< Tom put up his umbrella.	Ci̱ Töm kum ca̱ŋdɛ kap nhi̱al.
>>nus<< Tom will never trust me.	Tön ɛ puc cɛ ɣä ŋäth.
>>nus<< We're both grandfathers.	Jɛn ɛ gua̱ndɔŋdan kɔn di̱al.
>>nus<< What did Tom want to do?	Töm go̱rɛ ɣöö bɛ ŋu la̱t ɔ ?
>>nus<< What is it you're doing?	Ji̱n ɛ ŋu läti̱ mɔni̱ ?
>>nus<< Will it be dry tomorrow?	Bɛ yi̱k köt i̱ ruun?
>>nus<< Are you a coffee drinker?	Ɛ ji̱n määth bunkä?
>>nus<< Can I have both of these?	Ca kɛ kɛ bi̱ ka̱m ji̱ kɛn da̱ŋ rɛw ?
>>nus<< Can you open this for me?	Ji̱n de̱ri̱ ɣä lëp nɛmni̱ ?
>>nus<< Did you do that recently?	Pay i jɛ la̱t?
>>nus<< He is after a better job.	Lätɛ la̱t mi̱ ŋuän ni̱ jɛ.
>>nus<< I got something from Tom.	Ɣän cä ŋɔakni̱ jek kä Töm.
>>nus<< I know that I don't know.	Ɣän ŋa̱cä jɛ ɛn ɣöö kuäcä jɛ.
>>nus<< I shouldn't say anything.	Thiɛlɛ mi̱ dee nyäk kɛ lat.
>>nus<< I shouldn't say anything.	Ɣän thiɛlɛ mi̱ bä lat.
>>nus<< I shouldn't say anything.	Ɣän thiɛlɛ mi̱ bä lar.
>>nus<< I thought Tom didn't win.	Töm cänɛ ŋäc i̱ bɛ pa̱a̱th.
>>nus<< I thought Tom didn't win.	Ɣän ŋa̱cä ni̱ ɣöö ci̱ Töm bi̱ pa̱a̱th.
>>nus<< I want to be young again.	Nhɔakä ɣöö bi̱ ɣän ɛ ŋuɛ̈t.
>>nus<< I want to paint my house.	Ɣän görä ɣöö ba duëlä rɔth.
>>nus<< I will help him tomorrow.	Bä jɛ luäk i̱ ruun.
>>nus<< I'll join you for dinner.	Bärɔ ma̱t ji kɛ mieth thiaŋ.
>>nus<< I'm going to go with Tom.	Wa̱a̱kɛ bakɔ we kɛɛl kɔnɛ Töm.
>>nus<< I'm going to go with Tom.	Ɣän wa̱a̱kɛ kɛ ɣöö bakɔ we kɛɛl kɔnɛ Töm.
>>nus<< Life is unfair sometimes.	Ci̱aŋ teekä jɛn cɛ päär i̱n ci̱aaŋ.
>>nus<< Life is unfair sometimes.	Tha̱ŋ guääthni̱ tek cɛ päär i̱n ci̱aaŋ.
>>nus<< Life is unfair sometimes.	tëk cɛ päär tha̲a̲ŋ guäthni̲.
>>nus<< My father has a good job.	Gua̲r tee kɛ la̲t mi̲ gɔaa.
>>nus<< Please don't waste water.	Ji̱n cu ŋar kɛ pi̱.
>>nus<< She has to study science.	Bɛ thaany gɔ̱r.
>>nus<< She speaks ten languages.	Jɛn ruac kɛ thuk ti̱ cuɔp kɛ wäl.
>>nus<< She stopped our fighting.	Cɛ kör käp cuɔ̱ŋ kä nɛy.
>>nus<< She stopped our fighting.	Cɛ köra käp cuɔ̱ŋ.
>>nus<< Tell Tom it's a priority.	Ɛ Töm ŋäcɛ kɛ nhi̱am.
>>nus<< Tell Tom it's a priority.	Ɛ Töm kɔŋ tee kɛ ŋäc kɛ nhi̱am.
>>nus<< Tell Tom it's a priority.	La̱rɛ jɛ Töm kɛ nhi̱am
>>nus<< Tell Tom it's a priority.	Ɛ ŋot la̱rɛ jɛ Töm kɛ nhi̱am.
>>nus<< The apples are delicious.	Apɛl jɛn comɛ.
>>nus<< The ball bounced up high.	Ci̱ kuurɛ we nhial.
>>nus<< The ball bounced up high.	Ci̱ kuurɛ räth nhial.
>>nus<< Tom also lives in Boston.	Töm jɛn ci̱ëëŋɛ kä Buɔth tɔɔm.
>>nus<< Tom and I study together.	Ɣän ɛ nɛy ɛ kuën kɔnɛ Töm.
>>nus<< Tom gave us a lot to eat.	Töm cɛ nɛy moc mi̲th ti̲ cam kɛ.
>>nus<< Tom is a good instructor.	Töm jɛn ɛ ŋi̱i̱c mi̱ gɔaa.
>>nus<< Tom isn't working for me.	Töm jɛn cɛ ɣä lät i̱ kä.
>>nus<< Tom knew Mary was hungry.	Ŋäc Tömɛi̲ Mɛri̲ näk bɔthɛ.
>>nus<< Tom opened the blue door.	Ci̱ Töm bap mi̱ yiëël lɛp.
>>nus<< Tom wasn't doing his job.	Töm /cɛ la̱tdɛ lät.
>>nus<< Tomorrow is her birthday.	i ruun ɛ cäŋ däpkä dɛ.
>>nus<< We can't let you do that.	Ci nɛy ji bi jak kä ɣöö lätdi jɛ.
>>nus<< We need to do more tests.	Go̱o̱r nɛy la̱t ɣɔ̱ɔ̱ni̱ ti̱ kɔkiɛn.
>>nus<< We're leaving in an hour.	banɛ jiɛɛn rɛy thaakä.
>>nus<< We've lost our umbrellas.	Ci̱ nɛy kumca̱ŋ ni̱kɔ bath.
>>nus<< What's under the blanket?	Ɛ ŋu te piny pa̱ta̱nkä mɔ ?
>>nus<< Who do you like the most?	Ɛ ŋadiɛn mi̱ nhɔki̱ ɛlɔ̱ŋ ɔ ?
>>nus<< Who do you like the most?	Ji̱n nhɔki̱ ŋa ɛlɔ̱ŋ ?
>>nus<< Would you please help us?	Gɔayɛ dëri̱ nɛy luäk?
>>nus<< Are all these books yours?	Kɛn buɔkni dial ɛ ti̱ni kɛ nyi̱n ku ?
>>nus<< Can you turn on the light?	Gɔɔyɛ ɛn ɣöö deri̱ ka̱ra̱pɛ lɛp?
>>nus<< Could you take my picture?	Deri̠ ɣä thur?
>>nus<< Did you play tennis today?	Dëra mi̱ ci̱ ŋar kɛ tɛni̱i̱th ɛn wa̱lɛ?
>>nus<< Does Tom enjoy doing that?	Jɛn nhɔk Tömɛ ɛn ɣöö de jɛ lät?
>>nus<< Does she have a boyfriend?	Jɛn nyamɛ tee kɛ göör?
>>nus<< Does she have a boyfriend?	Jɛn nyamɛ tee kɛ määth?
>>nus<< How does this camera work?	Ci̱ thuurɛ ɛmɛ lät i̱ di̱ ?
>>nus<< I can be there in an hour.	Bä yi̱k cop kɛ kɔr thaakä.
>>nus<< I can't tell you anything.	Thiɛlɛ mi̱ dee la̱ri̱.
>>nus<< I didn't sit in the front.	Ɣän /ka̱n nyuur nhiam
>>nus<< I explained what happened.	Cä min ci ci tuɔk lat
>>nus<< I explained what happened.	cää min ci̲ tuɔɔk lat.
>>nus<< I feel sick to my stomach.	Jekä jidä ɛ bɛc .
>>nus<< I go to college in Boston.	Ɣän bä wee kä Bo̱thtɔɔm Kɔ̱ɔ̱li̱c.
>>nus<< I knew that Tom was a bum.	Töm ɣän ŋa̱cä jɛ ɛ lät mi̱ gɔaa.
