>>urd<< Hi.	سلام۔
>>urd<< Since I was tired, I went to bed.	کیونکہ میں تھکا ہوا تھا، میں سونے چلا گیا۔
>>urd<< Something is better than nothing.	بھاگتے چور کی لنگوٹی ہی سہی۔
>>urd<< The chair is not near the window.	کرسی کھڑکی کے پاس نہیں ہے۔
>>urd<< The chair is not near the window.	کرسی کھڑکی کے ساتھ نہیں ہے۔
>>urd<< The meeting took place last week.	اجلاس پچھلے ہفتے منعقد ہوا تھا۔
>>urd<< The plane flew over the mountain.	جہاذ پہاڑ کے اوپر سے گزرا۔
>>urd<< The police caught him red handed.	پولیس نے اس کو رنگے ہاتھوں پکڑ لیا۔
>>urd<< They don't take care of that dog.	وہ اس کتے کا خیال نہیں رکھتے۔
>>urd<< Tom told Mary that she was right.	ٹام نے مریم کو بتایا کہ وہ صحیح تھی۔
>>urd<< Will you lend me your dictionary?	کیا تم اپنی لغت ادھار دے سکتے ہو؟
>>urd<< Will you lend me your dictionary?	کیا آپ اپنی لغت ادھار دے سکتے ہے؟
>>urd<< You don't have enough experience.	تمھارے پاس اتنا تجربہ نہیں ہے۔
>>urd<< A rose's petals are very delicate.	گلاب کے پتے بہت نازک ہوتے ہے۔
>>urd<< All I found is a pair of scissors.	مجھے صرف قینچیاں ملی ہے۔
>>urd<< Birds of a feather flock together.	خربوزہ خربوزے کو دیکھ کر رنگ پکڑتا ہے۔
>>urd<< Did anybody call on you yesterday?	تمھیں کل کسی نے کال کی تھی؟
>>urd<< Does someone know where my son is?	کیا کسی کو پتہ ہے کہ میرا بیٹا کدھر ہے؟
>>urd<< Elephants live in Asia and Africa.	ہاتھی ایشیا اور افریقہ میں پائے جاتے ہیں۔
>>urd<< Few Japanese can use English well.	بہت کم جاپانی صحیح انگریزی بول سکتے ہیں۔
>>urd<< Have you ever done anything right?	کیا تم نے سب کچھ صحیح سے کیا ہے؟
>>urd<< Have you ever done anything right?	کیا تم نے سب کچھ ٹھیک سے کیا ہے؟
>>urd<< He earns three times more than me.	وہ مجھ سے تین گنا زیادہ کماتا ہے۔
>>urd<< He is still too young for the job.	وہ اس نوکری کے لئیے ابھی بھی کافی چھوٹا ہے۔
>>urd<< He lives in that house over there.	وہ اس گھر میں رہتا ہے۔
>>urd<< Her beauty was beyond description.	اس کی خوبصورتی کو بیان کرنا الفاظوں میں ممکن نہیں۔
>>urd<< I don't like either tea or coffee.	مجھے چائے پسند ہے نہ ہی کافی۔
>>urd<< I own a restaurant on Park Street.	میں پارک سٹریٹ پہ ایک ریستوران کا مالک ہوں۔
>>urd<< I think it's better not to try it.	میرا خیال ہے کہ ہم نہ ہی کوشش کرے تو بہتر ہے۔
>>urd<< I won't bore you with the details.	میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گا۔
>>urd<< I won't bore you with the details.	میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گی۔
>>urd<< I'm actually a university teacher.	اصل میں میں یونیورسٹی ٹیچر ہوں۔
>>urd<< Is the hotel close to the airport?	کیا ہوٹل ہوائی اڈے کے قریب ہے؟
>>urd<< Our teacher told us when to start.	ہماری استانی نے ہمیں بتایا کہ کب شروع کرنا ہے۔
>>urd<< She practices the piano every day.	وہ پیانو کی روذ مشق کرتی ہے۔
>>urd<< She was injured in a car accident.	وہ گاڑی کے حادثے میں زخمی ہوئی تھی۔
>>urd<< The man was given a life sentence.	اس آدمی کو سزائے موت دی گئی ہے۔
>>urd<< The teacher patted me on the back.	استاد نے میری پیٹھ پر مجھے تھپکی دی۔
>>urd<< Tom knew Mary had threatened John.	ٹام جانتا تھا کہ مریم نے جون کو دھمکی دی ہے۔
>>urd<< Why is it that you're always late?	تم ہمیشہ دیر سے کیوں آتے ہو؟
>>urd<< You have only to push this button.	تم نے صرف اس بٹن کو دبانا ہے۔
>>urd<< Can you tell me what happened here?	کیا تم مجھے بتا سکتے ہو کہ یہاں کیا ہوا؟
>>urd<< Do you have these shoes in my size?	آپ کے پاس یہ جوتے میرے سائز میں ہے؟
>>urd<< Do you want to go for a walk later?	تم نے بعد میں چہل قدمی کے لئیے چلنا ہے؟
>>urd<< Do you want to go for a walk later?	آپ نے بعد میں چہل قدمی کے لئیے چلنا ہے؟
>>urd<< Each of the three boys got a prize.	تینوں لڑکوں کو انعام ملے گا۔
>>urd<< He did not appear until about noon.	وہ دوپہر سے پہلے نظر نہیں آیا۔
>>urd<< He often thinks with his eyes shut.	وہ زیادہ تر آنکھیں بند کر کے سوچتا ہے۔
>>urd<< He often thinks with his eyes shut.	وہ زیادہ تر آنکھیں بند کر کے سوچتے ہے۔
>>urd<< I almost never listen to the radio.	میں ریڈیو کبھی کبھی سنتا ہوں۔
>>urd<< I brought some of my books to read.	میں اپنی کچھ کتابیں پڑھنے کے لئیے لایا ہوں۔
>>urd<< I brought some of my books to read.	میں اپنی کچھ کتابیں پڑھنے کے لئیے لائی ہوں۔
>>urd<< I don't want to dredge up the past.	میں ماضی کو زیادہ کریدنا نہیں چاہتا۔
>>urd<< I loved reading when I was a child.	بچپن میں مجھے کتابیں پڑھنے کا بہت شوق تھا۔
>>urd<< I met her during my stay in Mexico.	میری اس سے ملاقات میکسیکو میں ہوئی تھی۔
>>urd<< It's no use crying over spilt milk.	اب بچھتائے کیا ہوت جب چڑیا چگ گئی کھیت۔
>>urd<< Leave more space between the lines.	لائنوں کے درمیان زیادہ فاصلہ دو۔
>>urd<< My grandfather likes reading books.	میرے دادا ابو کو کتابیں پڑھنے کا شوق ہے۔
>>urd<< My grandfather likes reading books.	میرے نانا ابو کو کتابیں پڑھنے کا شوق ہے۔
>>urd<< Shall I answer this letter for you?	میں آپ کی طرف سے اس خط کا جواب دوں؟
>>urd<< Shall I answer this letter for you?	میں تماری طرف سے اس خط کا جواب دوں؟
>>urd<< She got to the hotel late at night.	وہ ہوٹل کافی لیٹ پہنچی۔
>>urd<< She got to the hotel late at night.	وہ رات کو دیر سے ہوٹل پہنچی۔
>>urd<< The children are playing with toys.	بچے کھلونوں سے کھیل رہے ہیں۔
>>urd<< The dictionary on the desk is mine.	میز کے اوپر پڑی پوئی لغت میری ہے۔
>>urd<< The house fell down one week later.	وہ گھر ایک ہفتہ بعد ہی گر گیا۔
>>urd<< The house fell down one week later.	وہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔
>>urd<< The house fell down one week later.	یہ گھر ایک ہفتہ بعد ہی گر گیا۔
>>urd<< The house fell down one week later.	یہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔
>>urd<< The plane takes off in ten minutes.	جہاز دس منٹ میں اڑ جائے گا۔
>>urd<< They rescued the boy from drowning.	انہوں نے لڑکے کو ڈوبنے سے بچا لیا۔
>>urd<< Tom and Mary both know how to swim.	ٹام اور مریم دونوں تیراکی جانتے ہیں۔
>>urd<< Tom asked Mary why she was smiling.	ٹام نے مریم سے پوچھا کہ وہ کیوں ہنس رہی ہے۔
>>urd<< What is the origin of the universe?	اس کائنات کی ابتدا کیا ہے؟
>>urd<< Wolves don't usually attack people.	بھیڑیے عام طور پر لوگوں پہ حملہ نہیں کرتے۔
>>urd<< You must take care not to break it.	تم بس دھیان رکھنا کہ یہ ٹوٹے نا۔
>>urd<< You've got to keep this secret, OK?	تمہیں اس کو راز رکھنا ہوگا، ٹھیک ہے؟
>>urd<< You've got to keep this secret, OK?	تمہیں اس کو صیغہ راز میں رکھنا ہوگا، ٹھیک ہے؟
>>urd<< Are you by yourself or with someone?	تم اکیلے ہو یا کسی کے ساتھ ہو؟
>>urd<< Are you by yourself or with someone?	کیا آپ اکیلے ہے یا کسی کے ساتھ ہے؟
>>urd<< Australian women are very beautiful.	آسٹریلوی لڑکیاں بہت خوبصورت ہیں۔
>>urd<< Do you know how to use a dictionary?	تمہیں پتہ ہے کی لغت استعمال کیسے کرتے ہے؟
>>urd<< Do you know how to use a dictionary?	اپ کو لغت استعمال کرنا آتی ہے؟
>>urd<< Few people live to be 100 years old.	بہت کم لوگ ۱۰۰ سال کی عمر تک زندہ رہتے ہے۔
>>urd<< Few people live to be 100 years old.	۱۰۰ سال کی عمر نک بہت کم لوگ زندہ رہتے ہے۔
>>urd<< He earns three times more than I do.	وہ مجھ سے تین گنا زیادہ کماتا ہے۔
>>urd<< He is used to talking to foreigners.	وہ غیر ملکیوں سے بات کرنے کا عادی ہے۔
>>urd<< He stayed there during the vacation.	وہ چھٹیوں میں وہیں رہا۔
>>urd<< He went to bed because he was tired.	وہ سونے چلا گیا ہے کیونکہ وہ تھکا ہوا تھا.
>>urd<< How did the traffic accident happen?	ٹریفک حادثہ کیسے پیش آیا؟
>>urd<< I appreciate what you did yesterday.	میں مشکور ہوں آپ کا، جو آپ نے میرے لیئے کل کیا۔
>>urd<< I enjoyed watching TV for two hours.	میں نے دو گھنٹے ٹی وِی دیکھ کے کاافی مزہ کیا۔
>>urd<< I found this movie very interesting.	مجھے یہ فلم بہت دلچسپ لگی ہے۔
>>urd<< I found this movie very interesting.	میں نے اس فلم کو بہت دلچسپ پایا۔
>>urd<< I have nothing to do this afternoon.	میرے پاس آج دوپہر کچھ کرنے کو نہیں ہے۔
>>urd<< I used to love her, but not anymore.	میں اس سے پیار کرتا تھا مگر اب نہیں۔
>>urd<< I'll be sixteen on my next birthday.	میں اپنی اگلی سالگرہ پر سولہ سال کا ہو جائو گا۔
>>urd<< I'll be sixteen on my next birthday.	میں اپنی اگلی سالگرہ پر سولہ سال کی ہو جائو گی۔
>>urd<< I'll take some X-rays of your teeth.	میں تمھارے دانتوں کے کچھ ایکس -رے لوں گا۔
>>urd<< It is not polite to point at others.	کسی کی طرف انگلی سے اشارہ کرنا تمیز کے دائرے میں نہیں آتا۔
>>urd<< The semester exams are finally over.	سیمسٹر امتہان آخرکار ختم ہو گئے ہیں۔
>>urd<< There are many old temples in Kyoto.	کیوٹو میں کافی پرانے مندر ہے۔
>>urd<< Tom always drinks his coffee strong.	ٹام ہمیشہ تیز کافی پیتا ہے۔
>>urd<< We should abolish the death penalty.	ہمیں سزائے موت ختم کر دینی چاہئیے۔
>>urd<< We watched a bird feeding its young.	ہم نے ایک پڑندے کو دیکھا جو اپنے بچے کو کھانا کھلا رہا تھا۔
>>urd<< What he said turned out to be a lie.	اس نے جو بتاہا تھا وہ جھوٹ نکل آیا۔
>>urd<< English cannot be mastered overnight.	انگریزی میں ایک رات کے اندر مہارت نہیں حاصل کی جا سکتی۔
>>urd<< He and only he knows the whole truth.	وہ اور صرف وہ ہی پوری سچائی جانتا ہے۔
>>urd<< He decided to submit his resignation.	اس نے اپنا استعفی جمع کرانے کا فیصلہ کر لیا۔
>>urd<< He is likely to pass the examination.	وہ ضرور امتحان میں پاس ہوگا۔
>>urd<< He was tired, but he kept on working.	وہ تھکا ہوا تھا مگر وہ پھر بھی کام کرتا رہا۔
>>urd<< I left my tennis racket on the train.	میں ٹرین پر اپنا ٹینس ریکیٹ چھوڑ آیا۔
>>urd<< I'm not going to the movies tomorrow.	میں کل فلم دیکھنے نہیں جا رہا۔
>>urd<< I'm surprised that you won the prize.	مجھے حیرت ہے کہ تم نے انعام جیت لیا ۔
>>urd<< I'm surprised that you won the prize.	مجھے حیرت ہے کہ آپ نے انعام جیت لیا ۔
>>urd<< I've always wanted to read that book.	میں ہمیشہ سے وہ کتاب پڑھنا چاہتا تھا۔
>>urd<< I've always wanted to read that book.	میں ہمیشہ سے وہ کتاب پڑھنا چاہتی تھی۔
>>urd<< Let's go as soon as it stops raining.	جیسے ہی بارش رکتی ہے، ہم چل پڑے گے۔
>>urd<< Look up the words in your dictionary.	الفاظوں کو لغت میں ڈھونڈو۔
>>urd<< My friend remembered which way to go.	میرے دوست کو یاد تھا کہ کس راستے پہ جانا ہے۔
>>urd<< She advised him to get more exercise.	اس نے اسے ریادہ ورزش کرنے کا مشورہ دیا۔
>>urd<< She finished her homework in an hour.	اس نے اپنا ہوم ورک ایک گھنٹے میں ختم کر لیا۔
>>urd<< They will cut down on their expenses.	وہ اپنے خرچے کم کرے گے۔
>>urd<< This glue does not adhere to plastic.	یہ گوند پلاسٹک کو نہیں جورتی۔
>>urd<< Tom asked if he needed to wear a tie.	ٹام نے پوچھا کہ کیا اسے ٹائے پہننے کی ضرورت ہے۔
>>urd<< Tom speaks French worse than English.	ٹام انگریزی سے بھی زیادہ بڑی فرانسیسی بولتا ہے۔
>>urd<< Tom tried to drink his problems away.	ٹام نے شراب نوشی میں اپنی مشکلیں ختم کرنے کی کوشش کی۔/اپنے غم غلط کرنے کی کوشش کی۔
>>urd<< You don't need to go in such a hurry.	تمھیں اتنی جلدی جانے کی ضرورت نہیں ہے۔
>>urd<< Your mother will be back before long.	تمہاری امی بس آتی ہونگی۔
>>urd<< Your mother will be back before long.	تمہاری ماں بس راستے میں ہو گی۔
>>urd<< All of us were busy cleaning the room.	ہم سارے کمرے کی صفائی کرنے میں مصروف تھے۔
>>urd<< All you have to do is sweep the floor.	تمہیں صرف زمین کی صفائی کرنی ہے۔
>>urd<< Different people have different ideas.	مختلف لوگوں کے مختلف خیالات ہیں۔
>>urd<< English is studied all over the world.	انگریزی پوری دنیا میں پڑھای جاتی ہے۔
>>urd<< Everyone was listening very carefully.	سارے بڑے غور سے سن رہے تھے۔
>>urd<< He does not take care of his children.	وہ اپنے بچوں کا خیال نہیں کرتا۔
>>urd<< I have a lot of passwords to remember.	مجھے کافی زیادہ پاسورڈس یاد دکھنے پڑتے ہے۔
>>urd<< I have heard that song sung in French.	میں نے اس گیت کو فرانسیسی زبان میں گایا ہوا سنا ہے۔
>>urd<< I know his address, but it's a secret.	مجھے اس کے گھر کا پتہ معلوم ہے، مگر یہ ایک راز ہے۔
>>urd<< I understand how to solve the problem.	میں سمجھ آگئی ہے کہ اس مسئلہ کو کیسے حل کرنا ہے۔
>>urd<< I wanted to make some telephone calls.	میں کچھ ٹیلی فون کالیں کرنا چاہتا تھا۔
>>urd<< I wanted to make some telephone calls.	میں کچھ ٹیلی فون کالیں کرنا چاہتی تھی۔
>>urd<< I went to sleep as soon as I got home.	میں گھر پہنچتےساتھ ہی سو گیا۔
>>urd<< I won't go out until it stops raining.	میں تب تک باہر نہیں جائو گا جب تک بارش نہیں رک جاتی۔
>>urd<< I won't go out until it stops raining.	میں تب تک باہر نہیں جائو گی جب تک بارش نہیں رک جاتی۔
>>urd<< It's not easy to understand his ideas.	اس کے خیالات کو سمجھنا آسان نہیں ہے۔
>>urd<< My mother has made me what I am today.	میں آج جو کچھ ہوں، اپنی ماں کی وجہ سے ہوں۔
>>urd<< She helped the old man cross the road.	اس نے بزرگ کی سڑک پاڑ کرنے میں مدد کی۔
>>urd<< She helped the old man cross the road.	انہوں نے بزرگ کی سڑک پاڑ کرنے میں مدد کی۔
>>urd<< She's about the same age as my sister.	وہ تقریباّ میری بہن کی عمر کی ہے۔
>>urd<< The snow melted away when spring came.	بہار کا موسم آتے ہی برف پگھل گئی۔
>>urd<< There are some things money can't buy.	دنیا میں کچھ چیزیں ہے جو پیسوں سے نہیں خریدی جا سکتی۔
>>urd<< There are still a lot of things to do.	ابھی بہت سارے کام رہتے ہیں۔
>>urd<< They saw the waiter coming in a hurry.	انہوں نے دیکھا کہ بیرا جلدی سے آرہا ہے۔
>>urd<< We hardly realize how important it is.	ہمیں کبھی کبھی احساس ہوتا ہے کہ یہ کتنا ضروری ہے۔
>>urd<< We talked on the phone until midnight.	ہم رات بارہ بجے تک باتیں کرتے رہیں۔
>>urd<< What'll you be doing over the weekend?	اس ہفتے کو تم کیا کر رہے ہو؟
>>urd<< What'll you be doing over the weekend?	اس ہفتے کو تم کیا کر رہی ہو؟
>>urd<< What'll you be doing over the weekend?	اس ہفتے کو تمہارا کیا سین ہے؟
>>urd<< You are mad to try to do it all alone.	تم پاگل تھے جو اکیلے کرنے چلے گئے تھے۔
>>urd<< You look just like your older brother.	تم بلکل اپنے بڑے بھائی کی طرح لگتے ہو۔
>>urd<< You look just like your older brother.	آپ بلکل اپنے بڑے بھائی کی طرح لگتے ہیں۔
>>urd<< A few people clapped after his lecture.	لیکچر کے بات تھورے سے لوگوں نے تالیاں بجائی۔
>>urd<< He remembers writing to her every week.	اسے یاد ہے کہ وہ اسے ہر ہفتہ خط لکھتا تھا۔
>>urd<< He showed me a lot of beautiful photos.	اس نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔
>>urd<< He showed me a lot of beautiful photos.	انہوں نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔
>>urd<< He speaks English with a German accent.	وہ انگریزی جرمن لہجہ میں بولتا ہے۔
>>urd<< He still hasn't responded to my letter.	اس نے ابھی تک میرے خط کا جواب نہیں دیا۔
>>urd<< I don't know exactly when I'll be back.	بجھے نہیں پتہ کہ میں کب واپس آئو گا۔
>>urd<< I don't want to live my life like this.	میں اپنی زندگی ایسے نہیں گزارنا چاہتا۔
>>urd<< I have a message I want you to deliver.	میرے پاس ایک پیغام ہے جو تم نے پہنچانا ہے۔
>>urd<< I met him when I was staying in London.	میں اس سے لندن ملا تھا جب میں وہاں رہ رہا تھا۔
>>urd<< I translated the poem the best I could.	میں جتنا کر سکا اتنا میں نے اس نظم کا ترجمہ کر دیا ہے۔
>>urd<< I would play tennis with him on Sunday.	میں اس کے ساتھ اتوار کو ٹینس کھیلو گا۔
>>urd<< If you want to, call me this afternoon.	اگر آپ کال کرنا چاہتے ہیں تو مجھے دوپہر کو کر لی جئے گا۔
>>urd<< If you want to, call me this afternoon.	اگر تم کال کرنا چاہتے ہو تو مجھے دوپہر کو کر لے نا۔
>>urd<< It was his silence that made her angry.	اس کی خاموشی نے لڑکی کو ناراض کر دیا تھا۔
>>urd<< Our country is rich in marine products.	ہمارے ملک میں سمندری اشیائیں بہت ہے۔
>>urd<< Please come. I really want to meet you.	پلیز آجائو۔ میں تم سے ملنے کے لیئے بیتاب ہوں۔
>>urd<< Rabbits have long ears and short tails.	خرگوش کے کان لمبے اور دم چھوٹی ہوتی ہے۔
>>urd<< The doctor arrived in time to save her.	ڈاکٹر نے وقت پہ آ کے اس کی جان بچا لی۔
>>urd<< They are currently attending a meeting.	وہ اس وقت ایک اجلاس میں شرکت کر رہے ہیں۔
>>urd<< Those books are always in great demand.	ان کتابوں کی ہمیشہ بہت مانگ رہتی ہے۔
>>urd<< When she entered the room, he stood up.	حب وہ کمرے میں داخل ہوئی تو وہ کھڑا ہو گیا۔
>>urd<< You'll find the shop around the corner.	تمھیں دکان سڑک کے کونے میں ملے گی۔
>>urd<< A loud knocking at the door woke him up.	دروازے پہ زور کی دستک نے اسے جگا دیا۔
>>urd<< At first, I thought he was your brother.	پہلے مجھے لگا کہ وہ تمھارا بھائی ہے۔
>>urd<< At first, I thought he was your brother.	پہلے مجھے لگا کہ وہ آپ کا بھائی ہے۔
>>urd<< Did you get any sleep at all last night?	تم رات کو سو سکے تھے۔
>>urd<< Enter the information into the computer.	کمپیوٹر میں معلومات کا اندراج کرو۔
>>urd<< I don't feel like eating anything today.	میرا آج کچھ کھانے کا دل نہیں کر رہا۔
>>urd<< I don't know whether I have time or not.	پتا نہیں میرے پاس وقت ہے کہ نہیں ۔
>>urd<< I have a feeling that she'll come today.	مجھے لگ رہا ہے کہ وہ آج آئے گی۔
>>urd<< I washed my hands of the whole business.	میں نے اس کاروبار سے اپنے ہاتھ صاف کر لیئے ہے۔
>>urd<< It's difficult to understand his theory.	اس کے نظریہ کو سمجھنا مشکل ہے۔
>>urd<< It's difficult to understand his theory.	ان کے نظریہ کو سمجھنا مشکل ہے۔
>>urd<< It's not easy to be honest all the time.	ہر وقت ایماندار ہونا آسان نہیں ہے۔
>>urd<< Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی ماں کا ہاتھ بٹایا۔
>>urd<< Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی والدہ کا ہاتھ بٹایا۔
>>urd<< Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی ماں کی مدد کی۔
>>urd<< Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی والدہ کی مدد کی۔
>>urd<< The students range in age from 18 to 25.	طالب علموں کی عمر ۱۸ سے ۲۵ سال ہیں۔
>>urd<< There is a car in front of the building.	عمارت کے سامنے ایک گاڑی کھڑی ہے۔
>>urd<< There were only six people at the party.	پارٹی پہ صرف چھہ لوگ تھے۔
>>urd<< There were only six people at the party.	صرف چھہ لوگ دعوت پہ آئے تھے۔
>>urd<< Those were the saddest hours of my life.	وہ میری زندگی کے سب سے غمگین لمحے تھے۔
>>urd<< Though wounded, they continued to fight.	حالانکہ وہ ذخمی تھے مگر وہ پھر بھی لڑتے رہے۔
>>urd<< Tom blames Mary for all of his problems.	ٹام نے اپنے تمام مسائل کا زمہ دار مریم کو ٹھہرایا ہے۔
>>urd<< Tom usually pays for everything in cash.	ٹام عام طور پر نقد رقم میں ہر چیز کے لئے ادائیگی کرتا ہے۔
>>urd<< We loaded a lot of luggage into the car.	ہم نے گاڑی میں کافی سامان ڈال دیا۔
>>urd<< What're you doing here so late at night?	تم یہاں اتنی رات کو کیا کر رہے ہو؟
>>urd<< Could you put your seat back up a little?	آپ اپنی سیٹ تھوڑی اوپر کر سکتے ہے؟
>>urd<< Go on ahead. I'll catch up with you soon.	تم نکلو۔ میں تھوڑی دیر میں نکلتا ہوں۔
>>urd<< How did you learn how to play the violin?	تم نے وایلن بجانا کیسے سیکھا؟
>>urd<< How long do you think we'll have to wait?	تمہارے خیال میں ہمیں کتنا انتظار کرنا پڑے گا؟
>>urd<< How long will this cold weather continue?	ٹھنڈا موسم اور کتنا عرصہ رہے گا؟
>>urd<< How many people are there in your family?	تمھارے خاندان میں کتنے لوگ ہے؟
>>urd<< How many people are there in your family?	تمھارے خاندان میں کتنے افراد ہے؟
>>urd<< I can't remember the melody of that song.	مجھے گانے کی دھن یاد نہیں آ رہی۔
>>urd<< I think it's sad to not have any friends.	میرے خیال میں کوئی دوست نہ ہونا بہت دکھ کی بات ہے ۔
>>urd<< I'm sorry, but I can't answer right away.	معاف کیجیئے گا مگر میں ابھی جواب نہیں دے سکتا۔
>>urd<< In hot weather, water evaporates quickly.	گرم موسم میں پانی جلد اڑ جاتا ہے۔
>>urd<< Please refrain from smoking in this room.	برائے مہربانی اس کمرے میں تمباکونوشی سے پرہیز کرے۔
>>urd<< She's a frequent visitor to this country.	وہ اس ملک میں آتی جاتی رہتی ہے۔
>>urd<< That's exactly what I expected to happen.	اسی چیز کے ہونے کی مجھے امید تھی۔
>>urd<< The princess was wearing too much makeup.	شہزادی نے بہت زیادہ میک اپ لگایا ہوا تھا۔
>>urd<< This stone is twice as heavy as that one.	یہ پتھر اس والے سے دگنا بھاری ہے۔
>>urd<< Tom hasn't washed his hair for two weeks.	ٹام نے دو ہفتوں سے اپنے بال نہیں دھوئے۔
>>urd<< What are you doing here so late at night?	تم یہاں اتنی رات کو کیا کر رہے ہو؟
>>urd<< Have you ever screamed in a movie theater?	تم نے کبھی سنیما میں چیخ ماری ہے؟
>>urd<< Have you ever screamed in a movie theater?	آپ نے کبھی سنیما میں چیخ ماری ہے؟
>>urd<< He makes three times more money than I do.	وہ مجھ سے تین گنا زیادہ پیسے کماتا ہے۔
>>urd<< I will lend you as much money as you want.	تمھیں جتنے پیسے چاہئے، میں اتنے تمھیں دے دوں گا۔
>>urd<< I'm going to study English this afternoon.	میں شام کو انگریزی پڑھو گا۔
>>urd<< It was a full moon that was seen that day.	اس دن چودھویں کا چاند دیکھا گیا تھا۔
>>urd<< None of the students were late for school.	کوئی بھی طلبہ سکول کے لئیے لیٹ نہیں تھا۔
>>urd<< Saying and doing are two different things.	کہنے میں اور کرنے میں بڑا فرق ہے۔
>>urd<< Saying and doing are two different things.	بولنے میں اور کرنے میں بڑا فرق ہے۔
>>urd<< Very young children don't know many words.	چھوٹے بچے زیادہ الفاظ نہیں جانتے۔
>>urd<< He could swim fast enough to pass the test.	اس کی تیراکی کی رفتار اتنی تیز تھی جس میں وہ اپنا ٹیسٹ پاس کر لے۔
>>urd<< I felt very relieved when I heard the news.	میں نے خبر سن کے سکھ کا سانس لیا۔
>>urd<< I've always been passionate about football.	میں ہمیشہ سے فٹ بال کے بارے میں جنونی رہا ہوں۔
>>urd<< I've heard the French version of this song.	میں نے اس گیت کا فرانسیسی ورژن سنا ہوا ہے۔
>>urd<< She goes to market every day to buy things.	وہ ہر روز چیزیں خریدنے کے لئے بازار جاتی ہے۔
>>urd<< They say she is the kindest woman on earth.	وہ کہتے ہیں کہ وہ دنیا کی سب سے خوش اخلاق عورت ہے۔
>>urd<< Tom is probably going to be busy on Monday.	ٹام پیر کو شاید مصروف ہو گا۔
>>urd<< Adolescence is often a period of insecurity.	نوجوانی کا دور عموماً عدم تہفظ کا دور ہوتا ہے۔
>>urd<< Applicants are requested to apply in person.	درخواست دہندگان سے گزارش ہے کہ وہ خود آکے اپنی درخواست جمع کرائے۔
>>urd<< Do you sometimes go abroad on your holidays?	تم کیا کبھی ملک سے باہر جاتے ہو چھٹیاں منانے؟
>>urd<< I remember having seen him somewhere before.	مجھے یاد ہے کہ میں نے اسے کہیں پہلے دیکھا ہوا ہے۔
>>urd<< I told Tom I didn't feel like taking a walk.	میں نے ٹام کو بتایا میرا چلنے کا موڈ نہیں ہے
>>urd<< It is against my principles to borrow money.	پیسے ادھار لینا میرے اصولوں کے خلاف ہے۔
>>urd<< My father used to smoke, but now he doesn't.	میرے ابو پہلے تمباکونوشی کرتے تھے مگر اب نہیں۔
>>urd<< Now that you are well again, you can travel.	کیونکہ اب تم ٹھیک ہو چکے ہو، تم سفر کر سکتے ہو۔
>>urd<< Our teacher said that water boils at 100°C.	ہمارے استاد نے کیا کہ پانی ۱۰۰ ڈگری سینٹی گریڈ پہ ابلتا ہے۔
>>urd<< She is not as beautiful as her older sister.	وہ اپنی بڑی بہن کی طرح اتنی خوبصورت نہیں ہے۔
>>urd<< She's about the same age as my older sister.	وہ تقریباّ میری بڑی بہن کی عمر کی ہے۔
>>urd<< She's been absent from school for five days.	وہ پانچ دن کے لئے اسکول سے غیر حاصر تھی۔
>>urd<< That's why I told you not to go by yourself.	اسی لئیے میں نے تمھیں کہا تھا کہ تم اکیلے نہ جائو۔
>>urd<< The Texans began to organize their own army.	ٹیکسنس نے اپنی خود کی فوج منظم کرنا شروع کر دی۔
>>urd<< There seemed to be no answer to the problem.	اس کے مسلئے کا کوئی سدِ باب نظر نہیں آ رہا تھا۔
>>urd<< There seemed to be no answer to the problem.	اس کی مشکل کا کوئی حل نظر نہیں آ رہا تھا۔
>>urd<< They did not support one group or the other.	وہ کسی بھی گروہ کی ہمایت نہیں کرتے۔
>>urd<< You're the most important person in my life.	تم میری زندگی کے سب سے زیادہ اہم شخص ہو۔
>>urd<< Five years have gone by since my father died.	میرے والد کو گزرے ہوئے پانچ سال ہو گئے ہے۔
>>urd<< Five years have gone by since my father died.	میرے والد کو فوت ہوئے پانچ سال ہو گئے ہے۔
>>urd<< Five years have gone by since my father died.	میرے ابو کو گزرے ہوئے پانچ سال ہو گئے ہے۔
>>urd<< Five years have gone by since my father died.	میرے ابو کو فوت ہوئے پانچ سال ہو گئے ہے۔
>>urd<< He hangs around with the wrong group of kids.	وہ غلط قسم کے بچوں کے ساتھ اٹھتا بیٹھتا ہے۔
>>urd<< He is always finding fault with other people.	وہ ہر وقت دوسروں کی خامیاں ڈھونڈنے میں لگا رہتا ہے۔
>>urd<< He sent fruit and vegetables to his daughter.	اس نے اپنی بیٹی کو پھل اور سبزیاں بھیجی۔
>>urd<< He sent fruit and vegetables to his daughter.	انہوں نے اپنی بیٹی کو پھل اور سبزیاں بھیجی۔
>>urd<< His new book is going to come out next month.	اس کی نئی کتاب اگلے مہینے آ رہی ہے۔
