>>war<< Hello!	¡Kumusta!
>>war<< Tom saw Mary hiding behind the door.	Nakit-an ni Tom hi Mary nga natago ha luyo hiton sada.
>>war<< Tom seems to be eating all the time.	Baga'n hi Tom nagkikinaon la permanente.
>>war<< Tom was fingerprinted by the police.	Ginkuhaan hin fingerprint han mga pulis hi Tom.
>>war<< We need to know what's causing this.	Kinahánglan naton maádman kay-ano ini nasúgad.
>>war<< We never lock our doors around here.	Diri kami nagtratrangka hiton mga purtahán dínhi.
>>war<< We've done it twice in three months.	Nakaduha namon iton himua sakob hin tulo ka-bulan.
>>war<< What products are currently on sale?	¿Áno it' mga iginbabaligya na produkto yana?
>>war<< What products are currently on sale?	¿Áno it' mga napapalit yanâ?
>>war<< What's the sense of working so hard?	Ano iton pulos hiton pagtrinabaho hin duro?
>>war<< When did you have your wall painted?	¿Kakan-o ka nagpapíntar han imo bungbung?
>>war<< Would you mind if I open the window?	¿Ayos la ha imo abrehan ko iton bintana?
>>war<< Would you mind if I open the window?	¿Puydi ko abrehan iton bintana?
>>war<< You don't know me very well, do you?	Diri mo gud ako kilala, ano?
>>war<< He must be crazy to say such a thing.	Loróng gad adâ hiyá pagyakán hin sugad nga butáng.
>>war<< I didn't know what I should be doing.	Diri ako maaram hiton akon angay buhaton.
>>war<< I think you might be able to help us.	Pag-ábat ko mabubulîgan mo kmi.
>>war<< I think you might be able to help us.	Pag-ábat ko bangin mabulígan mo kami.
>>war<< I want to see who's in the classroom.	Karuyag ko makit-an hin-o it aada sakob hit klasrum.
>>war<< Is this a good place to plant a tree?	¿Maupay ini nga lugar para magtanum hin kahuy?
>>war<< Is this a good place to plant a tree?	Maupay ba ini nga lugar para magtanum hin kahuy?
>>war<< Is this a good place to plant a tree?	¿Maupay ini nga lugar pagtamnan hin kahuy?
>>war<< Is this a good place to plant a tree?	Maupay ba ini nga lugar pagtamnan hin kahuy?
>>war<< It's rare to find big yards in Japan.	Diri kadamuan it dagku na mga libong ha nasud Hapon.
>>war<< Not knowing what to do, I called her.	Dírì man akó maaram hit' ákòn buháton, gintawagan ko hiyá.
>>war<< She was close to breaking into tears.	Nahikaturuok na hiya.
>>war<< The bank was run by private citizens.	Ginpapadalagan an banko hin mga pribado nga pagkatawo.
>>war<< The house had a stone wall around it.	An baláy napapalibutan hin pader nga bato.
>>war<< The people knew he did not like them.	Mag-aram iton mga tawo nga nadiri hiya ha ira.
>>war<< The room was empty for quite a while.	Madugayay na nga bakante an kwárto.
>>war<< The room was empty for quite a while.	Bagá karokanina pa bakante an kwárto.
>>war<< There are many possible explanations.	May ada damu nga posible na eksplinasyon.
>>war<< Tom doesn't listen to what Mary says.	Dírì namamati hi Tom hiton ginsisiring ni Mary.
>>war<< Tom is always complaining about Mary.	Hi Tom permi nareklamo mahitungod kan Mary.
>>war<< Tom is usually the first to get here.	Kasagaran hi Tom iton nauuna nganhi.
>>war<< Tom stepped back from the blackboard.	Napaatras hi Tom tikang ha blakbord.
>>war<< Tom wanted to know what had happened.	Karuyag ni Tom mahibaro kun ano an nahitabo.
>>war<< Tom was there, but he didn't help us.	Nakadto hi Tom, pero waráy niya kami buligi.
>>war<< We suffered a loss of 10,000 dollars.	Diyes mil dolyares an nawará haam.
>>war<< What did you say your name was again?	¿Áno ádto an imo ngáran nga ginsiring nim'?
>>war<< He remained silent during the meeting.	Mamingaw la hiya dida han miting.
>>war<< How did people know I wasn't Canadian?	Kay-ano hira maaram nga diri ako taga-Canada?
>>war<< How did people know I wasn't Canadian?	Panan-o nira nasabutan nga diri ako Taga-Canada?
>>war<< How did you know Tom was good at golf?	Panan-o ka maaram nga makarit hi Tom ha golf?
>>war<< I hope to build a new house next year.	Híngyap ko makagpatíndug hin bag-o nga balay sunod nga túig.
>>war<< I want to stay home and sleep all day.	Karuyag ko mag-inukoy ha balay ngan magkinaturog bug-os nga adlaw.
>>war<< I'd speak to you in French if I could.	Kun kaya dawla makig-estorya ako ha imo ha Pranses nga kayakan.
>>war<< I've been here almost three years now.	Nakanhi na ak magtútúlô na katúig.
>>war<< I've discovered something interesting.	May nadiskubre ako nga baga interesante.
>>war<< It is doubtful whether this will work.	Diri matapud-tapud kun maganar ini.
>>war<< It's important to read a lot of books.	Importante magbasa hin dámo nga líbro.
>>war<< My father doesn't drink too much sake.	Iton ákòn tatay dírì nainum hin duro hin sake.
>>war<< Please come to meet me at the station.	Pakitapua daw ak ha istasyun.
>>war<< Please tell them what they need to do.	Alayon igsiring ha ira iton ira kinahanglan buhaton.
>>war<< The police are not here to arrest you.	It' mga pulis waray nganhi pára arestuhon ka.
>>war<< There is an urgent need for donations.	May-ada hataas nga panginginahanglan hin donasyun.
>>war<< They threw their hats up into the air.	Gin-itsa nira an íra mga kalo.
>>war<< This happens every time Tom goes away.	Nahihitabo ini basta nalakat hi Tom.
>>war<< Tom didn't know why his wife left him.	Hi Tom dírì maaram kay-ano ginbayaan hiyá han íya bána.
>>war<< Tom knows he shouldn't have said that.	Maaram hi Tom nga waray niya unta igsiring iton.
>>war<< Tom seems to be in a really good mood.	Baga'n maupay gud iton pamurut-buot ni Tom.
>>war<< Tom thinks he's going to win the race.	It' paghuna ni Tom hiyá iton magdaog hit' ruromba.
>>war<< Tom told Mary he had to go home early.	Ginsidngan ni Tom hi Mary nga kinahanglan niya umuli hin aga.
>>war<< Tom was the one who planned the party.	Hi Tom an nagplano han party.
>>war<< Trying to fix this is a waste of time.	Karag-oras la iton pag-inayad hiton.
>>war<< Why didn't you write to me right away?	¿Waray ka man magsurat diretso ha akun?
>>war<< You might want to ask Tom to help you.	Bangin karuyag mo magpabulig kan Tom.
>>war<< You might want to ask Tom to help you.	Bangin karuyagon mo magpa-alayon kan Tom.
>>war<< Could you knock a little off the price?	¿Puydi mo paharuhabuon it' presyo?
>>war<< He can see nothing without his glasses.	Waray niya nakikit-an kun waray an iya antiyuhos.
>>war<< He climbed the tree without difficulty.	Waray kuri niya nga nasaklang an kahoy.
>>war<< I assume Tom and Mary will get married.	Igkakasal gud ini hi Tom ngan Mary.
>>war<< I'm trying to find out why it happened.	Ginkikita ko kun kay ano adto natabu.
>>war<< Is Tom's condition really that serious?	Sugad gud kaseryoso iton kabutangan ni Tom?
>>war<< It's not good to stay up late at night.	Dírì maupay magpiniraw.
>>war<< Mt. Fuji is not as tall as Mt. Everest.	Diri magkahitaas iton Mt. Fuji ngan Mt. Everest.
>>war<< My mother prepared me for the bad news.	Ginpag-andam ako ni nanay para hiton maraot na súmat.
>>war<< She didn't buy anything from the store.	Waray niya ginpalit tindahan.
>>war<< Stop complaining and do as you're told.	Huyo pagreniklamo ngan buháta an siríng ha im'.
>>war<< The earth is much larger than the moon.	Darudaku gud it kalibutan ha bulan.
>>war<< The exercises are simple and effective.	An mga ehersisyo simple ngan epektibo.
>>war<< The office is full of competent people.	It opisina puno hin magkarit nga mga tawo.
>>war<< Tom is supposed to be in Boston by now.	Ada ha Boston unta na yanâ hi Tom.
>>war<< We definitely need to hire more people.	Kinahánglan ta na gud mag-arkila hin mga tawo pa.
>>war<< Astronomy is one of the oldest sciences.	Iton astronomiya usa ha pinaka-daan nga siyensya.
>>war<< Do you know where Tom keeps the aspirin?	¿Maaram ka kun diin gintagu ni Tom an aspirin?
>>war<< He seems not to be cut out for teaching.	Baga hin diri hiya naangay pagtutdo.
>>war<< He was sentenced to three years in jail.	Nasintinsiyahan hiya hin tuló katuig ha prisohan.
>>war<< How long do you think you can stay here?	Iton imo pag-abat ano ka kadugay dinhi?
>>war<< I don't know how much longer it'll take.	Diri ako maaram ano pa kadugay iton.
>>war<< I liked climbing trees when I was a kid.	Mahilig ko magpinannaka hin kahuy han bata ako.
>>war<< I liked climbing trees when I was a kid.	Naruruyag ako magpinansaka hin kakahuyan han bata pa ako.
>>war<< I want things to be different this time.	Karuyag ko it mga butang iba liwat yna.
>>war<< If you speak French, I won't understand.	Kun mag-Frinanses hi ikaw, dírì hi akó makakasabot.
>>war<< If you speak French, I won't understand.	Kun mag-Frinanses hi ikaw, dírì hi akó makaka-intindi.
>>war<< Plant these seeds before summer sets in.	Igtanum ini nga mga liso san-o't katsirak.
>>war<< There's nothing I can do that Tom can't.	Waráy ko nahihimo nga dírì nahihimo ni Tom.
>>war<< Tom can't afford to take a vacation now.	Diri ni Tom akus pagbakasyon yana.
>>war<< Tom can't afford to take a vacation now.	Diri makabakasyon yana hi Tom.
>>war<< Turn on the light. I can't see anything.	Abrehi't suga. Waray ko nakikit'an.
>>war<< Turn on the light. I can't see anything.	Palagaha iton suga. Waray ko nakikit'an.
>>war<< Wherever you may go, you'll be welcomed.	Bísan ka pa mapakaín, karawaton ka 'ton.
>>war<< You bought a coat yesterday, didn't you?	Pumalit ka ano hin coat kakulop?
>>war<< You're the one who knows how to do this.	Ikaw iton maaram himuon ini.
>>war<< Are you going to invite her to the party?	¿Kumbidahun mo hiya hiton katitiruk?
>>war<< Have you received an invitation from Tom?	¿Nakakarawat ka hin inbitasyon tikang kan Tom?
>>war<< He has only one servant to attend on him.	May-ada la niya usa nga alalay nga mag-atiman ha iya.
>>war<< I came here to tell you what I found out.	Kumanhi akó pára igsumat ha imo an ákòn nabilingan.
>>war<< I found something I think you should see.	May-ada ako naagian nga kinahanglan mo makit-an.
>>war<< I haven't talked to Tom in almost a year.	Usa na katuig nga waray ko makaestorya hi Tom.
>>war<< I just hope nothing goes wrong this time.	Unta waray mahitabo nga sayop yanâ.
>>war<< I really don't have anything else to say.	Waray ko gud iba nga mayayakan.
>>war<< I thought Tom wasn't very good at French.	Kasiring ko diri gud maaram hi Tom ha French.
>>war<< I'll arrive at the station at about 1:35.	Maabot ako ha estayon hiton 1:35.
>>war<< I'm sorry. I have a previous appointment.	Pasensya, may-ada ako anay iba nga tuyo.
>>war<< There are some good apples in the basket.	May-ada mga maúpay nga mansanas ha basket.
>>war<< This is the hardest thing I've ever done.	Amo ini an guiku'kurii nga akon ginhimo.
>>war<< Tom didn't tell anyone who he really was.	Waray ginsumatan hi Tom kun hin-o gud hiya.
>>war<< Tom said that Mary won't do that anymore.	Yakan ni Tom nga diri na gud iton bubuhaton ni Mary bisan san-o.
>>war<< Tom says he sees things that I can't see.	Yakan ni Tom nagpapakita hiya hin mga butang nga diri ako nakita.
>>war<< Tom walked in and looked around for Mary.	Umabot hi Tom ngan namiling kan Mary.
>>war<< When was the last time you played violin?	Kakan-o ka urhi nga nag-byolin?
>>war<< When was the last time you threw a party?	Kakan-o ka urhi nga nagpa-party?
>>war<< Who cared for the dog when you were away?	Hin-o an nagtimangno han ayam han waray ka?
>>war<< You have, no doubt, heard of our company.	Nakabati ka na gud han amon kompanya.
>>war<< I think you need to study a little harder.	Kinahanglan mo mag-estudyo pa hin tiniupay.
>>war<< I used to go home for lunch in those days.	Paraulí ak ha baláy kun paningudto hadto.
>>war<< I'm going to leave the three of you alone.	Babayaan ta kamó la nga tulô.
>>war<< It's not necessary to write a long letter.	Diri kinahanglan maghimu hin halaba nga surat.
>>war<< She had a little round object in her hand.	May-ada niya gutíay ngan lidong nga butáng ha iya kamot.
>>war<< She is more beautiful than any other girl.	Mas mabaysay hiya ha bisan hin-o ha mga kababayin-an.
>>war<< There is a marked difference between them.	May-ada sabot nga pagkakaiba ha ira.
>>war<< There used to be a large cedar tree there.	May dako nga kahoy hin cedar ngada hadton una.
>>war<< They probably saw our ship come into port.	Bángin nakit-an nira an at' barko nga tipapantalan.
>>war<< This kind of wood is tough to saw through.	Matig-a masirutso ini nga klase hin kahoy.
>>war<< Tom wasn't the first one to be eliminated.	Diri hi Tom an una nga nataktak.
>>war<< Tom wasn't the first one to be eliminated.	Diri hi Tom an una nga natanggal.
>>war<< You shouldn't have gone there by yourself.	Dírì ka untâ angay kinmádto nga nag-uusáan ka là.
>>war<< Almost everybody I know has been to Boston.	Haros ngatanan nga akon kilala napakadto na ha Boston.
>>war<< He said he had more important things to do.	Yakan niya may-ada niya mas importante nga hirimuon.
>>war<< He said he had more important things to do.	Yakan niya may mas importante niya na buruhaton.
>>war<< I heard a knock on the door and it was Tom.	Nakabati ak' may-ada nagtuktok ha purtahán ngan hi Tom ádto.
>>war<< I really do want to get to know you better.	Diri ko gud karuyag nga makilala ka pa.
>>war<< I'm sure that Tom has never been to Boston.	Sigurado ako waray pa makakadto hi Tom ha Boston.
>>war<< If you don't know the way, ask a policeman.	Kun dírì ka maaram hiton dalan, pagpakiana ha pulis.
>>war<< Is there anyone here who can speak English?	¿Mayda ba dinhi nga naka-Iningles?
>>war<< It is doubtful whether he will come or not.	Alanganin pa kun mapakanhi hiya o diri.
>>war<< It is doubtful whether he will come or not.	Tiriguon pa kun mapakanhi hiya o diri.
>>war<< It is doubtful whether he will come or not.	Diri sigurado kun mapakanhi hiya o diri.
>>war<< Soon you'll get used to living by yourself.	Mahihiara ka nala hiton pag-ukoy nga ikaw la.
>>war<< The child was scared to get into the water.	Nahadlok ini nga bata nga kumada ha tubig.
>>war<< This is the pool where Tom learned to swim.	Amo ini an pool diin hi Tom nagmaaram paglangoy.
>>war<< Tom could hardly understand what Mary said.	Hi Tom waray gud makasabot han yakan ni Mary.
>>war<< Tom went up to the bar and ordered a drink.	Kumadto ha bar hi Tom ngan nag-order hin irinumon.
>>war<< Tom would like to take part in the contest.	Karuyag ni Tom bumulig ha pasundayag.
>>war<< Water the flowers before you eat breakfast.	Bisibsi anay it mga bukad san-o ka manmahaw.
>>war<< Water the flowers before you eat breakfast.	Bisibsi anay it mga tanum san-o ka ma'mahaw.
>>war<< Water the flowers before you eat breakfast.	Pamisibis anay hiton mga bukad san-o ka manmahaw.
>>war<< Water the flowers before you eat breakfast.	Panbisibsi anay iton mga bukad san-o ka ma'mahaw.
>>war<< When I woke up, I found I had been tied up.	Pagmata ko, nakagapus na ako.
>>war<< When she heard the news, she was not happy.	Han nabatian niyq an notisya, waray hiya magmalipayon.
>>war<< Do you think we can glue that back together?	Iton imo pag-abat puyde naton iton papagsumpayon utro?
>>war<< I assume that Tom and Mary will get married.	Igkakasal gud ini hi Tom ngan Mary.
>>war<< Is there anyone who can pronounce this word?	¿Mayda bà nakaluwás hiní nga púlong?
>>war<< It seems that Tom has no idea where Mary is.	Baga hinin diri maaram hi Tom kun hain dapit hi Mary.
>>war<< Take hold of the rope, and I'll pull you up.	Kapti iton pisi, ngan huguton ko ikaw.
>>war<< The time is always right to do what's right.	It paghimu hin asya permi ada ha panahon.
>>war<< This golf course is not open to non-members.	Diri abre ini nga golf course para ha mga diri nganhi myembro.
>>war<< Tom is very unhappy about what has happened.	Diri malipayun hi Tom han natabu.
>>war<< We can't trust Tom with something like this.	Diri namon matatapuran hi Tom hiton sugad hini nga butang.
>>war<< Don't carry too much baggage when you travel.	Ayaw pagdamo hin duro nga bagahe nga darad-on kun nalakat ka.
>>war<< He managed to get himself promoted last week.	Nahimu niya nga mapromot an iya kalugaringon han una nga simana.
>>war<< I can't talk to you here. It's too dangerous.	Diri ako makikig-estorya haim dinhi. Uraura ka delikado.
>>war<< I don't intend to stay in Boston much longer.	Diri ako magdugay gud ha Boston.
>>war<< I don't think I can find the time to do that.	Iton ákòn pagkitá dírì akó makalugar paghimo hiton.
>>war<< I haven't been able to solve the problem yet.	Waray ko pa ka-solbar an problema.
>>war<< I thought I'd have another chance to do that.	Gasi ko magkakaadà hi akó hin laín nga higayón pagbúhat hitón.
>>war<< I was badly in need of his help at that time.	Kinahanglanon ko gud an iya bulig hadto nga panahon.
>>war<< I'm not sure you'll have the time to do that.	Dírì akó sigurado kun may panahón ka pa buháton iton.
>>war<< I've heard they don't let girls in this club.	It ákòn báti dírì hirá nakuha hin babayí hin nga klab.
>>war<< The cause of the accident is still not clear.	Diri pa klarado an tinikangan han aksidente.
>>war<< The crime rate is increasing in this country.	Nahitaas iton kriminalidad hini nga nasud.
>>war<< The man turned out to be a private detective.	An lalaki usa ngay-an nga private detective.
>>war<< The question is whether he will come on time.	Iton pakiana yana kun maabot hiya ha oras.
>>war<< Why did you buy such an expensive dictionary?	Kay-ano ka pumalit hin sugad kamahal nga diksyunaryo?
>>war<< You don't need to be in that much of a hurry.	Diri mo kinahanglanon malisang hin sugad hiton.
>>war<< You're probably too young to understand this.	Bangin bata ka pa hin duro para makasabut hini.
>>war<< Everybody knows she married him for his money.	Ngatanan maaram nga nagpakasal la iton hiya agi hiton iya salape.
>>war<< Hurry up, and you will be in time for the bus.	Dagmíta, ngan mahiabót ka hit' bus.
>>war<< Learning a new language is difficult at first.	Makurî pag-aram hin bag-o nga yinaknan ha katikangan.
>>war<< Many people were killed in the plane accident.	Damo an namatay ha aksidente han eroplano.
>>war<< The Socialist Party only got 18% of the votes.	An Partido Sosyalista nakakúhà là hin 18% han mga botos.
>>war<< The boat began to take in water and soon sank.	An baluto nagtikang pagsakba hin tubig ngan sunod lumunod.
>>war<< They were walking along the street arm in arm.	Magkasapit nga naglalakat hira ha dalan.
>>war<< They were walking along the street arm in arm.	Magkadungan hira nga naglalakat ha dalan.
>>war<< Tom sat at the bar, just staring at his drink.	Hi Tom nakadto ha bar, nagkikinita la ha iya irinumon.
>>war<< Tom usually sits in the back of the classroom.	Kasagaran ha luyohan han classroom nalingkod hi Tom.
>>war<< A lot of people are dealing with allergies now.	Damo iton may-allergy na yana nga tawo.
>>war<< He likes to watch the birds fly above his head.	Karuyag niya pagkinita hiton mga tamsi nga nagkakalupad ha igbaw hit' iya may ulohan.
>>war<< He picked up a mirror and looked at his tongue.	Pumurot hiya hin salamin ngan ginkita an iya dila.
>>war<< I think something terrible has happened to Tom.	Pag-abat ko may natabo nga maraot kan Tom.
>>war<< I was wondering when you were going to tell me.	Napapausa ako san-o ka magsusumat ha akon.
>>war<< Nobody is in the living room, but the TV is on.	Waray tawu ha sala pero abre iton TV.
>>war<< The rain didn't stop them from doing their job.	Waray hira mapudngi han uran nga mahimo an ira trabaho.
>>war<< Tom's bedtime is nine o'clock on school nights.	Alas nuybi iton ikakaturog ni Tom basta may-ada klase.
>>war<< Would you like to go to a movie tomorrow night?	¿Marurúyag ka ba pagkitâ hin siné buwás nga gab-i?
>>war<< A thief broke into the house while we were away.	Nakasakob an usá nga kawatán ha ámon panimalay han kami ádto haráyo.
>>war<< Do you really think Tom will want to go with us?	¿Iton imo pag-ábat maupod gud hi Tom ha atun?
>>war<< I bought forty dollars' worth of gasoline today.	Pumalít akó hin gasolina kantidad kwarenta dolyares yanâ nga ádlaw.
>>war<< I can't reach any of the books on the top shelf.	Dírì akó nakakaabot han mga libro ha bawbaw han burtangan.
>>war<< I had left the key in the office the day before.	Nabayaanan ko an susi ha opisina san-o iton nga adlaw.
>>war<< I need you to tell me everything I need to know.	Karuyag ko isumat mo ha akon tanan nga kinahanglanon ko mahibaroan.
>>war<< I think it's time for us to start getting ready.	Oras na para kita mag-andám.
>>war<< I've got to find something to do after I retire.	Kinahanglan may pagburohaton ako pagkatapos ko magretiro.
>>war<< If he'd been alone at that time, he'd have died.	Kun nag-uusahan la adto hiya, namatay na gud adto.
>>war<< Mary covered her face to avoid being recognized.	Gintahuban ni Mary an iya nawong para diri hiya makilal-an.
>>war<< The situation called for quick, decisive action.	Kinahanglanon hin madagmit nga gios ini nga sitwasyon.
>>war<< Their oldest sister still hasn't gotten married.	An íra magurang nga babayí waráy pa paka-asawa.
>>war<< They are in favor of the reform of the tax laws.	Naabuyon hira han reporma han balaud pamuwis.
>>war<< We have to cross a bridge to get to Tom's house.	Kinahanglan naton tumabok hin tulay para maka-kadto hiton balay ni Tom.
>>war<< We must make sure that Tom doesn't hurt himself.	Siguraduha ta nga diri mauul-ulan hi Tom.
>>war<< You should call your father as soon as possible.	Tawága it' im' amáy yana dayon.
>>war<< Do you really think this will ruin my reputation?	¿Ginhuhunahuna mo gud nga makakaruba inin hit akun reputasyon?
>>war<< He was made to wait at the station for two hours.	Pinaghulat hiyá ha istasyon hin duha ka-oras.
>>war<< I had a problem similar to that not too long ago.	May-ada ako sugad nga problema han yanâ la.
>>war<< I received a coded message from Tom this morning.	Nakakarawat hi akó hin kinodigo nga mensahe tikang kan Tom kanina han aga.
>>war<< I think it's a little too cold to go on a picnic.	Pag-abat ko mataghumay yana para hin piknik.
>>war<< It's essential that you understand the situation.	Importante nga nakakaintinde ka hiton sitwasyon.
>>war<< It's really not as hard to do as you think it is.	Diri gud iton makuri buhaton sugad hiton imo kasiring.
>>war<< Tom opened the freezer and got out the ice cream.	Gin-abrehan ni Tom an freezer and igingawas an ice cream.
>>war<< When I got home, I realized I had lost my wallet.	Pag-uli nasabotan ko nga nawara an akon pitaka.
>>war<< I don't think I'll have the time to do that today.	It' ak' pagkitá waray ko panahón himuon it' yanâ nga ádlaw.
>>war<< I will have finished reading this book by Tuesday.	Mahuhuman ko basahon ini nga líbro hiton Martes.
>>war<< If everyone agrees to it, I won't vote against it.	Kun sumige iton kadam-an, dírì akó mabutos kontra hiton.
>>war<< It grew dark, and what was worse, we lost our way.	Nagsisirom na, ngan an malain, nawarâ kami.
>>war<< It is next to impossible to make him stop smoking.	Kaimposible nga pahuyuon hiyá pagsigarilyo.
>>war<< Some people believe in God and other people don't.	Iton iba nga tawo natuod hiton Ginoo, iton iba diri.
>>war<< The typhoon struck the city, causing great damage.	Ginlasurbo ngan nakahatag hin dako nga distruso an bagyo ha syudad.
>>war<< Could you come to my office when you have a moment?	¿Puydi ka kumadí hiton ákòn opisina kun may panahon ka?
>>war<< Is it true that you brought your dog to the office?	Matuod nga gindara nimo an imo ayam ha opisina?
>>war<< Is it true that you brought your dog to the office?	Manggud gindara nimo an imo ayam ha opisina?
>>war<< Tom knows nothing about what's been happening here.	Waray maaram hi Tom hiton mga nahihitabo dinhi.
>>war<< Tom told Mary that he didn't think John was honest.	Ginsidngan ni Tom hi Mary han iya pagkita nga diri tangkud hi John.
>>war<< Would you like to know who that beautiful woman is?	Karuyag nimo masab'tan hin-o iton nga mahusay nga babaye?
>>war<< Because of hunger and fatigue, the dog finally died.	Ági han gútom ngan dúro nga kakápoy, namatay na gihapon an áyam.
>>war<< Extremely loud music interrupted their conversation.	An duro kakusog han tukar an nakaulang ha ira estórya.
>>war<< For the past 10 years, I've fed my dog dry dog food.	Han nakalabay nga diyes tuig, mamara nga pagkaun para ayam an akun ginpakaun han akun alaga nga ayam.
>>war<< How do you know that you can't do it unless you try?	Ano nimo pakasabot nga diri mo mahihimo kun diri nimo pruybahan?
>>war<< My father ought to have had an operation for cancer.	It akon amay ooperahan kanan kanser.
>>war<< Next week, I will probably read a book and watch TV.	Hiton sunod nga semana, magbasa ak' adá libro ngan magkitá TV.
>>war<< We are not alone in believing that he is not guilty.	Diri la hi kita iton natuod nga hiya an salaan.
>>war<< I wasn't able to catch the ball that Tom threw to me.	Waray ak pakasalo han bola nga gin-itsa ha ak ni Tom.
>>war<< I'm really bad with names, but I never forget a face.	Hingalimtanon ako hiton ngaran pero diri hiton nawong hit usa nga tawo.
>>war<< There were a lot of students absent from class today.	Damu iton mga estudyante nga waray dinhi ha klase yana.
>>war<< Tom is going to try to talk to Mary about that today.	Kikitaon ni Tom makig-estorya kan Mary parte hiton yanâ nga ádlaw.
>>war<< I am not so poor that I cannot send my son to college.	Diri ako sugad kapobre nga diri ko akos magpakolehiyo hin anak.
>>war<< I heard Tom humming to himself while he washed dishes.	Nabatian ko hi Tom na nagkikinantahun nga naghuhugas.
>>war<< She didn't show up at the party, but nobody knows why.	Waray hiya magpakita ha party ngan waray maaram kun kay-ano.
>>war<< She didn't show up at the party, but nobody knows why.	Waray may-maaram kun kay-ano waray hiya kitaa han kadamo.
>>war<< She hadn't noticed the cold until she opened the door.	Waray niya abata an taghum ngada han abrehan niya an purtahan.
>>war<< Some students aren't going to come back next semester.	It iba nga estudyante dira na mabalik hit sunod na semester.
>>war<< The flood was the greatest disaster they had ever had.	An baha an pinakamakusog nga distroso nga ira gin-ábat.
>>war<< Three missionaries were killed and eaten by cannibals.	Tulo nga misyonaryo an pinátay ngan kináun han ira igkasi tawo.
>>war<< Three missionaries were killed and eaten by cannibals.	Tulo nga misyonaryo an pinamatay ngan pinangaun han mga kanibal.
>>war<< He tends to get angry when he doesn't have his own way.	Nag-iisug hiya kun waray niya kalugaringon pamaagi.
>>war<< I had been reading a book for some time when he called.	Madugayay na akó nga nagbibinasa hin libro han tumawag hiyá.
>>war<< I'm tired of waiting to do all the things I want to do.	Ginkakapapoy na ako paghinulat para mabuhat iton mga butang na akon karuyag.
>>war<< Since my mother was sick, I couldn't go to the concert.	Masakít it akun iroy sanglit diri ako makakakadto ha konsert.
>>war<< Tom couldn't bear the pain any more so he shot himself.	Diri na makailub hi Tom han ul-ul sanglit ginpusil nala niya an iya kalugaringon.
>>war<< Tom didn't have any money, so he couldn't buy any food.	Waráy kwárta ni Tom, sanglit dírì na hiyá makaparalit hin pagkáon.
>>war<< Tom knows that Mary still isn't telling him everything.	Maaram hi Tom nga dírì pa ginsusumat ni Mary iya an ngatanan.
>>war<< Compare your translation with the one on the blackboard.	Ikumpara itonit imu pagtranslit heton aada ha blakbord.
>>war<< If I had known her address, I would have written to her.	Kun maaram la'k han iya adres nagsurat na'k unta ha iya.
>>war<< If I had known her address, I would have written to her.	Kun maaram la ako han iya adres nagsurat na ako unta ha iya.
>>war<< The last time I saw Tom he was headed towards the beach.	Urhi ko nga nakit'an hi Tom tipakadto ha baybayon.
>>war<< You bought me a beer, remember? Now, let me buy you one.	Nahihinumduman mo ginpalitan mo ako hin beer? Yana ako liwat iton mapalit ha imo.
>>war<< If your answer is correct, it follows that mine is wrong.	Kun amo iton imo baton, karuyag sidngun sayup an akon.
>>war<< Tom knew he was probably not going to be able to do that.	Maaram hi Tom nga diri niya maburuhat iton nga butang.
>>war<< He knows other and easier ways of getting what he desires.	Maaram hiya hin iba nga mas masayon nga pamaagi para makuha kun ano iton iya karuyag.
>>war<< I'd like to say it's been fun working here, but it hasn't.	Karuyag ko unta sumiring nga marisyo an pagtrabaho nganhi, pero dírì.
>>war<< I borrowed money not only from Tom, but from his wife, too.	Umutang ako hin kwarta diri la kan Tom, pati gihapon ha iya asawa.
>>war<< My grandmother had been sick for a week when I visited her.	Usá na kasimana nga masakít hi lola han ginbisita ko hiya.
>>war<< The thing that scares me the most is that I might lose you.	Iton butang nga kinahahadlokan ko ini hin mawara ka ha akon.
>>war<< The wedding ceremony will be held regardless of the weather.	Iton kasál magpapadayon bisan áno pa iton panahón.
>>war<< The wedding ceremony will be held regardless of the weather.	Iton kasál pagbubuhaton bísan áno it' panahón.
>>war<< This city has been increasing in population year after year.	Nagdidinako la iton popolasyun hini nga syudad kada tuig.
>>war<< What time tomorrow morning would you like me to pick you up?	Ano nga oras buwas hiton aga it imo karuyag nga kuhaon ko ikaw?
>>war<< Judging from how the sky looks, we'll be having fine weather.	Ha pagkita ko hiton langit, magiging maupay iton aton panahon yana.
>>war<< Hi. If I'm not mistaken, you're our new neighbors, aren't you?	Kun dírì ako nagsasayop kamó iton ákòn bag-o nga anyaw anó?
>>war<< Tom says he knows something about Mary that we don't know yet.	Siring ni Tom may-ada niya maaram kan Mary nga diri pa kita mag-aram.
>>war<< You must not forget to check your paper before you hand it in.	Ayaw kalimti pagkita hit imo papel san-o nimu ipasa ngadi.
>>war<< It never occurred to me that Tom might not be telling the truth.	Waray pa iton natabo nga nagbuwa ha ak hi Tom.
>>war<< It never occurred to me that Tom might not be telling the truth.	Waray pa magbinuwa ha ak hi Tom.
>>war<< You're the only one here who thinks it's a good idea to do that.	Ikaw la dinhi an nakapanhunahuna nga maupay himuon iton nga ideya.
>>war<< I'll be glued to the TV tonight watching a really exciting program.	Magkikita la ak hin mag-upay na pasalida ha TV yana na gab-i.
