>>pol<< Go.	Idź.
>>pol<< I should've let Tom take it away.	Powinienem pozwolić Tomowi to zabrać.
>>pol<< I shouldn't have sent that email.	Nie powinienem był wysyłać tego maila.
>>pol<< I slept through the entire movie.	Przespałem cały film.
>>pol<< I sliced the sandwich diagonally.	Przekroiłem kanapkę na skos.
>>pol<< I solved the problem in this way.	Rozwiązałem problem w ten sposób.
>>pol<< I sometimes don't understand you.	Czasami Cię nie rozumiem.
>>pol<< I sometimes play tennis with her.	Czasem gram z nią w tenisa.
>>pol<< I speak French with Tom and Mary.	Rozmawiam z Tomem i Mary po francusku.
>>pol<< I spent my vacation in Australia.	Spędziłem wakacje w Australii.
>>pol<< I stayed home because I was sick.	Zostałem w domu, ponieważ byłem chory.
>>pol<< I still can't remember your name.	Wciąż nie mogę zapamiętać twojego imienia.
>>pol<< I still have to pack my suitcase.	Muszę jeszcze spakować walizkę.
>>pol<< I stopped listening to the radio.	Przestałem słuchać radia.
>>pol<< I take a shower almost every day.	Biorę prysznic prawie każdego dnia.
>>pol<< I thank you for your cooperation.	Dziękuję za współpracę.
>>pol<< I think Boston is very beautiful.	Uważam, że Boston jest przepiękny.
>>pol<< I think Boston is worth visiting.	Myślę, że warto zwiedzić Boston.
>>pol<< I think I deserve an explanation.	Chyba należy mi się wyjaśnienie.
>>pol<< I think Tom has feelings for you.	Myślę, że Tom coś do ciebie czuje.
>>pol<< I think Tom was hiding something.	Myślę, że Tom coś ukrywał.
>>pol<< I think it'll start raining soon.	Myślę, że niedługo zacznie padać.
>>pol<< I think it's time to get started.	Myślę, że czas zacząć.
>>pol<< I think jogging is good exercise.	Myślę, że jogging jest dobrym ćwiczeniem.
>>pol<< I think that we should try again.	Myślę, że powinniśmy spróbować jeszcze raz.
>>pol<< I think that we should try again.	Chyba powinniśmy spróbować ponownie.
>>pol<< I think the assessment is unfair.	Myślę, że ocena jest niesprawiedliwa.
>>pol<< I think there's hope for you yet.	Myślę, że jeszcze jest dla ciebie nadzieja.
>>pol<< I think you'll be a great father.	Uważam, że będziesz świetnym ojcem.
>>pol<< I think your theory is incorrect.	Myślę, że twoja teoria jest błędna.
>>pol<< I thought Tom would buy that car.	Myślałem, że Tom kupi ten samochód.
>>pol<< I thought everyone liked bananas.	Myślałam, że wszyscy lubią banany.
>>pol<< I thought it had started to rain.	Myślałem, że zaczęło padać.
>>pol<< I thought that Tom had a day off.	Myślałem, że Tom ma dzień wolny.
>>pol<< I thought that somebody had died.	Myślałem, że ktoś umarł.
>>pol<< I thought that somebody had died.	Myślałam, że ktoś umarł.
>>pol<< I thought that that was the case.	Myślałem, że tak właśnie było.
>>pol<< I thought they offered you a job.	Myślałem, że zaoferowali ci pracę.
>>pol<< I thought you did that last week.	Myślałem, że zrobiłeś to w zeszłym tygodniu.
>>pol<< I told Tom I'd make it up to him.	Powiedziałem Tomowi, że mu to wynagrodzę.
>>pol<< I told the policeman what I knew.	Powiedziałem policjantowi wszystko co wiem.
>>pol<< I told you I didn't see anything.	Mówiłam ci, że nic nie widziałam.
>>pol<< I understood the reason for this.	Zrozumiałem, dlaczego tak się stało.
>>pol<< I used to have a house in Boston.	Miałem dom w Bostonie.
>>pol<< I usually spend weekends at home.	Weekendy zwykle spędzam w domu.
>>pol<< I visited my grandmother's house.	Odwiedziłem dom mojej babci.
>>pol<< I want more detailed information.	Chcę więcej szczegółowych informacji.
>>pol<< I want to do this somewhere else.	Chcę to zrobić gdzie indziej.
>>pol<< I want to get to know you better.	Chcę cię lepiej poznać.
>>pol<< I want to go to the movies today.	Chcę pójść dzisiaj do kina.
>>pol<< I want to know what I need to do.	Chcę wiedzieć, co muszę zrobić.
>>pol<< I want to know what I need to do.	Chcę wiedzieć, co mam zrobić.
>>pol<< I want to know who told Tom that.	Chcę wiedzieć, kto to powiedział Tomowi.
>>pol<< I want to leave as soon as I can.	Chcę wyjechać najszybciej, jak się da.
>>pol<< I want to spend my life with you.	Chcę spędzić życie z tobą.
>>pol<< I want you out of here right now.	Chcę, żebyś w tej chwili wyszedł.
>>pol<< I was drinking milk a moment ago.	Chwilę temu piłem mleko.
>>pol<< I was in Boston three months ago.	Byłem w Bostonie trzy miesiące temu.
>>pol<< I was laughed at in school today.	Śmiałem się dzisiaj w szkole.
>>pol<< I was raised eating Mexican food.	Wychowałem się na meksykańskiej kuchni.
>>pol<< I will go there even if it rains.	Pójdę tam, nawet jeśli będzie padać.
>>pol<< I wish I had been there with you.	Chciałbym być tam z tobą.
>>pol<< I wish that I had studied harder.	Żałuję, że się więcej nie uczyłem.
>>pol<< I wish you could have been there.	Żałuję, że Ciebie tam nie było.
>>pol<< I wish you'd let me use your car.	Szkoda, że nie pozwoliłeś mi jechać swoim autem.
>>pol<< I wish you'd stop asking me that.	Chciałbym, żebyś przestał mnie o to pytać.
>>pol<< I wish you'd stop calling me Tom.	Chciałbym, żebyś przestał nazywać mnie Tomem.
>>pol<< I wish you'd told me that sooner.	Szkoda, że mi tego wcześniej nie powiedziałeś.
>>pol<< I won't be able to sleep tonight.	Nie będę mógł dzisiaj zasnąć.
>>pol<< I won't know until I talk to Tom.	Nie dowiem się, dopóki nie porozmawiam z Tomem.
>>pol<< I won't tell anyone if you won't.	Nikomu nie powiem, jeśli ty nie powiesz.
>>pol<< I wonder if Tom can speak French.	Zastanawiam się czy Tom potrafi mówić po francusku.
>>pol<< I wonder if Tom can speak French.	Ciekawe, czy Tom potrafi mówić po francusku.
>>pol<< I wonder if Tom has a girlfriend.	Zastanawiam się czy Tom ma dziewczynę.
>>pol<< I wonder if Tom has shown up yet.	Zastanawiam się czy Tom już przyszedł.
>>pol<< I wonder if you ever think of me.	Ciekawe, czy czasem o mnie myślisz.
>>pol<< I wonder if you ever think of me.	Zastanawiam się, czy czasem o mnie myślisz.
>>pol<< I wonder what to make for dinner.	Zastanawiam się, co zrobić na obiad.
>>pol<< I wonder why Tom came here today.	Zastanawiam się dlaczego Tom dzisiaj przyszedł tutaj.
>>pol<< I wonder why Tom didn't tell you.	Zastanawiam się, dlaczego Tom ci nie powiedział.
>>pol<< I wonder why you need to do that.	Zastanawiam się, czemu musisz to robić.
>>pol<< I wonder why you need to do that.	Zastanawiam się, czemu musisz to zrobić.
>>pol<< I would lay down my life for you.	Oddałbym za ciebie życie.
>>pol<< I would like to live in a castle.	Chciałbym mieszkać w zamku.
>>pol<< I wouldn't do that if I were you.	Nie robiłbym tego na twoim miejscu.
>>pol<< I wouldn't do that if I were you.	Nie robiłabym tego na twoim miejscu.
>>pol<< I wouldn't mind a beer right now.	Nie miałbym teraz nic przeciwko napiciu się piwa.
>>pol<< I wrote a love letter last night.	Wczoraj wieczorem napisałem list miłosny.
>>pol<< I'd like to hear that song again.	Chciałbym znów usłyszeć tamtą piosenkę.
>>pol<< I'd like to live near your house.	Chciałbym mieszkać blisko twojego domu.
>>pol<< I'd prefer to stay here with you.	Wolę zostać tu z tobą.
>>pol<< I'd rather be a bird than a fish.	Wolałbym być raczej ptakiem niż rybą.
>>pol<< I'd rather take a taxi than walk.	Wolę zamówić taksówkę, niż iść na piechotę.
>>pol<< I'd really like to buy a new car.	Naprawdę chciałbym kupić nowy samochód.
>>pol<< I'll be back by seven, I promise.	Wrócę przed siódmą, obiecuję.
>>pol<< I'll be staying at home tomorrow.	Jutro zostaję w domu.
>>pol<< I'll deliver it as soon as I can.	Dostarczę możliwie jak najszybciej.
>>pol<< I'll deliver it as soon as I can.	Dostarczę to najszybciej, jak tylko będę w stanie.
>>pol<< I'll never be able to forget you.	Nigdy nie będę w stanie o tobie zapomnieć.
>>pol<< I'll put my question another way.	Postawię moje pytanie w inny sposób.
>>pol<< I'll send you my mother's recipe.	Wyślę ci przepis mojej matki.
>>pol<< I'll teach you how to play chess.	Nauczę cię grać w szachy.
>>pol<< I'll tell you when it's finished.	Powiem ci, kiedy będzie gotowe.
>>pol<< I'm able to read without glasses.	Jestem w stanie czytać bez okularów.
>>pol<< I'm afraid we have a big problem.	Boję się, że mamy duży problem.
>>pol<< I'm fed up with this wet weather.	Mam już dosyć tej mokrej pogody.
>>pol<< I'm fed up with this wet weather.	Mam dosyć tego, że ciągle jest wilgotno.
>>pol<< I'm going to Boston to visit Tom.	Jadę do Bostonu odwiedzić Toma.
>>pol<< I'm just worried about my weight.	Martwię się swoją wagą.
>>pol<< I'm never coming back here again.	Nigdy tutaj nie wrócę.
>>pol<< I'm never going to do this again.	Nigdy już tego nie zrobię.
>>pol<< I'm never going to see Tom again.	Nigdy już nie zobaczę Toma.
>>pol<< I'm not accusing Tom of anything.	Nie oskarżam Toma o nic.
>>pol<< I'm not accusing you of anything.	Nie oskarżam cię o nic.
>>pol<< I'm not allowed to drink alcohol.	Nie wolno mi pić alkoholu.
>>pol<< I'm not allowed to talk about it.	Nie wolno mi o tym rozmawiać.
>>pol<< I'm not doing anything different.	Nie robię nic innego.
>>pol<< I'm not eating this potato salad.	Nie jem tej sałatki ziemniaczanej.
>>pol<< I'm not even supposed to be here.	Nie powinno mnie tu nawet być.
>>pol<< I'm not going to do that anymore.	Nie zamierzam nigdy więcej tego robić.
>>pol<< I'm not hiding anything from you.	Niczego przed tobą nie ukrywam.
>>pol<< I'm not sure we should go inside.	Nie jestem pewien, czy powinniśmy wchodzić do środka.
>>pol<< I'm sorry if I spoke out of turn.	Przepraszam, jeśli wypowiedziałem się poza kolejnością.
>>pol<< I'm sorry, today is fully booked.	Przepraszam, ale wszystko dzisiaj jest zarezerwowane.
>>pol<< I'm staying at a hotel in Boston.	Zatrzymam się w hotelu w Bostonie.
>>pol<< I'm struggling to make ends meet.	Ledwie wiążę koniec z końcem.
>>pol<< I'm telling you nothing happened.	Mówię Ci, że nic się nie stało.
>>pol<< I'm the one who built this house.	Ja jestem tym, który zbudował ten dom.
>>pol<< I'm tired of watching television.	Jestem zmęczony oglądaniem telewizji.
>>pol<< I'm very good at problem solving.	Jestem bardzo dobry w rozwiązywaniu problemów.
>>pol<< I'm worried about Tom's behavior.	Martwi mnie Toma zachowanie.
>>pol<< I've already given Tom a present.	Już dałem Tomowi prezent.
>>pol<< I've bought some cheese and milk.	Kupiłem nieco sera i mleka.
>>pol<< I've brought you another blanket.	Przyniosłem ci inny koc.
>>pol<< I've decided to apply to Harvard.	Zdecydowałem złożyć papiery na Harvard.
>>pol<< I've done that numerous of times.	Robiłam to wiele razy.
>>pol<< I've finished writing the letter.	Skończyłem pisać ten list.
>>pol<< I've got a few questions for you.	Mam dla ciebie kilka pytań.
>>pol<< I've got more money than Tom has.	Mam więcej pieniędzy niż Tom.
>>pol<< I've got no reason to lie to you.	Nie mam powodów, żeby cię okłamywać.
>>pol<< I've got no time to sit and talk.	Nie mamy czasu aby usiąść i pogadać.
>>pol<< I've got to be very careful, Tom.	Muszę być bardzo ostrożny, Tom.
>>pol<< I've got to get ready for school.	Muszę się przygotować do szkoły.
>>pol<< I've heard quite a lot about you.	Słyszałem o tobie całkiem sporo.
>>pol<< I've just started playing tennis.	Właśnie zacząłem grać w tenisa.
>>pol<< I've lived in Boston three years.	Mieszkałem trzy lata w Bostonie.
>>pol<< I've made too many bad decisions.	Podjąłem zbyt wiele złych decyzji.
>>pol<< I've never asked anyone for help.	Nigdy nie poprosiłem nikogo o pomoc.
>>pol<< I've never ridden a horse before.	Nigdy wcześniej nie jeździłam na koniu.
>>pol<< I've never ridden a horse before.	Nigdy wcześniej nie jeździłem na koniu.
>>pol<< If I were free, I could help you.	Gdybym był wolny, mógłbym ci pomóc.
>>pol<< If I were rich, I would help you.	Gdybym był bogaty, to bym ci pomógł.
>>pol<< If I were you, I would trust her.	Na twoim miejscu, bym jej ufał.
>>pol<< If he comes, give him my regards.	Jeśli przyjdzie, pozdrów go ode mnie.
>>pol<< If it is worth doing, do it well.	Jeśli warto coś robić, to rób to porządnie.
>>pol<< If it isn't broken, don't fix it.	Nie naprawiaj tego, jeśli nie jest zepsute.
>>pol<< If the ball hits you, you're out.	Jeśli piłka cię trafi, odpadasz.
>>pol<< If you can't be good, be careful.	Jeżeli nie możesz być dobry, bądź ostrożny.
>>pol<< If you don't go, I won't, either.	Jeżeli ty nie idziesz, ja też nie.
>>pol<< If you don't want to read, don't.	Jeśli nie chcesz czytać, nie czytaj.
>>pol<< If you don't work, you can't eat.	Nie pracujesz, nie jesz.
>>pol<< If you have trouble, let me know.	Jeśli masz jakiś problem, daj mi znać.
>>pol<< Is Tom more intelligent than you?	Czy Tom jest bardziej inteligentny niż ty?
>>pol<< Is eating cockroaches a bad idea?	Czy jedzenie karaluchów to zły pomysł?
>>pol<< Is eating healthy more expensive?	Czy zdrowe jedzenie jest droższe?
>>pol<< Is it true that Tom won the race?	Czy to prawda, że Tom wygrał wyścig?
>>pol<< Is that seriously what you think?	Naprawdę tak myślisz?
>>pol<< Is there a flight in the evening?	Czy jest jakiś lot wieczorem?
>>pol<< Is there a flight in the morning?	Czy jest jakiś lot rano?
>>pol<< Is there any danger of radiation?	Jest jakiekolwiek zagrożenie promieniowaniem?
>>pol<< Is there any hope of his success?	Jest jakaś nadzieja na jego sukces?
>>pol<< Is there any place you recommend?	Jest jakieś miejsce, które polecasz?
>>pol<< Is there anybody you can talk to?	Czy jest ktoś z kim możesz porozmawiać?
>>pol<< Is there anything else we can do?	Czy możemy coś jeszcze zrobić?
>>pol<< Isn't it true that you own a gun?	Czy to prawda, że masz broń?
>>pol<< It doesn't have to end like this.	To nie musi się tak skończyć.
>>pol<< It has been cold since yesterday.	Od wczoraj jest zimno.
>>pol<< It is still in the testing stage.	To jest wciąż w fazie testowej.
>>pol<< It is still in the testing stage.	Nadal jest na etapie testów.
>>pol<< It is ten degrees below zero now.	Jest już dziesięć stopni poniżej zera.
>>pol<< It is worth visiting that museum.	Warto odwiedzić to muzeum.
>>pol<< It looks like you've been crying.	Wyglądasz jakbyś płakał.
>>pol<< It rained hard yesterday morning.	Wczoraj rano mocno padało.
>>pol<< It rained heavily in the morning.	Rano mocno padało.
>>pol<< It sounds incredible, doesn't it?	Brzmi niesamowicie, prawda?
>>pol<< It sounds pretty straightforward.	To brzmi całkiem prosto.
>>pol<< It was Tom who started the fight.	To Tom zaczął bójkę.
>>pol<< It was Tom who started the fight.	To Tom zaczął się bić.
>>pol<< It was a one hundred dollar bill.	To był rachunek na sto dolarów.
>>pol<< It was a one hundred dollar bill.	To był studolarowy banknot .
>>pol<< It was raining, so I stayed home.	Padało, więc zostałem w domu.
>>pol<< It'll have to be done over again.	Trzeba będzie to zrobić od nowa.
>>pol<< It's a beautiful night, isn't it?	Ta noc jest piękna, prawda?
>>pol<< It's absolutely freezing outside.	Na zewnątrz jest strasznie zimno.
>>pol<< It's dangerous to play with fire.	Niebezpiecznie jest bawić się ogniem.
>>pol<< It's evident that you told a lie.	Ewidentnie skłamałeś.
>>pol<< It's funny how things turned out.	Ciekawie się porobiło.
>>pol<< It's funny how things turned out.	Zabawne, jak się rozwinęła sytuacja.
>>pol<< It's getting late. Let's turn in.	Robi się późno. Chodźmy spać.
>>pol<< It's going to start raining soon.	Wkrótce zacznie padać.
>>pol<< It's nice you found a girlfriend.	Miło, że znalazłeś dziewczynę.
>>pol<< It's nice you found a girlfriend.	Miło, że znalazłaś dziewczynę.
>>pol<< It's not quite as simple as that.	To nie takie proste.
>>pol<< It's not something anyone can do.	To nie jest coś, co każdy może zrobić.
>>pol<< It's obvious that you told a lie.	To oczywiste, że skłamałeś.
>>pol<< It's slowly getting dark outside.	Na dworze robi się pomału ciemno.
>>pol<< Just put those packages anywhere.	Po prostu połóż te paczki gdziekolwiek.
>>pol<< Keep your money. I don't want it.	Zatrzymaj swoje pieniądze. Nie chcę ich.
>>pol<< Let Tom know we've got a problem.	Daj znać Tomowi, że mamy problem.
>>pol<< Let me ask Tom a simple question.	Pozwól, że zadam Tomowi proste pytanie.
>>pol<< Let me finish eating my sandwich.	Daj mi skończyć kanapkę.
>>pol<< Let me help you put on your coat.	Pozwól, że pomogę ci założyć twój płaszcz.
>>pol<< Let us know whether you can come.	Powiadom nas kiedy będziesz mógł przyjść.
>>pol<< Let's discuss that problem later.	Porozmawiajmy o tym problemie później.
>>pol<< Let's go before I change my mind.	Chodźmy zanim zmienię zdanie.
>>pol<< Let's go meet some of my friends.	Chodźmy się zobaczyć z kilkoma moimi przyjaciółmi.
>>pol<< Let's go meet some of my friends.	Chodźmy się zobaczyć z kilkoma moimi kumplami.
>>pol<< Let's go to the vegan restaurant.	Chodźmy do wegańskiej restauracji.
>>pol<< Let's have a closer look at this.	Przyjrzyjmy się temu bliżej.
>>pol<< Let's hear the rest of the story.	Posłuchajmy dalszej części opowieści.
>>pol<< Let's hope next season is better.	Miejmy nadzieję, że następny sezon jest lepszy.
>>pol<< Let's not go to Boston this year.	Nie jedźmy do Bostonu w tym roku.
>>pol<< Let's play tennis this afternoon.	Zagrajmy w tenisa dziś po południu.
>>pol<< Let's say a prayer before dinner.	Pomódlmy się przed obiadem.
>>pol<< Life is not fair. Get used to it.	Życie jest niesprawiedliwe. Przyzwyczaj się do tego.
>>pol<< Life is not fair. Get used to it.	Życie jest nie jest sprawiedliwe. Przywyknij do tego.
>>pol<< London is the capital of England.	Londyn jest stolicą Anglii.
>>pol<< Look on both sides of the shield.	Spójrz na obie strony tarczy.
>>pol<< Look what I found under the sofa.	Spójrz, co znalazłem pod sofą.
>>pol<< Look what I found under the sofa.	Popatrz, co znalazłem pod sofą.
>>pol<< Lots of herons live in the marsh.	Dużo czapli żyje na tych bagnach.
>>pol<< Malaria is carried by mosquitoes.	Malaria jest przenoszona przez komary.
>>pol<< Many people didn't agree with us.	Wielu ludzi się z nami nie zgadza.
>>pol<< Many people disliked that change.	Wiele ludzi nie lubiło tej zmiany.
>>pol<< Mary asked her family for a loan.	Mary poprosiła swoją rodzinę o pożyczkę.
>>pol<< Mary bought a skirt and a blouse.	Mary kupiła nową spódnicę i bluzkę.
>>pol<< Mary forgot her purse in her car.	Mary zapomniała torebki z samochodu.
>>pol<< May I accompany you on your walk?	Czy mogę ci towarzyszyć podczas spaceru?
>>pol<< May I ask you something personal?	Czy mogę ci zadać osobiste pytanie?
>>pol<< May I have a look at your ticket?	Można zobaczyć pański bilet?
>>pol<< Maybe I shouldn't have done that.	Chyba nie powinienem był tego robić.
>>pol<< Maybe I shouldn't have done that.	Może źle, że to zrobiłem.
>>pol<< Maybe Tom will help us find Mary.	Może Tom nam pomoże znaleźć Mary.
>>pol<< Maybe there's something I can do.	Może jest coś co mogę zrobić.
>>pol<< Maybe we need to make a new rule.	Może musimy stworzyć nową zasadę.
>>pol<< Meningitis is a terrible disease.	Zapalenie opon mózgowych to straszna choroba.
>>pol<< Money is the last thing he wants.	Pieniądze to ostatnia rzecz, której pragnie.
>>pol<< Most Englishmen are conservative.	Większość Anglików to konserwatyści.
>>pol<< My aunt brought up five children.	Moja ciotka wychowała pięcioro dzieci.
>>pol<< My best friend comes from Canada.	Mój najlepszy przyjaciel pochodzi z Kanady.
>>pol<< My best friend comes from Canada.	Moja najlepsza przyjaciółka pochodzi z Kanady.
>>pol<< My brother and I shared the room.	Dzielę pokój z bratem.
>>pol<< My brother-in-law is a policeman.	Mój szwagier jest policjantem.
>>pol<< My dad is stronger than your dad.	Mój tata jest silniejszy od twojego.
>>pol<< My ear was bleeding this morning.	Moje ucho krwawiło dzisiaj rano.
>>pol<< My explanation may sound strange.	Moje wyjaśnienie może zabrzmieć dziwnie.
>>pol<< My father got me to wash the car.	Mój ojciec kazał mi umyć samochód
>>pol<< My father is a bit old-fashioned.	Mój ojciec jest nieco staromodny.
>>pol<< My father is a skilled fisherman.	Mój ojciec jest świetnym rybakiem.
>>pol<< My father is in the hospital now.	Mój ojciec jest teraz w szpitalu.
>>pol<< My father is sweeping the garage.	Mój ojciec zamiata garaż.
>>pol<< My father won't be busy tomorrow.	Mój ojciec nie będzie jutro zajęty.
>>pol<< My friend is seventeen years old.	Mój przyjaciel ma siedemnaście lat.
>>pol<< My friend is seventeen years old.	Moja przyjaciółka ma siedemnaście lat.
>>pol<< My girlfriend is older than I am.	Moja dziewczyna jest starsza ode mnie.
>>pol<< My grandmother loves watching TV.	Moja babcia uwielbia oglądać telewizję.
>>pol<< My hobby is visiting old temples.	Moim hobby jest zwiedzanie starych świątyń.
>>pol<< My house is covered by insurance.	Mój dom jest ubezpieczony.
>>pol<< My joints ache when it gets cold.	Moje stawy bolą, gdy robi się zimno.
>>pol<< My mother almost never complains.	Moja matka prawie nigdy nie narzeka.
>>pol<< My opinion doesn't really matter.	Moja opinia nie ma większego znaczenia.
>>pol<< My opinion really doesn't matter.	Moja opinia naprawdę nie ma znaczenia.
>>pol<< My parents aren't home right now.	Rodziców nie ma teraz w domu.
>>pol<< My parents aren't home right now.	Moich rodziców nie ma teraz w domu.
>>pol<< My remarks were not aimed at you.	Moje uwagi nie były skierowane do ciebie.
>>pol<< Neither of those things happened.	Żadna z tych rzeczy się nie wydarzyła.
>>pol<< New York is proud of its museums.	Nowy Jork jest dumny ze swoich muzeów.
>>pol<< Next year I want to learn French.	W następnym roku chcę się uczyć francuskiego.
>>pol<< No one is better at this than me.	Nikt nie jest w tym lepszy niż ja.
>>pol<< No one knows what Tom looks like.	Nikt nie wie jak wygląda Tom.
>>pol<< No one thinks that you're stupid.	Nikt nie uważa, że jesteś głupi.
>>pol<< No one told me this could happen.	Nikt mi nie powiedział, że to może się stać.
>>pol<< No one told me this might happen.	Nikt mi nie powiedział, że to może się stać.
>>pol<< Nobody but you can make me happy.	Nikt poza Tobą nie może mnie uszczęśliwić.
>>pol<< Nobody knows Tom like I know Tom.	Nikt nie zna Toma, tak jak ja go znam.
>>pol<< None of the children are sitting.	Żadne z dzieci nie siedzi.
>>pol<< Oh, no! We're running out of gas.	O, nie! Kończy nam się benzyna!
>>pol<< One is new, and the other is old.	Jeden jest nowy, a drugi stary.
>>pol<< Only a fool doesn't fear the sea.	Tylko głupiec nie boi się morza.
>>pol<< Our cow doesn't give us any milk.	Nasza krowa nie daje nam żadnego mleka.
>>pol<< Our cow doesn't give us any milk.	Nasza krowa w ogóle nie daje mleka.
>>pol<< Our cow doesn't give us any milk.	Nasza krowa nie daje nam mleka.
>>pol<< Our train leaves at eight-thirty.	Nasz pociąg odjeżdża o wpół do dziewiątej.
>>pol<< People say that he's still alive.	Mówią, że on nadal żyje.
>>pol<< Please don't run down the stairs.	Proszę nie zbiegać ze schodów.
>>pol<< Please help me take this lid off.	Proszę, pomóż mi zdjąć te wieko.
>>pol<< Please make yourself comfortable.	Rozgość się.
>>pol<< Please pardon me for coming late.	Proszę mi wybaczyć spóźnienie.
>>pol<< Please tell me your phone number.	Podaj mi proszę swój numer telefonu.
>>pol<< Please tell us about your family.	Proszę opowiedzieć nam o swojej rodzinie.
>>pol<< Registration starts October 20th.	Rejestracja zaczyna się dwudziestego października.
>>pol<< Reheated pasta is never any good.	Makaron podgrzany ponownie nie jest już tak dobry.
>>pol<< Remember to admire her new dress.	Pamiętaj, żeby pochwalić jej nową sukienkę.
>>pol<< Results will be announced Monday.	Wyniki zostaną ogłoszone w poniedziałek.
>>pol<< Saint Peter's Square was crowded.	Plac Świętego Piotra był zatłoczony.
>>pol<< School begins at half past eight.	Szkoła zaczyna się o ósmej trzydzieści.
>>pol<< Seeing me, the baby began to cry.	Niemowlę zaczęło płakać na mój widok.
>>pol<< Send it to me when you have time.	Wyślij mi to, gdy będziesz miał czas.
>>pol<< She advised him to stop drinking.	Poradziła mu, by przestał pić.
>>pol<< She advised him to use a bicycle.	Ona poradziła mu użyć roweru.
>>pol<< She always cared about my health.	Zawsze troszczyła się o moje zdrowie.
>>pol<< She behaved with a great courage.	Zachowała się niezwykle odważnie.
>>pol<< She came to like the new teacher.	Polubiła nowego nauczyciela.
>>pol<< She can't have said such a thing.	Ona nie mogła powiedzieć czegoś takiego.
>>pol<< She couldn't answer the question.	Nie mogła odpowiedzieć na pytanie.
>>pol<< She didn't exactly agree with me.	Nie do końca się ze mną zgodziła.
>>pol<< She didn't give me my money back.	Nie oddała mi moich pieniędzy.
>>pol<< She dived into the swimming pool.	Skoczyła do basenu.
>>pol<< She found employment as a typist.	Znalazła pracę jako maszynistka.
>>pol<< She gave birth to a healthy baby.	Urodziła zdrowe dziecko.
>>pol<< She gladly accepted his proposal.	Chętnie przyjęła jego propozycję.
>>pol<< She glanced through the magazine.	Przerzuciła czasopismo.
>>pol<< She goes to aerobics once a week.	Ona raz w tygodniu chodzi na aerobik.
>>pol<< She grew up to be a veterinarian.	Wyrosła na weterynarza.
>>pol<< She had a vague feeling of guilt.	Miała niejasne poczucie winy.
>>pol<< She has broken the toaster again.	Znowu popsuła toster.
>>pol<< She has broken the toaster again.	Znowu zepsuła toster.
>>pol<< She has brought up five children.	Wychowała pięcioro dzieci.
>>pol<< She has expensive tastes in cars.	Ona ma drogie gusta, jeśli chodzi o samochody.
>>pol<< She has undertaken too much work.	Wzięła na siebie zbyt wiele pracy.
>>pol<< She is less intelligent than you.	Nie jest tak inteligentna jak ty.
>>pol<< She is living from hand to mouth.	Ona żyje z dnia na dzień.
>>pol<< She is not a nurse, but a doctor.	Nie jest pielęgniarką, lecz lekarką.
>>pol<< She is not as young as she looks.	Ona nie jest taka młoda, na jaką wygląda.
>>pol<< She is the one who feeds our dog.	To ona karmi naszego psa.
>>pol<< She looked terrible at that time.	Wyglądała wtedy okropnie.
>>pol<< She picked flowers in the garden.	Zrywała kwiaty w ogrodzie.
>>pol<< She played the piano beautifully.	Ona pięknie gra na pianinie.
>>pol<< She promised not to go out alone.	Obiecała nie wychodzić sama na zewnątrz.
>>pol<< She put on her coat and went out.	Włożyła płaszcz i wyszła.
>>pol<< She quit her job for some reason.	Rzuciła pracę z pewnych przyczyn.
>>pol<< She rented a four-room apartment.	Wynajęła czteropokojowe mieszkanie.
>>pol<< She spent the weekend by herself.	Spędziła weekend sama.
>>pol<< She stood in front of the mirror.	Stała przed lustrem.
>>pol<< She succeeded in opening the box.	Udało jej się otworzyć pudełko.
>>pol<< She takes a shower every morning.	Ona bierze prysznic co rano.
>>pol<< She wants a serious relationship.	Ona chce poważnej relacji.
>>pol<< She was already in love with him.	Ona już była w nim zakochana.
>>pol<< She was poor, but she was honest.	Była biedna, ale uczciwa.
>>pol<< She was soaked from head to foot.	Była przemoczona od stóp do głów.
>>pol<< She was suspected of being a spy.	Ona była podejrzana o szpiegowanie.
>>pol<< She was wearing dark brown shoes.	Miała na sobie ciemnobrązowe buty.
>>pol<< She wasn't dancing with him then.	Wtedy z nim nie tańczyła.
>>pol<< She went to the hospital by taxi.	Pojechała do szpitala taksówką.
>>pol<< She will be famous in the future.	Ona będzie sława w przyszłości.
>>pol<< She will be famous in the future.	W przyszłości ona będzie sławna.
>>pol<< She's about the same age as I am.	Ona jest w mniej więcej tym samym wieku co ja.
>>pol<< She's asking how that's possible.	Pyta jak to możliwe.
>>pol<< Sheep were grazing in the meadow.	Owce pasły się na łące.
>>pol<< Shouldn't you be at school today?	Nie powinieneś być dzisiaj w szkole?
>>pol<< Since he was honest, I hired him.	Ponieważ był szczery, zatrudniłem go.
>>pol<< Slaves were treated like animals.	Niewolników traktowano jak zwierzęta.
>>pol<< Some black cats have orange eyes.	Niektóre czarne koty mają pomarańczowe oczy.
>>pol<< Some even accused him of treason.	Niektórzy nawet oskarżyli go o zdradę.
>>pol<< Some of my money has been stolen.	Część moich pieniędzy została skradziona.
>>pol<< Some of us will be at your party.	Niektórzy z nas będą na twoim przyjęciu.
>>pol<< Some people jumped into the pool.	Część osób wskoczyła do basenu.
>>pol<< Somebody broke into my apartment.	Ktoś włamał mi się do mieszkania.
>>pol<< Somebody is here to see you, Tom.	Ktoś tu jest, żeby się z tobą zobaczyć, Tom.
