>>aze<< I'm OK.	Mən yaxşıyam.
>>aze<< Do you know her father?	Siz onun atasını tanıyırsınız?
>>aze<< Do you want to go home?	Evə getmək istəyirsən?
>>aze<< Do you want to go home?	Evə getmək istəyirsiniz?
>>aze<< He can't walk any more.	O daha yeriyə bilmir.
>>aze<< He didn't get the joke.	O, zarafatı başa düşmədi.
>>aze<< He had dark brown hair.	Onun tünd qəhvəyi saçları var idi.
>>aze<< He has three daughters.	Onun üç qızı var.
>>aze<< He is an expert driver.	O təcrübəli sürücüdür.
>>aze<< He is in need of money.	Onun pula ehtiyacı var.
>>aze<< He pretends to be deaf.	O özünü karlığa qoyur.
>>aze<< He used the dictionary.	O, lüğətdən istifadə etdi.
>>aze<< How do you want to die?	Siz necə ölmək istəyirsiniz?
>>aze<< I don't have a bicycle.	Mənim velosipedim yoxdur.
>>aze<< I don't have any money.	Mənim heç pulum yoxdur.
>>aze<< I haven't said yes yet.	Hələ hə deməmişəm.
>>aze<< I looked in Tom's eyes.	Mən Tomun gözlərinə baxdım.
>>aze<< I lost my favorite pen.	Sevimli qələmimi itirmişəm.
>>aze<< I sat down next to him.	Mən onun yanında oturdum.
>>aze<< I slept just two hours.	Mən sadəcə iki saat yatdım.
>>aze<< I think he is a doctor.	Məncə o, həkimdir.
>>aze<< I turned off the radio.	Mən radionu söndürdüm.
>>aze<< I want this dictionary.	Mən bu lüğəti istəyirəm.
>>aze<< I want to write a book.	Kitab yazmaq istəyirəm.
>>aze<< I was used to the heat.	İstiyə öyrəşmişdim.
>>aze<< I will gladly help you.	Mən məmuniyyətlə sizə kömək edərəm.
>>aze<< I won't go there again.	Mən bir də ora getməyəcəm.
>>aze<< I'd like to see my son.	Mən oğlumu görmək istərdim.
>>aze<< I'll tell you tomorrow.	Mən sizə sabah deyərəm.
>>aze<< I'm completely serious.	Mən tamamilə ciddiyəm.
>>aze<< I'm not as busy as Tom.	Mən Tom kimi məşğul deyiləm.
>>aze<< I'm thinking about you.	Sənin haqqında düşünürəm.
>>aze<< I've got a white horse.	Mən ağ atım var.
>>aze<< Is it unconstitutional?	Bu konstitusiyaya ziddirmi?
>>aze<< Is there water on Mars?	Marsda su var?
>>aze<< Is your mother at home?	Ananız evdədir?
>>aze<< It looks like a cactus.	Bu kaktusa oxşayır.
>>aze<< It was all for nothing.	Bunlar hamısı hədər imiş.
>>aze<< It was all for nothing.	Bunlar hamısı boş yerə imiş.
>>aze<< It was windy yesterday.	Dünən küləkli idi.
>>aze<< It's very hot at night.	Gecə çox isti olur.
>>aze<< Just follow your heart.	Sadəcə ürəyinizin səsini dinləyin.
>>aze<< May I introduce myself?	Özümü təqdim edə bilərəm?
>>aze<< Montana borders Canada.	Montana Kanada ilə həmsərhəddir.
>>aze<< New York is a big city.	Nyu-York böyük şəhərdir.
>>aze<< Of course you can stay.	Əlbəttə ki qala bilərsən.
>>aze<< Of course you can stay.	Əlbəttə ki qala bilərsiniz.
>>aze<< Pandas are very clever.	Pandalar çox ağıllıdırlar.
>>aze<< Please don't interfere.	Xahiş edirəm, qarışmayın.
>>aze<< Salt is sold by weight.	Duz çəkiylə satılır.
>>aze<< She always wears black.	O həmişə qara geyinir.
>>aze<< She has three brothers.	Onun üç qardaşı var.
>>aze<< She is afraid of death.	O, ölümdən qorxur.
>>aze<< She studied in Belgium.	O Belçikada təhsil alıb.
>>aze<< Sport knows no borders.	İdman sərhəd tanımır.
>>aze<< That isn't what I want.	Bu mənim istədiyim deyil.
>>aze<< That's not what I want.	Bu mənim istədiyim deyil.
>>aze<< The Cold War continued.	Soyuq müharibə davam etdi.
>>aze<< The bread is not fresh.	Çörək təzə deyil.
>>aze<< The knife is not sharp.	Bıçaq iti deyil.
>>aze<< The map is on the wall.	Xəritə divardadır.
>>aze<< The real heroes are us.	Əsl qəhrəmanlar bizik.
>>aze<< The river has dried up.	Çay quruyub.
>>aze<< The river is dangerous.	Çay təhlükəlidir.
>>aze<< There's nothing inside.	İçəridə heç nə yoxdur.
>>aze<< These bananas went bad.	Bu bananlar xarab olub.
>>aze<< This apple tastes sour.	Bu alma turş dadır.
>>aze<< This is an ancient law.	Bu qədim qanundur.
>>aze<< This is from Australia.	Bu Avstraliyadandır.
>>aze<< This thin book is mine.	Bu kitab mənimdir.
>>aze<< Tom can't help you now.	Tom indi sənə kömək edə bilmir.
>>aze<< Tom had no place to go.	Tomun getməyə yeri yox idi.
>>aze<< Tom has cut his finger.	Tom barmağını kəsib.
>>aze<< Tom is taking a shower.	Tom duş qəbul edir.
>>aze<< Tom left for Australia.	Tom Avstraliyaya yola düşdü.
>>aze<< Tom licked his fingers.	Tom barmaqlarını yaladı.
>>aze<< Tom likes Chinese food.	Tom çin yeməklərini xoşlayır.
>>aze<< Tom lives in Australia.	Tom Avstraliyada yaşayır.
>>aze<< Tom moved to Australia.	Tom Avstraliyaya köçdü.
>>aze<< Tom never eats spinach.	Tom heç vaxt ispanaq yemir.
>>aze<< Tom scratched his nose.	Tom burnunu qaşıdı.
>>aze<< Tom squeezed the lemon.	Tom limonu sıxdı.
>>aze<< Tom will be devastated.	Tom darmadağın olacaq.
>>aze<< We didn't see anything.	Biz heç bir şey görmədik.
>>aze<< We live in the suburbs.	Biz şəhərətrafında yaşayırıq.
>>aze<< We saw nothing strange.	Biz qəribə heç nə görmədik.
>>aze<< We'll be happy to help.	Kömək etməyə şad olarıq.
>>aze<< We're the victims here.	Burda qurban bizik.
>>aze<< We've never lived here.	Biz heç vaxt burada yaşamamışıq.
>>aze<< When do the shops open?	Mağazalar nə vaxt açılır?
>>aze<< Where are the giraffes?	Zürafələr hardadırlar?
>>aze<< Where did my driver go?	Mənim sürücüm hara getdi?
>>aze<< Where did you buy that?	Onu haradan aldın?
>>aze<< Who sent you the roses?	Qızılgülləri sənə kim göndərib?
>>aze<< Whose suitcase is that?	Bu kimin çemodanıdır?
>>aze<< Why is Tom coming here?	Tom niyə bura gəlir?
>>aze<< You always surprise me.	Sən məni həmişə təəccübləndirirsən.
>>aze<< You always surprise me.	Siz məni həmişə təəccübləndirirsiniz.
>>aze<< You are taller than me.	Sən məndən hündürsən.
>>aze<< You are taller than me.	Siz məndən hündürsünüz.
>>aze<< You are very beautiful.	Sən çox gözəlsən.
>>aze<< You look a little pale.	Bir az solğun görünürsən.
>>aze<< You're taller than Tom.	Sən Tomdan hündürsən.
>>aze<< Allow me to go with you.	İcazə ver səninlə gedim.
>>aze<< Are you looking for Tom?	Siz Tomu axtarırsınız?
>>aze<< Are you looking for Tom?	Tomu axtarırsan?
>>aze<< Are you waiting for Tom?	Tomu gözləyirsən?
>>aze<< Bring me the dictionary.	Lüğəti mənə gətir.
>>aze<< Do you remember my name?	Mənim adım yadınızdadır?
>>aze<< Do you want some advice?	Bir-iki məsləhət istəyirsən?
>>aze<< Don't let Tom hurt Mary.	Tomun Merini incitməsinə icazə vermə!
>>aze<< Everyone's watching Tom.	Hamı Toma baxır.
>>aze<< Have you been to London?	Londonda olmusan?
>>aze<< He goes to China in May.	O mayda Çinə gedir.
>>aze<< He keeps his room clean.	O öz otağını təmiz saxlayır.
>>aze<< He never loses his head.	O heç vaxt başını itirmir.
>>aze<< He's a citizen of China.	O Çin vətəndaşıdır.
>>aze<< I can look after myself.	Mən özüm öz qayğıma qala bilirəm.
>>aze<< I can't stand this cold.	Mən belə soyuğa dözə bilmirəm.
>>aze<< I don't have your boots.	Sizin çəkmələriniz məndə deyil.
>>aze<< I don't have your boots.	Sənin çəkmələrin məndə deyil.
>>aze<< I don't like it, either.	Mənim də bundan xoşum gəlmir.
>>aze<< I don't really think so.	Mən həqiqətən elə düşünmürəm.
>>aze<< I don't want Tom's help.	Mən Tomun köməyini istəmirəm.
>>aze<< I don't want onion soup.	Soğan supu istəmirəm.
>>aze<< I have bad news for you.	Sənin üçün pis xəbərim var.
>>aze<< I have bad news for you.	Sizin üçün pis xəbərim var.
>>aze<< I haven't forgotten Tom.	Mən Tomu unutmamışam.
>>aze<< I heard someone whistle.	Kiminsə fit çaldığını eşitdim.
>>aze<< I play soccer every day.	Mən hər gün futbol oynayıram.
>>aze<< I prefer to ride a bike.	Mən velosiped sürməyə üstünlük verirəm.
>>aze<< I slept well last night.	Mən dünən gecə yaxşı yatdım.
>>aze<< I'm going straight home.	Mən birbaşa evə gedirəm.
>>aze<< I'm not buying anything.	Mən heç nə almıram.
>>aze<< I've tried that already.	Mən onu artıq yoxlamışam.
>>aze<< Is that a picture of me?	Bu mənim şəklimdir?
>>aze<< Japan is close to China.	Yaponiya Çinə yaxındır.
>>aze<< Monkeys are intelligent.	Meymunlar ağıllıdırlar.
>>aze<< My father is very tired.	Atam çox yorğundur.
>>aze<< My father seldom smokes.	Mənim atam nadir hallarda siqaret çəkir.
>>aze<< My father went to China.	Atam Çinə getdi.
>>aze<< Our wedding is tomorrow.	Bizim toyumuz sabahdır.
>>aze<< She chose the red dress.	O qırmızı paltarı seçdi.
>>aze<< She knocked on the door.	O qapını döydü.
>>aze<< Squirrels eat hazelnuts.	Dələlər fındıq yeyirlər.
>>aze<< Texas borders on Mexico.	Texas Meksikayla həmsərhəddir.
>>aze<< The author is Brazilian.	Müəllif braziliyalıdır.
>>aze<< The kitchen door opened.	Mətbəxin qapısı açıldı.
>>aze<< The restaurant is empty.	Restoran boşdur.
>>aze<< The water began to boil.	Su qaynamağa başladı.
>>aze<< These keys are not mine.	Bu açarlar mənim deyil.
>>aze<< They accepted the offer.	Onlar təklifi qəbul etdilər.
>>aze<< They were very grateful.	Onlar çox minnətdar olmuşdular.
>>aze<< This dictionary is good.	Bu lüğət yaxşıdır.
>>aze<< This dictionary is mine.	Bu lüğət mənimdir.
>>aze<< This horse is expensive.	Bu at bahalıdır.
>>aze<< This is a very good tea.	Bu çox yaxşı çaydır.
>>aze<< This won't happen again.	Bu bir daha baş verməyəcək.
>>aze<< Tom began to understand.	Tom başa düşməyə başladı.
>>aze<< Tom boiled the potatoes.	Tom kartofları qaynatdı.
>>aze<< Tom doesn't like cheese.	Tom pendir xoşlamır.
>>aze<< Tom doesn't like onions.	Tom soğan xoşlamır.
>>aze<< Tom dresses like a girl.	Tom qız kimi geyinir.
>>aze<< Tom found me a good job.	Tom mənə yaxşı bir iş tapdı.
>>aze<< Tom has a black bicycle.	Tomun qara velosipedi var.
>>aze<< Tom headed for the exit.	Tom çıxışa tərəf getdi.
>>aze<< Tom knows Mary is right.	Tom Merinin haqlı olduğunu bilir.
>>aze<< Tom peeled the potatoes.	Tom kartofları soydu.
>>aze<< Tom says what he thinks.	Tom düşündüklərini deyir.
>>aze<< Tom signed the contract.	Tom müqaviləni imzaladı.
>>aze<< Tom squeezed the sponge.	Tom süngəri sıxdı.
>>aze<< Tom went to the library.	Tom kitabxanaya getdi.
>>aze<< Tom won't open the door.	Tom qapını açmayacaq.
>>aze<< Tuna can swim very fast.	Tunes balığı çox sürətlə üzə bilir.
>>aze<< We didn't know anything.	Biz heç nə bilmirdik.
>>aze<< We have three airplanes.	Bizim üç təyyarəmiz var.
>>aze<< We live in an apartment.	Biz mənzildə yaşayırıq.
>>aze<< We live in an apartment.	Biz bina evində yaşayırıq.
>>aze<< We looked at each other.	Biz birbirimizə baxdıq.
>>aze<< We went to a restaurant.	Biz restorana getdik.
>>aze<< We were always together.	Biz həmişə birlikdə idik.
>>aze<< What are you looking at?	Nəyə baxırsan?
>>aze<< What makes you think so?	Sizi belə düşünməyə nə vadar edir?
>>aze<< What's unique about you?	Səndə özünəməxsus olan nədir?
>>aze<< Where are our umbrellas?	Bizim çətirlərimiz haradadır?
>>aze<< Where is the restaurant?	Restoran hanı?
>>aze<< Where is the restaurant?	Restoran haradadır?
>>aze<< You are in a safe place.	Siz təhlükəsiz yerdəsiniz.
>>aze<< You're everything to me.	Sən mənimçün hərşeysən.
>>aze<< A sponge absorbs liquids.	Süngər mayeləri özünə çəkir.
>>aze<< A tea with lemon, please.	Limonlu çay, zəhmət olmasa.
>>aze<< Are you sure Tom is dead?	Əminsən ki Tom ölüb?
>>aze<< Both brothers were there.	Hər iki qardaş orada idi.
>>aze<< Butter is made from milk.	Yağ süddən hazırlanır.
>>aze<< Cows supply us with milk.	İnəklər bizi südlə təmin edirlər.
>>aze<< Do you like this perfume?	Bu ətiri bəyənirsən?
>>aze<< Do you like this perfume?	Bu ətiri bəyənirsiz?
>>aze<< Do you want to join them?	Onlara qoşulmaq istəyirsiniz?
>>aze<< Don't talk to the driver.	Sürücüylə danışmayın!
>>aze<< Don't trust what he says.	Onun dediyinə inanma.
>>aze<< He began to make excuses.	O, bəhanələr gətirməyə başladı.
>>aze<< He knows a lot of people.	O çox adam tanıyır.
>>aze<< He wants to go to Africa.	O, Afrikaya getmək istəyir.
>>aze<< I am glad to be with you.	Səninlə olmağıma şadam.
>>aze<< I am swimming in a river.	Mən çayda çimirəm.
>>aze<< I brought you some water.	Sizə bir az su gətirdim.
>>aze<< I can't believe I'm here.	İnana bilmirəm ki buradayam.
>>aze<< I can't do what you want.	Mən sizin istədiyinizi edə bilmərəm.
>>aze<< I can't do what you want.	Mən sənin istədiyini edə bilmərəm.
>>aze<< I can't find my umbrella.	Çətirimi tapa bilmirəm.
>>aze<< I counted to two hundred.	Mən iki yüzə qədər saydım.
>>aze<< I don't hate Tom anymore.	Mən daha Toma nifrət etmirəm.
>>aze<< I don't want to die here.	Mən burda ölmək istəmirəm.
>>aze<< I don't want you to lose.	Mən sənin uduzmağını istəmirəm.
>>aze<< I have a good dictionary.	Mənim yaxşı lüğətim var.
>>aze<< I have a good dictionary.	Məndə yaxşı bir lüğət var.
>>aze<< I have to agree with Tom.	Mən Tomla razılaşmalıyam.
>>aze<< I hope you understand me.	Ümid edirəm məni başa düşürsən.
>>aze<< I know who the killer is.	Mən bilirəm qatil kimdir.
>>aze<< I know you don't love me.	Bilirəm ki məni sevmirsən.
>>aze<< I need a good dictionary.	Mənim yaxşı bir lüğətə ehtiyacım var.
>>aze<< I need a good dictionary.	Mənə yaxşı bir lüğət lazımdır.
>>aze<< I stayed home for a week.	Mən bir həftə evdə qaldım.
>>aze<< I think Tom will like it.	Məncə bu Tomun xoşuna gələcək.
>>aze<< I think about them often.	Mən tez-tez onların haqqında düşünürəm.
>>aze<< I was waiting for a taxi.	Taksi gözləyirdim.
>>aze<< I'm four months pregnant.	Mən dörd aylıq hamiləyəm.
>>aze<< I'm glad to see you, Tom.	Səni görməyimə şadam, Tom.
>>aze<< It won't change anything.	Bu heç nəyi dəyişməyəcək.
>>aze<< It's a little cool today.	Bu gün biraz sərindir.
>>aze<< It's on the eighth floor.	Bu səkkizinci mərtəbədədir.
>>aze<< Italy is far from Brazil.	İtaliya Braziliyadan uzaqda yerləşir.
>>aze<< Japan has a mild climate.	Yaponiyanın mülayim iqlimi var.
>>aze<< Latin is a dead language.	Latın dili ölü dildir.
>>aze<< Let's look under the bed.	Gəl çarpayının altına baxaq.
>>aze<< My father has many books.	Mənim atamın çoxlu kitabları var.
>>aze<< Nobody wants to help Tom.	Heç kim Toma kömək etmək istəmir.
>>aze<< None of them are drivers.	Onların heç biri sürücü deyil.
>>aze<< Owls can see in the dark.	Bayquşlar qaranlıqda görə bilirlər.
>>aze<< Pink roses are beautiful.	Çəhrayı qızılgüllər gözəldirlər.
>>aze<< She fell down the ladder.	O, nərdivandan yıxıldı.
>>aze<< She wants to read a book.	O kitab oxumaq istəyir.
>>aze<< She went there yesterday.	O, ora dünən gedib.
>>aze<< She wrote a lot of poems.	O çoxlu şeirlər yazdı.
>>aze<< Take a taxi to the hotel.	Otelə getməkçün taksi tut.
>>aze<< The blood was bright red.	Qan al-qırmızı idi.
>>aze<< The book is on the table.	Kitab stolun üstündədir.
>>aze<< The cat sat on the table.	Pişik stolun üstündə oturdu.
>>aze<< The girls began to laugh.	Qızlar gülməyə başladılar.
>>aze<< The pink pillow is clean.	Çəhrayı yastıq təmizdir.
>>aze<< The river is running dry.	Çay quruyur.
>>aze<< The shop is closed today.	Mağaza bugün bağlıdır.
>>aze<< The week is finally over.	Həftə nəhayət ki qurtardı.
>>aze<< There's been an accident.	Qəza baş verdi.
>>aze<< This book is about stars.	Bu kitab ulduzlar haqqındadır.
>>aze<< This box contains apples.	Bu qutuda almalar var.
>>aze<< This is my business card.	Bu mənim vizit kartımdır.
>>aze<< This isn't an apple tree.	Bu alma ağacı deyil.
>>aze<< This knife is very sharp.	Bu bıçaq çox itidir.
>>aze<< Tom became a taxi driver.	Tom taksi sürücüsü oldu.
>>aze<< Tom comes here every day.	Tom bura hər gün gəlir.
>>aze<< Tom didn't open the beer.	Tom pivəni açmadı.
>>aze<< Tom doesn't want to come.	Tom gəlmək istəmir.
>>aze<< Tom is a careless driver.	Tom səhlənkar sürücüdür.
>>aze<< Tom is a reckless driver.	Tom ehtiyatsız sürücüdür.
>>aze<< Tom is a talented singer.	Tom istedadlı müğənnidir.
>>aze<< Tom is going to hurt you.	Tom səni incidəcək.
>>aze<< Tom is looking for a job.	Tom iş axtarır.
>>aze<< Tom isn't afraid of Mary.	Tom Meridən qorxmur.
>>aze<< Tom jumped into the pool.	Tom hovuza tullandı.
>>aze<< Tom ran toward the house.	Tom evə tərəf qaçdı.
>>aze<< Tom used to be a soldier.	Tom əvvəllər əsgər idi.
>>aze<< Tom wants to go to Japan.	Tom Yaponiyaya getmək istəyir.
>>aze<< We don't know the lyrics.	Biz mahnının sözlərini bilmirik.
>>aze<< We want nothing from you.	Biz sizdən heç nə istəmirik.
>>aze<< What do you think of war?	Müharibə haqqında nə düşünürsünüz?
>>aze<< When did he go to Europe?	O Avropaya nə vaxt getdi?
>>aze<< Where do they want to go?	Onlar hara getmək istəyirlər?
>>aze<< Where do you play tennis?	Siz harada tennis oynayırsınız?
>>aze<< Where do you play tennis?	Harada tennis oynayırsan?
>>aze<< Where is the nearest pub?	Ən yaxın pivəxana haradadır?
>>aze<< Who was your inspiration?	Siz kimdən ilham alardınız?
>>aze<< Whose dictionary is this?	Bu kimin lüğətidir?
>>aze<< Why did you buy a flower?	Niyə gül aldın?
>>aze<< Why do bad things happen?	Niyə pis şeylər baş verir?
>>aze<< Write at least 250 words.	Ən azı 250 söz yazın.
>>aze<< You don't have to beg me.	Mənə yalvarmağa məcbur deyilsən.
>>aze<< You have great potential.	Sənin böyük potensialın var.
>>aze<< You should have told him.	Sən ona deməliydin.
>>aze<< You're a beautiful woman.	Sən gözəl qadınsan.
>>aze<< You've already forgotten.	Sən artıq unutmusan.
>>aze<< You've already forgotten.	Siz artıq unutmusunuz.
>>aze<< You've come just in time.	Lap vaxtında gəlmisən.
>>aze<< Can you tell me about Tom?	Mənə Tom haqqında danışa bilərsən?
>>aze<< Could you come and get me?	Gəlib məni götürə bilərsən?
>>aze<< Death is similar to sleep.	Ölüm yuxuya bənzəyir.
>>aze<< Do you have any daughters?	Sənin ümumiyyətlə qızın var?
>>aze<< Does your head still ache?	Başın hələ də ağrıyır?
>>aze<< Don't cancel anything yet.	Hələ ki heç nəyi ləğv etmə.
>>aze<< Don't get so carried away.	Çox qapılma.
>>aze<< Everyone in Cuba likes it.	Kubada hamının bundan xoşu gəlir.
>>aze<< Give some meat to the dog.	İtə biraz ət ver.
>>aze<< He has a house of his own.	Onun öz evi var.
>>aze<< He is my youngest brother.	O mənim ən kiçik qardaşımdır.
>>aze<< He is shaking like a leaf.	O yarpaq kimi əsir.
>>aze<< He knows many folk dances.	O çoxlu milli rəqs bilir.
>>aze<< He ran into the classroom.	O, sinif otağına qaçdı.
>>aze<< His ashes are buried here.	Onun külü burada basdırılıb.
>>aze<< How did Tom get to Boston?	Tom Bostona necə getdi?
>>aze<< How do we fix the problem?	Biz bu problemi necə həll edə bilərik?
>>aze<< I am from the Netherlands.	Mən Niderlanddanam.
>>aze<< I bought a book yesterday.	Mən dünən kitab aldım.
>>aze<< I don't get what you mean.	Nə demək istədiyinizi başa düşmürəm.
>>aze<< I don't know the password.	Parolu bilmirəm.
>>aze<< I don't know the password.	Mən şifrəni bilmirəm.
>>aze<< I don't know what I'll do.	Bilmirəm nə edəcəm.
>>aze<< I don't like Tom and Mary.	Tom və Meri mənim xoşuma gəlmirlər.
>>aze<< I don't make the schedule.	Cədvəli mən hazırlamıram.
>>aze<< I feed my dog twice a day.	Mən itimi gündə iki dəfə yemləyirəm.
>>aze<< I got married 8 years ago.	Mən səkkiz il əvvəl evləndim.
>>aze<< I have great news for you.	Sənin üçün əla xəbərim var.
>>aze<< I prefer staying to going.	Mən qalmağı getməkdən üstün tuturam.
>>aze<< I saw him enter the house.	Mən onun evə girdiyini gördüm.
>>aze<< I understand your problem.	Sizin probleminizi başa düşürəm.
>>aze<< I understand your problem.	Sənin problemini başa düşürəm.
>>aze<< I want to be a journalist.	Mən jurnalist olmaq istəyirəm.
>>aze<< I want to scratch my nose.	Burnumu qaşımaq istəyirəm.
>>aze<< I went to school with Tom.	Mən məktəbə Tomla getdim.
>>aze<< I will tell you the truth.	Mən sizə həqiqəti deyəcəm.
>>aze<< I'd like to buy this doll.	Mən bu gəlinciyi almaq istərdim.
>>aze<< I'll take care of the cat.	Mən pişiyin qayğısına qalaram.
>>aze<< I'm the one in the middle.	Ortadakı mənəm.
>>aze<< Is Tom still working here?	Tom hələ də burda işləyir?
>>aze<< Leaves fall in the autumn.	Payızda yarpaqlar tökülür.
>>aze<< Luckily, you were at home.	Xoşbəxtlikdən siz evdə idiniz.
>>aze<< Mary is Tom's twin sister.	Meri Tomun əkiz bacısıdır.
>>aze<< My brother lives in Tokyo.	Mənim qardaşım Tokioda yaşayır.
>>aze<< My father is a bus driver.	Mənim atam avtobus sürücüsüdür.
>>aze<< Our class has 41 students.	Bizim sinifdə 41 şagird var.
>>aze<< People can't live forever.	İnsanlar əbədi yaşaya bilmirlər.
>>aze<< Pinocchio had a long nose.	Pinokkionun uzun burnu var idi.
>>aze<< Please give me an ashtray.	Zəhmət olmasa, mənə külqabı verin.
>>aze<< She painted the wall pink.	O, divarı çəhrayı rəngə boyadı.
>>aze<< Should I wash the lettuce?	Kahını yumalıyam?
>>aze<< Soak this sponge in water.	Bu süngəri suda islat.
>>aze<< Sugar is soluble in water.	Şəkər suda həll olur.
>>aze<< Tell Tom it was a mistake.	Toma de ki, bu səhv idi.
>>aze<< Tell Tom it was a mistake.	Toma deyin ki, bu bir səhv idi.
>>aze<< The girl broke the window.	Qız pəncərəni sındırdı.
>>aze<< Their wedding is tomorrow.	Onların toyu sabahdır.
>>aze<< They didn't find anything.	Onlar heç nə tapmadılar.
>>aze<< This is a good dictionary.	Bu yaxşı lüğətdir.
>>aze<< This is smaller than that.	Bu ondan balacadır.
>>aze<< This is the flag of Japan.	Bu Yaponiyanın bayrağıdır.
>>aze<< Tom and I help each other.	Tom və mən birbirimizə kömək edirik.
>>aze<< Tom asked me about my job.	Tom məndən işim barədə soruşdu.
>>aze<< Tom doesn't have a sister.	Tomun bacısı yoxdur.
>>aze<< Tom drank a cup of coffee.	Tom bir fincan qəhvə içdi.
>>aze<< Tom has to go to the bank.	Tom banka getməlidir.
>>aze<< Tom is chewing bubble gum.	Tom saqqız çeynəyir.
>>aze<< Tom says he doesn't snore.	Tom deyir ki, o xorlamır.
>>aze<< Tom wrote to me yesterday.	Tom dünən mənə yazdı.
>>aze<< We hardly know each other.	Demək olar bir-birimizi tanımırıq.
>>aze<< We have nothing in common.	Bizim ortaq heç nəyiminiz yoxdur.
>>aze<< We're here to protect you.	Biz sizi qorumaq üçün buradayıq.
>>aze<< When does the movie start?	Film nə vaxt başlayır?
>>aze<< Where do you think we are?	Səncə biz haradayıq?
>>aze<< Will it be sunny tomorrow?	Sabah hava günəşli olacaq?
>>aze<< Will you be here tomorrow?	Sabah burada olacaqsan?
>>aze<< You don't have to help me.	Mənə kömək etməyə məcbur deyilsən.
>>aze<< You forgot to buy lettuce.	Kahı almaq yadından çıxıb.
>>aze<< You should lock your door.	Sən qapını bağlamalısan.
>>aze<< You should lock your door.	Siz gərək qapınızı bağlayasınız.
>>aze<< You're in the right place.	Siz düzgün yerdəsiniz.
>>aze<< Autumn changed into winter.	Payız yerini qışa verdi.
>>aze<< Can you do it or can't you?	Sən bunu bacararsan ya yox?
>>aze<< Can you do it or can't you?	Sən bunu edə bilərsən, ya yox?
>>aze<< China is bigger than Japan.	Çin Yaponiyadan böyükdür.
>>aze<< Do I need to make a speech?	Mən də nitq söyləməliyəm?
>>aze<< Do you think fish can hear?	Səncə balıqlar eşidə bilir?
>>aze<< Does Tom know where we are?	Tom bizim harada olduğumuzu bilir?
>>aze<< French is my mother tongue.	Fransız dili mənim ana dilimdir.
>>aze<< He does not live in Sendai.	O, Sendayda yaşamır.
>>aze<< He got home at seven sharp.	O, düz saat yeddidə evə gəldi.
>>aze<< He held a pen in his hands.	O, əlində qələm tutmuşdu.
>>aze<< Her family moved to Brazil.	Onun ailəsi Braziliyaya köçdü.
>>aze<< I did none of those things.	Bunlardan heç birini etməmişəm.
>>aze<< I don't want to look silly.	Mən axmaq kimi görünmək istəmirəm.
>>aze<< I grew up in the mountains.	Mən dağlarda böyümüşəm.
>>aze<< I just want to talk to you.	Mən sadəcə sənlə danışmaq istəyirəm.
>>aze<< I just wasn't ready for it.	Mən sadəcə olaraq buna hazır deyildim.
>>aze<< I might be able to do that.	Mən onu edə bilərəm.
>>aze<< I no longer live in Boston.	Mən daha Bostonda yaşamıram.
>>aze<< I started reading the book.	Mən kitabı oxumağa başladım.
>>aze<< I thought you were injured.	Mən zənn etdim ki, sən yaralanmısan.
>>aze<< I will call you in an hour.	Mənə bir saata sənə zəng vuracam.
>>aze<< I won't be here next month.	Gələn ay mən burada olmayacam.
>>aze<< I would like to buy a sofa.	Divan almaq istərdim.
>>aze<< I'm listening to the radio.	Radioya qulaq asıram.
>>aze<< It hasn't always been easy.	Bu həmişə asan olmayıb.
>>aze<< It was filmed in Australia.	Bu Avstraliyada çəkilib.
>>aze<< It's raining cats and dogs.	Şıdırğı yağış yağır.
>>aze<< Japan is full of surprises!	Yaponiya sürprizlərlə doludur!
>>aze<< My aunt has three children.	Mənim xalamın üç uşağı var.
>>aze<< My father has a restaurant.	Atamın restoranı var.
>>aze<< My father is a businessman.	Mənim atam iş adamıdır.
>>aze<< My sister married a doctor.	Mənim bacım həkimə ərə gedib.
>>aze<< One language is not enough.	Bir dil kifayət deyil.
>>aze<< Our train stopped suddenly.	Bizim qatar birdən dayandı.
>>aze<< She passed the examination.	O, imtahanı keçdi.
>>aze<< She writes about Sri Lanka.	O Şri Lanka haqqında yazır.
>>aze<< The baby is still sleeping.	Körpə hələ yatır.
>>aze<< The old man died last week.	Qoca ötən həftə öldü.
>>aze<< The old man died last week.	Qoca kişi keçən həftə öldü.
>>aze<< The soup needs more garlic.	Supa daha çox sarımsaq lazımdır.
>>aze<< There was blood everywhere.	Hər yerdə qan var idi.
>>aze<< There's no need to explain.	İzah etməyə ehtiyac yoxdur.
>>aze<< There's no need to explain.	İzaha ehtiyac yoxdur.
>>aze<< There's nothing to discuss.	Müzakirə etməli heç nə yoxdur.
>>aze<< They both can speak French.	Onlar ikisi də fransızca danışırlar.
>>aze<< They danced all night long.	Onlar bütün gecə boyu rəqs etdilər.
>>aze<< They remained in Tennessee.	Onlar Tennessidə qaldılar.
>>aze<< They supplied us with food.	Onlar bizi qida məhsulları ilə təmin edirlər.
>>aze<< This dictionary isn't mine.	Bu lüğət mənim deyil.
>>aze<< Tom and I are good friends.	Tom və mən yaxşı dostlarıq.
>>aze<< Tom fell into a deep sleep.	Tom dərin yuxuya getdi.
>>aze<< Tom is an excellent driver.	Tom əla sürücüdür.
>>aze<< Tom is shaking like a leaf.	Tom yarpaq kimi əsir.
>>aze<< Tom looked into the coffin.	Tom tabutun içinə baxdı.
