>>bul<< Hi.	Здрасти.
>>bul<< I think you should tell Tom that.	Мисля, че трябва да кажеш това на Том.
>>bul<< I think you should tell Tom that.	Мисля, че трябва да кажете това на Том.
>>bul<< I think you'd be crazy not to go.	Мисля, че трябва да си луд да не отидеш.
>>bul<< I think you'd be crazy not to go.	Мисля, че трябва да си луда да не отидеш.
>>bul<< I think you're a little confused.	Мисля, че бъркаш малко.
>>bul<< I think you're a little confused.	Мисля, че бъркате малко.
>>bul<< I think you're going to do great.	Мисля, че ще се справиш отлично.
>>bul<< I think you're going to do great.	Мисля, че ще се справите отлично.
>>bul<< I think you're missing something.	Мисля, че пропускаш нещо.
>>bul<< I think you're missing something.	Мисля, че пропускате нещо.
>>bul<< I think you're missing the point.	Мисля, че не схващаш основното.
>>bul<< I think you're missing the point.	Мисля, че не разбираш най-важното.
>>bul<< I think you're missing the point.	Мисля, че не разбирате най-важното.
>>bul<< I think you're missing the point.	Мисля, че не схващате основното.
>>bul<< I think you're wasting your time.	Мисля, че си губиш времето.
>>bul<< I think you're wasting your time.	Мисля, че си губите времето.
>>bul<< I thought you might be mad at me.	Реших, че може да си ми ядосана.
>>bul<< I thought you might be mad at me.	Реших, че може да си ми ядосан.
>>bul<< I thought you might be mad at me.	Реших, че може да сте ми сърдити.
>>bul<< I thought you might be mad at me.	Реших, че може да си ми сърдит.
>>bul<< I thought you might be mad at me.	Реших, че може да си ми сърдита.
>>bul<< I thought you might be mad at me.	Реших, че може да сте ми ядосани.
>>bul<< I visited my grandmother's house.	Посетих къщата на баба ми.
>>bul<< I want more detailed information.	Искам по-подробна информация.
>>bul<< I was just thinking of a new job.	Мислех си за нова работа.
>>bul<< I was up all night brainstorming.	Цяла нощ трескаво търсих решение.
>>bul<< I won't be able to come tomorrow.	Утре няма да мога да дойда.
>>bul<< I won't be able to sleep tonight.	Тази нощ няма да мога да спя.
>>bul<< I'd like something cold to drink.	Искам нещо студено за пиене.
>>bul<< I'll be there in fifteen minutes.	Ще бъда там до петнайсет минути.
>>bul<< I'll get back to you in a moment.	Ще ти обърна внимание след малко.
>>bul<< I'll get back to you in a moment.	Ще ви обърна внимание след малко.
>>bul<< I'll get back to you in a moment.	Ще се свържа с вас след секунда.
>>bul<< I'll get back to you in a moment.	Ще се свържа с теб след секунда.
>>bul<< I'll walk you back to your hotel.	Ще дойда с тебе обратно до хотела.
>>bul<< I'll walk you back to your hotel.	Ще дойда с вас обратно до хотела.
>>bul<< I'm getting used to eating alone.	Започвам да свиквам да се храня сам.
>>bul<< I'm getting used to eating alone.	Започвам да свиквам да се храня сама.
>>bul<< I'm going to get on the next bus.	Ще се кача на следващия автобус.
>>bul<< I'm going to help you get better.	Ще ти помогна да станеш по-добър в това.
>>bul<< I'm in trouble. I need your help.	Имам проблем. Трябва ми помощта ти.
>>bul<< I'm in trouble. I need your help.	Имам проблем. Трябва ми Вашата помощ.
>>bul<< I'm in trouble. I need your help.	Имам проблем. Трябва ми помощта Ви.
>>bul<< I'm in trouble. I need your help.	Имам проблем. Трябва ми вашата помощ.
>>bul<< I'm looking for a place to sleep.	Търся място, където да спя.
>>bul<< I'm looking for a small suitcase.	Търся малък куфар.
>>bul<< I'm not going to go to the party.	Не мисля да ходя на празненството.
>>bul<< I'm not going to go to the party.	Не смятам да ходя на купона.
>>bul<< I'm sure I won't be of much help.	Сигурен съм, че няма да съм от особена помощ.
>>bul<< I'm sure that won't be necessary.	Сигурен съм, че това няма да се наложи.
>>bul<< I'm sure that won't be necessary.	Сигурен съм, че това няма да е необходимо.
>>bul<< I'm sure that won't be necessary.	Сигурна съм, че това няма да се наложи.
>>bul<< I'm sure that won't be necessary.	Сигурна съм, че това няма да е необходимо.
>>bul<< I'm tired of watching television.	Уморих се да гледам телевизия.
>>bul<< I'm tired of watching television.	Писна ми да гледам телевизия.
>>bul<< I'm very worried about my weight.	Много се безпокоя за теглото си.
>>bul<< I've finished writing the letter.	Свърших с писането на писмото.
>>bul<< I've got to get away for a while.	Трябва да изляза за малко.
>>bul<< I've had it with this stupid job.	Писна ми от тъпата работа.
>>bul<< I've just started playing tennis.	Току-що започвам да играя тенис.
>>bul<< I've never seen you laugh before.	Преди никога не съм те виждал да се смееш.
>>bul<< I've never seen you laugh before.	Преди никога не съм те виждала да се смееш.
>>bul<< I've told you not to call me Tom.	Казах ти да не ме наричаш Том.
>>bul<< I've worked with Tom a long time.	Работил съм с Том дълго време.
>>bul<< I've worked with Tom a long time.	Работила съм с Том дълго време.
>>bul<< I've worked with Tom a long time.	Работя с Том от дълго време.
>>bul<< If you don't work, you can't eat.	Ако не работиш, не можеш да ядеш.
>>bul<< Is Tom studying French at school?	Том учи ли френски в училище?
>>bul<< Is there a discount for children?	Има ли намаление за деца?
>>bul<< It looks like it's going to rain.	Изглежда ще вали.
>>bul<< It looks like it's going to rain.	Изглежда, че ще вали.
>>bul<< It looks like it's going to rain.	Изглежда, че ще вали дъжд.
>>bul<< It looks like it's going to snow.	Изглежда, че ще вали сняг.
>>bul<< It looks like it's going to snow.	Изглежда, че ще започне да вали сняг.
>>bul<< It looks like we have everything.	Изглежда имаме всичко.
>>bul<< It looks like you're on your own.	Изглежда, че си сам.
>>bul<< It looks like you're on your own.	Изглежда, че си сама.
>>bul<< It looks like you've been crying.	Изглежда си плакала.
>>bul<< It looks like you've been crying.	Изглежда си плакал.
>>bul<< It rained hard yesterday morning.	Вчера сутринта валя силно.
>>bul<< It's a lot of fun going on trips.	Голяма забава е да пътува човек.
>>bul<< It's going to be cloudy tomorrow.	Утре ще бъде облачно.
>>bul<< It's very hot here in the summer.	Тук е много горещо през лятото.
>>bul<< Just put those packages anywhere.	Сложи ги тия пакети някъде.
>>bul<< Just put those packages anywhere.	Просто сложи тия пакети където и да е.
>>bul<< Let me help you put on your coat.	Дай да ти помогна да си сложиш палтото.
>>bul<< Let me help you put on your coat.	Нека Ви помогна да си сложите палтото.
>>bul<< Let's not talk about money, okay?	Да не говорим за пари, а?
>>bul<< Let's play baseball after school.	Хайде да играем бейзбол след училище.
>>bul<< Let's play tennis this afternoon.	Хайде да играем на тенис следобеда.
>>bul<< Let's play tennis this afternoon.	Хайде да играем тенис днес следобед.
>>bul<< Let's put our cards on the table.	Нека хвърлим картите на масата.
>>bul<< Let's start before the sun rises.	Нека започнем преди слънцето да изгрее.
>>bul<< Loose jackets are the latest fad.	Широките якета са последния писък на модата.
>>bul<< Malaria is carried by mosquitoes.	Маларията се пренася от комарите.
>>bul<< Mary bought a skirt and a blouse.	Мери си купи пола и блуза.
>>bul<< Music is a form of entertainment.	Музиката е вид забавление.
>>bul<< Music is a form of entertainment.	Музиката е вид развлечение.
>>bul<< My apartment is in that building.	Апартаментът ми е в тази сграда.
>>bul<< My brother sends you his regards.	Брат ми ти праща много поздрави.
>>bul<< My mother almost never complains.	Майка ми почти никога не се оплаква.
>>bul<< Newspapers are sold in the kiosk.	Вестници се продават на павилиона.
>>bul<< None of the children are sitting.	Никое от децата не седи седнало.
>>bul<< Nothing has been thrown away yet.	Още нищо не е изхвърлено.
>>bul<< Our team were wearing red shirts.	Нашият отбор беше с червени фланелки.
>>bul<< Please make yourself comfortable.	Разположете се удобно.
>>bul<< Please pardon me for coming late.	Моля, извинете ме за закъснението.
>>bul<< Please tell me why Tom was fired.	Моля те, кажи ми защо беше уволнен Том.
>>bul<< President Arthur vetoed the bill.	Президентът Артур наложи вето върху закона.
>>bul<< School begins at half past eight.	Училището започва в осем и половина.
>>bul<< Send me a letter when you arrive.	Изпрати ми писмо, когато пристигнеш.
>>bul<< She coaxed a smile from the baby.	Той си издейства усмивка от бебето.
>>bul<< She didn't accept the invitation.	Тя не прие поканата.
>>bul<< She didn't give me my money back.	Тя не ми върна парите.
>>bul<< She gave the blouse a quick wash.	Тя изпра блузата набързо.
>>bul<< She goes to aerobics once a week.	Тя ходи на аеробика веднъж седмично.
>>bul<< She is getting better day by day.	Тя става все по-добъра с всеки изминал ден.
>>bul<< She reproached me for being lazy.	Тя ме смъмри, че съм мързелив.
>>bul<< She's asking how that's possible.	Тя пита как е възможно това.
>>bul<< Stop it. You're being ridiculous.	Престани. Ставаш смешен.
>>bul<< Take care not to drop that glass.	Внимавай да не изпуснеш тази чаша.
>>bul<< Talking during a concert is rude.	Да се говори по време на концерт е невъзпитано.
>>bul<< That kind of story appeals to me.	Падам си по такива истории.
>>bul<< That meeting was a waste of time.	Тази среща беше чиста загуба на време.
>>bul<< That's what you've always wanted.	Това си искал винаги.
>>bul<< That's what you've always wanted.	Това сте искали винаги.
>>bul<< The air conditioner doesn't work.	Климатикът не работи.
>>bul<< The bridge is under construction.	Мостът се строи.
>>bul<< The cat is sleeping on the table.	Котката спи на масата.
>>bul<< The children are playing marbles.	Децата играят на топчета.
>>bul<< The country air will do you good.	Въздухът в провинцията ще ти окаже благотворно влияние.
>>bul<< The doctor examined the patients.	Докторът прегледа пациентите.
>>bul<< The doctor examined the patients.	Лекарят прегледа пациентите.
>>bul<< The doctor she visited is famous.	Докторът, когото тя посети, е известен.
>>bul<< The judge condemned him to death.	Съдията го осъди на смърт.
>>bul<< The message is written in French.	Съобщението е написано на френски.
>>bul<< The middle finger is the longest.	Средният пръст е най-дълъг.
>>bul<< The museum is open to the public.	Музеят е отворен за посетители.
>>bul<< The pen I lost yesterday was new.	Химикалката, която загубих вчера, беше нова.
>>bul<< The planes flew over the village.	Самолетите прелетяха над селото.
>>bul<< The plot twists were predictable.	Обратите в сценария бяха предсказуеми.
>>bul<< The shooting started around noon.	Стрелбата започна около обед.
>>bul<< The swimmers were numb with cold.	Плувците бяха вцепенени от студа.
>>bul<< The teacher got quite well again.	Учителят отново се оправи напълно.
>>bul<< The traffic light changed to red.	Светофарът стана червен.
>>bul<< The wounded arrived by ambulance.	Раненият беше докаран с линейка.
>>bul<< The wounded arrived by ambulance.	Ранените бяха докарани с линейка.
>>bul<< There exists only one option now.	Сега изборът е само един.
>>bul<< There is no hope of his recovery.	Няма надежда за неговото възстановяване.
>>bul<< There seemed to be nothing to do.	Изглежда, че няма какво да се прави.
>>bul<< There were five fires last night.	Миналата нощ имаше пет пожара.
>>bul<< These allegations are ridiculous.	Тези твърдения са смехотворни.
>>bul<< These shoes don't fit me anymore.	Тези обувки вече не ми стават.
>>bul<< They made the novel into a drama.	Те направиха драма по романа.
>>bul<< This building has been condemned.	Тази сграда е за събаряне.
>>bul<< This building is near completion.	Сградата е почти на приключване.
>>bul<< This can't be what it looks like.	Не може да е това, на което прилича.
>>bul<< To put it bluntly, he's mistaken.	Казано направо, той греши.
>>bul<< Tom and Mary acted like children.	Том и Мери се държаха като деца.
>>bul<< Tom and Mary both live in Boston.	И Том, и Мери живеят в Бостън.
>>bul<< Tom began to button up his shirt.	Том започна да си закопчава ризата.
>>bul<< Tom bought a present for his son.	Том купи подарък за сина си.
>>bul<< Tom bought a present for his son.	Том купи подарък за сина му.
>>bul<< Tom broke up with his girlfriend.	Том скъса с приятелката си.
>>bul<< Tom can handle French quite well.	Том се справя с френския доста добре.
>>bul<< Tom can speak French and English.	Том може да говори на френски и английски.
>>bul<< Tom comes and goes as he pleases.	Том идва и си тръгва, когато си иска.
>>bul<< Tom comes and goes as he pleases.	Том идва и си тръгва, когато му скимне.
>>bul<< Tom didn't try to hide the truth.	Том не се опита да скрие истината.
>>bul<< Tom doesn't believe in evolution.	Том не вярва в еволюцията.
>>bul<< Tom doesn't like to speak French.	Том не обича да говори на френски.
>>bul<< Tom grows tomatoes in his garden.	Том отглежда домати в градината си.
>>bul<< Tom has a good command of French.	Том владее добре френския.
>>bul<< Tom has been following me around.	Том ходи подире ми навсякъде напоследък.
>>bul<< Tom helped Mary move the dresser.	Том помогна на Мери да премести шкафа.
>>bul<< Tom is aware of his shortcomings.	Том е наясно какви са неговите недостатъци.
>>bul<< Tom is very interested in French.	Том силно се интересува от френския.
>>bul<< Tom jumped across the mud puddle.	Том прескочи калната локва.
>>bul<< Tom just wanted to be neighborly.	Том просто искаше да се представи като добър съсед.
>>bul<< Tom knows how to make Mary happy.	Том знае как да направи Мери щастлива.
>>bul<< Tom knows what's really going on.	Том знае какво всъщност се случва.
>>bul<< Tom majored in French in college.	Том е завършил френски в колежа.
>>bul<< Tom majored in French in college.	Том е специализирал френски в колежа.
>>bul<< Tom needed to jump start his car.	На Том му се наложи да си запали колата с кабели.
>>bul<< Tom noticed that Mary was asleep.	Том забеляза, че Мери беше заспала.
>>bul<< Tom opened his eyes and saw Mary.	Том отвори очи и видя Мери.
>>bul<< Tom put his racket on the ground.	Том остави ракетата си на земята.
>>bul<< Tom put the racket on the ground.	Том остави ракетата на земята.
>>bul<< Tom signed up for a French class.	Том се записа на курс по френски.
>>bul<< Tom speaks French as well as you.	Том говори френски толкова добре, колкото и ти.
>>bul<< Tom speaks French better than me.	Том говори френски по-добре от мене.
>>bul<< Tom speaks French to some extent.	Том говори френски до известна степен.
>>bul<< Tom still lives with his parents.	Том все още живее с родителите си.
>>bul<< Tom told Mary that she was wrong.	Том каза на Мери, че тя греши.
>>bul<< Tom told me that he spoke French.	Том ми каза, че говори френски.
>>bul<< Tom took off his shoes and socks.	Том си свали обувките и чорапите.
>>bul<< Tom usually swims in the morning.	Том обикновено плува сутрин.
>>bul<< Tom was welcome wherever he went.	Том навсякъде е добре дошъл.
>>bul<< Tom won't be helping us tomorrow.	Том няма да ни помага утре.
>>bul<< Tom won't be staying much longer.	Том няма да остане още много.
>>bul<< Tom's French is better than mine.	Френският на Том е по-добър от моя.
>>bul<< Traffic is a major urban problem.	Транспортът е основен проблем в градовете.
>>bul<< Traffic lights work all the time.	Светофарите работят през цялото време.
>>bul<< Two for the lunch buffet, please.	Две места за обедния бюфет, ако обичате.
>>bul<< Wait until your father gets home.	Изчакай, докато баща ти се прибере.
>>bul<< Wait until your father gets home.	Изчакайте, докато баща ви се прибере.
>>bul<< We don't know anything about Tom.	Не знаем нищо за Том.
>>bul<< We go out together every weekend.	Излизаме заедно всеки уикенд.
>>bul<< We grow vegetables in our garden.	Ние гледаме зеленчуци в градината.
>>bul<< We grow vegetables in our garden.	Гледаме зеленчуци в градината си.
>>bul<< We made every effort to help him.	Направихме всичко, което можехме, за да му помогнем.
>>bul<< We saw a funny movie last Sunday.	Миналата неделя гледахме един смешен филм.
>>bul<< We used to talk about our future.	Преди говорехме за нашето бъдеще.
>>bul<< We won't be able to eat all this.	Ние няма да смогнем да изядем всичко това.
>>bul<< We won't be able to eat all this.	Няма да успеем да изядем всичко това.
>>bul<< We worked hard to make ends meet.	Работихме здраво, за да вържем двата края.
>>bul<< We're moving to Boston next week.	Следващата седмица се местим в Бостън.
>>bul<< We're moving to Boston next week.	Местим се в Бостън следващата седмица.
>>bul<< We're moving to Boston next week.	Идната седмица се местим в Бостън.
>>bul<< We've walked all around the lake.	Разходихме се навсякъде покрай езерото.
>>bul<< What did you do with your camera?	Какво направи с фотоапарата си?
>>bul<< What did you do with your camera?	Какво направи с твоя фотоапарат?
>>bul<< What else do you want me to read?	Какво друго искаш да прочета?
>>bul<< What else do you want me to read?	Какво друго искаш да чета?
>>bul<< What season do you like the best?	Кой сезон ти е най-любим?
>>bul<< What's your favorite dried fruit?	Кои ядки обичаш най-много?
>>bul<< When did you start writing songs?	Кога започна да пишеш песни?
>>bul<< When do I have to return the car?	Кога трябва да върна колата?
>>bul<< When do you usually get off work?	Обикновено кога свършваш работа?
>>bul<< When do you usually get off work?	Обикновено кога свършвате работа?
>>bul<< Which beach do you like to go to?	На кой плаж обичаш да ходиш?
>>bul<< Which beach do you like to go to?	Ти на кой плаж обичаш да ходиш?
>>bul<< Which beach do you like to go to?	Вие на кой плаж обичате да ходите?
>>bul<< Which beach do you like to go to?	На кой плаж обичате да ходите?
>>bul<< Who did you go to the beach with?	С кого ходиш на плажа?
>>bul<< Who did you go to the beach with?	С кого ходите на плажа?
>>bul<< Who did you go to the beach with?	С кой ходиш на плажа?
>>bul<< Who did you go to the beach with?	С кой ходите на плажа?
>>bul<< Why can Tom speak French so well?	Защо Том говори френски толкова добре?
>>bul<< Why did Tom want to learn French?	Защо Том искаше да научи френски?
>>bul<< Why did Tom want to learn French?	Защо Том искаше да учи френски?
>>bul<< Why didn't you read the magazine?	Защо не прочете списанието?
>>bul<< Why don't you take off your coat?	Защо не си свалиш палтото?
>>bul<< Why don't you take off your coat?	Защо не си свалите палтото?
>>bul<< Why don't you take your coat off?	Защо не си свалиш палтото?
>>bul<< Why don't you take your coat off?	Защо не си свалите палтото?
>>bul<< Why don't you want to wear a tie?	Защо не искате да носите вратовръзка?
>>bul<< Why don't you want to wear a tie?	Защо не искаш да носиш вратовръзка?
>>bul<< Will you buy for me some saffron?	Ще ми купите ли шафран?
>>bul<< Would you please take my picture?	Ще ми направите ли снимка?
>>bul<< You can understand French, right?	Разбираш френски, нали?
>>bul<< You must not jump to conclusions.	Не трябва да правите прибързани изводи.
>>bul<< You should take the number 5 bus.	Трябва да вземете автобус номер пет.
>>bul<< You were always a little strange.	Винаги сте били малко странни.
>>bul<< You were always a little strange.	Вие винаги сте били малко странни.
>>bul<< You were always a little strange.	Винаги си бил малко странен.
>>bul<< You were always a little strange.	Ти винаги си била малко странна.
>>bul<< You were always a little strange.	Винаги си била малко странна.
>>bul<< You were always a little strange.	Ти винаги си бил малко странен.
>>bul<< You were always a little strange.	Вие винаги сте бил малко странен.
>>bul<< You were always a little strange.	Винаги сте била малко странна.
>>bul<< You're in better shape than I am.	В по-добра форма си от мен.
>>bul<< You're in better shape than I am.	Ти си в по-добра форма от мене.
>>bul<< You're the best dad in the world.	Ти си най-добрият татко на този свят.
>>bul<< Your bicycle is better than mine.	Твоето колело е по-хубаво от моето.
>>bul<< Your suggestion seems reasonable.	Предложението ти изглежда разумно.
>>bul<< Your suggestion seems reasonable.	Вашето предложение изглежда разумно.
>>bul<< A friend sent the fruit as a gift.	Един приятел изпрати плода като подарък.
>>bul<< Actually, I'm not sure who Tom is.	Всъщност аз не съм сигурен кой е Том.
>>bul<< All of our meetings are in French.	Всичките ни срещи се провеждат на френски.
>>bul<< Allow me to show you to your room.	Нека Ви заведа до Вашата стая.
>>bul<< Are there many clubs in your city?	Много ли са клубовете в твоя град?
>>bul<< Are you going to eat that cupcake?	Ще го ядеш ли това кексче?
>>bul<< Are you going to eat that cupcake?	Ще ядеш ли това кексче?
>>bul<< Are you going to the tennis court?	На тенис корта ли отиваш?
>>bul<< Can I ask you a personal question?	Мога ли да ви задам един личен въпрос?
>>bul<< Change trains at the next station.	Сменям влака на другата гара.
>>bul<< Compare your translation with his.	Сравни си превода с неговия.
>>bul<< Complaining won't change anything.	Оплакванията няма да променят нищо.
>>bul<< Could I have these clothes ironed?	Може ли да ми изгладите тези дрехи?
>>bul<< Could I see your driver's license?	Може ли да видя шофьорската Ви книжка?
>>bul<< Could you call me tonight, please?	Ще ми се обадиш ли довечера?
>>bul<< Could you recommend another hotel?	Можеш ли да препоръчаш друг хотел?
>>bul<< Did you actually see the accident?	Наистина ли видя инцидента?
>>bul<< Do I really have to give a speech?	Трябва ли наистина да държа реч?
>>bul<< Do you enjoy walking on the beach?	Обичаш ли да се разхождаш по плажа?
>>bul<< Do you enjoy walking on the beach?	Обичате ли да се разхождате по плажа?
>>bul<< Do you have any French newspapers?	Имаш ли някакви френски вестници?
>>bul<< Do you have any French newspapers?	Имате ли някакви френски вестници?
>>bul<< Do you have your driver's license?	Носиш ли шофьорската книжка?
>>bul<< Do you know why this is happening?	Наясно ли си защо се случа това?
>>bul<< Do you know why this is happening?	Знаеш ли защо се случва това?
>>bul<< Do you really not like those guys?	Наистина ли не харесваш тези момчета?
>>bul<< Do you subscribe to any magazines?	Абониран ли си за някакви списания?
>>bul<< Does Tom know where Mary was born?	Том знае ли къде е родена Мери?
>>bul<< Does that price include breakfast?	Цената включва ли закуска?
>>bul<< Don't believe everything you hear.	Не вярвай на всичко, което чуеш.
>>bul<< Don't expect everyone to like you.	Не очаквай всеки да те харесва.
>>bul<< Don't say anything about anything.	Не казвай нищо.
>>bul<< Every time Tom shows up, it rains.	Всеки път, когато се появи Том, вали дъжд.
>>bul<< Everything went according to plan.	Всичко мина по план.
>>bul<< Everything went according to plan.	Всичко протече според плана.
>>bul<< Excuse me, how much do these cost?	Извинете, колко струват тези?
>>bul<< Have you seen my glasses anywhere?	Виждал ли си ми очилата някъде?
>>bul<< He brought back several souvenirs.	Той донесе няколко сувенира.
>>bul<< He earns three times more than me.	Той изкарва три пъти повече от мене.
>>bul<< He gave me authority to fire them.	Той ми даде властта да ги уволня.
>>bul<< He gave me whatever help I needed.	Тя ми помагаше за всичко, за което се нуждаех от помощ.
>>bul<< He gave the same answer as before.	Той ми даде същия отговор като преди.
>>bul<< He got hurt in the game yesterday.	Той пострада в мача вчера.
>>bul<< He is the best player on our team.	Той е най-добрият играч в нашия отбор.
>>bul<< He looked me straight in the eyes.	Той ме погледна право в очите.
>>bul<< He managed to make both ends meet.	Той успяваше да свърже двата края.
>>bul<< He put the skis on top of the car.	Той сложи ските върху покрива на колата.
>>bul<< He resented being called a coward.	Той се възмути,че е наричан глупак.
>>bul<< He returned from abroad yesterday.	Той се завърна от чужбина вчера.
>>bul<< He went out in spite of the storm.	Той излезе въпреки бурята.
>>bul<< Here's some medicine for diarrhea.	Ето лекарство за диарията.
>>bul<< Here's some medicine for diarrhea.	Ето лекарство срещу диарията.
>>bul<< How come you speak French so well?	Защо френският ти е толкова добър?
>>bul<< How much does your daughter weigh?	Колко тежи дъщеря ти?
>>bul<< I almost forgot to do my homework.	За малко да забравя да си направя домашното.
>>bul<< I am glad that you have succeeded.	Радвам се, че си успял.
>>bul<< I believe in exercising regularly.	Вярвам в редовните упражнения.
>>bul<< I couldn't make myself understood.	Не успях да ги накарам да ме разберат.
>>bul<< I did something I regretted doing.	Направих нещо, за което съжалявам.
>>bul<< I didn't realize what I was doing.	Не осъзнах, че греша.
>>bul<< I don't know many words in French.	Не знам много думи на френски.
>>bul<< I don't want to give up right now.	Не искам да се отказвам точно сега.
>>bul<< I explained the procedures to him.	Обясних му процедурата.
>>bul<< I feel ill at ease in her company.	В нейно присъствие ми е неловко.
>>bul<< I feel like speaking French today.	Днес ми се говори на френски.
>>bul<< I grew up speaking French at home.	Израснах, говорейки френски у дома.
>>bul<< I had a dreadful dream last night.	Тая нощ сънувах ужасен сън.
>>bul<< I had a little fever this morning.	Тази сутрин имах малко температура.
>>bul<< I have a history of liver trouble.	Винаги съм имал проблеми с черния дроб.
>>bul<< I have a right to my private life.	Имам право на личен живот.
>>bul<< I have another assignment for you.	Имам друга задача за тебе.
>>bul<< I have no idea what that could be.	Нямам идея какво може да е това.
>>bul<< I have no idea why Tom isn't here.	Нямам представа защо Том не е тук.
>>bul<< I have no intention of doing that.	Нямам намерение да го правя.
>>bul<< I have no intention of doing that.	Нямам намерение да правя нищо такова.
>>bul<< I have no memory of what happened.	Не помня какво се случи.
>>bul<< I have other matters to attend to.	Има други неща, за които трябва да се погрижа.
>>bul<< I have other matters to deal with.	Имам други неща, с които да се занимавам.
>>bul<< I have socks, but I have no shoes.	Имам чорапи, но нямам обувки.
>>bul<< I have the information you wanted.	Имам информацията, която искаше.
>>bul<< I have the worst job in the world.	Имам най-гадната работа на тоя свят.
>>bul<< I have to find out who killed Tom.	Трябва да разбера кой уби Том.
>>bul<< I have to find out who killed Tom.	Трябва да разбера кой е убил Том.
>>bul<< I have to go meet Tom at the mall.	С Том имаме среща в мола.
>>bul<< I have to tell Tom and the others.	Трябва да кажа на Том и останалите.
>>bul<< I haven't reached any conclusions.	Не стигнах до никакво заключение.
>>bul<< I haven't really thought about it.	Не съм мислил сериозно за това.
>>bul<< I haven't really thought about it.	Не съм мислила сериозно за това.
>>bul<< I haven't seen Tom in over a week.	Не съм виждал Том повече от седмица.
>>bul<< I haven't seen Tom in over a week.	Не съм виждала Том повече от седмица.
>>bul<< I haven't seen you in here before.	Не съм те виждал тук преди.
>>bul<< I haven't seen you in here before.	Не съм те виждала тук преди.
>>bul<< I haven't seen you in three years.	Не съм те виждал от три години.
>>bul<< I haven't seen you in three years.	Не съм те виждала от три години.
>>bul<< I haven't seen you in three years.	Не съм Ви виждал от три години.
>>bul<< I haven't seen you in three years.	Не съм Ви виждала от три години.
>>bul<< I hear you're applying to Harvard.	Разбрах, че ще кандидатстваш в Харвард.
>>bul<< I hear you're very good at French.	Чух, че си много добър с френския.
>>bul<< I hear you're very good at French.	Чух, че си много добра с френския.
>>bul<< I hear you've been looking for me.	Чух, че ме търсиш.
>>bul<< I hear you've been looking for me.	Чух, че си ме търсел.
>>bul<< I heard Tom is filing for divorce.	Чух, че Том ще подава молба за развод.
>>bul<< I heard laughter in the next room.	Чух смях в съседната стая.
>>bul<< I heard someone screaming my name.	Чух някой да крещи името ми.
>>bul<< I look forward to your next visit.	Очаквам с нетърпение следващото ти посещение.
>>bul<< I made it for you. Do you like it?	За тебе го направих. Харесва ли ти?
>>bul<< I made it for you. Do you like it?	За вас го направих. Харесва ли ви?
>>bul<< I persuaded Tom to tell the truth.	Убедих Том да каже истината.
>>bul<< I prefer working to doing nothing.	Предпочтам да работя пред това да не правя нищо.
>>bul<< I really don't know Tom that well.	Наистина не познавам Том толкова добре.
>>bul<< I really don't know Tom that well.	Наитина Том не го познавам толкова добре.
>>bul<< I saved the file on a flash drive.	Запазих файла на флашката.
>>bul<< I shoved my hands into my pockets.	Мушнах си ръцете в джобовете .
>>bul<< I spent twelve hours on the train.	Прекарах дванадесет часа на влака.
>>bul<< I study at a university in Boston.	Аз уча в един университет в Бостън.
>>bul<< I study at a university in Boston.	Уча в един университет в Бостън.
>>bul<< I suggest that you go and see Tom.	Съветвам те да отидеш да намериш Том.
>>bul<< I suggest that you go and see Tom.	Съветвам ви да отидете да намерите Том.
>>bul<< I think I'd like some more coffee.	Мисля, че аз бих искал още кафе.
>>bul<< I think I'd like some more coffee.	Мисля, че искам още кафе.
>>bul<< I think Tom did a really nice job.	Мисля, че Том се справи наистина добре.
>>bul<< I think Tom did the best he could.	Мисля, че Том направи най-доброто, което можеше да направи.
>>bul<< I think Tom wants to come with us.	Мисля, че Том иска да дойде с нас.
>>bul<< I think Tom wants to kill himself.	Мисля, че Том иска да се самоубие.
>>bul<< I think my French isn't very good.	Мисля, че френският ми не е много добър.
>>bul<< I think that Tom is in the garden.	Мисля, че Том е в градината.
>>bul<< I think there's been some mistake.	Мисля, че е станала грешка.
>>bul<< I think we both know why I'm here.	Мисля, че и двамата знаем защо съм тук.
>>bul<< I think we both know why I'm here.	Мисля, че и двете знаем защо съм тук.
>>bul<< I think we can work something out.	Струва ми се, че може да измислим нещо.
>>bul<< I think you made the right choice.	Мисля, че направи правилния избор.
>>bul<< I think you ought to rest a while.	Мисля, че трябва да си починеш за известно време.
>>bul<< I think you owe me an explanation.	Мисля, че ми дължиш обяснение.
>>bul<< I think you should come down here.	Мисля, че трябва да дойдеш тук долу.
>>bul<< I think you should come down here.	Мисля, че трябва да дойдете тук долу.
>>bul<< I think you'd better come with me.	Мисля, че е по-добре да дойдеш с мене.
>>bul<< I think you'd better come with me.	Мисля, че е по-добре да дойдете с мене.
>>bul<< I think you'd better look at this.	Мисля, че трябва да видиш това.
>>bul<< I think you'd better look at this.	Мисля, че трябва да видите това.
>>bul<< I think you're going to need this.	Мисля, че ще имаш нужда от това.
>>bul<< I think you're going to need this.	Мисля, че ще имате нужда от това.
>>bul<< I think you've been here too long.	Мисля, че си бил тук твърде дълго.
>>bul<< I think you've been here too long.	Мисля, че си била тук твърде дълго.
>>bul<< I think you've been here too long.	Мисля, че сте били тук твърде дълго.
>>bul<< I think you've made a big mistake.	Мисля, че направи голяма грешка.
