>>yue<< Fire!	著火啦！
>>yue<< I appreciate your efforts to help me.	我好感激你落力幫我手。
>>yue<< I didn't have breakfast this morning.	我今朝冇食早餐。
>>yue<< I don't have anything to write about.	我冇嘢好寫。
>>yue<< I don't want to buy this kind of car.	我唔想買呢款車。
>>yue<< I feel like I've become someone else.	我覺得好似變咗第二個人咁。
>>yue<< I forgot to tell you my phone number.	我唔記得俾我電話號碼你。
>>yue<< I had my hair cut at a barber's shop.	我去咗髮型屋剪頭髮。
>>yue<< I haven't finished reading this book.	我仲未睇完呢本書。
>>yue<< I knew that Tom was afraid of snakes.	我知阿湯驚蛇。
>>yue<< I love music, particularly classical.	我好鍾意音樂，尤其係古典音樂。
>>yue<< I miss my elementary school teachers.	我好掛住小學啲老師。
>>yue<< I need someone to proofread my essay.	我要搵人校對我篇論文。
>>yue<< I need your advice on how to proceed.	我之後要點，都要請你指教。
>>yue<< I never thought it could be that way.	我諗都冇諗過會噉。
>>yue<< I promised that I would be back soon.	我應承咗佢話我好快就會返嚟。
>>yue<< I remember that man's name very well.	佢個名我記得好清楚。
>>yue<< I see why you don't want to go there.	我明你點解唔想去喇。
>>yue<< I think that Tom has a crush on Mary.	阿湯似係鍾意咗瑪利。
>>yue<< I thought that would be a great idea.	我以為係好主意。
>>yue<< I want to discuss the price with you.	我想同你傾吓個價。
>>yue<< I want to spend all my time with you.	我想啲時間用曬嚟同你一齊。
>>yue<< I was in the hospital for a few days.	我入咗幾日醫院。
>>yue<< I was in the hospital for a few days.	我入咗幾日廠。
>>yue<< I wonder if Tom is telling the truth.	唔知阿Tom係咪講緊真話呢。
>>yue<< I would like to have a cup of coffee.	我想飲杯咖啡。
>>yue<< I'm not drunk. I'm just really tired.	我無醉，好眼睏啫。
>>yue<< I'm not the one who found Tom's keys.	我唔係搵到阿湯鎖匙嘅人。
>>yue<< I'm sorry I couldn't be more helpful.	唔好意思呀，幫你唔到。
>>yue<< I've always treated you with respect.	我一直都好尊重你。
>>yue<< If you need a pen, I'll lend you one.	如果你要筆，我就借支俾你啦。
>>yue<< Imagine that you have a time machine.	如果你有一部時光機⋯⋯
>>yue<< It is essentially a question of time.	佢基本上係時間嘅問題。
>>yue<< Jeans are now in fashion among girls.	呢排啲女仔好興著牛仔褲。
>>yue<< Let's put up the Christmas tree here.	我哋擺棵聖誕樹喺呢到啦。
>>yue<< Let's walk on the beach after dinner.	我哋食完晚飯，不如去海灘散步吖。
>>yue<< May I ask what you're working on now?	請問呢，你而家做緊咩嘢啊？
>>yue<< May I trouble you to shut the window?	可唔可以麻煩你閂咗個窗佢呀？
>>yue<< Men's clothes are on the third floor.	男裝喺三樓。
>>yue<< Most girls think that they're pretty.	好多女仔覺得自己好靚。
>>yue<< My ballpoint pen just ran out of ink.	我支原子筆冇晒墨喇。
>>yue<< My father listens to classical music.	我阿爸聽古典音樂。
>>yue<< My father takes a walk every morning.	我阿爸每朝都會去散步。
>>yue<< On a clear day, you can see Mt. Fuji.	出太陽嗰陣，就見到富士山㗎喇。
>>yue<< Only my mother really understands me.	真正明白我嘅人淨係得我阿媽一個。
>>yue<< She used to play tennis every Sunday.	佢以前逢親禮拜日都會去打網球。
>>yue<< She was beautiful when she was young.	佢後生嗰陣好靚。
>>yue<< That all happened in just three days.	呢一切一切都喺三日之內發生。
>>yue<< The child caught the cat by the tail.	個細路捉住咗隻貓條尾。
>>yue<< The doors on the left side will open.	左邊嘅車門將會打開。
>>yue<< The girl standing over there is Mary.	企喺嗰度嗰個女仔就係 Mary 喇。
>>yue<< The school will provide tents for us.	學校會提供帳篷俾我哋。
>>yue<< There is no water left in the bottle.	個樽入面已經冇晒水喇。
>>yue<< There's nothing more to be done here.	呢度冇嘢做喇喎。
>>yue<< They are likely to agree to our plan.	佢哋好有可能會贊成我哋個計劃。
>>yue<< They have few earthquakes in England.	英國好少地震。
>>yue<< This is the watch I bought yesterday.	呢隻錶我尋日買嘅。
>>yue<< This song reminds me of my childhood.	呢首歌令我諗返起我細個嗰陣啲嘢。
>>yue<< Three more passengers got on the bus.	跟住又有三個人上咗架巴士。
>>yue<< Tom asked me where my car was parked.	阿湯問我架車泊咗喺邊度。
>>yue<< Tom comes here almost every Saturday.	Tom差唔多個個星期六都嚟呢度。
>>yue<< Tom is going to walk home by himself.	阿湯恁住自己行返屋企。
>>yue<< Tom promised he wouldn't tell anyone.	湯姆答應佢唔會周圍同人講
>>yue<< Tom said there's problem with the TV.	阿Tom話部電視機有啲問題。
>>yue<< Tom taught me a lot of useful things.	阿Tom教咗我好多有用嘅嘢。
>>yue<< We chose her a nice birthday present.	我哋揀咗份好靚嘅生日禮物俾佢。
>>yue<< We differ from them in some respects.	我哋有某啲地方同佢哋唔同。
>>yue<< We don't have to talk about this now.	我哋依家唔一定要講呢樣嘢。
>>yue<< We need to find a safe place to hide.	我哋要搵一個安全嘅地方匿埋。
>>yue<< We need to get rid of all this stuff.	我哋要抌晒呢堆嘢佢。
>>yue<< We ran into them at the bus terminal.	我哋喺巴士總站度撞到佢哋。
>>yue<< We'll continue this discussion later.	我哋遲啲再傾啦。
>>yue<< We're leaving early tomorrow morning.	我哋聽朝好早出發。
>>yue<< What do you want to talk to me about?	你想同我傾啲咩呀？
>>yue<< What inspired you to write this song?	你寫呢首歌嘅靈感喺邊到嚟㗎？
>>yue<< What's your favorite Christmas carol?	你最鍾意邊首聖誕歌呀？
>>yue<< Where can I buy a pair of sunglasses?	邊度有得買太陽眼鏡呀？
>>yue<< Where will you be this time tomorrow?	你聽日呢個時間會喺邊度？
>>yue<< While napping, I had a strange dream.	我瞓晏覺嗰陣發咗個怪夢。
>>yue<< Who is the man sitting in the corner?	坐喺角落頭嗰個男人係邊個嚟㗎？
>>yue<< Will you come with me to the concert?	你同唔同我一齊去聽音樂會呀？
>>yue<< Would you like another piece of cake?	你要唔要多嚿蛋糕呀？
>>yue<< You aren't afraid of ghosts, are you?	你唔怕鬼個可？
>>yue<< You have only to sign your name here.	你喺呢度簽個名就得㗎喇。
>>yue<< You shouldn't be so picky about food.	你唔應該咁揀飲擇食。
>>yue<< "Do you like spicy food?" "I love it."	「你鍾唔鍾意食辣㗎？」「超級鍾意。」
>>yue<< "The phone is ringing." "I'll get it."	「電話響喎。」「我聽吖。」
>>yue<< "What happened?" "The car broke down."	「咩事呀？」「架車死咗火。」
>>yue<< Break the chocolate into small pieces.	將塊朱古力整成細塊。
>>yue<< Can I borrow your tennis racket today?	今日可唔可以借你個網球拍嚟用呀？
>>yue<< Do you go to school on foot every day?	你係咪日日都行路返學㗎？
>>yue<< Does it hurt to get your ears pierced?	穿耳痛唔痛㗎？
>>yue<< Everyone was listening very carefully.	個個都好專心噉聽緊。
>>yue<< From now on, I promise to be punctual.	我保證我以後都會準時㗎喇。
>>yue<< He earns more money than he can spend.	佢賺咁多錢，根本都用唔晒。
>>yue<< He gets a haircut three times a month.	佢一個月剪三次頭髮。
>>yue<< Her daughter has a really pretty name.	佢個女個名好靚。
>>yue<< His car broke down on the way to work.	佢揸揸吓車返工，架車就突然間死咗火。
>>yue<< How long have you been away from home?	你離開咗屋企幾耐呀？
>>yue<< How many Christmas cards did you send?	你寄咗幾多張聖誕卡俾人呀？
>>yue<< How many apples do you want me to buy?	你想我買幾多個蘋果呀？
>>yue<< How many books are there on the table?	張枱上面有幾多本書呀？
>>yue<< How many cats are there in this house?	呢間屋入面有幾多隻貓呀？
>>yue<< How many hours did you work this week?	你今個禮拜返咗幾多個鐘呀？
>>yue<< How many people are likely to show up?	有幾多人應該會出現㗎？
>>yue<< I can't come up with a plan right now.	我依家諗唔到個計劃呀。
>>yue<< I can't come up with a plan right now.	我依家諗唔到方法。
>>yue<< I didn't recognize anyone in the room.	間房入面啲人我一個都唔認得。
>>yue<< I do not know when she will come back.	唔知渠幾時返來喎。
>>yue<< I don't want to talk to Tom right now.	我而家唔想同阿Tom講嘢。
>>yue<< I feel uneasy in my father's presence.	我阿爸喺度嗰陣，我就會周身唔自在。
>>yue<< I give you plenty of money each month.	我每個月俾好多錢你。
>>yue<< I had completely forgotten about that.	我完全冇咗件事添。
>>yue<< I have a friend who cuts his own hair.	我有個朋友會自己幫自己剪頭髮。
>>yue<< I have something I want to say to you.	我有啲嘢想同你講。
>>yue<< I hope that I made the right decision.	希望我揀啱啦！
>>yue<< I know how to sing a few French songs.	我識唱少少法文歌。
>>yue<< I know you're going to love this book.	你一定會鍾意呢本書嘅。
>>yue<< I prefer traveling by train to flying.	我鍾意坐火車多過搭飛機。
>>yue<< I thought I told you to cut your hair.	我唔係叫咗你去剪頭髮嘅咩？
>>yue<< I want to help you with your homework.	我想幫吓你啲功課。
>>yue<< I wish none of this had ever happened.	如果呢一切都冇發生過就好喇。
>>yue<< I'll give you a day to think about it.	我俾一日時間你考慮。
>>yue<< If that ever happens, I'll eat my hat.	如果真係發生啲咁嘅事，我就切個頭落嚟俾你當凳坐。
>>yue<< In Japan, it's very hot in the summer.	日本夏天好熱。
>>yue<< Is that why you asked me to come here?	你叫我嚟就係因為咁呀？
>>yue<< Is the movie theater near the station?	間戲院近唔近車站㗎？
>>yue<< It is said that truth always triumphs.	有人話真理必勝。
>>yue<< Last night, he studied all night long.	佢尋日溫咗成晚書。
>>yue<< Look at that building. Is it a temple?	睇吓嗰座建築物。係咪廟嚟㗎？
>>yue<< May I have the menu and the wine list?	麻煩你俾個餐牌同酒單我吖唔該。
>>yue<< Maybe we can stay a little bit longer.	我等留耐啲都得啩。
>>yue<< My boy can't do addition properly yet.	我個仔仲未識計加數。
>>yue<< My mother takes a nap every afternoon.	我阿媽每日晏晝都會瞓晏覺。
>>yue<< No one believes what Tom says anymore.	冇人會再信阿Tom講嘅嘢。
>>yue<< No two words are identical in meaning.	每一個字嘅意思都係獨特嘅。
>>yue<< Nothing is more important than health.	無咩嘢重要得過健康。
>>yue<< Politicians are good at raising money.	啲政客好識賺錢。
>>yue<< She gave the children two apples each.	佢俾啲細路每人兩個蘋果。
>>yue<< She plays piano as well as the guitar.	佢除咗識彈琴，仲識彈結他添。
>>yue<< She poured boiling water into the cup.	佢倒咗啲滾水落個杯度。
>>yue<< Sorry, I mistook you for someone else.	對唔住，我認錯人。
>>yue<< That dress seems to be very expensive.	嗰條裙睇落好似好貴噉。
>>yue<< The accident almost cost him his life.	渠嗰次差啲無咗條命。
>>yue<< The boy standing over there is my son.	企喺嗰度嗰個男仔係我個仔嚟㗎。
>>yue<< The boy went to bed with his socks on.	個男仔連襪都未除就走咗去瞓覺。
>>yue<< The child missed his mother very much.	個細路好掛住佢阿媽。
>>yue<< The conference is to be held in Tokyo.	會議會喺東京舉行。
>>yue<< The wet vase left a mark on the table.	個花樽喺張枱度留低咗啲水跡。
>>yue<< Their equipment is extremely advanced.	佢哋嘅設備非常先進。
>>yue<< There are several forms of government.	政府有幾種形態。
>>yue<< There must be a better way to do this.	應該有個好啲嘅做法嘅。
>>yue<< There's no use crying over spilt milk.	喊都無謂啦。
>>yue<< They are very interested in astronomy.	佢哋對天文學好有興趣。
>>yue<< They say he is the best tennis player.	啲人話佢係最勁嘅網球手。
>>yue<< They went into the woods for a picnic.	佢哋去咗森林野餐。
>>yue<< This is the pen that I lost yesterday.	呢支就係我尋日整唔見嗰支筆喇。
>>yue<< This rule doesn't apply to every case.	呢條規則唔係幾時都啱用㗎。
>>yue<< Thomas Edison invented the light bulb.	愛迪生發明咗電燈膽。
>>yue<< Tom looks like someone I used to know.	阿湯個樣好似一個我曾經識得嘅人。
>>yue<< We live in the vicinity of the school.	我哋喺間學校附近住。
>>yue<< We'll take your feelings into account.	我哋會考慮到你嘅情感。
>>yue<< We're trying a new approach this year.	我等今年試下新方法。
>>yue<< What time did you go to bed yesterday?	你尋晚幾點瞓呀？
>>yue<< When Dad came home, I was watching TV.	阿爸返到屋企嗰陣，我喺度睇緊電視。
>>yue<< Why do some people not like Christmas?	點解有啲人會唔鍾意聖誕節嘅？
>>yue<< Would you mind turning down the radio?	可唔可以較細聲啲部收音機呀？
>>yue<< You can stay here till the snow stops.	你可以等啲雪停咗先走。
>>yue<< You can't teach an old dog new tricks.	老狗唔可以教新招。
>>yue<< You know what happens next, don't you?	你知等陣會點㗎啦，係咪啊？
>>yue<< You may go cycling if it doesn't rain.	如果唔落雨嘅話，你可以去踩單車。
>>yue<< You never let me do what I want to do.	你永遠都唔俾我做我想做嘅嘢。
>>yue<< You should learn to restrain yourself.	你應該學吓控制自己嘅情緒。
>>yue<< "Will he come?" "No, I don't think so."	「佢會唔會嚟㗎？」「我諗唔會喇。」
>>yue<< All my friends like playing videogames.	我班朋友全部都鍾意打機。
>>yue<< Are there any movie theaters near here?	呢頭有無戲院㗎？
>>yue<< Are you coming home for dinner tonight?	你今晚返唔返嚟食㗎？
>>yue<< Can I speak to you for a moment please?	可唔可以同你講幾句？
>>yue<< Can I speak to you for a moment please?	可唔可以同你講兩句？
>>yue<< Can you print out this document for me?	可唔可以幫我印呢份文件出嚟呀？
>>yue<< Could you please speak a little slower?	你可唔可以講慢少少？
>>yue<< December is the last month of the year.	十二月係一年嘅最後一個月。
>>yue<< Did you see a brown wallet around here?	你有冇喺附近見過一個啡色銀包？
>>yue<< Do you know how to eat with chopsticks?	你識唔識用筷子㗎？
>>yue<< Don't judge a person by his appearance.	唔好以貌取人。
>>yue<< Eating too much is bad for your health.	食太多嘢對身體唔好㗎。
>>yue<< Get rid of that heap of old newspapers.	抌咗疊舊報紙佢啦。
>>yue<< Have you ever gone to see a horse race?	你有冇去睇過跑馬？
>>yue<< He caused his parents a lot of anxiety.	佢搞到阿爸阿媽好擔心。
>>yue<< He doesn't know how to play the guitar.	佢唔識彈結他。
>>yue<< He would be very glad to hear the news.	佢聽到呢個消息，實會開心到彈起。
>>yue<< He's a professor of biology at Harvard.	佢係哈佛大學嘅生物學教授。
>>yue<< How can I afford such an expensive car?	架車咁貴，我點買得起呀？
>>yue<< I am certain that he will quit his job.	我肯定佢會辭咗份工。
>>yue<< I asked her to call me at five o'clock.	我叫佢五點打電話俾我。
>>yue<< I can't see anything with my right eye.	我隻右眼咩都睇唔到。
>>yue<< I couldn't find what I was looking for.	我搵唔到我想搵嘅嘢。
>>yue<< I don't think Tom is telling the truth.	我覺得阿Tom喺到講緊大話。
>>yue<< I feel that I understand your feelings.	你嘅心情我諗我明白嘅。
>>yue<< I get bored quickly in everything I do.	我做咩都係三分鐘熱度。
>>yue<< I know it was you who broke the window.	我知係你打爛個窗嘅。
>>yue<< I like grapes, but I can't eat so many.	我係鍾意食提子，不過咁多就真係食唔落。
>>yue<< I looked up the words in my dictionary.	我攞我本字典嚟查咗嗰幾隻字。
>>yue<< I still haven't learned to drive a car.	我仲未學識揸車。
>>yue<< I think it'd be better if you lay down.	我諗你瞓低會好啲。
>>yue<< I think watching TV is a waste of time.	我覺得睇電視好嘥時間。
>>yue<< I thought Tom was going to be punished.	我咗恁住阿湯會畀人罰添。
>>yue<< I thought we could talk about anything.	我仲以為我哋乜都講得添。
>>yue<< I was sure I had never seen her before.	我肯定我冇見過佢。
>>yue<< I wonder if I should answer his letter.	我應唔應該回信俾佢呢？
>>yue<< I'll sell it as soon as I find a buyer.	我一搵到人買就會賣咗佢。
>>yue<< I'm looking for books on Roman history.	我喺度搵緊啲講古羅馬歷史嘅書。
>>yue<< I'm not sure you have much of a choice.	我諗其實你都冇得揀㗎喇。
>>yue<< I'm the person you've been looking for.	我就係你要捃嘅人。
>>yue<< If you don't leave now, you'll be late.	你再唔走就遲到㗎喇。
>>yue<< It is important for him to get the job.	嗰份工對佢嚟講好重要。
>>yue<< Let's not quibble over trivial matters.	我哋唔好為埋啲無謂嘢嗌交啦。
>>yue<< Make sure that the dog does not escape.	唔好俾隻狗走甩。
>>yue<< Mary rested her head on Tom's shoulder.	Mary挨咗落阿Tom膊頭到。
>>yue<< My father does not always walk to work.	我阿爸唔係日日都行路返工㗎。
>>yue<< Now it's time for the weather forecast.	宜家係天氣報告嘅時間。
>>yue<< Only a handful of people know the fact.	知道個真相嘅人淨係得幾個。
>>yue<< Please play something by Chopin for me.	彈首蕭邦作嘅歌畀我聽啦！
>>yue<< She is particular about what she wears.	佢著衫好講究。
>>yue<< She told me his name after he had left.	佢走咗之後，佢就話咗佢個名俾我聽。
>>yue<< Sooner or later, the truth'll come out.	遲早會直相大白。
>>yue<< Stop complaining and do as you're told.	唔好喺度嫌三嫌四，叫你點做就點做。
>>yue<< That's why I told you not to go by car.	所以我咪叫你唔好搭車去囉。
>>yue<< The door was shut, but it was unlocked.	度門係閂咗，但係無鎖到。
>>yue<< The dress I like most is the black one.	我最鍾意嗰條裙係黑色嗰條。
>>yue<< The news finally reached me last night.	尋晚單消息終於傳到我度。
>>yue<< The noise is getting louder and louder.	啲噪音愈嚟愈大聲。
>>yue<< The picture looks better at a distance.	幅畫遠啲睇好啲。
>>yue<< There are a lot of dishes on the table.	張枱上面有好多隻碟。
>>yue<< There are a lot of dishes on the table.	張枱上面有好多碟餸。
>>yue<< There is a beautiful park near my home.	我屋企附近有一個好靚嘅公園。
>>yue<< There's something I'd like to show you.	我有啲嘢想俾你睇呀。
>>yue<< Three children are playing in the park.	有三個細路哥喺公園到玩緊。
>>yue<< Tom knocked on the door to Mary's room.	Tom 敲咗 Mary 房門。
>>yue<< Tom wanted to take a nap before dinner.	阿Tom想喺食晚飯之前瞌一陣。
>>yue<< Tom's great-grandfather was born blind.	Tom嘅太爺一出世就盲㗎喇。
>>yue<< Tom's great-grandfather was born blind.	Tom嘅太公天生係盲嘅。
>>yue<< We have a lot of problems to deal with.	我哋有好多問題要處理。
>>yue<< We've been dating for three months now.	我哋拍咗拖三個月喇。
>>yue<< What country do you most want to visit?	你最想去邊個國家旅行？
>>yue<< What do you usually have for breakfast?	你早餐通常食啲咩㗎？
>>yue<< What is the emergency telephone number?	緊急聯絡電話幾多號呀？
>>yue<< What kind of tattoo do you want to get?	想要咩類型文身啊？
>>yue<< What shall we buy him for his birthday?	我哋買咩俾佢做生日禮物好呀？
>>yue<< What shall we buy him for his birthday?	我哋買咩生日禮物俾佢好呀？
>>yue<< What we're doing now is very dangerous.	我哋而家做緊嘅嘢好危險。
>>yue<< What's that picture inside your locker?	你儲物櫃入面幅相係咩嚟？
>>yue<< Where were you when I needed your help?	我需要你嗰陣你去咗邊？
>>yue<< Who can tell me how a light bulb works?	有冇人可以話我聽電燈膽嘅原理係點㗎？
>>yue<< You haven't told anyone else, have you?	你冇話到俾其他人聽㗎可？
>>yue<< You must be the temporary we asked for.	你一定係我哋揾緊嗰個臨記嘞。
>>yue<< You seem to know a great deal about me.	你好似知道好多關於我嘅嘢噉喎。
>>yue<< You should eat something before you go.	你應該食啲嘢先走。
>>yue<< You should sleep for eight hours a day.	你應該每日瞓八粒鐘。
>>yue<< You should think about your retirement.	你應該諗吓你退休。
>>yue<< You were asleep by the time I got home.	我返到屋企嗰陣你已經瞓著咗喇。
>>yue<< A rabbit has long ears and a short tail.	兔仔對耳好長、條尾好短。
>>yue<< As soon as I got home, it began to rain.	我一返到屋企就開始落雨喇。
>>yue<< Can I see you in my office for a minute?	可唔可以嚟我辦公室講兩句呀？
>>yue<< Can you please tell me what's happening?	求下你話我知而家發生咩事啦！
>>yue<< Can you recommend any vegetarian dishes?	可唔可以介紹幾味齋菜呀？
>>yue<< Can you write a letter in French for me?	幫我用法文寫封信得唔得啊？
>>yue<< China is twenty times as large as Japan.	中國有日本二十倍咁大。
>>yue<< China is twenty times bigger than Japan.	中國大過日本二十倍。
>>yue<< Could someone please explain this to me?	有冇人可以解釋俾我聽呀？
>>yue<< Did you practice the piano this morning?	你今朝有冇練琴呀？
>>yue<< Do you have any grounds for thinking so?	你噉嘅諗法有冇根據㗎？
>>yue<< Do you have time the day after tomorrow?	你後日得唔得閒呀？
>>yue<< Do you know where the police station is?	你知唔知差館喺邊呀？
>>yue<< Give this ticket to whoever comes first.	邊個第一個嚟，就俾呢張飛佢。
>>yue<< Have you ever been to a foreign country?	你有無去過外國呀？
>>yue<< Have you finished reading the newspaper?	你睇完份報紙未呀？
>>yue<< He doesn't want me to go, but I mean to.	佢唔想我去，但係我諗住去。
>>yue<< He got mad at me for calling him Shorty.	我叫佢做「矮仔」，佢就嬲到紮紮跳。
>>yue<< He is the last man to break his promise.	佢絕對唔係嗰種下巴輕輕嘅人。
>>yue<< He promised to return and yet he didn't.	佢應承咗話會返嚟，但係都係冇返嚟。
>>yue<< He stuffed his laundry into a large bag.	佢將佢啲衫塞咗落一個大袋入面。
>>yue<< He was standing at the side of the road.	佢企喺路邊。
>>yue<< I actually don't know anything about it.	其實呢樣嘢我乜嘢都唔知㗎。
>>yue<< I am not sure how to pronounce the word.	我唔係好肯定呢個字應該點讀。
>>yue<< I could not convince him of his mistake.	我講極佢都唔信佢做錯咗。
>>yue<< I don't know how to pronounce this word.	我唔識讀呢個字。
>>yue<< I don't know if I'll have time to do it.	我唔知我有無時間搞呢件事。
>>yue<< I don't know whether to cry or to laugh.	我真係唔知笑好定喊好。
>>yue<< I had trouble falling asleep last night.	我尋晚瞓唔著。
>>yue<< I like white roses better than red ones.	我鍾意白玫瑰多過紅玫瑰。
>>yue<< I miss my elementary teachers very much.	我好掛住小學啲老師。
>>yue<< I think we've bought everything we need.	我諗我哋已經買晒我哋要嘅嘢喇。
>>yue<< I'll start working here on October 20th.	我十月二十號會開始喺到返工。
>>yue<< I'll teach you how to do that on Monday.	我星期一教你吖。
>>yue<< I'm not stupid enough to lend him money.	我未蠢到借錢俾佢。
>>yue<< I'm not stupid enough to lend him money.	我又未蠢到要借錢畀渠。
>>yue<< I'm sorry I opened your mail by mistake.	唔好意思呀，我唔小心拆咗你封信。
>>yue<< I'm sorry, but there's nothing I can do.	對唔住呀，但係我都冇嘢可以做到。
>>yue<< I'm sorry, could you repeat that please?	唔好意思，你可唔可以講多次呀？
>>yue<< I've been looking for a job a long time.	我搵咗好耐工喇。
>>yue<< Ice turns back into water when it melts.	冰溶嗰陣，就會變返做水。
>>yue<< If I had money, I'd travel all the time.	有錢嘅話，我會成日去旅行。
>>yue<< Is physical education a required course?	體育係咪必修㗎？
>>yue<< It is not easy to get rid of bad habits.	壞習慣唔係咁易戒㗎。
>>yue<< It is not easy to get rid of bad habits.	壞習慣好難戒。
>>yue<< It isn't easy to get rid of a bad habit.	壞習慣好難改。
>>yue<< It was obvious that they had told a lie.	佢哋擺到明講咗大話。
>>yue<< It's not easy to get rid of a bad habit.	壞習慣好難改。
>>yue<< Let's leave the decision to our teacher.	我哋都係等老師話事啦。
>>yue<< My mother died shortly after I was born.	我出世無耐，阿媽就過咗身。
>>yue<< Pianos are quite expensive, aren't they?	鋼琴都幾貴吓㗎喎，係咪呀？
>>yue<< Please write about your real experience.	請你寫低你嘅真實經驗。
>>yue<< She loves watching tennis matches on TV.	佢好鍾意喺電視度睇網球比賽。
>>yue<< She may have to quit her job next month.	佢下個月可能要辭佢份工佢。
>>yue<< She put salt into her coffee by mistake.	佢唔小心落咗啲鹽落佢杯咖啡度。
>>yue<< She raised her hand for the bus to stop.	佢舉高咗隻手嚟截架巴士。
>>yue<< She'll come even if you tell her not to.	你就算叫佢唔嚟佢都照嚟㗎啦。
>>yue<< Short skirts are already out of fashion.	而家已經唔興著短裙喇。
>>yue<< Since I was sick, I didn't go to school.	我病咗，所以冇返到學。
>>yue<< Solar power is environmentally friendly.	太陽能好環保。
>>yue<< Some people say true love doesn't exist.	有啲人話真愛係唔存在嘅。
>>yue<< Some people say true love doesn't exist.	有啲人話世界上係冇真愛嘅。
>>yue<< Somebody has been sleeping on this sofa.	有人喺呢張梳化度瞓過。
>>yue<< Someone stepped on my foot on the train.	我喺火車到俾人踩咗一腳。
>>yue<< Soon after that, I began to fall asleep.	跟住我好快就瞓著咗喇。
>>yue<< Tell us the story from beginning to end.	唔該你將個故事由頭到尾講晒俾我地聽。
>>yue<< Thanks for all the help you've given me.	多謝你幫咗我咁多忙。
>>yue<< The bridge is approximately a mile long.	條橋大約有一咪長。
>>yue<< The police officer arrested the burglar.	個差人拉咗個賊。
>>yue<< The policeman arrested him for speeding.	佢超速駕駛，俾差佬拉咗。
>>yue<< They say that a large dam will be built.	佢哋話會起座大壩。
>>yue<< To my knowledge, she hasn't married yet.	據我所知，佢應該仲未結婚。
>>yue<< Toast will always land butter-side down.	多士永遠都係搽咗牛油嗰便着地。
>>yue<< Tom didn't know that Mary liked to cook.	阿湯之前唔知瑪利鍾意煮餸。
>>yue<< Tom doesn't smoke as much as he used to.	阿湯無好似以前食咁多煙嘞。
>>yue<< Tom said that he wouldn't swim tomorrow.	阿湯話渠聽日游唔到水。
>>yue<< Try to look at it from my point of view.	試吓從我個角度去諗啦。
>>yue<< Try to look at it from my point of view.	試吓從我個角度去諗吖。
>>yue<< Was it a lie when you said you loved me?	你嗰陣話你愛我係咪呃我㗎？
>>yue<< What do you usually do on Christmas Day?	你聖誕節通常會做啲咩㗎？
>>yue<< What's the largest airport in the world?	世界最大嘅機場喺邊處啊？
>>yue<< When I was a boy, I always got up early.	我細個嗰時差唔多日日都好早起身。
>>yue<< When he finished the work, he went home.	佢搞掂晒啲嘢就返咗屋企。
>>yue<< Would you mind my using this dictionary?	你介唔介意我攞呢本字典去用呀？
>>yue<< Would you mind speaking a little louder?	你介唔介意講大聲少少呀？
>>yue<< You don't have to hide anything from me.	你唔使對我隱瞞啲咩㗎。
>>yue<< You have my permission to meet with him.	我批准你同佢見面。
>>yue<< You look a little young to be a teacher.	你咁後生，唔似做老師喎。
>>yue<< You should talk to the teacher yourself.	你應該自己同老師講。
>>yue<< You'll find it impossible to live there.	嗰度都唔係人住嘅。
>>yue<< Admission is free during Christmas break.	聖誕假期間免費入場。
>>yue<< As a result of the war, many people died.	嗰場仗死咗好多人。
>>yue<< Both those students passed all the tests.	呢兩個學生測驗都係全部合格。
>>yue<< By the way, I have something to tell you.	係喇，我有啲嘢要話你知。
>>yue<< By the way, I have something to tell you.	話時話，我有啲嘢要同你講。
>>yue<< Can you tell me how to fill in this form?	你可唔可以教我填呢份表格呀？
>>yue<< Divide this line into twenty equal parts.	將呢條線分做二十個等分。
>>yue<< Excuse me, would you mind repeating that?	唔好意思，你介唔介意講多次呀?
>>yue<< Give me your word that you won't do that.	應承我你唔會咁做。
>>yue<< Have you ever tried skating on the river?	你有冇試過喺條河度溜冰呀？
>>yue<< Have you finished cleaning your room yet?	你執好你間房未呀？
>>yue<< He drinks a glass of water every morning.	佢朝朝早都會飲一杯水。
>>yue<< He is always giving presents to his wife.	佢成日都送禮物俾老婆。
>>yue<< He looked as if he hadn't eaten for days.	佢望落好似幾日冇食過嘢噉。
>>yue<< He squeezed the toothpaste out of a tube.	佢喺條管度擳咗啲牙膏出嚟。
>>yue<< He wants to be a policeman in the future.	佢第時想當差。
>>yue<< He was disappointed at not being invited.	佢好失望，因為冇人請佢去。
>>yue<< He was disappointed at not being invited.	冇人請佢去，所以佢好失望。
>>yue<< His older brother passed away last month.	佢個阿哥上個月過咗身。
>>yue<< How can I make a telephone call to Japan?	我想問吓點打電話去日本呀？
>>yue<< I assume that you share Tom's sentiments.	我恁你同阿湯深有同感。
>>yue<< I bought these medications for my father.	呢啲藥係買俾我老豆嘅。
>>yue<< I didn't know how to answer his question.	我都唔知點答佢好。
>>yue<< I don't think she takes after her mother.	我覺得佢同佢呀媽都唔係好似。
>>yue<< I failed the exam because I didn't study.	我因為冇溫書，所以考試肥佬咗。
>>yue<< I go to the library at least once a week.	我一個禮拜至少去一次圖書館。
>>yue<< I often played baseball when I was young.	我後生嗰陣成日去打棒球。
>>yue<< I received a letter written one week ago.	我收到一封一個禮拜前寫嘅信。
>>yue<< I remember seeing her once on the street.	我記得我有一次喺街度見過佢。
