>>nno<< Run!	Laup!
>>nno<< It's out of the question.	Det kjem ikkje på tale.
>>nno<< It's time to go home now.	No er det på tide å gå heim.
>>nno<< Let's do that right away.	Me gjer det med det same.
>>nno<< Many roads remain closed.	Mange vegar er framleis stengde.
>>nno<< Mathematics is difficult.	Matematikk er vanskeleg.
>>nno<< Maybe Tom needs a doctor.	Kanskje Tom treng ein dokter.
>>nno<< Maybe Tom went to Boston.	Kanskje Tom fór til Boston.
>>nno<< My father builds bridges.	Far min byggjer bruer.
>>nno<< My favorite drink is tea.	Yndlingsdrikken min er te.
>>nno<< No one wants to admit it.	Ingen vil innrømma det.
>>nno<< Not everybody hugged Tom.	Ikkje alle klemde Tom.
>>nno<< Not everybody hugged Tom.	Ikkje alle gav Tom ein klem.
>>nno<< Not everybody hugged Tom.	Det var ikkje alle som klemde Tom.
>>nno<< Not everybody hugged Tom.	Det var ikkje alle som gav Tom ein klem.
>>nno<< Obey traffic regulations.	Fylg trafikkreglane.
>>nno<< One can always find time.	Ein kan alltids finna tid.
>>nno<< People like us need help.	Folk som oss treng hjelp.
>>nno<< People lived in villages.	Folk budde i landsbyar.
>>nno<< People speak French here.	Folk snakkar fransk her.
>>nno<< Several roads are closed.	Fleire vegar er stengde.
>>nno<< Shut up and let me think.	Hald kjeft og lat meg tenkja.
>>nno<< Shut up and let me think.	Haldt kjeft og lat meg tenkja.
>>nno<< Skip the boring chapters.	Hopp over dei keisame kapitla.
>>nno<< Stay as long as you like.	Bli så lenge du vil.
>>nno<< Stay as long as you like.	Bli so lenge du vil.
>>nno<< Take the children inside.	Ta med barna inn.
>>nno<< That castle is beautiful.	Det slottet er nydeleg.
>>nno<< That wasn't my intention.	Det var ikkje meininga.
>>nno<< That's a historical fact.	Det er eit historisk faktum.
>>nno<< That's entirely possible.	Det er fullt mogleg.
>>nno<< That's why I left Boston.	Det er derfor eg forlét Boston.
>>nno<< That's why I left Boston.	Det er difor eg forét Boston.
>>nno<< The bus driver was drunk.	Bussjåføren var full.
>>nno<< The castle is impressive.	Slottet er imponerande.
>>nno<< The cat caught the mouse.	Katten fanga musa.
>>nno<< The cat chased the mouse.	Katten jaga musa.
>>nno<< The debate is continuing.	Debatten fortset.
>>nno<< The debate will continue.	Debatten blir å fortsetja.
>>nno<< The food's not ready yet.	Maten er ikkje ferdig enno.
>>nno<< The list was handwritten.	Lista var handskriven.
>>nno<< The meeting was canceled.	Møtet vart avlyst.
>>nno<< The meeting was canceled.	Møtet blei avlyst.
>>nno<< The mouse ate the cheese.	Musa åt osten.
>>nno<< The restaurant is closed.	Restauranten er stengd.
>>nno<< The weather's nice today.	Det er fint vêr i dag.
>>nno<< The witch hunt has begun.	Heksejakta er begynt.
>>nno<< The women have umbrellas.	Damene har paraplyar.
>>nno<< There are always debates.	Det er alltid debattar.
>>nno<< There's sand in my shoes.	Eg har sand i skoa.
>>nno<< This castle is beautiful.	Dette slottet er nydeleg.
>>nno<< This is a powerful laser.	Dette er ein kraftig laser.
>>nno<< This is about you and me.	Dette handlar om meg og deg.
>>nno<< Tom adjusted his glasses.	Tom justerte brillene sine.
>>nno<< Tom always speaks French.	Tom snakkar alltid fransk.
>>nno<< Tom barely speaks French.	Tom snakkar så vidt fransk.
>>nno<< Tom barely speaks French.	Tom snakkar so vidt fransk.
>>nno<< Tom came to pick Mary up.	Tom kom for å henta Mary.
>>nno<< Tom certainly was polite.	Tom var sanneleg høfleg.
>>nno<< Tom dismounted the horse.	Tom gjekk av hesten.
>>nno<< Tom got shot by a sniper.	Tom vart skoten av ein skarpskyttar.
>>nno<< Tom got shot by a sniper.	Tom blei skoten av ein skarpskyttar.
>>nno<< Tom grabbed a flashlight.	Tom tok ei lommelykt.
>>nno<< Tom had almost forgotten.	Tom hadde nesten gløymt det.
>>nno<< Tom hardly speaks French.	Tom snakkar so vidt noko fransk.
>>nno<< Tom hardly speaks French.	Tom snakkar så vidt noko fransk.
>>nno<< Tom has gone to the mall.	Tom har gått på kjøpesenteret.
>>nno<< Tom hasn't sung in years.	Tom har ikkje sunge på årevis.
>>nno<< Tom is a normal teenager.	Tom er ein vanleg tenåring.
>>nno<< Tom is afraid to do that.	Tom er redd for å gjera det.
>>nno<< Tom is just wasting time.	Tom kastar berre vekk tida.
>>nno<< Tom is not to be trusted.	Tom er ikkje til å stola på.
>>nno<< Tom is unbelievably rich.	Tom er utruleg rik.
>>nno<< Tom is very hard working.	Tom er veldig hardtarbeidande.
>>nno<< Tom left three hours ago.	Tom fór for tre timar sidan.
>>nno<< Tom needs to lose weight.	Tom må gå ned i vekt.
>>nno<< Tom organized this party.	Tom organiserte denne festen.
>>nno<< Tom picked up the remote.	Tom plukka opp fjernkontrollen.
>>nno<< Tom quit studying French.	Tom slutta å studera fransk.
>>nno<< Tom ran all the way home.	Tom sprang heile vegen heim.
>>nno<< Tom ran all the way home.	Tom laupte heile vegen heim.
>>nno<< Tom scrubbed the bathtub.	Tom skrubba badekaret.
>>nno<< Tom seldom speaks French.	Tom snakkar sjeldan fransk.
>>nno<< Tom speaks broken French.	Tom snakkar gebrokken fransk.
>>nno<< Tom speaks broken French.	Tom talar gebrokken fransk.
>>nno<< Tom speaks fluent French.	Tom snakkar flytande fransk.
>>nno<< Tom speaks fluent French.	Tom talar flytande fransk.
>>nno<< Tom still studies French.	Tom studerer framleis fransk.
>>nno<< Tom still teaches French.	Tom underviser framleis i fransk.
>>nno<< Tom studied music theory.	Tom studerte musikkteori.
>>nno<< Tom told me he felt safe.	Tom sa til meg at han kjende seg trygg.
>>nno<< Tom wants to study music.	Tom vil studera musikk.
>>nno<< Tom was driving me crazy.	Tom gjorde meg galen.
>>nno<< Tom was shot by a sniper.	Tom vart skoten av ein skarpskyttar.
>>nno<< Tom was shot by a sniper.	Tom blei skoten av ein skarpskyttar.
>>nno<< Tom won't come after all.	Tom kjem ikkje likevel.
>>nno<< Unfortunately, it rained.	Dessverre regna det.
>>nno<< Unfortunately, it rained.	Diverre regna det.
>>nno<< Unfortunately, it rained.	Diverre så regna det.
>>nno<< Unfortunately, it rained.	Dessverre så regna det.
>>nno<< Unfortunately, it rained.	Dessverre so regna det.
>>nno<< Unfortunately, it rained.	Diverre so regna det.
>>nno<< We just want to find Tom.	Vi vil berre finna Tom.
>>nno<< We only have a few hours.	Me har berre nokre få timar på oss.
>>nno<< We spoke French together.	Vi snakka fransk i lag.
>>nno<< We study French together.	Vi studerer fransk i lag.
>>nno<< We were just reminiscing.	Dei mimra berre.
>>nno<< What a despicable person!	For ein forakteleg person!
>>nno<< What are you waiting for?	Kva ventar du på?
>>nno<< What is the letter about?	Kva gjeld brevet?
>>nno<< What kind of pie is this?	Kva slags pai er dette?
>>nno<< What time is the meeting?	Kva tid er møtet?
>>nno<< What time is the meeting?	Når er møtet?
>>nno<< When did you decide this?	Når bestemte du dette?
>>nno<< When did you decide this?	Når bestemte de dette?
>>nno<< Where did I put the keys?	Kor la eg nyklane?
>>nno<< Who organized this event?	Kven organiserte denne hendinga?
>>nno<< Who said my name was Tom?	Kven sa at namnet mitt var Tom?
>>nno<< Whose dictionary is this?	Kven si ordbok er det?
>>nno<< Whose flashlight is this?	Kven si lommelykt er dette?
>>nno<< Will this affect tourism?	Blir dette å påverka turisme?
>>nno<< Will this affect tourism?	Kjem dette til å påverka turisme?
>>nno<< You are entirely correct.	Du har heilt rett.
>>nno<< You don't have to answer.	Du treng ikkje å svara.
>>nno<< You speak fluent English.	Du snakkar flytande engelsk.
>>nno<< You speak fluent English.	Du talar flytande engelsk.
>>nno<< A package arrived for you.	Det kom ein pakke til deg.
>>nno<< An elephant never forgets.	Ein elefant gløymer aldri.
>>nno<< And just who might you be?	Og kven er så du?
>>nno<< And just who might you be?	Og kven er så de?
>>nno<< Are video games addictive?	Er dataspel avhengnadsskapande?
>>nno<< Are you trying to hurt me?	Prøver du å skada meg?
>>nno<< Are you trying to hurt me?	Prøver du å såra meg?
>>nno<< Are you trying to hurt me?	Prøver de å såra meg?
>>nno<< Are you trying to hurt me?	Prøver de å skada meg?
>>nno<< Call me when you're ready.	Ring meg når du er klar.
>>nno<< Call me whenever you want.	Ring meg når enn du vil.
>>nno<< Can you understand French?	Skjønar du fransk?
>>nno<< Can you understand French?	Kan du forstå fransk?
>>nno<< Come whenever you want to.	Kom når enn du har lyst.
>>nno<< Come whenever you want to.	Kom akkurat når du vil.
>>nno<< Cookie is under the table.	Cookie er under bordet.
>>nno<< Culture destroys language.	Kultur øydelegg språk.
>>nno<< Did someone say something?	Var det nokon som sa noko?
>>nno<< Did the fire alarm go off?	Gjekk brannalarmen?
>>nno<< Did you get all the money?	Fekk du alle pengane?
>>nno<< Did you practice together?	Øvde dokker i lag?
>>nno<< Did you practice together?	Øvde de i lag?
>>nno<< Did you really believe me?	Trudde du verkeleg på meg?
>>nno<< Did you really believe me?	Trudde du faktisk på meg?
>>nno<< Did you record everything?	Tok du opp alt?
>>nno<< Did you turn on the radio?	Slo du på radioen?
>>nno<< Do you drink beer or wine?	Drikk du øl eller vin?
>>nno<< Do you like pirate movies?	Likar du piratfilmar.
>>nno<< Do you want a little cake?	Har du lyst på litt kake?
>>nno<< Does this store have bags?	Har denne butikken posar?
>>nno<< Dolphins are really smart.	Delfinar er veldig smarte.
>>nno<< Dolphins don't have gills.	Delfinar har ikkje gjeller.
>>nno<< Explain the message to me.	Forklar meldinga for meg.
>>nno<< Explain the message to me.	Forklar bodskapen for meg.
>>nno<< Have I forgotten anything?	Har eg gløymt noko?
>>nno<< He broke the world record.	Han slo verdsrekorden.
>>nno<< He climbed over the fence.	Han klatra over gjerdet.
>>nno<< He didn't find what I hid.	Han fann ikkje det eg gøymde.
>>nno<< He drives an electric car.	Han køyrer elbil.
>>nno<< He drives an electric car.	Han køyrer ein elbil.
>>nno<< He was mumbling something.	Han mumla eit eller anna.
>>nno<< His new record sells well.	Den nye plata hans sel godt.
>>nno<< Horses are useful animals.	Hestar er nyttige dyr.
>>nno<< How could I do that alone?	Korso skulle eg ha klart det åleine?
>>nno<< How could I do that alone?	Korleis skulle eg ha klart det åleine?
>>nno<< How do you pronounce this?	Korleis uttalar du dette?
>>nno<< How do you pronounce this?	Korleis uttalar ein dette?
>>nno<< How many cars do you have?	Kor mange bilar har du?
>>nno<< How many cars do you have?	Kor mange bilar har de?
>>nno<< I am very glad to see you.	Eg er veldig glad for å sjå deg.
>>nno<< I am very glad to see you.	Eg er veldig glad for å sjå dykk.
>>nno<< I can reach the top shelf.	Eg når opp til den øvste hylla.
>>nno<< I can't explain it either.	Eg kan heller ikkje forklåra det.
>>nno<< I can't find the rosemary.	Eg finn ikkje rosmarinen.
>>nno<< I don't know if it's good.	Eg veit ikkje om det er godt.
>>nno<< I don't know if it's good.	Eg veit ikkje om han er god.
>>nno<< I don't know if it's good.	Eg veit ikkje om ho er god.
>>nno<< I don't understand French.	Eg forstår ikkje fransk.
>>nno<< I hope you aren't serious.	Eg håpar ikkje du er seriøs.
>>nno<< I know that it's my fault.	Eg veit at det er min feil.
>>nno<< I know that it's my fault.	Eg veit at det er mi skuld.
>>nno<< I love learning languages.	Eg elskar å læra språk.
>>nno<< I love studying languages.	Eg elskar å læra språk.
>>nno<< I love studying languages.	Eg elskar å studera språk.
>>nno<< I only read the headlines.	Eg les berre overskriftene.
>>nno<< I want to pay off my loan.	Eg vil betala ned lånet mitt.
>>nno<< I was in bed with the flu.	Eg låg til sengs med influensa.
>>nno<< I wrote Tom a long letter.	Eg skreiv eit langt brev til Tom.
>>nno<< I'll go anywhere you want.	Eg dreg kor du vil.
>>nno<< I'll tell Tom we're ready.	Eg skal seia til Tom at vi er klare.
>>nno<< I'll tell Tom we're ready.	Eg skal fortelja Tom at vi er klare.
>>nno<< I'm getting a bit thirsty.	Eg begynner å bli litt tyrst.
>>nno<< I'm getting a bit thirsty.	Eg begynner å verta litt tyrst.
>>nno<< I'm not going to kill you.	Eg skal ikkje drepa deg.
>>nno<< I'm not going to kill you.	Eg blir ikkje å drepa deg.
>>nno<< I'm sorry it took so long.	Unnskyld for at det tok så lang tid.
>>nno<< I'm sorry it took so long.	Unnskyld for at det tok so lang tid.
>>nno<< I'm watching the Olympics.	Eg ser på OL.
>>nno<< I've already heard enough.	Eg har allereie høyrt nok.
>>nno<< I've decided to marry Tom.	Eg har bestemt meg for å gifta meg med Tom.
>>nno<< I've never been to Boston.	Eg har aldri vore i Boston.
>>nno<< I've never been to Europe.	Eg har aldri vore i Europa.
>>nno<< If you don't eat, you die.	Viss du ikkje et, døyr du.
>>nno<< In case of fire, call 119.	I tilfelle brann, ring 119.
>>nno<< In case of fire, dial 119.	I tilfelle brann, ring 119.
>>nno<< Is mercury really a metal?	Er kvikksølv verkeleg eit metall?
>>nno<< Is the island uninhabited?	Er øya aude?
>>nno<< Is this French or English?	Er dette fransk eller engelsk?
>>nno<< It depends on the context.	Det kjem an på konteksten.
>>nno<< It depends on the context.	Det kjem an på konteksta.
>>nno<< It is out of the question.	Det er heilt utelukka.
>>nno<< It took a long, long time.	Det tok ei lang, lang tid.
>>nno<< It took less than an hour.	Det tok mindre enn ein time.
>>nno<< It's a double-edged sword.	Det er eit tviegga sverd.
>>nno<< It's hard to say for sure.	Det er vanskeleg å seia sikkert.
>>nno<< Let's make a new playlist.	Lat oss laga ei ny speleliste.
>>nno<< May I have your full name?	Kan eg få det fulle namnet ditt?
>>nno<< My apartment is near here.	Leilegheita mi er i nærleiken.
>>nno<< My brother lives in Tokyo.	Bor min bur i Tokyo.
>>nno<< No one takes me seriously.	Ingen tek meg på alvor.
>>nno<< No one takes us seriously.	Ingen tek oss på alvor.
>>nno<< Nobody here speaks French.	Ingen her snakkar fransk.
>>nno<< Nobody speaks French here.	Ingen snakkar fransk her.
>>nno<< Nobody speaks French here.	Ingen talar fransk her.
>>nno<< Nobody suspected anything.	Ingen mistenkte noko.
>>nno<< One day you'll understand.	Ein dag kjem du til å forstå.
>>nno<< Our protests were in vain.	Protestane våre var forgjeves.
>>nno<< Our protests were in vain.	Protestane våre var til ingen nytte.
>>nno<< Several roads are flooded.	Fleire vegar er fløymde over.
>>nno<< She didn't come after all.	Ho kom ikkje likevel.
>>nno<< She has hundreds of books.	Ho har hundrevis av bøker.
>>nno<< Tell me when you're ready.	Sei frå når du er klar.
>>nno<< That never occurred to me.	Det tenkte eg aldri over.
>>nno<< That thought terrified me.	Den tanken gjorde meg livredd.
>>nno<< That was a waste of money.	Det var bortkasta pengar.
>>nno<< That would be even better.	Det hadde vore endå betre.
>>nno<< That's very controversial.	Det er veldig kontroversielt.
>>nno<< That's very controversial.	Det er veldig omstridt.
>>nno<< The answer is complicated.	Svaret er innfløkt.
>>nno<< The hawk caught the mouse.	Hauken fanga musa.
>>nno<< The island is uninhabited.	Øya er aude.
>>nno<< The opera starts at seven.	Operaen startar klokka sju.
>>nno<< The pond is 3 meters deep.	Dammen er tre meter djup.
>>nno<< The system isn't flawless.	Systemet er ikkje feilfritt.
>>nno<< The water is deepest here.	Vatnet er djupast her.
>>nno<< These pears are very good.	Desse pærene er veldig gode.
>>nno<< They constructed a bridge.	Dei bygde ei bru.
>>nno<< They don't have to answer.	Dei treng ikkje å svara.
>>nno<< They don't sell beer here.	Dei sel ikkje øl her.
>>nno<< They were left speechless.	Dei vart mållause.
>>nno<< They were left speechless.	Dei blei mållause.
>>nno<< Things are well organized.	Ting er godt organisert.
>>nno<< This TV was made in China.	Denne TV-en vart laga i Kina.
>>nno<< This TV was made in China.	Denne TV-en blei laga i Kina.
>>nno<< This book has 13 chapters.	Denne boka har 13 kapittel.
>>nno<< This camera was expensive.	Dette kameraet var altfor dyrt.
>>nno<< This job pays pretty well.	Denne jobben er ganske godt betalt.
>>nno<< This opera has three acts.	Denne operaen har tre akter.
>>nno<< This shouldn't be allowed.	Dette burde ikkje vera lov.
>>nno<< This skirt is inexpensive.	Dette skjørtet er dyrt.
>>nno<< Tom and I weren't invited.	Tom og eg var ikkje inviterte.
>>nno<< Tom and Mary were present.	Tom og Mary var til stades.
>>nno<< Tom apparently didn't win.	Tom vann visst ikkje.
>>nno<< Tom became a good soldier.	Tom vart ein god soldat.
>>nno<< Tom became a good soldier.	Tom blei ein god soldat.
>>nno<< Tom climbed over the wall.	Tom klatra over veggen.
>>nno<< Tom could be anywhere now.	Tom kan vera kor som helst no.
>>nno<< Tom could be anywhere now.	Tom kan vera kvar som helst no.
>>nno<< Tom didn't come after all.	Tom kom ikkje likevel.
>>nno<< Tom didn't get in the car.	Tom sette seg ikkje inn i bilen.
>>nno<< Tom died in the explosion.	Tom døydde i eksplosjonen.
>>nno<< Tom drank a cup of coffee.	Tom drakk ein kopp kaffi.
>>nno<< Tom forced me to go there.	Tom tvinga meg til å gå dit.
>>nno<< Tom had so many interests.	Tom hadde så mange interesser.
>>nno<< Tom had so many interests.	Tom hadde so mange interesser.
>>nno<< Tom has bought a computer.	Tom har kjøpt ei datamaskin.
>>nno<< Tom has lots of free time.	Tom har mykje fritid.
>>nno<< Tom has the perfect alibi.	Tom har det perfekte alibiet.
>>nno<< Tom has very good hearing.	Tom har veldig god høyrsel.
>>nno<< Tom has very good hearing.	Tom har veldig god høyrsle.
>>nno<< Tom hates speaking French.	Tom hatar å snakka fransk.
>>nno<< Tom hates studying French.	Tom hatar å studera fransk.
>>nno<< Tom hates teaching French.	Tom hatar å undervisa i fransk.
>>nno<< Tom is stubborn as a mule.	Tom er sta som eit esel.
>>nno<< Tom likes learning French.	Tom likar å læra fransk.
>>nno<< Tom lives above his means.	Tom lever over evne.
>>nno<< Tom loved teaching French.	Tom elska å undervisa i fransk.
>>nno<< Tom loved teaching French.	Tom elska å læra bort fransk.
>>nno<< Tom must be really stupid.	Tom må vera verkeleg dum.
>>nno<< Tom needs reading glasses.	Tom treng lesebriller.
>>nno<< Tom speaks perfect French.	Tom snakkar perfekt fransk.
>>nno<< Tom talked them out of it.	Tom snakka dei frå det.
>>nno<< Tom teaches French online.	Tom underviser i fransk på nettet.
>>nno<< Tom teaches adults French.	Tom lærer vaksne fransk.
>>nno<< Tom tore off the band-aid.	Tom reiv av plasteret.
>>nno<< Tom unbuttoned his jacket.	Tom knappa opp jakka si.
>>nno<< Tom usually speaks French.	Tom snakkar vanlegvis fransk.
>>nno<< Tom will catch up with us.	Tom kjem til å taka oss igjen.
>>nno<< Tom will catch up with us.	Tom kjem til å taka oss att.
>>nno<< Tom wore a pirate costume.	Tom hadde på seg eit piratkostyme.
>>nno<< Verdi wrote thirty operas.	Verdi skreiv tretti operaar.
>>nno<< We climbed over the fence.	Vi klatra over gjerdet.
>>nno<< We often discuss politics.	Vi diskuterer ofte politikk.
>>nno<< We surrounded the village.	Vi omringa landsbyen.
>>nno<< We've forgotten something.	Vi har gløymt noko.
>>nno<< Were you not disappointed?	Vart du ikkje skuffa?
>>nno<< Were you not disappointed?	Var du ikkje skuffa?
>>nno<< What caused the explosion?	Kva forårsaka eksplosjonen?
>>nno<< What caused the explosion?	Kva valda eksplosjonen?
>>nno<< What's your mother's name?	Kva heiter mor di?
>>nno<< When did you last see Tom?	Når såg du sist Tom?
>>nno<< When was the castle built?	Når vart slottet bygt?
>>nno<< When was the castle built?	Når blei slottet bygt?
>>nno<< Where am I going to sleep?	Kor skal eg sova?
>>nno<< Where am I going to sleep?	Kvar skal eg sova?
>>nno<< Which cat just gave birth?	Kva katt fødde nettopp?
>>nno<< Who are they cheering for?	Kven heiar dei på?
>>nno<< Who are they cheering for?	Kven er det dei heiar på?
>>nno<< Who discovered the island?	Kven oppdaga øya?
>>nno<< Who invented this machine?	Kven oppfann denne maskina?
>>nno<< Who organized the meeting?	Kven organiserte møtet?
>>nno<< Why do I have to help Tom?	Korfor må eg hjelpa Tom?
>>nno<< Why do I have to help Tom?	Kvifor må eg hjelpa Tom?
>>nno<< Why doesn't Tom trust you?	Kvifor stolar ikkje Tom på deg?
>>nno<< Why weren't you in school?	Kvifor var du ikkje på skulen?
>>nno<< Why weren't you in school?	Kvifor var de ikkje på skulen?
>>nno<< You don't have to explain.	Du treng ikkje å forklåra.
>>nno<< You don't have to respond.	Du treng ikkje å svara.
>>nno<< You forgot your umbrellas.	Du gløymde paraplyane dine.
>>nno<< You know that I can do it.	Du veit at eg kan gjera det.
>>nno<< You shouldn't be drinking.	Du burde ikkje drikka.
>>nno<< You'll understand someday.	Ein dag kjem du til å forstå.
>>nno<< Airplanes land at airports.	Fly landar på flyplassar.
>>nno<< Almost no one believed her.	Nesten ingen trudde på ho.
>>nno<< Comedians are entertainers.	Komikarar er underhaldarar.
>>nno<< Could I see the menu again?	Kunne eg ha fått sett på menyen ein gong til?
>>nno<< Could I see the menu again?	Kunne eg ha sett på menyen ein gong til?
>>nno<< Culture destroys languages.	Kultur øydelegg språk.
>>nno<< Did you buy this in Boston?	Korfor kjøpte du dette i Boston?
>>nno<< Did you buy this in Boston?	Kvifor kjøpte du dette i Boston?
>>nno<< Did you get your car fixed?	Fekk du reparert bilen din?
>>nno<< Did you knit this yourself?	Strikka du dette sjølv?
>>nno<< Did you phone headquarters?	Ringde du hovudkvarteret?
>>nno<< Did you read the last line?	Las du den siste lina?
>>nno<< Did you read the last page?	Las du den siste sida?
>>nno<< Did you sleep on the plane?	Sov du på flyet?
>>nno<< Did you take your passport?	Tok du passet ditt?
>>nno<< Did you think we were done?	Trudde du vi var ferdige?
>>nno<< Did you think we were done?	Trudde du at vi var ferdige?
>>nno<< Did you wrap this yourself?	Pakka du dette inn sjølv?
>>nno<< Do you think it's my fault?	Trur du at det er min feil?
>>nno<< Do you think it's my fault?	Trur du at det er mi skuld?
>>nno<< Do you want to participate?	Vil du vera med?
>>nno<< Does Tom really like opera?	Likar Tom verkeleg opera?
>>nno<< Does Tom understand French?	Forstår Tom fransk?
>>nno<< Eating broccoli is healthy.	Det er sunt å eta brokkoli.
>>nno<< Elephants have long trunks.	Elefantar har lange snablar.
>>nno<< Elephants have long trunks.	Elefantar har lang snabel.
>>nno<< Everybody needs to do that.	Det må alle gjera.
>>nno<< Give me some water, please.	Få litt vatn, takk.
>>nno<< Give me the Geiger counter.	Gi meg geigerteljaren.
>>nno<< Have we forgotten anything?	Har vi gløymt noko?
>>nno<< He decided to sell the car.	Han bestemte seg for å selja bilen.
>>nno<< He got up at five as usual.	Han stod opp klokka fem som vanleg.
>>nno<< He walked all the way home.	Han gjekk heile vegen heim.
>>nno<< He watched a Swedish movie.	Han såg på ein svensk film.
>>nno<< He's a law-abiding citizen.	Han er ein lovlydig borgar.
>>nno<< He's watching the Olympics.	Han ser på OL.
>>nno<< His girlfriend is Japanese.	Kjærasten hans er japansk.
>>nno<< However, this is incorrect.	Men dette, derimot, er feil.
>>nno<< However, this is incorrect.	Men dette, derimot, er ikkje rett.
>>nno<< I can neither sew nor knit.	Eg kan verken sy eller strikka.
>>nno<< I can neither sew nor knit.	Eg kan korkje sy eller strikka.
>>nno<< I can neither sew nor knit.	Eg kan verken sauma eller strikka.
>>nno<< I can neither sew nor knit.	Eg kan korkje sauma eller strikka.
>>nno<< I canceled the appointment.	Eg avlyste avtalen.
>>nno<< I canceled the appointment.	Eg avlyste timen.
>>nno<< I don't know what you mean.	Eg skjønar ikkje kva du meiner.
>>nno<< I had completely forgotten.	Eg hadde heilt gløymt.
>>nno<< I know how special you are.	Eg veit kor spesiell du er.
>>nno<< I only spent three dollars.	Eg brukte berre tre dollar.
>>nno<< I play the tenor saxophone.	Eg spelar tenorsaksofon.
>>nno<< I speak French and English.	Eg snakkar fransk og engelsk.
>>nno<< I think that that's better.	Eg synest at det er endå betre.
>>nno<< I told you I'd protect you.	Eg sa jo at eg skulle beskytta deg.
>>nno<< I told you I'd protect you.	Eg sa jo at eg skulle passa på deg.
>>nno<< I usually do that with Tom.	Til vanleg gjer eg det med Tom.
>>nno<< I wish I could go to Japan.	Eg skulle ynskje eg kunne fara til Japan.
>>nno<< I won't be a party to this.	Eg vil ikkje vera med på dette.
>>nno<< I'd like to study in Paris.	Eg hadde likt å studera i Paris.
>>nno<< I'm going to kill that dog.	Eg skal drepa den hunden.
>>nno<< I'm not afraid of your dog.	Eg er ikkje redd for hunden din.
>>nno<< I'm not afraid of your dog.	Eg er ikkje redd for hunden dykkar.
>>nno<< I'm sure I can jump higher.	Eg er sikker på at eg kan hoppa høgre.
>>nno<< I've done that quite a bit.	Eg har gjort det ganske mykje.
>>nno<< Iceland has many volcanoes.	Island har mange vulkanar.
>>nno<< Is this mushroom poisonous?	Er denne soppen giftig?
>>nno<< Is this your tape recorder?	Er dette din bandopptakar?
>>nno<< It took only three seconds.	Det tok berre tre sekund.
>>nno<< It was my error, not Tom's.	Det var min feil, ikkje Tom sin.
>>nno<< It's hard to say no to Tom.	Det er vanskeleg å seia nei til Tom.
>>nno<< It's hard to say no to you.	Det er vanskeleg å seia nei til deg.
>>nno<< Not many people like opera.	Ikkje mange likar opera.
>>nno<< Organ donations save lives.	Organdonasjonar reddar liv.
>>nno<< Please wait for me outside.	Ver snill og vent på meg ute.
>>nno<< Remember what I taught you.	Hugs det eg lærte deg.
>>nno<< She has a good memory, too.	Ho har også eit godt minne.
>>nno<< She has a good memory, too.	Ho har ogso eit godt minne.
>>nno<< Somebody should defend Tom.	Einkvan burde forsvara Tom.
>>nno<< Something magical happened.	Noko magisk skjedde.
>>nno<< That guy has a screw loose!	Han fyren har ein skrue laus.
>>nno<< That hadn't occurred to me.	Det hadde eg ikkje tenkt over.
>>nno<< That keyboard is expensive.	Det tastaturet er dyrt.
>>nno<< That shouldn't be possible.	Det burde ikkje vera mogleg.
>>nno<< That'll never happen to me.	Det vil aldri skje med meg.
>>nno<< That's a really nice story.	Det er ei veldig fin historie.
>>nno<< That's better than nothing.	Det er betre enn ingenting.
>>nno<< That's out of the question.	Det kjem ikkje på tale.
>>nno<< The archer killed the deer.	Bogeskyttaren drap hjorten.
>>nno<< The detectives pursued him.	Detektivane fylgde etter han.
>>nno<< The elevator cable snapped.	Heiskabelen rauk.
>>nno<< The fireworks are starting.	No begynner fyrverkeriet.
>>nno<< The snake swallowed a frog.	Slangen svelgde ein frosk.
>>nno<< There's no place like home.	Borte bra, heime best.
>>nno<< There's nothing more to do.	Det er ikkje noko meir å gjera.
>>nno<< There's something in there.	Det er noko der inne.
>>nno<< There's something in there.	Det er noko inni der.
>>nno<< These are edible mushrooms.	Desse er etelege soppar.
>>nno<< These dolphins are trained.	Desse delfinane er dresserte.
>>nno<< They talked about politics.	Dei snakka om politikk.
>>nno<< They talked about politics.	Dei prata om politikk.
>>nno<< This idea is controversial.	Denne idéen er kontroversiell.
>>nno<< This idea is controversial.	Denne idéen er omstridd.
>>nno<< This is an edible mushroom.	Dette er ein eteleg sopp.
>>nno<< This is an edible mushroom.	Dette er ein etande sopp.
>>nno<< This is an old rock quarry.	Dette er eit gamalt steinbrot.
>>nno<< This is never going to end.	Dette kjem aldri til å taka slutt.
>>nno<< This is never going to end.	Dette kjem aldri til å enda.
>>nno<< This mushroom is poisonous.	Denne soppen er giftig.
>>nno<< Tom and Mary are Canadians.	Tom og Mary er kanadiarar.
>>nno<< Tom and Mary are comedians.	Tom og Mary er komikarar.
>>nno<< Tom and Mary are musicians.	Tom og Mary er musikarar.
>>nno<< Tom broke the world record.	Tom slo verdsrekorden.
>>nno<< Tom climbed over the fence.	Tom klatra over gjerdet.
>>nno<< Tom couldn't open the door.	Tom fekk ikkje til å opna døra.
>>nno<< Tom couldn't open the door.	Tom kunne ikkje opna døra.
>>nno<< Tom dealt with the problem.	Tom tok seg av problemet.
>>nno<< Tom doesn't seem very busy.	Tom verkar ikkje veldig oppteken.
>>nno<< Tom enjoys studying French.	Tom likar å studera fransk.
>>nno<< Tom enjoys teaching French.	Tom likar å undervisa i fransk.
