>>pes<< Who?	چه کسی؟
>>pes<< The result is all that matters.	فقط نتیجه مهم است.
>>pes<< The room was in total disorder.	اتاق در آشفتگی کامل بود.
>>pes<< The sea was as smooth as glass.	دریا مثل شیشه صاف بود.
>>pes<< The water penetrated the walls.	آب به دیوارها نفوذ کرد.
>>pes<< There are plenty more of those.	تعداد زیادی از آنها وجود دارد.
>>pes<< There is no smoke without fire.	هیچ دودی بی آتشی نیست.
>>pes<< These lenses are scratch-proof.	این لنزها ضد خش هستند.
>>pes<< They could ride and shoot well.	آنها به خوبی می توانستنند هم برانند وهم تیر اندازی کنند.
>>pes<< They endured many difficulties.	دشواریهای زیادی را تحمل کردند.
>>pes<< They heard him come downstairs.	آنها صدایش را شنیدند که از پلکان داشت پایین می رفت.
>>pes<< This box is too bulky to carry.	این بسته برای حمل کردن، خیلی حجیم است.
>>pes<< This child did nothing but cry.	این بچه کاری جز گریه کردن نداشت.
>>pes<< This house is relatively small.	این خانه نسبتاً کوچک است.
>>pes<< Those houses are 500 years old.	آن خانه ها پانصد سال قدمت دارند.
>>pes<< Three people are still missing.	سه نفر هنوز گمشده هستند.
>>pes<< Tom and Mary live off the grid.	تام و مری خارج از شبکه زندگی می کنند.
>>pes<< Tom certainly sounds confident.	تام مطمئناً با اعتماد به نفس به نظر می رسد.
>>pes<< Tom didn't say a word about it.	تام چیزی در این باره نگفت.
>>pes<< Tom doesn't live in Boston now.	تام اکنون در بوستون زندگی نمی کند.
>>pes<< Tom has surpassed expectations.	تام فراتر از انتظار برتری یافته است.
>>pes<< Tom is the only doctor in town.	تام تنها دکتر در شهرک است.
>>pes<< Tom is the only doctor in town.	تام تنها پزشک در شهرک است.
>>pes<< Tom is very interested in jazz.	تام به موسیقی جاز خیلی علاقمند است.
>>pes<< Tom probably won't remember me.	تام احتمالا مرا به خاطر نخواهد آورد.
>>pes<< Tom said that he'd do it later.	تام گفت که این را بعداً انجام خواهد داد.
>>pes<< Tom wondered what had happened.	تام از خود پرسید که چه اتفاقی افتاده است.
>>pes<< Two divisions have surrendered.	دو لشکر تسلیم شدند.
>>pes<< We are anxious for world peace.	ما به شدت خواهان صلح جهانی هستیم.
>>pes<< We can haggle over price later.	ما بعداً می‌توانیم روی قیمت چانه بزنیم.
>>pes<< We have a wide choice of books.	ما یک گستره ای از کتاب ها داریم.
>>pes<< We made pancakes for breakfast.	ما برای صبحانه پنکیک درست کردیم.
>>pes<< We must deal with this problem.	ما باید این مشکل را حل کنیم.
>>pes<< We need no more men at present.	فعلاً به افراد بیشتری نیاز نداریم.
>>pes<< We'll alter our course at once.	ما یکباره مسیرمان را تغییر خواهیم داد.
>>pes<< We'll share our food with them.	ما غذایمان را با آنها تقسیم خواهیم کرد.
>>pes<< Were you able to find the book?	توانستید کتاب را پیدا کنید؟
>>pes<< Were you able to find the book?	تونِستی کتابو پیدا کنی؟
>>pes<< What's the moral of this story?	نتیجهٔ اخلاقی این داستان چیست؟
>>pes<< When will you finish your work?	کی کارت را تمام خواهی کرد؟
>>pes<< Why do I have to work with you?	چرا من باید با تو کار کنم؟
>>pes<< Would you like some more bread?	شما اندکی بیشتر نان می‌خواهید؟
>>pes<< Would you like some more bread?	شما اندکی بیشتر نان می‌خواستید؟
>>pes<< Would you like some more bread?	تو اندکی بیشتر نان می‌خواهی؟
>>pes<< Would you like some more bread?	تو اندکی بیشتر نان می‌خواستی؟
>>pes<< You can use my car if you like.	اگر تمایل داری می توانی از خودرو من استفاده کنی.
>>pes<< You can't eat soup with a fork.	تو نمی‌توانی با یک چنگال سوپ بخوری.
>>pes<< You can't eat soup with a fork.	شما نمی‌توانید با یک چنگال سوپ بخورید.
>>pes<< You don't like sashimi, do you?	تو ساشیمی دوست نداری، دوست داری؟
>>pes<< A promise made is a debt unpaid.	یک قول داده شده یک دِین اداء نشده است.
>>pes<< A promise made is a debt unpaid.	یک قول داده شده یک قرض پرداخت‌نشده است.
>>pes<< A thief thinks everybody steals.	کافر همه را به کیش خود پندارد.
>>pes<< All three of you are very lucky.	هر سه شما بسیار خوش شانس هستید.
>>pes<< Appearances often are deceiving.	ظواهر اغلب گول زننده هستند.
>>pes<< Can you check the tire pressure?	می‌توانی فشار تایر را چک کنی؟
>>pes<< Can you recommend another hotel?	می‌توانی یک هتل دیگر پیشنهاد کنی؟
>>pes<< Colds are prevalent this winter.	سرماخوردگی در زمستان شایع است.
>>pes<< Did you deliver the note to Tom?	آیا تو پیغام را به تام رساندی؟
>>pes<< Do you have a problem with this?	آیا تو با این مشکلی داری؟
>>pes<< Do you know how sausage is made?	میدونی چطور سوسیس درست میشه?
>>pes<< Dogs have a keen sense of smell.	سگها حس بویایی قوی دارند.
>>pes<< Dragons are imaginary creatures.	اژدهاها موجوداتی تخیلی هستند.
>>pes<< Get out your notebooks and pens.	دفترچه ها و خودکارهایتان را بیرون بیاورید.
>>pes<< He amused us with a funny story.	او ما را با یک داستان با مزه سرگرم کرد.
>>pes<< He refused to say more about it.	او قبول نکرد بیشتر در آن مورد بگوید.
>>pes<< He was killed in a car accident.	او در تصادف رانندگی کشته شد.
>>pes<< He will come to see us some day.	او بعضی روزها به دیدن ما می آید.
>>pes<< He's an excellent brain surgeon.	او یک جراح بسیار خوب مغز است.
>>pes<< He's not very strict about this.	او در این مورد زیاد سختگیر نیست.
>>pes<< Hold still for a moment, please.	لطفاً چند دقیقه آرام بمانید.
>>pes<< Homicide is punishable by death.	قتل با مرگ مجازات پذیر است.
>>pes<< Homicide is punishable by death.	مجازات قتل مرگ است.
>>pes<< How's your project coming along?	پروژه‌ی شما چطور پیش می‌رود؟
>>pes<< I am acquainted with the author.	من با نویسنده آشنا هستم.
>>pes<< I believe that he's trustworthy.	من معتقدم او قابل اعتماد است.
>>pes<< I bought this printer yesterday.	من این چاپگر رادیروز خریدم.
>>pes<< I can't afford to buy a new car.	من نمی توانم پول خریدن یک ماشین جدید را جور کنم.
>>pes<< I checked the time on the clock.	من زمان را از روی ساعت چک کردم.
>>pes<< I couldn't understand his ideas.	من نمی توانستم ایده هایش را بفهمم.
>>pes<< I don't drink carbonated drinks.	من نوشابه نمی‌نوشم.
>>pes<< I don't have a drinking problem.	من مشکل نوشیدنی ندارم.
>>pes<< I don't like very long holidays.	من تعطیلات خیلی طولانی را دوست ندارم.
>>pes<< I don't think you could do that.	من فکر نمی‌کنم که شما می‌توانستید آن را انجام بدهید.
>>pes<< I don't think you could do that.	فکر کنم نمی‌توانستی آن کار را بکنی.
>>pes<< I guess that she is over thirty.	من حدس می‌زنم که او بالای 30 (سال) است.
>>pes<< I have a rough idea where it is.	کمابیش می‌دانم کجا است.
>>pes<< I have had no news from him yet.	من هنوز هیچ خبری از او ندارم.
>>pes<< I hope that I don't regret this.	امیدوارم از این کار پشیمان نشوم.
>>pes<< I just wanted to check my email.	فقط می‌خواستم ایمیلم را چک کنم.
>>pes<< I like to walk in the mountains.	من پیاده روی در کوه را دوست دارم.
>>pes<< I never drink beer before lunch.	من هیچ وقت قبل از ناهار آبجو ننوشیدم.
>>pes<< I only had a cursory look at it.	من تنها یک نگاه گذرا به آن داشتم.
>>pes<< I remember that I met the queen.	به خاطر می آورم که ملکه را ملاقات کردم.
>>pes<< I saw him scolded by his mother.	من او را دیدم که با مادرش پرخاشگر بود.
>>pes<< I used to go to school with him.	معمولاً با او به مدرسه می‌رفتم.
>>pes<< I usually don't carry much cash.	من معمولاً پول نقد زیادی حمل نمی‌کنم.
>>pes<< I usually don't carry much cash.	من معمولاً پول نقد زیادی همراه خودم ندارم.
>>pes<< I want to make her acquaintance.	من می‌خواهم با او آشنا شوم.
>>pes<< I want to see your older sister.	می خواهم خواهر بزرگتر شما را ملاقات کنم.
>>pes<< I was surprised to see you here.	من از دیدن شما در اینجا متعجب شدم.
>>pes<< I wasn't trying to hurt anybody.	من تلاش نمی‌کردم تا به کسی آسیب برسانم.
>>pes<< I will finish this work somehow.	به هر طریقی، من این کار را تمام خواهم کرد.
>>pes<< I'll be staying here for a week.	ما اینجا به مدت یک هفته خواهیم بود.
>>pes<< I'm very impressed by your work.	من خیلی تحت تأثیر کار تو قرار گرفتم.
>>pes<< If I were you, I wouldn't do it.	اگر جای تو بودم، انجامش نمی‌دادم.
>>pes<< If it ain't broke, don't fix it.	اگر خراب نشد، تعمیرش نکن.
>>pes<< It happened prior to my arrival.	قبل از آمدن من، این اتفاق افتاد.
>>pes<< It was an inappropriate analogy.	آن یک قیاس نابجا بود.
>>pes<< Light the lantern so we can see.	فانوس را روشن کن تا بتوانیم ببینیم.
>>pes<< Most people live in urban areas.	بیشتر افراد در نواحی شهری زندگی می کنند.
>>pes<< Mozart's birthplace is Salzburg.	زادگاه موتسارت زالتسبورگ است.
>>pes<< My mother died when I was a kid.	وقتی که بچه بودم، مادرم مرد.
>>pes<< Never give up till the very end.	هرگز تا انتها تسلیم نشو.
>>pes<< Our hotel is on the next street.	هتل ما در خیابان بعدی است.
>>pes<< Our house has a termite problem.	خانهٔ ما مشکل موریانه دارد.
>>pes<< Please call the fire department.	لطفاً به آتش‌نشانی زنگ بزنید.
>>pes<< Self-diagnosis can be dangerous.	تشخیص شخصی می تواند خطرناک باشد.
>>pes<< She cut in when we were talking.	وقتی ما با هم صحبت می کردیم او پرید میان صحبتمان.
>>pes<< She poured water into the basin.	او آب را در طاس ریخت.
>>pes<< She was a pioneer in this field.	او در آن زمینه پیشاهنگ بود.
>>pes<< She's worried about your safety.	او در مورد امنیت شما نگران است.
>>pes<< That child has no fear of water.	آن کودک از آب ترسی ندارد.
>>pes<< That runs against my principles.	آن بر خلاف اصول من است.
>>pes<< That white building is a morgue.	آن ساختمان سفید یک سردخانه است.
>>pes<< That's exactly what Tom told me.	این دقیقا همان چیزی است که تام به من گفت.
>>pes<< That's probably not a good idea.	این احتمالاً ایده‌ی خوبی نیست.
>>pes<< The crowds here are spectacular.	ازدحام اینجا عجیب است.
>>pes<< The king was forced to abdicate.	پادشاه مجبور به کناره گیری شد.
>>pes<< The plane will take off at 2:30.	هواپیما در ساعت 2:30 پرواز خواهد کرد.
>>pes<< The storm raged in all its fury.	طوفان با خشم تمام غوغا کرد.
>>pes<< The sun gives us light and heat.	خورشید به ما روشنی و گرما می بخشد.
>>pes<< The train leaves in ten minutes.	قطار تا ده دقیقه‌ی دیگر حرکت می‌کند.
>>pes<< There is a newspaper in my room.	یک روزنامه در اتاق من است.
>>pes<< There's a flaw in your argument.	در استدلال شما یک ایراد وجود دارد.
>>pes<< They armed themselves with guns.	آنها خود را با تفنگ مسلح کردند.
>>pes<< They didn't come here, did they?	آنها به اینجا نیامدند. آمدند؟
>>pes<< This meal is adequate for three.	این وعده غذایی برای سه تن کافی است.
>>pes<< This sentence contains an error.	این جمله خطا دارد.
>>pes<< This text is aimed at beginners.	این متن برای مبتدی ها در نظر گرفته شده است.
>>pes<< Tom does get around, doesn't he?	تام حتماً دور می‌زند، اینطور نیست؟
>>pes<< Tom does get around, doesn't he?	تام قطعاً نزدیک می‌آید، مگر نه؟
>>pes<< Tom does get around, doesn't he?	تام حتماً فرصت دارد، مگر نه؟
>>pes<< Tom doesn't know what to do now.	تام نمی داند الان چه کار کند.
>>pes<< Tom has a lot of valuable books.	تام کتاب های با ارزش زیادی دارد.
>>pes<< We are all alike, on the inside.	ما همه در درون شبیه همدیگر هستیم.
>>pes<< We are anxious for their safety.	ما برای امنیت آنها نگرانیم.
>>pes<< We have to buy them from abroad.	باید آنها را از خارج بخریم.
>>pes<< We must stand up for our rights.	باید از حقوقمان دفاع کنیم.
>>pes<< We took turns cleaning the room.	ما به نوبت اتاق را تمیز مى کنیم
>>pes<< What were you doing that moment?	آن لحظه چه می کردی؟
>>pes<< What's your favorite soft drink?	نوشیدنی غیر الکلی مورد علاقه تو چی هست؟
>>pes<< Who gains by the victim's death?	چه کسی با مرگ قربانی سود می‌کند؟
>>pes<< Would you all like some peanuts?	تنها کمی بادام زمینی می خواهی؟
>>pes<< Would you like to dance with me?	دوست داری با من برقصی؟
>>pes<< Wouldn't you like to go with us?	شما دوست نداشتید با ما بیاید؟
>>pes<< Yesterday my uncle bought a dog.	دیروز عمویم سگی خریداری کرد.
>>pes<< You found something, didn't you?	تو چیزی پیدا کردی، مگر نه؟
>>pes<< You have to study French harder.	تو باید سخت‌تر فرانسوی مطالعه کنی.
>>pes<< You have to study French harder.	شما باید سخت‌تر فرانسوی مطالعه کنید.
>>pes<< You underestimate your charisma.	شما کاریزمای خود را دستکم نگیرید.
>>pes<< A leopard can't change his spots.	پلنگ نمی تواند نقش عوض کند.
>>pes<< According to police, no one died.	به گفته پلیس کسی نمرد.
>>pes<< Admission to the library is free.	پذیرش در کتابخانه رایگان است.
>>pes<< All right, let's get out of here.	باشه بیا از اینجا بریم.
>>pes<< Crabs and shrimp are crustaceans.	خرچنگ‌ها و میگوها از سخت‌پوستان هستند.
>>pes<< Cut the salmon into small pieces.	ماهی سالمون را به قطعات کوچک ببر.
>>pes<< Did you go to the art exhibition?	به نمایشگاه هنر رفته ای؟
>>pes<< Do you know any of Tom's friends?	از دوستان تام، کسی را می شناسی؟
>>pes<< Do you play a musical instrument?	آیا تو سازی موسیقیایی می نوازی؟
>>pes<< Even a teacher can make mistakes.	حتی یک معلم می‌تواند اشتباه کند.
>>pes<< Everybody is hoarding their cash.	هر کسی پولش را ذخیره می‌کند.
>>pes<< Everyone laughed at me yesterday.	همه دیروز به من خندیدند.
>>pes<< Has someone been mistreating you?	آیا کسی با شما بدرفتاری کرده است؟
>>pes<< He detected his men's misconduct.	او به سوء رفتار افرادش پی برد.
>>pes<< He is living apart from his wife.	او جدا از زنش زندگی می‌کند.
>>pes<< He narrowly escaped being killed.	او با احتیاط از کشته شدن رهایی یافت.
>>pes<< He stepped aside for her to pass.	او به کنار رفت تا آن خانم رد شود.
>>pes<< He was refused medical treatment.	او از معالجهٔ پزشکی منع شد.
>>pes<< How dare you call me a hypocrite!	چگونه جرأت می‌کنی مرا دورو بنامی!
>>pes<< How did he react to the bad news?	او چگونه به خبرهای ناگوار واکنش نشان داد؟
>>pes<< I am acquainted with your father.	من با پدر شما آشنا هستم.
>>pes<< I could see Tokyo Tower far away.	برج توکیو را می‌توانستم در دوردست ببینم.
>>pes<< I didn't buy everything I wanted.	تمام هر آن چیزی که می‌خواستم را نخریدم.
>>pes<< I don't believe in group therapy.	من به گروه درمانی اعتقادی ندارم.
>>pes<< I don't care about what they say.	اهمیتی به حرف‌های آنها نمی‌دهم.
>>pes<< I don't think I like you anymore.	فکر نمی کنم دیگر تو را دوست داشته باشم.
>>pes<< I encouraged Tom to learn French.	من تام را تشویق کردم تا فرانسوی یاد بگیرد.
>>pes<< I explained the reason in detail.	من علتش را به طور دقیق توضیح دادم.
>>pes<< I got accustomed to living alone.	من به زندگی انفرادی عادت کرده ام.
>>pes<< I had to help with the housework.	می‌بایست در کارهای خانه کمک کنم.
>>pes<< I had to postpone my appointment.	من مجبور شدم قرارم را به تعویق بیاندازم.
>>pes<< I like the red ones on the shelf.	از آن قرمزهای روی قفسه خوشم می‌آید.
>>pes<< I share this room with my sister.	این اتاق را با خواهرم شریک هستم.
>>pes<< I stayed there until he had left.	من تا زمانی که او رفت، آنجا ماندم.
>>pes<< I think that the problem is here.	فکر می‌کنم مشکل اینجاست.
>>pes<< I think we should all go outside.	فکر کنم بایستی همگی بیرون رویم.
>>pes<< I watched a great movie recently.	اخیراً یک فیلم عالی دیدم.
>>pes<< I wish you nothing but happiness.	چیزی به‌جز خوشبختی برای‌تان نمی‌خواهم.
>>pes<< I'd like some more bread, please.	من اندکی بیشتر نان می‌خواهم، لطفاً.
>>pes<< I'd like some more bread, please.	من اندکی بیشتر نان می‌خواستم، لطفاً.
>>pes<< I'd rather stay home than go out.	ترجیح می دهم در خانه بمانم تا اینکه بیرون بروم.
>>pes<< I'll get off at the next station.	من در ایستگاه بعدی پیاده خواهم شد.
>>pes<< I'll get off at the next station.	من در ایستگاه بعدی پیاده خواهم گشت.
>>pes<< I'm going to have to dye my hair.	می خواهم موهایم را رنگ کنم.
>>pes<< If it isn't broken, don't fix it.	اگر خراب نیست، تعمیرش نکن.
>>pes<< Is it windy enough to go sailing?	آیا باد به اندازه کافی برای رفتن به قایقرانی هست؟
>>pes<< It isn't really like that at all.	آن در کل واقعاً آن جوری نیست.
>>pes<< It seems we are in the same boat.	به نظر می‌رسد ما در یک قایق هستیم.
>>pes<< It's a very demanding profession.	این یک حرفهٔ بسیار پرزحمت است.
>>pes<< Many people were waiting in line.	خیلی ها در صف منتظر بودند.
>>pes<< My bicycle has an aluminum frame.	دوچرخه‌ام یک بدنهٔ آلومینیومی دارد.
>>pes<< My father stretched after dinner.	پدرم بعد از شام دراز کشید.
>>pes<< My little brother is watching TV.	برادر کوچک من تلویزیون تماشا می‌کند.
>>pes<< Nothing is as important as peace.	هیچ چیز به اندازه صلح و امنیت اهمیت ندارد.
>>pes<< Nothing is as simple as it seems.	هیچ چیزی به آن سادگی که به نظر می‌رسد، نیست.
>>pes<< Pine trees are a type of conifer.	درختان کاج از نوع مخروطی هستند.
>>pes<< Please help yourself to the cake.	بفرمایید از کِیک مِیل کنید.
>>pes<< Please reserve this table for us.	لطفاً این میز را برای ما رزرو کنید.
>>pes<< Please reserve this table for us.	لطفاً این میز را برای ما رزرو کن.
>>pes<< Please reserve this table for us.	لطفاً این میز را برایمان رزرو کنید.
>>pes<< Please reserve this table for us.	لطفاً این میز را برایمان رزرو کن.
>>pes<< Please stay here till I get back.	لطفاً تا وقتی بر می‌گردم، اینجا بمانید.
>>pes<< She can play the piano very well.	او می تواند به خوبی پیانو بنوازد.
>>pes<< She cooks chicken the way I like.	او مرغ را آن طور که من دوستت دارم می پزد.
>>pes<< She hung the picture upside down.	او عکس را چپه آویخته است.
>>pes<< She urged him to drive carefully.	او از او خواست با احتیاط رانندگی کند.
>>pes<< She will have a child next month.	کودک او ماه آینده به دنیا خواهد آمد.
>>pes<< She's an excellent brain surgeon.	او یک جراح بسیار خوب مغز است.
>>pes<< Suddenly, I saw a beautiful bird.	ناگهان پرنده‌ی زیبائی را دیدم.
>>pes<< That boy's name is Shintaro Wada.	اسم آن پسر، شینتارو وادا است.
>>pes<< That's the village I was born in.	آن روستایی است که من درش به دنیا اومدم.
>>pes<< The beauty is beyond description.	زیبایی فرای وصف است.
>>pes<< The beauty is beyond description.	زیبایی ورای وصف است.
>>pes<< The children were swimming naked.	بچه ها لخت شنا می کنند.
>>pes<< The city was blanketed with snow.	شهر زیر برف پوشیده شده بود.
>>pes<< The dog breathed with difficulty.	سگ به سختی نفس کشید.
>>pes<< The girl greeted me with a smile.	دختر با لبخندی به من خوش‌آمد گفت.
>>pes<< The girl greeted me with a smile.	این دختر با یک لبخند از من استقبال کرد.
>>pes<< The judge condemned him to death.	قاضی او را به اعدام محکوم کرد.
>>pes<< The tablecloth is in the cabinet.	رومیزی داخل کابینت است.
>>pes<< The whole family was sick in bed.	کل خانواده در بستر بیماری افتاده بودند.
>>pes<< There are abundant food supplies.	منابع غذایی فراوانی موجود است.
>>pes<< There's no furniture in the room.	هیچ اثاثی در اتاق نیست.
>>pes<< There's no need to keep counting.	نیازی به ادامهٔ شمردن نیست.
>>pes<< Think before you open your mouth.	قبل از اینکه دهنت را باز کنی فکر کن
>>pes<< This book is worthy of attention.	این کتاب شایستهٔ توجه است.
>>pes<< This custom is peculiar to Japan.	این رسم مختص ژاپن است.
>>pes<< Tom doesn't know much about guns.	تام زیاد راجع به اسلحه ها نمی داند.
>>pes<< Tom doesn't know much about guns.	تام چندان راجع به اسلحه نمی داند.
>>pes<< Tom has a tendency to exaggerate.	تام تمایل به اغراق دارد.
>>pes<< Tom refused to conceal the truth.	تام از پنهان کردن حقیقت خودداری کرد.
>>pes<< Tom said he hasn't done that yet.	تام بیان کرد که هنوز آن را انجام نداده است.
>>pes<< Tom said he hasn't done that yet.	تام گفت که هنوز آن را انجام نداده است.
>>pes<< Tom seems to be enjoying himself.	انگار به تام خیلی خوش می‌گذرد.
>>pes<< Tom told me he grew up in Boston.	تام به من گفت در بوستون بزرگ شد.
>>pes<< Tom's efforts have been rewarded.	تلاش های تام ارج نهاده شده اند.
>>pes<< Traffic is a major urban problem.	ترافیک یک مسئله شهری عمده است.
>>pes<< We'll all pray for your recovery.	همه ما برای بهبودی شما دعا خواهیم کرد
>>pes<< What on earth are you doing here?	اینجا داری چی کار می کنی؟
>>pes<< When was this university founded?	کی این دانشگاه تأسیس شده است؟
>>pes<< Who's the underdog in this match?	بازنده این مسابقه چه کسی است؟
>>pes<< Will you buy for me some saffron?	می شود برایم مقداری زعفران بخری؟
>>pes<< You can sleep here. I don't mind.	میتونی اینجا بخوابی. برای من فرقی نداره.
>>pes<< You must not indulge in drinking.	تو نباید در نوشیدن زیاده‌روی کنی.
>>pes<< You should've kept that a secret.	باید آن را محرمانه نگه می‌داشتید.
>>pes<< You're old enough to know better.	تو به اندازه کافی بزرگ هستی، که بیشتر بدانی.
>>pes<< A closed fist can indicate stress.	یک مشت بسته می تواند نشانه اضطراب باشد.
>>pes<< A good deed never goes unpunished.	خوبی هرگز بدون تاوان نمی‌ماند.
>>pes<< A thief believes everybody steals.	کافر همه را به کیش خود پندارد.
>>pes<< All of my clothes are custom made.	همه‌ی لباس‌های من سفارشی دوخته شده‌اند.
>>pes<< All things come to those who wait.	چیزهای خوب برای آنهایی اتفاق می‌افتند که صبر کنند.
>>pes<< And now what would you like to do?	و الان تو تمایل داری چه کاری انجام دهی؟
>>pes<< Arabic is read from right to left.	عربی از راست به چپ خوانده می شود.
>>pes<< Are you married or are you single?	شما متأهلید یا مجرد؟
>>pes<< Are you married or are you single?	آیا متاهل هستید یا مجرد؟
>>pes<< Ask no questions and hear no lies.	سؤال نکن تا دروغی نشنوی.
>>pes<< Can the flu vaccine cause the flu?	آیا واکسن آنفولانزا می‌تواند باعث آنفولانزا شود؟
>>pes<< Careless driving causes accidents.	رانندگی بدون دقت موجب تصادف می شود.
>>pes<< Copper and silver are both metals.	مس و نقره هر دو از فلزات هستند.
>>pes<< Did Tom ask Mary why she did that?	آیا تام از ماری پرسید چرا ماری آن کار را کرد؟
>>pes<< Did you feed the dog this morning?	امروز صبح به سگ غذا دادی؟
>>pes<< Did you think I wouldn't tell Tom?	آیا تو فکر کردی من به تام نخواهم گفت؟
>>pes<< Do you remember the oath you took?	آیا شما سوگندی را که دادید به یاد می آورید؟
>>pes<< Do you want me to do that for you?	آیا شما از من می‌خواهید که آن را برای شما انجام دهم؟
>>pes<< Do you want me to do that for you?	آیا تو از من می‌خواهی که آن را برای تو انجام دهم؟
>>pes<< Do you want me to do that for you?	آیا شما از من می‌خواهید که آن را برایتان انجام دهم؟
>>pes<< Do you want me to do that for you?	آیا تو از من می‌خواهی که آن را برایت انجام دهم؟
>>pes<< Does it snow much in your country?	آیا در کشور شما برف زیاد می بارد؟
>>pes<< Don't be afraid to try new things.	از امتحان چیزهای جدید نترس.
>>pes<< Don't judge people by their looks.	آدمها را بر اساس ظاهرشان ارزیابی نکن.
>>pes<< Everyone deserves a second chance.	هرکس لایق یک فرصت دوم است.
>>pes<< Everything he's saying is slander.	هر آنچه او می‌گوید افترا است.
>>pes<< He built them on an assembly line.	او آنها را در یک خط مونتاژ ساخت.
>>pes<< He died and his soul went to hell.	او مرد و روحش به جهنم رفت.
>>pes<< He had a bit of a cold last night.	او دیشب کمی سرما خورده بود.
>>pes<< He has ambition, so he works hard.	او بلند پروازی دارد، به همین دلیل سخت کار می کند.
>>pes<< He pretended not to hear his boss.	او وانمود کرد که صدای ریئسش را نمی شنود.
>>pes<< He pretended that he was a lawyer.	او مدعی بود که او یک وکیل است.
>>pes<< He raised his hand to stop a taxi.	او دستش را بالا برد تا تاکسی را متوقف کند.
>>pes<< He refused to say more about that.	او قبول نکرد بیشتر در آن مورد بگوید.
>>pes<< He tried to attract her attention.	او (مرد) سعی کرد توجه او (زن) را جلب کند.
>>pes<< He will regret it sooner or later.	او دیر یا زود پشیمان خواهد شد.
>>pes<< How long did you sleep last night?	دیشب چقدر خوابیدی؟
>>pes<< Human beings are social creatures.	انسانها موجودات اجتماعی هستند.
>>pes<< I applied for a summer internship.	من برای کارورزی تابستان ثبت‌نام کردم.
>>pes<< I didn't go to school last Monday.	دوشنبه ی پیش به مدرسه نرفتم.
>>pes<< I don't know how deep the lake is.	نمی دانم این دریاچه چه قدر عمق دارد.
>>pes<< I don't see why I need to do this.	متوجه نمی شوم چرا باید این کار را انجام دهم.
>>pes<< I don't yet know what Tom will do.	من هنوز نمی‌دانم تام چه کاری انجام خواهد داد.
>>pes<< I had a horrible dream last night.	من خواب وحشتناکی دیشب دیدم.
>>pes<< I know the cure for what ails you.	من درمانی برای آنچه شما را رنجور می‌کند می‌شناسم.
>>pes<< I prefer working to doing nothing.	من ترجیح می دهم که کار کنم تا اینکه هیچ کاری انجام ندهم.
>>pes<< I think we could be great friends.	فکر می کنم ما بتوانیم دوستان خوبی بشویم.
>>pes<< I thought that Tom was lying, too.	من فکر کردم که تام نیز دارد دروغ می‌گوید.
>>pes<< I will leave it to your judgement.	من این را به قضاوت شما واگذار می کنم.
>>pes<< I would like to see Tom once more.	دوست دارم یک بار دیگر تام را ببینم.
>>pes<< If you can't beat them, join them.	اگر نمی توانی شکستشان دهی، به آنها بپیوند.
>>pes<< Many kinds of birds live in Japan.	در ژاپن، پرنده های گوناگون می زیند.
>>pes<< Mary dried her hands on her apron.	ماری دستهایش را با پیشبندش خشک کرد.
>>pes<< My phone number has changed again.	شماره تلفن من دوباره تغییر کرده است.
>>pes<< Never underestimate your audience.	هرگز مخاطبان خود را دستکم نگیرید.
>>pes<< One word is enough for a wise man.	عاقل را اشاره کافیست.
>>pes<< Our landlord has lowered the rent.	صاحبخانهٔ ما اجاره را پایین آورد.
>>pes<< Saturated fats cause inflammation.	چربی‌های اشباع شده سبب التهاب می‌شوند.
>>pes<< Scott was a contemporary of Byron.	اسکات معاصر بایرون بود.
>>pes<< She didn't try to evade the truth.	او تلاش نکرد، از واقعیت فرار کند.
>>pes<< Silence sometimes implies consent.	سکوت گاهی اوقات نشانه رضایت است.
>>pes<< That elevator is for freight only.	آن آسانسور فقط برای بار است.
>>pes<< That invention deserves attention.	این ابداع شایستهٔ توجه است.
>>pes<< The arrow indicates the way to go.	فلش راه رفتن را نشان می‌دهد.
>>pes<< The children were loud and unruly.	بچه ها پرسر و صدا و نافرمان بودند.
>>pes<< The clarinet is a wind instrument.	سرنا یک ساز بادی است.
>>pes<< The picture is in black and white.	تصویر سیاه و سفید است.
>>pes<< The radio was invented by Marconi.	رادیو توسط مارکونی اختراع شد.
>>pes<< The road to peace is never smooth.	جادهٔ صلح هرگز هموار نیست.
>>pes<< The room was in complete darkness.	اتاق در تاریکی کامل بود.
>>pes<< The telephone is now out of order.	تلفن الان درست نیست.
>>pes<< There are many birds in this park.	در این پارک پرنده های بسیاری هستند.
>>pes<< There's a garden behind our house.	باغی پشت خانه ما وجود دارد.
>>pes<< There's no need for a replacement.	هیچ نیازی به جایگزینی نیست.
>>pes<< They spent the night on the beach.	آنها شب را در ساحل گذراندند.
>>pes<< This TV show is aimed at children.	مخاطب این برنامه تلویزیونی کودکان هستند.
>>pes<< This bookcase is easy to assemble.	این قفسه کتاب به راحتی مونتاژ می شود.
>>pes<< Tom didn't answer Mary's question.	تام به سؤال مری جواب نداد.
>>pes<< Tom didn't have time to eat lunch.	تام برای ناهار خوردن وقت نداشت.
>>pes<< Tom didn't open the door for Mary.	تام در را به روی مری باز نکرد.
>>pes<< Tom has no desire to go to Boston.	تام تمایلی برای رفتن به بوستون ندارد.
>>pes<< Tom helped me out countless times.	تام بارها به من کمک کرد.
