>>tgl<< Run.	Takbo.
>>tgl<< You will see the difference.	Makikita mo ang kaibahan.
>>tgl<< All those flowers look alike.	Magkamukha ang lahat niyong bulaklak.
>>tgl<< Are you all set for the trip?	Handa na ba kayo para sa biyahe?
>>tgl<< Are you bringing your camera?	Dadalhin mo ba ang kamera mo?
>>tgl<< As for me, I don't like eggs.	Ayoko ng itlog.
>>tgl<< Can you tell me what this is?	Puwede mo bang sabihin sa akin kung ano ito?
>>tgl<< Can your brother drive a car?	Marunong bang magmaneho ng kotse ang kapatid mong lalaki?
>>tgl<< Could you turn off the light?	Puwede mo bang patayin ang ilaw?
>>tgl<< Could you turn the light off?	Puwede mo bang patayin ang ilaw?
>>tgl<< Draw me a seven-pointed star.	Ipagdrowing mo ako ng bituwin na may pitong dulo.
>>tgl<< Each individual is different.	Ang bawat indibidwal ay iba.
>>tgl<< Europeans like to drink wine.	Mahilig sa alak ang mga European.
>>tgl<< Everything has been arranged.	Handa na ang lahat.
>>tgl<< Fishing is my favorite hobby.	Pangingisda ang libangang paborito ko.
>>tgl<< Have you already eaten lunch?	Nagtanghalian ka na ba?
>>tgl<< Have you ever eaten raw fish?	Nakakain ka na ba ng hilaw na isda?
>>tgl<< Have you ever eaten raw fish?	Nakakain ka na ba ng hilaw na mga isda?
>>tgl<< Have you ever heard him sing?	Napakinig mo na ba siyang kumanta?
>>tgl<< He is a boy with many dreams.	Isa siyang batang lalaking puno ng pangarap.
>>tgl<< He is fond of playing tennis.	Gusto niyang magtenis.
>>tgl<< He knows New York inside out.	Labas at loob niyang alam ang Nuweba York.
>>tgl<< He lived alone in the forest.	Tumira siyang mag-isa sa gubat.
>>tgl<< He mentioned your name to me.	Binanggit niya ang pangalan mo sa akin.
>>tgl<< He thinks only about himself.	Sarili lang nya iniisip nya.
>>tgl<< He took a book off the shelf.	Kumuha siya ng libro sa aklatan.
>>tgl<< He took out a piece of chalk.	Pinalabas niya ang isang pirasong tsok.
>>tgl<< He was able to read the book.	Nakakapagbasa siya ng aklat.
>>tgl<< He was wounded in the battle.	Nasugatan siya sa labanan.
>>tgl<< He wrote a book on porcelain.	Sumulat siya ng libro tungkol sa porselana.
>>tgl<< Her skin is whiter than snow.	Mas maputi pa ang kanyang balat sa niyebe.
>>tgl<< His new film is worth seeing.	May halagang makita ang bagong pelikula niya.
>>tgl<< His wife nags him constantly.	Madalas siyang pinapagalitan ng asawa niya.
>>tgl<< How did you come to know her?	Paano kayo nagkakilala?
>>tgl<< How many flowers did you buy?	Ilang bulaklak ang binili mo?
>>tgl<< How much longer will it take?	Gaano pa katagal?
>>tgl<< I also heard a similar story.	Naparinig ko rin ang kahawig na kuwento.
>>tgl<< I bought my sister a new hat.	Binilhan ko ang kapatid kong babae ng bagong sumbrero.
>>tgl<< I can tell when you're lying.	Natutukoy ko kung kailan ka nagsisinungaling.
>>tgl<< I don't care how old you are.	Wala akong paki-alam kung gaano ka katanda.
>>tgl<< I don't care how old you are.	Wala akong paki-alam kung gaano kayo katanda.
>>tgl<< I don't have time to do that.	Wala akong oras para gawin iyan.
>>tgl<< I followed him into his room.	Sinundan ko siya sa kaniyang kuwarto.
>>tgl<< I gazed at the sea for hours.	Tumanaw ako sa dagat nang ilang oras.
>>tgl<< I got up at six this morning.	Alas sais ako gumising nitong umaga.
>>tgl<< I have a good sense of smell.	Magaling ang pandama kong pang-amoy.
>>tgl<< I have access to his library.	May akses ako sa kanyang laybrari.
>>tgl<< I have some pictures for you.	May mga larawan para sa ninyo.
>>tgl<< I haven't eaten anything yet.	Hindi pa ako kumakain ng anuman.
>>tgl<< I knew Tom was a billionaire.	Ang alam ko ay bilyonaryo si Tom.
>>tgl<< I love you with all my heart.	Buong puso kitang minamahal.
>>tgl<< I ordered pizza by telephone.	Nag-order ako ng pizza sa telepono.
>>tgl<< I put some milk in my coffee.	Nilagyan ko ng gatas ang kape ko.
>>tgl<< I rarely listen to the radio.	Madalang akong makinig sa radyo.
>>tgl<< I really don't like chickens.	Hindi ko talaga gusto ang mga manok.
>>tgl<< I thought it would be easier.	Akala ko ay magiging madali ito.
>>tgl<< I told him to leave the room.	Sabi kong umalis siya sa silid.
>>tgl<< I want Tom to know the truth.	Gusto kong malaman ni Tom ang katotohanan.
>>tgl<< I was alone in the classroom.	Nag-isa ako sa silid ng klase.
>>tgl<< I wish Tom would stop crying.	Sana tumigil na nang kakaiyak si Tom.
>>tgl<< I'd like to attend the party.	Gusto kong mag-atend ng parti.
>>tgl<< I'm not going to fool myself.	Hindi ako magpapaloko.
>>tgl<< I'm not through with you yet.	Hindi pa ako tapos sa iyo.
>>tgl<< I'm sorry, I can't stay long.	Sori, pero di ako puwedeng magtagal.
>>tgl<< If I were you, I'd ignore it.	Kung ako ikaw, hindi ko iyon papansinin.
>>tgl<< In my opinion, he is correct.	Sa tingin ko, tama siya.
>>tgl<< Is there life in outer space?	May buhay ba sa labas na espasyo?
>>tgl<< It's all in your imagination.	Lahat ito'y sa guni-guni mo.
>>tgl<< It's been raining off and on.	Pabalik-balik ang ulan.
>>tgl<< It's going to rain, for sure.	Uulan panigurado.
>>tgl<< It's going to rain, for sure.	Siguradong uulan.
>>tgl<< Mary showed the letter to me.	Pinatingin ni Maria sa akin ang sulat.
>>tgl<< Our teacher looks very young.	Mukhang talagang bata ang titser namin.
>>tgl<< Shall we walk to the station?	Maglakad kaya tayo sa estasyon?
>>tgl<< She has a flower in her hand.	May bulaklak siya sa kamay niya.
>>tgl<< She saw a tall man yesterday.	Nakita niya ang isang matangkad na lalaki kahapon.
>>tgl<< She writes to him every week.	Nagsusulat sya sa kanya linggo linggo.
>>tgl<< Tell me how to play the game.	Turuan mo akong maglaro.
>>tgl<< The blanket is red and green.	Pula at berde ang kumot.
>>tgl<< The ice is too hard to crack.	Masyadong matigas ang yelo para mabiyak.
>>tgl<< There is a desk in this room.	May sulatan sa kuwartong ito.
>>tgl<< There is a house on the hill.	May bahay sa burol.
>>tgl<< They are talking about music.	Pinag-uusapan nila ang musika.
>>tgl<< They each received a present.	Binigyan ang bawat isa ng pasalubong.
>>tgl<< This is the very best method.	Ito ang pinakamainam na paraan.
>>tgl<< This student's books are new.	Bago ang mga libro ng estudyanteng ito.
>>tgl<< This student's books are new.	Bago ang mga aklat ng estudyanteng ito.
>>tgl<< This student's books are new.	Bago ang mga aklat ng mag-aaral na ito.
>>tgl<< This student's books are new.	Bago ang mga libro ng mag-aaral na ito.
>>tgl<< This table is for six people.	Itong mesa ay para sa anim na tao.
>>tgl<< Tom doesn't know where it is.	Hindi alam ni Tom kung nasaan iyon.
>>tgl<< Tom doesn't remember my name.	Di matandaan ni Tomas ang pangalan ko.
>>tgl<< Tom is a bit older than Mary.	Mas matanda si Tom kaysa kay Mary nang kaunti.
>>tgl<< Tom is studying architecture.	Nag-aaral ng arkitektura si Tomas.
>>tgl<< Tom is studying astrobiology.	Nag-aaral ng astrobiyolohiya si Tomas.
>>tgl<< Tom listened to me carefully.	Nakinig ng mabuti sa akin si Tom.
>>tgl<< Tom was the star of the show.	Si Tom ang bida sa palabas.
>>tgl<< Was this man threatening you?	Binabantaan ka ba ng lalaking ito?
>>tgl<< We need you to get here ASAP.	Kailangan ka namin dito ngayon din.
>>tgl<< What would you like to drink?	Anong gusto mong inumin?
>>tgl<< What's your favorite perfume?	Anong paborito mong pabango?
>>tgl<< What's your favorite podcast?	Anong paborito mong podcast?
>>tgl<< Who wants some hot chocolate?	Sinong gusto ng mainit na tsokolate?
>>tgl<< Why are people scared of you?	Bakit takot ang mga tao sa iyo?
>>tgl<< Will he fail the examination?	Babagsak kaya siya sa pagsusulit?
>>tgl<< Will you sell your car to me?	Ipagbibili mo ba sa akin ang awto mo?
>>tgl<< Would 9 o'clock be all right?	Ayos ba ang nayn oklak?
>>tgl<< Would 9 o'clock be all right?	Ayos ba ang alas nuwebe?
>>tgl<< Would you like a cup of milk?	Gusto mo ba ng isang tasang gatas?
>>tgl<< You are not a child any more.	Hindi ka na bata.
>>tgl<< You may not pick the flowers.	Hindi mo pwedeng pitasin ang mga bulaklak.
>>tgl<< You must not go out at night.	Dapat huwag kang lumabas sa gabi.
>>tgl<< You should get your hair cut.	Pagupit ka na ng buhok.
>>tgl<< You should have come earlier.	Dapat dumating ka nang mas maaga.
>>tgl<< You've done more than enough.	Labis nang husto ang ginawa mo.
>>tgl<< A dog was run over by a truck.	Isang aso ang nasagasaan ng trak.
>>tgl<< Are you going to write to Tom?	Susulat ka ba kay Tom?
>>tgl<< Close the door when you leave.	Sarhan mo ang pinto pag-alis mo.
>>tgl<< Did Tom tell you who that was?	Sinabi ba sa iyo ni Tom kung sino iyon?
>>tgl<< Do I have to do it over again?	Dapat ko bang ulitin?
>>tgl<< Do you speak French every day?	Nagsasalita ka ba ng Pranses araw-araw?
>>tgl<< Don't call us, we'll call you.	Huwag mo kaming tawagan. Kami ang tatawag sa'yo.
>>tgl<< Don't forget to bolt the door.	Huwag mo kalimutang ikandado ang pinto.
>>tgl<< Had you ever done that before?	Nagawa mo na ba iyon dati?
>>tgl<< Have you ever traveled by air?	Nakabiyahe ka na bang palipad?
>>tgl<< He believes that he is a hero.	Ang isip niya'y bayani siya.
>>tgl<< He gave each of them a pencil.	Binigyan niya ang bawat isa ng lapis.
>>tgl<< He lives just across the road.	Nakatira siya sa kabila ng daan.
>>tgl<< He loves going to the theater.	Gusto niyang napuntang teatro.
>>tgl<< He married a very pretty girl.	Nagasawa siya ng napakagandang babae.
>>tgl<< He stayed at his aunt's house.	Nanatili siya sa bahay ng tiyahin niya.
>>tgl<< He was looking out the window.	Nakatanaw siya sa labas ng bintana.
>>tgl<< He was ready to face his fate.	Handa na siyang harapin ang kapalaran niya.
>>tgl<< He whispered something to her.	May binulong siya sa kanya.
>>tgl<< He wrote this novel at twenty.	Sinulat niya itong nobela noong beynte siya.
>>tgl<< Her house is across the river.	Sa kabila ng ilog ang bahay niya.
>>tgl<< I accompanied him on the trip.	Sinamahan ko siya sa biyahe.
>>tgl<< I am thinking of going abroad.	Isip ko'y mag-aabrod ako.
>>tgl<< I am very glad school is over.	Natutuwa ako at tapos na ang klase.
>>tgl<< I asked Tom to close the door.	Pinasara ko kay Tomas ang pinto.
>>tgl<< I asked Tom where he got that.	Tinanong ko si Tom kung saan niya nakuha iyon.
>>tgl<< I caught three fish yesterday.	Nakahuli ako ng tatlong isda kahapon.
>>tgl<< I couldn't catch what he said.	Hindi ko makuha ang sinabi niya.
>>tgl<< I didn't say I would help you.	Hindi ko sinabing tutulungan kita.
>>tgl<< I do my homework after school.	Ginagawa ko ang takdang-aralin pagkauwi mula sa eskwelahan.
>>tgl<< I don't know how much it cost.	Hindi ko alam kung magkano 'to.
>>tgl<< I don't know what to tell you.	Hindi ko alam anong sasabihin ko sa iyo.
>>tgl<< I don't want to fail my exams.	Ayoko bumagsak sa aking mga pagsusulit.
>>tgl<< I gave my sister a dictionary.	Binigyan ko ang kapatid ko ng diksiyunaryo.
>>tgl<< I got a good grade in English.	Magaling ang marka ko sa Ingles.
>>tgl<< I got up early in the morning.	Gumising akong maaga sa umaga.
>>tgl<< I had nothing to do with this.	Wala akong kinalaman dito.
>>tgl<< I have nothing to add to that.	Wala akong maiidagdag doon.
>>tgl<< I haven't eaten breakfast yet.	Hindi pa ako nag-aalmusal.
>>tgl<< I hope I'm not disturbing you.	Sana'y hindi kita naaabala.
>>tgl<< I just don't know what to say.	Di ko lang talaga alam kung ano sasabihin.
>>tgl<< I know Tom wanted to meet you.	Alam ko na gusto kang makita ni Tom.
>>tgl<< I like science fiction better.	Mas gusto ko ang siyensiyang piksiyon.
>>tgl<< I met my friend on the street.	Natagpo ko ang kaibigan ko sa kalye.
>>tgl<< I planted roses in the garden.	Nagtanim ako ng rosas sa hardin.
>>tgl<< I put the money into the safe.	Nilagay ko ang pera sa kaha de yero.
>>tgl<< I really don't want you to go.	Ayaw ko talagang umalis ka.
>>tgl<< I think he'll understand this.	Isip ko'y maiintindihan niya ito.
>>tgl<< I think his life is in danger.	Tingin ko nanganganib ang buhay niya.
>>tgl<< I want us to start over again.	Gusto kong magsimula ulit tayo.
>>tgl<< I wanted to go to the concert.	Gusto ko sanang pumunta sa concert.
>>tgl<< I was waiting for a long time.	Naghintay ako nang matagal.
>>tgl<< I went inside to drink coffee.	Pumasok ako sa loob para uminom ng kape.
>>tgl<< I will be seventeen next week.	Maglalabing-pitong taon na ako nang kasunod na linggo.
>>tgl<< I wish I were a little taller.	Sana mas matangkad ako nang kaunti.
>>tgl<< I'm going to be a millionaire.	Magiging milyonaryo ako.
>>tgl<< I've no idea what's happening.	Hindi ko alam kung ano'ng nangyayari.
>>tgl<< It is fun to speak in English.	Nakakatuwa ang mag-ingles.
>>tgl<< It'll soon be time for dinner.	Malapit nang mag-hapunan.
>>tgl<< It's late, so turn off the TV.	Tanghali na, kaya patayin mo ang telebisyon.
>>tgl<< Look at me when I talk to you!	Tingnan mo ako pag kinakausap kita!
>>tgl<< Look it up in your dictionary.	Hanapin mo sa diksiyunaryo.
>>tgl<< Mathematics is her weak point.	Mahina siya sa sipnayan.
>>tgl<< May I have a road map, please?	Pakiabot ng mapa ng kalye, nga?
>>tgl<< May I recommend another hotel?	Puwede ko bang irekomenda ang ibang otel?
>>tgl<< Only peace can save the world.	Ang kapayapaan lamang ang makakaligtas ng daigdig.
>>tgl<< Please come whenever you like.	Pumunta ka lang kapag gusto mo.
>>tgl<< Please take these dishes away.	Pakialis nga nitong mga pinggan.
>>tgl<< She did not turn up after all.	Di siya sumipot nga.
>>tgl<< She dried her face on a towel.	Tinuyo niya ang kanyang mukha sa tuwalya.
>>tgl<< She made coffee for all of us.	Gumawa siya ng kape para sa lahat kami.
>>tgl<< She made coffee for all of us.	Gumawa siya ng kape para sa lahat tayo.
>>tgl<< She met her uncle at the shop.	Nakita niya ang tiyuhin niya sa tindahan.
>>tgl<< She studies English every day.	Nag-aaral siya ng Ingles araw-araw.
>>tgl<< She was living alone in a hut.	Tumira siyang mag-isa sa bahay kubo.
>>tgl<< Thanks a lot for all the help.	Maraming salamat sa lahat ng tulong mo.
>>tgl<< That incident made him famous.	Ang pangyayaring iyon ang nagpasikat sa kanya.
>>tgl<< That park has a lot of snakes.	Maraming ahas sa parke roon.
>>tgl<< The baby isn't crying anymore.	Di na umiiyak ang beybi.
>>tgl<< The children's room is a mess.	Magulo ang kuwarto ng mga bata.
>>tgl<< The government was overthrown.	Napabagsak ang pamahalaan.
>>tgl<< The old clock is still in use.	Ginagamit pa ang lumang orasan.
>>tgl<< There is a glass on the table.	May baso sa mesa.
>>tgl<< There is no other explanation.	Wala nang iba pang paliwanag.
>>tgl<< There's a picture on the wall.	May litrato sa dingding.
>>tgl<< They are having breakfast now.	Nag-aalmusal sila ngayon.
>>tgl<< They were alarmed at the news.	Nagulat sila sa balita.
>>tgl<< This chair is made of plastic.	Gawa sa plastik ang silya.
>>tgl<< This chair is made of plastic.	Gawa sa plastik ang upuan.
>>tgl<< This fruit doesn't taste good.	Hindi masarap ang prutas na ito.
>>tgl<< This is our biggest challenge.	Ito ang pinakamalaking hamon natin.
>>tgl<< This morning it was very cold.	Talagang malamig nitong umaga.
>>tgl<< To my surprise, she was alive.	Sa kagitlaan ko, buhay siya.
>>tgl<< Tom almost spilled his coffee.	Muntik nang natabig ni Tomas ang kape niya.
>>tgl<< Tom and Mary have no children.	Walang anak sina Tomas at Maria.
>>tgl<< Tom certainly complains a lot.	Talaga namang mareklamo si Tom.
>>tgl<< Tom has something to ask Mary.	May gustong itanong si Tomas kay Maria.
>>tgl<< Tom hid himself under the bed.	Nagtago si Tomas sa ilalim ng kama.
>>tgl<< Tom thanked Mary for her help.	Pinasalamatan ni Tom si Mary para sa kanyang tulong.
>>tgl<< Tom was on the verge of tears.	Paiyak na si Tomas.
>>tgl<< Tom went back to his hometown.	Bumalik si Tomas sa kanyang bayang sinilangan.
>>tgl<< Tom went back to his hometown.	Bumalik si Tom sa bayan niyang sinilangan.
>>tgl<< Tom would do that differently.	Iba ang gagawin ni Tom.
>>tgl<< Velvet pants are out of style.	Hindi na uso ang pantalong velvet.
>>tgl<< We like swimming in the ocean.	Gusto naming lumangoy sa karagatan.
>>tgl<< We made a lot of bad mistakes.	Tayo ay nakagawa ng maraming masasamang pagkakamali.
>>tgl<< What do your friends call you?	Anong tawag ng mga kaibigan mo sa iyo?
>>tgl<< What kind of work will you do?	Ano'ng klaseng trabaho ang papasukan mo?
>>tgl<< What were you doing yesterday?	Anong ginawa mo kahapon?
>>tgl<< Where are the toilets, please?	Nasaan po ang banyo?
>>tgl<< Where do you watch television?	Saan ka nanuod ng telebisyon?
>>tgl<< Who is going to speak tonight?	Sinong magsasalita ngayong gabi?
>>tgl<< Why didn't you say so earlier?	Ba't di mo mas maagang sinabi?
>>tgl<< Why do you want to be a nurse?	Bakit gusto mong maging nars?
>>tgl<< Why were you absent yesterday?	Bakit ka liban kahapon?
>>tgl<< Would anyone like more coffee?	Meron bang gusto pa ng kape?
>>tgl<< You can certainly rely on him.	Siguradong makaaasa ka sa kanya.
>>tgl<< You can eat whatever you like.	Kumain ka ng anumang gusto mo.
>>tgl<< You should do that right away.	Gawin mo na iyan agad.
>>tgl<< You'd better go there on foot.	Dapat maglakad ka lang papunta doon.
>>tgl<< You're respected by everybody.	Tinitingala ka ng lahat.
>>tgl<< Your parents ought to know it.	Dapat malaman ng magulang mo iyon.
>>tgl<< A dog followed me to my school.	May asong sumunod sa akin sa paaralan.
>>tgl<< Another bottle of wine, please.	Isa pang bote ng alak, po.
>>tgl<< Can I have the key now, please?	Pakibigay ho ang susi sa akin, nga?
>>tgl<< Come along with us if you like.	Sumama ka sa amin kung gusto mo.
>>tgl<< Do you have a license for that?	Mayroon ka bang lisensya para dyan?
>>tgl<< Don't fix it if it ain't broke.	Huwag itong ayusin kung hindi ito sira.
>>tgl<< First of all, I will read this.	Sa umpisa, babasahin ko ito.
>>tgl<< He couldn't take it any longer.	Hindi na niya matiis.
>>tgl<< He disappeared without a trace.	Nawala sya na parang bula.
>>tgl<< He has been dead for ten years.	Patay na siya nang sampung taon na.
>>tgl<< He is something of a celebrity.	Para siyang selebriti.
>>tgl<< He is the tallest in his class.	Pinakatangkad siya sa klase niya.
>>tgl<< He threw a stone into the pond.	Naghagis siya ng bato sa lawa.
>>tgl<< He took a picture of the koala.	Nilitratuhan niya ang koala.
>>tgl<< He understood he could not win.	Alam niyang hindi siya mananalo.
>>tgl<< He's a science fiction fanatic.	Panatiko siya ng siyensiyang piksiyon.
>>tgl<< Her hope is to become a doctor.	Ang hiling niya ay maging manggagamot.
>>tgl<< I am going to America by plane.	Pupunta ako sa America sa pamamagitan ng eroplano.
>>tgl<< I am thankful for the holidays.	Nagpapasalamat ako para sa bakasyon.
>>tgl<< I am very interested in French.	Talagang interesado ako sa Pranses.
>>tgl<< I asked him about his new book.	Tinanong ko siya tungkol sa bagong libro niya.
>>tgl<< I didn't know he drank so much.	Hindi ko alam na malakas pala siya uminom.
>>tgl<< I don't know how to explain it.	Hindi ko alam kung paano ito ipapaliwanag.
>>tgl<< I don't want to miss the plane.	Ayaw kong mamis ang eroplano.
>>tgl<< I don't want to read this book.	Di ko gustong basahin itong libro.
>>tgl<< I don't wear shoes in my house.	Hindi ako nagsusuot ng sapatos sa loob ng bahay ko.
>>tgl<< I don't wear shoes in my house.	Hindi ako nagsusuot ng sapatos sa loob ng aking bahay.
>>tgl<< I feel that something is wrong.	Pakiramdam kong may mali.
>>tgl<< I gave my brother a dictionary.	Binigyan ko ng diksyunaryo ang aking lalaking kapatid.
>>tgl<< I have a dictionary in my hand.	May diksiyunaryo ako sa kamay ko.
>>tgl<< I have to reply to this letter.	Dapat sumagot ako sa sulat na ito.
>>tgl<< I myself have never seen a UFO.	Ako mismo ay hindi pa nakakakita ng UFO.
>>tgl<< I need to get my oboe repaired.	Kailangan kong ipaayos ang oboe ko.
>>tgl<< I need to know Tom's last name.	Kailangan kong malaman ang apelyido ni Tom.
>>tgl<< I never thought of that before.	Hindi ko naisip iyan dati.
>>tgl<< I saw someone go into the room.	Nakita ko 'yong taong pumasok sa silid.
>>tgl<< I was invited to dinner by her.	Inimbitahan niya akong mag-hapunan.
>>tgl<< I wish I could buy that guitar.	Sana mabili ko ang gitarang iyan.
>>tgl<< I wrote her a letter every day.	Sinulatan ko siya araw-araw.
>>tgl<< I'm sorry, I don't have change.	Pasensya na, wala akong panukli.
>>tgl<< It's a waste of time and money.	Aksaya iyon ng oras at pera.
>>tgl<< It's getting warmer and warmer.	Umiinit na nang umiinit.
>>tgl<< Let's get our photograph taken.	Magpakuha tayo ng litrato.
>>tgl<< Mary is interested in politics.	Interesado si Maria sa politika.
>>tgl<< My brother used to be a lawyer.	Ang kapatid ko ay dating abogado.
>>tgl<< My hobby is playing the guitar.	Paggigitara ang hilig ko.
>>tgl<< My husband always reads in bed.	Palaging nagbabasa ang aking asawa sa kama.
>>tgl<< My husband always reads in bed.	Palaging nagbabasa ang asawa ko sa kama.
>>tgl<< My mother is cooking breakfast.	Nagluluto ng almusal ang nanay ko.
>>tgl<< Neither you nor I are mistaken.	Walang mali sa ating dalawa.
>>tgl<< Nobody stayed to help clean up.	Wala man lang natira para tumulong sa paglilinis.
>>tgl<< Nobody will believe that rumor.	Walang maniniwala sa tsismis na iyon.
>>tgl<< Not everybody succeeds in life.	Hindi lahat ay nagtatagumpay sa buhay.
>>tgl<< Our school is near the station.	Malapit ang aming paaralan sa istasyon.
>>tgl<< She doesn't like wearing heels.	Hindi siya mahilig magtakong.
>>tgl<< She had achieved her objective.	Natupad na niya ang layunin niya.
>>tgl<< She has a great fear of snakes.	Talagang takot siya sa mga ahas.
>>tgl<< She held on to my hand tightly.	Mahigpit niyang hinawakan ang kamay ko.
>>tgl<< She rarely goes out on Sundays.	Bihira siyang lumabas kapag Linggo.
>>tgl<< She was brought up by her aunt.	Pinalaki siya ng kanyang tiyahin.
>>tgl<< That kid kept crying for hours.	Umiyak yung bata nang ilang oras.
>>tgl<< That's almost impossible to do.	Halos imposibleng gawin 'yan.
>>tgl<< The children are growing tired.	Napapagod na ang mga bata.
>>tgl<< The children received presents.	Nakatanggap ng mga regalo ang mga bata.
>>tgl<< The frog came out of the water.	Lumabas ang palaka sa tubig.
>>tgl<< The music stopped for a minute.	Tumigil ang musika nang saglit.
>>tgl<< The surgery is quite difficult.	Mahirap talaga ang operasyon.
>>tgl<< There are many hotels downtown.	Maraming otel sa dawntawn.
>>tgl<< There is a Picasso on the wall.	May Picasso sa dingding.
>>tgl<< There is a time for everything.	May oras para sa lahat.
>>tgl<< There is no use talking to her.	Walang kuwenta siyang kausapin.
>>tgl<< There's still a long way to go.	Malayo pa.
>>tgl<< They are in favor of your plan.	Pabor sila sa plano mo.
>>tgl<< They say that he's still alive.	Sabi nila'y buhay pa siya.
>>tgl<< This bus can hold fifty people.	Kasya ang limampung tao sa bus.
>>tgl<< This word has a double meaning.	Dobleng ibig-sabihin itong salita.
>>tgl<< Tom arrived half an hour early.	Dumating si Tomas nang kalahating oras na maaga.
>>tgl<< Tom can't control his children.	Di makontrol ni Tomas ang mga anak niya.
>>tgl<< Tom couldn't speak French well.	Di masyadong marunong magpranses si Tomas.
>>tgl<< Tom doesn't want to be a pilot.	Ayaw maging piloto ni Tom.
>>tgl<< Tom forgot Mary's phone number.	Nakalimutan ni Tom ang numero ni Mary.
>>tgl<< Tom hardly ever loses at chess.	Halos hindi natatalo sa Tom sa chess.
>>tgl<< Tom has never gone to a casino.	Hindi pa nakapunta si Tom sa casino.
>>tgl<< Tom is a stranger in this town.	Dayuhan si Tomas sa bayang ito.
>>tgl<< Tom is always hungry, isn't he?	Palaging gutom si Tom, hindi ba?
>>tgl<< Tom said nobody else was there.	Sinabi ni Tom na walang ibang tao nandoon.
>>tgl<< Tom told me he didn't see Mary.	Sabi ni Tom sa akin hindi niya nakita si Mary.
>>tgl<< Tom told me that he didn't win.	Sumabi ni Tom na hindi nanalo siya.
>>tgl<< Tom wants to try a new shampoo.	Gusto ni Tom na gumamit ng bagong shampoo.
>>tgl<< Tom was sent here to take over.	Pinadala dito si Tom para pumalit.
>>tgl<< Tom's car is older than Mary's.	Mas luma ang kotse ni Tom kaysa sa kay Mary.
>>tgl<< We took part in the discussion.	Sumali kami sa usapan.
>>tgl<< We wear uniforms at our school.	Nagsusuot kami ng uniporme sa aming paaralan.
>>tgl<< We went to the mountain to ski.	Nagpuntang bundok kami para mag-iski.
>>tgl<< We've got to protect ourselves.	Kailangan nating protektahan ang ating mga sarili.
>>tgl<< We've just cleaned the toilets.	Kalilinis lang namin ng mga kubeta.
>>tgl<< What kind of books do you need?	Anong klaseng libro ang kailangan mo?
>>tgl<< What's this got to do with Tom?	Anong kinalaman nito kay Tom?
>>tgl<< Whatever it is, I didn't do it.	Kung anuman iyon, hindi ko iyon ginawa.
>>tgl<< When are we eating? I'm hungry!	Kailan tayo kakain? Gutom na ako!
>>tgl<< When was the last time you ate?	Kailan ka huling kumain?
>>tgl<< Where is the nearest telephone?	Saan ang malapit na telepono?
>>tgl<< Why didn't you use a pay phone?	Bakit hindi ka gumamit ng pay phone?
>>tgl<< Why do I have to work with Tom?	Bakit kailangang katrabaho ko si Tom?
>>tgl<< Why do you want to leave today?	Bakit gusto mong umalis ngayon?
>>tgl<< Would anybody like more coffee?	Meron bang gusto pa ng kape?
>>tgl<< Would you please open the door?	Pakibukas mo nga ng pinto?
>>tgl<< Write an essay on "Friendship".	Magsulat ng sanaysay tungkol sa "Pagkakaibigan".
>>tgl<< You can go home if you want to.	Puwede kang umuwi kung gusto mo.
>>tgl<< You may invite anyone you like.	Maaari mong imbitahin ang kahit na sinong gusto mo.
>>tgl<< You should rest after exercise.	Dapat magpahinga ka pagkatapos ng eksersays.
>>tgl<< You'll forget about me someday.	Makakalimutan mo rin ako balang araw.
>>tgl<< You're asking the wrong person.	Hindi ako ang dapat mong tanungin.
>>tgl<< Your name is first on the list.	Una ang pangalan mo sa listahan.
>>tgl<< A strong wind blew all day long.	Malakas ang hangin buong araw.
>>tgl<< About how many books do you own?	Mga ilang libro meron ka?
>>tgl<< All plants need water and light.	Lahat ng halaman ay kailangan ang tubig at ilaw.
>>tgl<< Are you having trouble sleeping?	Nahihirapan ka bang matulog?
>>tgl<< Astronomy is an expensive hobby.	Mahal na hobi ang astronomiya.
>>tgl<< Do you have a complaint to make?	Mayroon ka bang reklamo?
>>tgl<< Do you know how to play mahjong?	Marunong ka bang magmahjong?
>>tgl<< Everything is getting expensive.	Nagiging mahal ang lahat.
>>tgl<< He always borrows money from me.	Palagi siyang humihiram ng pera sa akin.
>>tgl<< He asked me whether I like math.	Tinanong niya kung gusto ko ang math.
>>tgl<< He had his car stolen yesterday.	Nanakaw 'yong kotse niya kahapon.
>>tgl<< He really likes science fiction.	Talagang gusto niya ang siyensiyang piksiyon.
>>tgl<< How about another cup of coffee?	Isang tasa pa ng kape?
>>tgl<< How do you write your last name?	Paano sinusulat ang apelyido mo?
>>tgl<< How far is the next gas station?	Gaano kalayo ang sumusunod na estasyon ng gasolina?
>>tgl<< How many languages do you speak?	Ilang wika ang marunong ka?
>>tgl<< How much oil does Australia use?	Gaano karami ang langis na ginagamit ng Australia?
>>tgl<< I am fed up with talking to her.	Sawa na akong kausapin siya.
>>tgl<< I disagree with this completely.	Talagang hindi ako sumasang-ayon dito.
>>tgl<< I don't believe they understood.	Isip kong hindi nila naintindihan.
>>tgl<< I don't feel like eating at all.	Ayaw kong kumain.
>>tgl<< I don't know if I still have it.	Di ko alam kung nasa akin pa.
>>tgl<< I found the picture interesting.	Natutuwa ako sa litrato.
>>tgl<< I go to school every day by bus.	Araw-araw nagbubus akong papuntang eskuwela.
