>>nob<< Run!	Løp!
>>nob<< Excuse me, I have a question.	Unnskyld meg, jeg har noe å spørre om.
>>nob<< Go find something else to do.	Gå og finn noe annet å gjøre.
>>nob<< Great progress has been made.	Det er gjort store framsteg.
>>nob<< Have we done something wrong?	Har vi gjort noe galt?
>>nob<< Have you been here all night?	Har du vært her i hele natt?
>>nob<< Have you ever been to Mexico?	Har du noen gang vært i Mexico?
>>nob<< Have you found something out?	Har du funnet ut av noe?
>>nob<< He always keeps his promises.	Han holder alltid sine løfter.
>>nob<< He came in fifth in the race.	Han kom på femteplass i løpet.
>>nob<< He handed in his resignation.	Han leverte sin oppsigelse.
>>nob<< He has little money with him.	Han har lite penger med seg.
>>nob<< He laid his bag on the table.	Han la baggen sin på bordet.
>>nob<< He laid the book on the desk.	Han la boken på skrivebordet.
>>nob<< He lost all the money he had.	Han mistet alle pengene sine.
>>nob<< He loves you as much as I do.	Han elsker deg like mye som jeg gjør.
>>nob<< He stopped smoking last year.	Han sluttet å røyke i fjor.
>>nob<< He used to bully his friends.	Han pleide å mobbe vennene sine.
>>nob<< He worked far into the night.	Han jobbet langt ut på natta.
>>nob<< Here's something interesting.	Her er noe interessant.
>>nob<< How do you want this handled?	Hvordan vil du at dette skal bli håndtert?
>>nob<< How does this disease spread?	Hvordan sprer denne sykdommen seg?
>>nob<< How long will this rope hold?	Hvor lenge vil dette tauet holde?
>>nob<< How many guitars do you have?	Hvor mange gitarer har du?
>>nob<< How many times must I say no?	Hvor mange ganger må jeg si nei?
>>nob<< How often does Tom come here?	Hvor ofte kommer Tom her?
>>nob<< How was your summer vacation?	Hvordan var sommerferien din?
>>nob<< I am feeling much better now.	Jeg føler meg mye bedre nå.
>>nob<< I asked him why he is so sad.	Jeg spurte ham om hvorfor han er så trist.
>>nob<< I bought a round-trip ticket.	Jeg kjøpte en tur-retur billett.
>>nob<< I bought two bottles of milk.	Jeg kjøpte to flasker melk.
>>nob<< I brush my teeth twice a day.	Jeg pusser tennene to ganger om dagen.
>>nob<< I can speak a little English.	Jeg snakker litt engelsk.
>>nob<< I can type 50 words a minute.	Jeg kan skrive 50 ord i minuttet.
>>nob<< I can't answer your question.	Jeg kan ikke svare på spørsmålet ditt.
>>nob<< I can't remember her address.	Jeg kan ikke huske adressen hennes.
>>nob<< I considered changing my job.	Jeg vurderte å bytte jobb.
>>nob<< I couldn't decide what to do.	Jeg kunne ikke bestemme meg for hva jeg skulle gjøre.
>>nob<< I couldn't solve the problem.	Jeg klarte ikke å løse problemet.
>>nob<< I definitely don't know them.	Jeg kjenner dem definitivt ikke.
>>nob<< I didn't see who was driving.	Jeg så ikke hvem som kjørte.
>>nob<< I didn't want this to happen.	Jeg ønsket ikke at dette skulle skje.
>>nob<< I didn't want to do anything.	Jeg ville ikke gjøre noe.
>>nob<< I don't drink that much beer.	Jeg drikker ikke så mye øl.
>>nob<< I don't have a son named Tom.	Jeg har ingen sønn som heter Tom.
>>nob<< I don't like working outside.	Jeg liker ikke å jobbe ute.
>>nob<< I don't want to be different.	Jeg vil ikke være annerledes.
>>nob<< I don't want to do this here.	Jeg vil ikke gjøre dette her.
>>nob<< I don't want to eat any more.	Jeg vil ikke spise mer.
>>nob<< I don't want to go to school.	Jeg vil ikke gå på skole.
>>nob<< I don't want to start rumors.	Jeg vil ikke starte rykter.
>>nob<< I found a dollar on the road.	Jeg fant en dollar på veien.
>>nob<< I found him lying on the bed.	Jeg fant ham liggende i sengen.
>>nob<< I gave a flower to my father.	Jeg ga en blomst til faren min.
>>nob<< I gave thirty dollars to Tom.	Jeg ga tretti dollar til Tom.
>>nob<< I had trouble getting a taxi.	Jeg hadde vanskeligheter med å få tak i en drosje.
>>nob<< I have absolute trust in you.	Jeg stoler på deg hundre prosent.
>>nob<< I have absolute trust in you.	Jeg stoler på deg helt og holdent.
>>nob<< I have just finished my work.	Jeg er nettopp ferdig med arbeidet mitt.
>>nob<< I have something to tell you.	Jeg har noe å fortelle deg.
>>nob<< I have two parakeets at home.	Jeg har to parakitter hjemme.
>>nob<< I haven't seen him for years.	Jeg har ikke sett ham på åresvis.
>>nob<< I just got done eating lunch.	Jeg ble nettopp ferdig med lunsjen.
>>nob<< I just wanted to call my mom.	Jeg ville bare ringe moren min.
>>nob<< I know how important that is.	Jeg vet hvor viktig det er.
>>nob<< I love that Tom isn't greedy.	Jeg elsker at Tom ikke er grådig.
>>nob<< I met your parents yesterday.	Jeg møtte foreldrene dine i går.
>>nob<< I need someone to protect me.	Jeg trenger noen som kan beskytte meg.
>>nob<< I remember seeing her before.	Jeg husker å ha sett henne før.
>>nob<< I see your cat in the garden.	Jeg ser katten din i hagen.
>>nob<< I shouldn't have sold my car.	Jeg skulle ikke ha solgt bilen min.
>>nob<< I think Tom tried to kill us.	Jeg tror Tom prøvde å drepe oss.
>>nob<< I think it's a waste of time.	Jeg synes det er bortkastet tid.
>>nob<< I used to think no one cared.	Jeg pleide å tro at ingen brydde seg.
>>nob<< I want Tom to clean his room.	Jeg vil at Tom skal rydde rommet sitt.
>>nob<< I was sick, so I stayed home.	Jeg var syk, så jeg ble hjemme.
>>nob<< I wish I could speak English.	Jeg skulle ønske jeg kunne snakke engelsk.
>>nob<< I wish I had a better memory.	Jeg skulle ønske jeg hadde bedre hukommelse.
>>nob<< I wish it would stop raining.	Jeg skulle ønske det ville sluttet å regne.
>>nob<< I wonder if he's really sick.	Jeg lurer på om han egentlig er syk?
>>nob<< I'll be ready in ten minutes.	Jeg er klar om ti minutter.
>>nob<< I'll give it to you tomorrow.	Jeg gir det til deg i morgen.
>>nob<< I'm going to fly to the moon.	Jeg skal fly til månen.
>>nob<< I'm making brownies with Tom.	Jeg lager brownies med Tom.
>>nob<< I'm not here to make friends.	Jeg er ikke her for å få venner.
>>nob<< I'm not hungry. I'm starving.	Jeg er ikke sulten. Jeg sulter.
>>nob<< I'm not proud of how I acted.	Jeg er ikke stolt av hvordan jeg oppførte meg.
>>nob<< I'm not proud of my behavior.	Jeg er ikke stolt av min oppførsel.
>>nob<< I'm on my way to Tom's place.	Jeg er på vei til Toms leilighet.
>>nob<< I'm on my way to Tom's place.	Jeg er på vei til Toms hjem.
>>nob<< I'm sure I've never seen her.	Jeg er sikker på at jeg aldri har sett henne.
>>nob<< I'm sure I've never seen her.	Jeg er sikker på jeg aldri har sett henne.
>>nob<< I'm the youngest in my class.	Jeg er den yngste i klassen min.
>>nob<< I've been doing it for years.	Jeg har holdt på med det i årevis.
>>nob<< I've been sent to escort you.	Jeg har blitt sendt hit for å eskortere deg.
>>nob<< I've never been there before.	Jeg har aldri vært der før.
>>nob<< In case it rains, I won't go.	Hvis det regnet, går jeg ikke.
>>nob<< It gets boring after a while.	Det blir kjedelig etter en stund.
>>nob<< It was an accidental meeting.	Det var et tilfeldig møte.
>>nob<< It was dark under the bridge.	Det var mørkt under broen.
>>nob<< It wasn't me who was singing.	Det var ikke jeg som sang.
>>nob<< It's about time you got here!	Det er på time at du kom!
>>nob<< It's normal to make mistakes.	Det er normalt å gjøre feil.
>>nob<< Let's buy something to drink.	La oss kjøpe noe å drikke.
>>nob<< Let's sit down on that bench.	La oss sette oss på den benken.
>>nob<< Mary arrived at the hospital.	Maria ankom sykehuset.
>>nob<< May I borrow your dictionary?	Kan jeg få låne ordboken din?
>>nob<< May I borrow your dictionary?	Kan jeg låne ordboken din?
>>nob<< May I have your phone number?	Kunne jeg få telefonnummeret ditt?
>>nob<< Mine is not as good as yours.	Min er ikke så god som din.
>>nob<< My dog came running after me.	Hunden min kom løpende etter meg.
>>nob<< My house is near the station.	Huset mitt er i nærheten av stasjonen.
>>nob<< No one understands me either.	Ingen forstår meg heller.
>>nob<< Nobody has understood it yet.	Ingen har forstått det ennå.
>>nob<< Not many people participated.	Ikke veldig mange folk deltok.
>>nob<< Old people get up very early.	Gamle folk står opp veldig tidlig.
>>nob<< One language is never enough.	Ett språk er aldri nok.
>>nob<< Please make yourself at home.	Ta deg til rette.
>>nob<< Please make yourself at home.	Mitt hus er ditt hus.
>>nob<< Please wait for five minutes.	Vennligst vent fem minutter.
>>nob<< Practice is the best teacher.	Øvelse gjør mester.
>>nob<< Prices will continue to rise.	Prisene vil fortsette å stige.
>>nob<< Red wine goes well with meat.	Rødvin passer bra til kjøtt.
>>nob<< Rice grows in warm countries.	Ris gror i varme land.
>>nob<< She began to talk to the dog.	Hun begynte å snakke til hunden.
>>nob<< She doesn't have any enemies.	Hun har ingen fiender.
>>nob<< She earns 30 dollars per day.	Hun tjener 30 dollar om dagen.
>>nob<< She is envious of my success.	Hun er misunnelig på min suksess.
>>nob<< She poured milk into the cup.	Hun helte melk i koppen.
>>nob<< She turned around and smiled.	Hun snudde seg og smilte.
>>nob<< She turned down his proposal.	Hun avviste forslaget hans.
>>nob<< She turned down our proposal.	Hun avviste forslaget vårt.
>>nob<< She wouldn't let us help her.	Hun ville ikke la oss hjelpe henne.
>>nob<< So, what are you waiting for?	Så, hva venter du på?
>>nob<< Some children dislike school.	Noen barn misliker skolen.
>>nob<< Somebody has to do something.	Noen må gjøre noe.
>>nob<< Someone turned the alarm off.	Noen slo av alarmen.
>>nob<< Tell Tom I'm waiting for him.	Fortell Tom at jeg venter på ham.
>>nob<< That car belongs in a museum.	Den bilen tilhører på et museum.
>>nob<< That doesn't worry me at all.	Den saken bekymrer meg ikke i det hele tatt.
>>nob<< That's absolutely incredible.	Det er absolutt fantastisk.
>>nob<< That's because you're a girl.	Det er fordi du er jente.
>>nob<< The children are all excited.	Barna er helt i hundre.
>>nob<< The climate of Japan is mild.	Det japanske klimaet er mildt.
>>nob<< The concert hasn't yet begun.	Konserten har ikke begynt enda.
>>nob<< The man spoke in a low voice.	Mannen snakket med lav stemme.
>>nob<< The meeting lasted two hours.	Møtet varte i to timer.
>>nob<< The producer was Tom Jackson.	Produsenten var Tom Jackson.
>>nob<< The sisters are both blondes.	Begge søstrene er blondiner.
>>nob<< There is a fly in the coffee.	Det er en flue i kaffen.
>>nob<< There is a hole in your sock.	Du har hull i sokken.
>>nob<< They forgot to lock the door.	De glemte å låse døren.
>>nob<< They forgot to lock the door.	De glemte å lukke døren.
>>nob<< They gave their horses water.	De gav hestene sine vann.
>>nob<< They gave their horses water.	De gav vann til hestene deres.
>>nob<< They live together in Boston.	De bor sammen i Boston.
>>nob<< This briefcase was expensive.	Denne kofferten var dyr.
>>nob<< This hall holds 2,000 people.	Denne hallen rommer 2000 personer.
>>nob<< This may not suit your taste.	Det kan være dette ikke passer din smak.
>>nob<< Tom asked me what I had done.	Tom spurte meg hva jeg hadde gjort.
>>nob<< Tom broke up with Mary today.	Tom slo opp med Mary i dag.
>>nob<< Tom didn't make any mistakes.	Tom gjorde ingen feil.
>>nob<< Tom doesn't play video games.	Tom spiller ikke videospill.
>>nob<< Tom had a terrible childhood.	Tom hadde en forferdelig barndom.
>>nob<< Tom had to shout to be heard.	Tom måtte rope for å bli hørt.
>>nob<< Tom has a cat and three dogs.	Tom har en katt og tre hunder.
>>nob<< Tom has a very demanding job.	Tom har en veldig krevende jobb.
>>nob<< Tom has already been alerted.	Tom har allerede blitt varslet.
>>nob<< Tom has always been stubborn.	Tom har alltid vært sta.
>>nob<< Tom has been awake for hours.	Tom har vært våken i timevis.
>>nob<< Tom has decided to buy a gun.	Tom har bestemt seg for å kjøpe en pistol.
>>nob<< Tom has given Mary something.	Tom har gitt Mary noe.
>>nob<< Tom has to be really careful.	Tom må være veldig forsiktig.
>>nob<< Tom has to repair Mary's car.	Tom må reparere Marys bil.
>>nob<< Tom hasn't given us anything.	Tom har ikke gitt oss noe.
>>nob<< Tom hasn't seen the list yet.	Tom har ikke sett listen ennå.
>>nob<< Tom hasn't seen the list yet.	Tom har ikke sett lista ennå.
>>nob<< Tom is playing with his toys.	Tom leker med lekene sine.
>>nob<< Tom is sitting by the window.	Tom sitter ved vinduet.
>>nob<< Tom is this building's owner.	Tom er denne bygningens eier.
>>nob<< Tom is very unhappy with you.	Tom er veldig misfornøyd med deg.
>>nob<< Tom learned French in school.	Tom lærte fransk på skolen.
>>nob<< Tom likes to talk about golf.	Tom liker å snakke om golf.
>>nob<< Tom lives in a fantasy world.	Tom lever i en fantasiverden.
>>nob<< Tom made a terrible decision.	Tom tok en elendig avgjørelse.
>>nob<< Tom needs to be very careful.	Tom må være veldig forsiktig.
>>nob<< Tom needs to call his doctor.	Tom må ringe legen sin.
>>nob<< Tom often stays up all night.	Tom er ofte våken hele natten.
>>nob<< Tom often stays up all night.	Tom er ofte oppe hele natten.
>>nob<< Tom put the map on the table.	Tom la kartet på bordet.
>>nob<< Tom put two and two together.	Tom puttet to og to sammen.
>>nob<< Tom seemed genuinely puzzled.	Tom virket å være virkelig forundret.
>>nob<< Tom took a beating last week.	Tom ble banket opp forrige uke.
>>nob<< Tom turned all the lights on.	Tom skrudde på alle lysene.
>>nob<< Tom walked back out the door.	Tom gikk ut av døra igjen.
>>nob<< Tom was always a quiet child.	Tom var alltid et stille barn.
>>nob<< Tom was dressed all in black.	Tom var kledd helt i svart.
>>nob<< Tom wishes to speak with you.	Tom ønsker å snakke med deg.
>>nob<< Tom wouldn't have liked that.	Tom ville ikke ha likt det.
>>nob<< Tom's family lives in Boston.	Toms familie bor i Boston.
>>nob<< Tom's parents are Christians.	Toms foreldre er kristne.
>>nob<< Tom's response was immediate.	Tom svarte umiddelbart.
>>nob<< Tomorrow I'm going back home.	Jeg drar hjem igjen i morgen.
>>nob<< Turn down the volume, please.	Skru ned volumet.
>>nob<< We did our best to help them.	Vi gjorde vårt beste for å hjelpe dem.
>>nob<< We met Tom at the restaurant.	Vi møtte Tom på restauranten.
>>nob<< We must clean up the kitchen.	Vi må rengjøre kjøkkenet.
>>nob<< We must help him immediately.	Vi må hjelpe ham umiddelbart.
>>nob<< We saw a white ship far away.	Vi så et hvitt skip langt unna.
>>nob<< Were you with Tom that night?	Var du med Tom den kvelden?
>>nob<< What grade is your sister in?	Hvilken klasse går din søster i?
>>nob<< What other options do I have?	Hvilke andre alternativer har jeg?
>>nob<< What're you so nervous about?	Hva er du så nærvøs for?
>>nob<< When I'm sleepy, I go to bed.	Når jeg er trøtt, legger jeg meg.
>>nob<< When Tom saw me, he ran away.	Da Tom så meg, løp han sin vei.
>>nob<< When are you going to Europe?	Når drar du til Europa?
>>nob<< Who wants some hot chocolate?	Hvem vil ha varm sjokolade?
>>nob<< Who wants some hot chocolate?	Hvem vil ha kakao?
>>nob<< Why don't you carry a weapon?	Hvorfor bærer du ikke våpen?
>>nob<< Why don't you eat vegetables?	Hvorfor spiser du ikke grønnsaker?
>>nob<< Winter is my favorite season.	Vinter er favorittsesongen min.
>>nob<< Would you like a cup of milk?	Vil du ha en kopp melk?
>>nob<< Would you like tea or coffee?	Foretrekker du te eller kaffe?
>>nob<< You and I have the same idea.	Du og jeg har samme ide.
>>nob<< You can't live without water.	Man kan ikke leve uten vann.
>>nob<< You don't have a temperature.	Du har ikke feber.
>>nob<< You don't seem too surprised.	Du virker ikke så overrasket.
>>nob<< You don't sleep much, do you?	Du sover ikke mye, gjør du?
>>nob<< You had no reason to do that.	Du hadde ingen grunn til å gjøre det der.
>>nob<< You have a right to be happy.	Du har rett til å være lykkelig.
>>nob<< You may go anywhere you like.	Du kan gå dit du vil.
>>nob<< You might as well go on home.	Du kan like godt dra hjem.
>>nob<< You might as well go on home.	Du kan like godt gå hjem.
>>nob<< You should've come yesterday.	Du skulle ha kommet i går.
>>nob<< You should've studied harder.	Du skulle ha studert mer.
>>nob<< You will do exactly as I say.	Du må gjøre nøyaktig som jeg sier.
>>nob<< You're driving like a maniac!	Du kjører som en galning!
>>nob<< You're just like your mother.	Du er akkurat som moren din.
>>nob<< You're looking a little pale.	Du ser litt blek ut.
>>nob<< Your pen is better than mine.	Pennen din er bedre enn min.
>>nob<< Your story wasn't very scary.	Fortellingen din var ikke veldig skremmende.
>>nob<< All that glitters is not gold.	Det er ikke gull alt som glitrer.
>>nob<< All the boys are the same age.	Alle guttene er jevngamle.
>>nob<< All the boys are the same age.	Alle guttene er like gamle.
>>nob<< Almost everyone speaks French.	Nesten alle snakker fransk.
>>nob<< Are you waiting for something?	Venter du på noe?
>>nob<< By the way, where do you live?	Hvor bor du, forresten?
>>nob<< Can you recommend a good book?	Har du en god bok å anbefale?
>>nob<< Can you recommend a good book?	Kan du anbefale en god bok?
>>nob<< Cars are expensive but useful.	Biler er dyre, men nyttige.
>>nob<< Close the door when you leave.	Lukk døren når du går.
>>nob<< Could you turn down the radio?	Kunne du skrudd ned volumet på radioen?
>>nob<< Did Tom say anything about us?	Sa Tom noe om oss?
>>nob<< Did he learn Japanese as well?	Lærte han japansk også?
>>nob<< Did you leave the window open?	Lot du vinduet stå åpent?
>>nob<< Do seedless watermelons exist?	Finnes vannmeloner uten frø?
>>nob<< Do you go to a private school?	Går du på privatskole?
>>nob<< Do you really need a roommate?	Trenger du virkelig en romkamerat?
>>nob<< Don't give it another thought.	Ikke tenk mer på det.
>>nob<< Don't you think you can do it?	Tror du ikke du kan gjøre det?
>>nob<< Few children were in the room.	Det var nesten ingen barn i rommet.
>>nob<< Few students understand Latin.	Få studenter kan forstå latin.
>>nob<< Football is my favorite sport.	Fotball er favorittsporten min.
>>nob<< Get up early tomorrow morning!	Stå opp tidlig i morgen!
>>nob<< Give him plenty of work to do.	Gi han masse arbeid og gjøre.
>>nob<< Give me something to write on.	Gi meg noe å skrive på.
>>nob<< Have you already eaten dinner?	Har du allerede spist middag?
>>nob<< Have you already eaten dinner?	Har du spist middag allerede?
>>nob<< Have you ever been to America?	Har du vært i USA?
>>nob<< Have you finished packing yet?	Er du ferdig å pakke ennå?
>>nob<< Have you read all these books?	Har du lest alle disse bøkene?
>>nob<< He bought me a new dictionary.	Han kjøpte en ny ordbok til meg.
>>nob<< He didn't understand her joke.	Han forsto ikke vitsen hennes.
>>nob<< He's not cut out for teaching.	Han egner seg ikke til å undervise.
>>nob<< His advice didn't help at all.	Rådet hans var ikke til nytte i det hele tatt.
>>nob<< How did you solve the problem?	Hvordan løste du problemet?
>>nob<< How many children do you have?	Hvor mange barn har du?
>>nob<< How many of us get the chance?	Hvor mange av oss får sjansen?
>>nob<< How many pictures did you buy?	Hvor mange bilder kjøpte du?
>>nob<< How much did you pay for that?	Hvor mye betalte du for den?
>>nob<< Hurry up, or you will be late.	Skynd deg, ellers kommer du for sent.
>>nob<< I admire you for your courage.	Jeg beundrer deg for ditt mot.
>>nob<< I always wanted to have a dog.	Jeg ville alltid ha en hund.
>>nob<< I am looking for a good hotel.	Jeg leter etter et bra hotell.
>>nob<< I ate too much and got sleepy.	Jeg spiste for mye og ble trøtt.
>>nob<< I bought this book for myself.	Jeg kjøpte denne boken til meg selv.
>>nob<< I can't afford to pay so much.	Jeg har ikke råd til å betale så mye.
>>nob<< I did what Tom asked me to do.	Jeg gjorde som Tom ba meg.
>>nob<< I didn't look under the couch.	Jeg titta ikke under sofaen.
>>nob<< I didn't remember that person.	Jeg husket ikke den personen.
>>nob<< I didn't stay there very long.	Jeg var ikke lenge der.
>>nob<< I didn't want anything to eat.	Jeg ville ikke ha noe å spise.
>>nob<< I don't even have a boyfriend.	Jeg har ikke kjæreste engang.
>>nob<< I don't know where Tom parked.	Jeg vet ikke hvor Tom parkerte.
>>nob<< I don't like spoiled children.	Jeg liker ikke bortskjemte barn.
>>nob<< I don't speak French fluently.	Jeg snakker ikke fransk flytende.
>>nob<< I got up at five that morning.	Jeg sto opp klokken fem den morgenen.
>>nob<< I hate to see a grown man cry.	Jeg hater og se en voksen mann grine.
>>nob<< I have nothing to add to that.	Jeg har ingenting å legge til.
>>nob<< I haven't slept well recently.	Jeg har ikke sovet godt nylig.
>>nob<< I haven't used this very much.	Jeg har ikke brukt denne noe særlig.
>>nob<< I heard that Tom lost his job.	Jeg hørte at Tom mistet jobben.
>>nob<< I heard that Tom was arrested.	Jeg hørte at Tom ble arrestert.
>>nob<< I just don't know what to say.	Jeg vet bare ikke hva jeg skal si.
>>nob<< I know what my weaknesses are.	Jeg vet hva mine svakheter er.
>>nob<< I met Tom on my way to school.	Jeg møtte Tom på vei til skolen.
>>nob<< I met an old friend in Boston.	Jeg møtte en gammel venn i Boston.
>>nob<< I never promised you anything.	Jeg lovte deg aldri noe.
>>nob<< I often go downtown on Sunday.	Jeg drar ofte til sentrum på søndager.
>>nob<< I once knew a girl named Mary.	Jeg kjente en jente som het Mary en gang.
>>nob<< I read my horoscope every day.	Jeg leser horoskopet mitt hver dag.
>>nob<< I read my horoscope every day.	Jeg leste horoskopet mitt hver dag.
>>nob<< I saw Tom's name on that list.	Jeg så Toms navn på den lista.
>>nob<< I should be at home right now.	Jeg skulle ha vært hjemme nå.
>>nob<< I should have listened to Tom.	Jeg skulle ha hørt på Tom.
>>nob<< I speak French more often now.	Jeg snakker fransk oftere nå.
>>nob<< I think Tom is from Australia.	Jeg tror Tom kommer fra Australia.
>>nob<< I think Tom is from Australia.	Jeg tror Tom er fra Australia.
>>nob<< I think Tom might've run away.	Jeg tror Tom kan ha stukket av.
>>nob<< I think Tom will listen to me.	Jeg tror Tom vil lytte til meg.
>>nob<< I think about that constantly.	Jeg tenker på det konstant.
>>nob<< I want something hot to drink.	Jeg vil ha noe varmt å drikke.
>>nob<< I want to talk with Tom alone.	Jeg vil snakke med Tom alene.
>>nob<< I want you to open the window.	Jeg vil at du skal åpne vinduet.
>>nob<< I was thinking the same thing.	Jeg tenkte på det samme.
>>nob<< I wish I were a little taller.	Jeg skulle ønske jeg var litt høyere.
>>nob<< I wish you could come with us.	Jeg skulle ønske du kunne komme med oss
>>nob<< I wonder whether Tom is alive.	Jeg lurer på om Tom er i live.
>>nob<< I wonder why Tom is so greedy.	Jeg lurer på hvorfor Tom er så grådig.
>>nob<< I work for a shipping company.	Jeg jobber for et rederi.
>>nob<< I'd like to walk a bit slower.	Jeg vil gå litt saktere.
>>nob<< I'd rather die than surrender.	Jeg vil heller dø enn å overgi meg.
>>nob<< I'll call you some other time.	Jeg ringer deg en annen gang.
>>nob<< I'll leave when Tom gets here.	Jeg skal dra når Tom kommer hit.
>>nob<< I'm going to Europe next week.	Jeg skal til Europa neste uke.
>>nob<< I'm not good at giving advice.	Jeg er ikke flink til å gi råd.
>>nob<< I'm sorry, I dropped my knife.	Unnskyld, jeg mistet kniven min.
>>nob<< I'm sure it was a coincidence.	Jeg er sikker på at det var en tilfeldighet.
>>nob<< I'm tired of eating fast food.	Jeg er lei av å spise fast food.
>>nob<< I'm yawning because I'm tired.	Jeg gjesper fordi jeg er trøtt.
>>nob<< I've been anxious to meet you.	Det gleder meg å møte deg.
>>nob<< I've been doing some research.	Jeg har undersøkt litt.
>>nob<< I've decided to write a novel.	Jeg har bestemt meg for å skrive en roman.
>>nob<< I've no idea what's happening.	Jeg aner ikke hva som skjer.
>>nob<< I've ordered you some dessert.	Jeg har bestilt deg litt dessert.
>>nob<< I've read some of these books.	Jeg har lest noen av disse bøkene.
>>nob<< It is abnormal to eat so much.	Det er unormalt å spise så mye.
>>nob<< It is clear that he is guilty.	Det er klart at han er skyldig.
>>nob<< It is hardly worth discussing.	Det er knapt verdt å diskutere.
>>nob<< It is too dark for me to read.	Det er for mørkt til at jeg kan lese.
>>nob<< It rained for hours and hours.	Det regnet i timesvis.
>>nob<< It rained for hours and hours.	Det fortsatte å regne time etter time.
>>nob<< It was lucky that nobody died.	Det var hell i uhell at ingen døde.
>>nob<< It's going to take a few days.	Det kommer til å ta noen dager.
>>nob<< It's not easy to ride a horse.	Det er ikke lett å ri på hest.
>>nob<< It's too difficult to explain.	Det er for vanskelig å forklare.
>>nob<< Japan is not as big as Canada.	Japan er ikke like stort som Kanada.
>>nob<< Learning English is hard work.	Å lære engelsk er hardt arbeid.
>>nob<< Let me know what you're up to.	Si meg hva du pønsker på.
>>nob<< Let's hide behind the curtain.	Vi gjemmer oss bak gardinen.
>>nob<< Let's hide behind the curtain.	La oss gjemme oss bak gardinen.
>>nob<< Let's not do anything foolish.	La oss ikke gjøre noe dumt.
>>nob<< Let's take a break for coffee.	La oss ta kaffepause.
>>nob<< Look it up in your dictionary.	Slå det opp i ordboken.
>>nob<< May I have something to drink?	Kan jeg få noe å drikke?
>>nob<< May I have something to drink?	Kunne jeg fått noe å drikke?
>>nob<< My dad died before I was born.	Faren min døde før jeg ble født.
>>nob<< My friend lives in this house.	Min venn bor i dette huset.
>>nob<< My house is small and cramped.	Huset mitt er lite og trangt.
>>nob<< No one is allowed to go there.	Ingen får gå dit.
>>nob<< Oslo is the capital of Norway.	Oslo er Norges hovedstad.
>>nob<< Please come when it suits you.	Vennligst kom når det passer deg.
>>nob<< Please listen to me carefully.	Hør godt på hva jeg sier.
>>nob<< She doesn't have any brothers.	Hun har ingen brødre.
>>nob<< She laid herself on the grass.	Hun la seg ned på gresset.
>>nob<< She refused to take the money.	Hun nektet å ta imot pengene.
>>nob<< She was burning with jealousy.	Hun brente av sjalusi.
>>nob<< She was not seriously injured.	Hun ble ikke alvorlig skadet.
>>nob<< She wasn't helping her mother.	Hun hjalp ikke sin mor.
>>nob<< She's really smart, isn't she?	Hun er veldig smart, ikke sant?
>>nob<< Somebody is playing the piano.	Noen spiller piano.
>>nob<< Something strange is going on.	Noe rart foregår.
>>nob<< Sugar dissolves in hot coffee.	Sukker løser seg opp i varm kaffe.
>>nob<< That doesn't tell me anything.	Det sier meg ingenting.
>>nob<< That experiment was a failure.	Det eksperimentet var mislykket.
>>nob<< That's the reason I hired you.	Det er grunnen til at jeg ansatte deg.
>>nob<< That's totally understandable.	Det er helt forståelig.
>>nob<< The boy was sold into slavery.	Gutten ble solgt som slave.
>>nob<< The boys are all the same age.	Alle guttene er jevngamle.
>>nob<< The candle went out by itself.	Lyset sluknet av seg selv.
>>nob<< The capital of Japan is Tokyo.	Hovedstaden i Japan er Tokyo.
>>nob<< The car crashed into the wall.	Bilen krasjet inn i veggen.
>>nob<< The curry was nothing special.	Karrien var ikke noe spesielt.
>>nob<< The desk is covered with dust.	Skrivebordet er dekket av støv.
>>nob<< The mistake cost him his head.	Feilen kostet ham hodet.
>>nob<< The moon is behind the clouds.	Månen er bak skyene.
>>nob<< The pain has mostly gone away.	Smerten har for det meste forsvunnet.
>>nob<< The reasons weren't explained.	Årsakene ble ikke forklart.
>>nob<< The reasons weren't explained.	Grunnene ble ikke forklart.
>>nob<< The rice is already harvested.	Risen er allerede innhøstet.
>>nob<< The ship is now in the harbor.	Skipet er nå i havnen.
>>nob<< The station is two miles away.	Stasjonen er to engelske mil borte.
>>nob<< The wooden chair is expensive.	Trestolen er kostbar.
>>nob<< The work was all but finished.	Arbeidet var bortimot ferdig.
>>nob<< There are cookies in the oven.	Det er kaker i ovnen.
>>nob<< There are no stupid questions.	Det finnes ingen dumme spørsmål.
>>nob<< There is a market in the town.	Det er et marked i byen.
>>nob<< There's no oxygen on the moon.	Det er ikke oksygen på månen.
>>nob<< These boxes are the same size.	Disse boksene er like store.
>>nob<< They accomplished their goals.	De oppnådde sine mål.
>>nob<< They are sitting at the table.	De sitter ved bordet.
>>nob<< They lived happily ever after.	De levde lykkelig alle sine dager.
>>nob<< They walked around the corner.	De gikk rundt hjørnet.
>>nob<< They worshipped him as a hero.	De tilba han som en helt.
>>nob<< This chair is made of plastic.	Denne stolen er laget av plastikk.
>>nob<< This desk is a bit low for me.	Dette skrivebordet er litt lavt for meg.
>>nob<< This desk is a bit low for me.	Denne pulten er litt lav for meg.
>>nob<< This disease causes blindness.	Denne sykdommer forårsaker blindhet.
>>nob<< This is a difficult situation.	Dette er en vanskelig situasjon.
>>nob<< This is a very strange letter.	Dette er et merkelig brev.
>>nob<< This is an old Japanese movie.	Dette er en gammel japansk film.
