>>ilo<< I try.	Padasek.
>>ilo<< What were you doing there?	Ania ti ar-aramidem idiay?
>>ilo<< What would you like to do?	Ania ti kayatmo nga aramiden?
>>ilo<< When will you take a bath?	Kaanoka nga agdigos?
>>ilo<< Where are the other girls?	Ayanda dagiti dadduma a babbai?
>>ilo<< Why did you do this to me?	Apay nga inaramidmo ti kastoy kaniak?
>>ilo<< You should see the doctor.	Masapul nga agpakitaka iti doktor.
>>ilo<< Brush your teeth every day.	Gisigisam dagiti ngipenmo iti inaldaw.
>>ilo<< Come back here, you coward.	Agsublika ditoy, sika a takrot.
>>ilo<< Do I look like a terrorist?	Aglanglangaak kadi a terorista?
>>ilo<< Don't worry. I'll help you.	Dika madanagan. Tulonganka.
>>ilo<< Don't you dare answer that.	DImo padpadasen a sungbatan dayta.
>>ilo<< Friends are very important.	Napateg la unay dagiti gagayyem.
>>ilo<< He believes in Santa Claus.	Mamati isuna iti Santa Claus.
>>ilo<< He has no room to study in.	Awan bukodna a siled a pagadalanna.
>>ilo<< He isn't able to buy a car.	Saanna a kabaelan ti gumatang iti kotse.
>>ilo<< I had chicken pox as a kid.	Nagtukoak idi ubingak.
>>ilo<< I need a bigger frying pan.	Masapulko ti dakdakkel a pariok.
>>ilo<< I need nine hours of sleep.	Masapulko ti siam nga oras a pannaturog.
>>ilo<< I need to go to the toilet.	Kasapulak ti mapan iti kasilias.
>>ilo<< I need to go to the toilet.	Mapanak umigid.
>>ilo<< I need to go to the toilet.	Innak tumakki.
>>ilo<< I paid 30 dollars for that.	Nagbayadak iti 30 a doliar para iti dayta.
>>ilo<< I really want a motorcycle.	Talaga a kayatko ti motorsiklo.
>>ilo<< I thought about the future.	Pinanunotko ti maipapan iti masakbayan.
>>ilo<< I told Tom he was a coward.	Imbagak ken ni Tom a takrot isuna.
>>ilo<< I told you he was a coward.	Kunakto met kenka a maysa a takrot isuna.
>>ilo<< I was in Boston in October.	Addaak idiay Boston idi Oktubre.
>>ilo<< I'm going to sell my house.	Ilakok ti balayko.
>>ilo<< Is the hotel far from here?	Adayo kadi ti otel manipud ditoy?
>>ilo<< Is the mouse dead or alive?	Natay kadi ti bao wenno nabiag pay?
>>ilo<< It won't be simple for you.	Saan a nalaka para kaniam.
>>ilo<< My sister married a doctor.	Nagasawa iti doktor ti kabsatko a babai.
>>ilo<< None of us knew what to do.	Awan kadatayo ti makaammo no ania ti maaramid.
>>ilo<< None of us saw Tom do that.	Awan kadatayo ti nakakita nga inaramid ni Tom dayta.
>>ilo<< Paris will always be Paris.	Ti Paris ket Paris-to latta.
>>ilo<< She asked me how old I was.	Dinamagna no manon ti tawenko.
>>ilo<< She lived there by herself.	Agnanaed sadiay nga is-isuna.
>>ilo<< Terrorists were everywhere.	Adda dagiti terorista iti uray sadino.
>>ilo<< The terrorists have failed.	Napaay dagiti terorista.
>>ilo<< These bananas are not ripe.	Saan pay a naluom dagitoy a saba.
>>ilo<< This is never going to end.	Saanen nga agpatingga daytoy.
>>ilo<< Tom didn't touch his lunch.	Saan a kinuti ni Tom ti pangngaldawna.
>>ilo<< Tom has a beautiful garden.	Adda napintas a hardin ni Tom.
>>ilo<< We both did the same thing.	Agpada ti inaramidta.
>>ilo<< We celebrated his birthday.	Rinambakanmi ti panagkasangayna.
>>ilo<< We need to call the police.	Masapul nga umawagtayo iti polis.
>>ilo<< What are you talking about?	Ania ti ibagbagam?
>>ilo<< What would you like to eat?	Ania ti kayatmo a kanen?
>>ilo<< When is it going to happen?	Kaano a mapasamak?
>>ilo<< Where should I put my bags?	Pangikkak kadi ngata kadagiti bagko?
>>ilo<< Who are those young ladies?	Asino dagiti a naubbing pay a babbai?
>>ilo<< Who have you helped lately?	Siasino dagit natulungamon itay nabiit?
>>ilo<< Who's calling at this hour?	Asino ti umaw-awag iti kastoy nga oras?
>>ilo<< Why do you need to do this?	Apay a masapul nga aramidem daytoy?
>>ilo<< You never tell me anything.	Awan a pulos imbagbagam kaniak.
>>ilo<< You've spilled your coffee.	Naibellengen dayta kapem.
>>ilo<< Are those people terrorists?	Terorista kadi dagidiay a tattao?
>>ilo<< Do you need help doing this?	Masapulmo kadi ti tulong a mangaramid iti daytoy?
>>ilo<< Does anybody recognize this?	Adda kadi makabigbig iti daytoy?
>>ilo<< Don't you read the tabloids?	Dimo kadi basbasaen dagiti tabloid?
>>ilo<< Have you reached a decision?	Nakaikeddengkayo kadin?
>>ilo<< Haven't we been here before?	Saan kadi nga immayta idin ditoy?
>>ilo<< He asked me a few questions.	Nagamad kaniak iti sumagmamano a saludsod.
>>ilo<< He pretended to be a doctor.	Nagpammarang isuna a kas doktor.
>>ilo<< He will come this afternoon.	Umay isuna iti daytoy a malem.
>>ilo<< He's going to join our club.	Sumali isuna iti gunglotayo.
>>ilo<< I don't have an explanation.	Awan ti palawagko.
>>ilo<< I feel like drinking a beer.	Makain-inumak iti serbesa.
>>ilo<< I have to read this article.	Masapul a basaek daytoy nga artikulo.
>>ilo<< I think you should meet Tom.	Panagkunak ket masapul a makasangom ni Tom.
>>ilo<< I went to the zoo yesterday.	Napanak idiay zoo idi kalman.
>>ilo<< I'll be free all day Monday.	Siwayawayaak nga agmalmalem inton Lunes.
>>ilo<< I'll have to meet you there.	Nasken a makasinnarakka idiay.
>>ilo<< I've learned to accept that.	Nasursurokon nga awaten dayta.
>>ilo<< Is that really all there is?	Dayta la kadi ti amin nga adda?
>>ilo<< It is nice to see you again.	Maragsakanak a makakita manen kenka.
>>ilo<< It was a difficult decision.	Narikut a pangngeddeng daydiay.
>>ilo<< Let me know what you decide.	Ibagam kaniak no ania ti ikeddengyo.
>>ilo<< Most people think I'm crazy.	Kaaduan a tattao ket ipagarupda nga agballaak.
>>ilo<< My birthday is October 20th.	Kasangayko ti maika-20 ti Oktubre.
>>ilo<< My happiness depends on you.	Agpannuray kenka ti ragsakko.
>>ilo<< She is wearing a blue dress.	Nakaaruat isuna iti asul a bado.
>>ilo<< She left France for America.	Pimmanaw iti Francia ket napan idiay America.
>>ilo<< She painted the walls white.	Pinintaanna iti puraw dagiti diding.
>>ilo<< She was wearing a black hat.	Nakakallugong isuna iti nangisit.
>>ilo<< Should we wait for Tom here?	Urayentayo kadi ni Tom ditoy?
>>ilo<< Should we wait for Tom here?	Urayenta kadi ni Tom ditoy?
>>ilo<< Tell me all about your plan.	Ibagam kaniak ti maipapan iti planom.
>>ilo<< The dog is trying to escape.	Padpadasen ti aso ti aglibas.
>>ilo<< This isn't an easy decision.	Saan a nalaka daytoy a pangngeddeng.
>>ilo<< Tom got a 100% in chemistry.	Nakaala ni Tom iti 100% a grado iti chemistry.
>>ilo<< Tom is the man of my dreams.	Ni Tom ti lalaki kadagiti tagainepko.
>>ilo<< Tom was arrested in October.	Naaresto ni Tom idi Oktubre.
>>ilo<< Tom was killed by lightning.	Pinatay ti kimat ni Tom.
>>ilo<< Tom was killed by lightning.	Natay iti kimat ni Tom.
>>ilo<< We have an image to protect.	Adda dayaw a salsaluadanmi.
>>ilo<< We'll meet again in October.	Agsarakta manen no Oktubre.
>>ilo<< What are you thinking about?	Ania kadi ti pampanunotem?
>>ilo<< What are you worrying about?	Ania ti pakadanagam?
>>ilo<< What do you do after school?	Ania ti ar-aramidem kalpasan ti panageskuelam?
>>ilo<< What was the cause of death?	Ania kadi ti nakaigapuan ti ipapatayna?
>>ilo<< Why do we have to pay taxes?	Apay pay la ngamin nga agbayadtayo iti buis?
>>ilo<< Why don't you come visit us?	Apay a dinakami umay sarungkaran?
>>ilo<< Will you tell the truth now?	Ibagam kadin ti pudno ita?
>>ilo<< You made a fool of yourself.	Pinagbalinmo a langgong ti bagbagim.
>>ilo<< Are you proud of your father?	Ipagpampannakkelmo kadi ti tatangmo?
>>ilo<< Do you think we can help Tom?	Panagkunam mabalintayo a tulongan ni Tom?
>>ilo<< Do you understand everything?	Maawatam kadi ti amin?
>>ilo<< Have you ever been to Mexico?	Nakapanka kadin idiay Mexico?
>>ilo<< He did not have enough money.	Awan ti makaanay a kuartana.
>>ilo<< He is more lucky than clever.	Ad-adda a nagasat isuna ngem iti natuso.
>>ilo<< He plays the piano very well.	Nakalalaing nga agpiano isuna.
>>ilo<< He took a book off the shelf.	Nangala iti libro manipud iti estante.
>>ilo<< He turned up 30 minutes late.	Nagparang isuna kalpasan ti 30 a minutos.
>>ilo<< He turned up 30 minutes late.	Naladaw isuna iti 30 a minutos.
>>ilo<< Hey, what are you doing here?	Uy, ania ti ar-aramidem dioy?
>>ilo<< How many sisters do you have?	Mano ti kakabsatmo a babbai?
>>ilo<< How many times have you gone?	Mano a daras a pimmanawkan?
>>ilo<< I don't want to go to school.	Diak kayat ti mapan idiay eskuela.
>>ilo<< I shouldn't have lied to you.	Saanak koma a nagul-ulbod kenka.
>>ilo<< I want to go somewhere quiet.	Kayatko ti mapan iti maysa a lugar a naulimek.
>>ilo<< I watch television every day.	Inaldaw nga agbuyaak iti telebision.
>>ilo<< I'm still thinking about Tom.	Pampanunotek pay laeng ti maipapan ken ni Tom.
>>ilo<< I'm sure Tom got the message.	Siguradoak a naawat ni Tom ti mensahe.
>>ilo<< I'm sure Tom had his reasons.	Siguradoak nga adda dagiti rason ni Tom.
>>ilo<< I'm sure Tom misses you, too.	Siguradoak a kailiwnaka met ni Tom.
>>ilo<< I'm sure Tom will understand.	Siguradoak a maawatan ni Tom.
>>ilo<< I'm sure Tom would like that.	Siguradoak a kayat ni Tom dayta.
>>ilo<< I'm sure everyone understood.	Siguradoak a naawatan ti amin.
>>ilo<< I'm sure it's just temporary.	Siguradoak a temporario laeng.
>>ilo<< I'm sure that was the reason.	Siguradoak nga isu daydiay ti rason.
>>ilo<< I'm sure you understand that.	Siguradoak a maawatam dayta.
>>ilo<< I'm tired of waiting in line.	Nabannogakon nga agur-uray iti pila.
>>ilo<< I've never seen a live whale.	Haannak pay a nakaimatang iti sibibiag a balyena.
>>ilo<< It is fun to swim in the sea.	Naragsak ti aglangoy iti baybay.
>>ilo<< It's almost half past eleven.	Dandanin agalas onse media.
>>ilo<< It's already time to go home.	Orasen ti panagawid.
>>ilo<< Keep a copy of that document.	Mangidulinka iti kopia dayta a dokumento.
>>ilo<< Mary is beautiful, isn't she?	Napintas ni Mary, saan kadi?
>>ilo<< May I borrow your dictionary?	Bulodek man ti diksionariom?
>>ilo<< One language is never enough.	Saan nga umanay ti maymaysa a pagsasao.
>>ilo<< Our mother bought us a puppy.	Inggatangannakami ti nanangmi iti uken.
>>ilo<< She used to live in Tel Aviv.	Nagnaed idi isuna idiay Tel Aviv.
>>ilo<< That's how I got to know her.	Kasta ti napasamak no kasano a naam-ammok isuna.
>>ilo<< The enemy blew up the bridge.	Pinabettak dagiti kabusor ti rangtay.
>>ilo<< The price of the book was $5.	$5 ti presio ti libro.
>>ilo<< Tom didn't like our decision.	Saan a kayat ni Tom ti pangngeddengtayo.
>>ilo<< Tom died on October 20, 2013.	Pimmusay ni Tom idi Oktubre 20, 2013.
>>ilo<< Was Tom the one who did this?	Ni kadi Tom ti akin-aramid iti daytoy?
>>ilo<< Why don't you eat vegetables?	Apay a dika agsida iti natnateng?
>>ilo<< You're nothing but a student.	Maysaka laeng nga estudiante.
>>ilo<< Your plan is sure to succeed.	Sigurado nga agballigi ti planom.
>>ilo<< Your sons are quite handsome.	Natataer man dagiti babbarom.
>>ilo<< All of my friends like soccer.	Amin dagiti gagayyemko ket kayatda ti soccer.
>>ilo<< All that glitters is not gold.	Saan nga amin a nasilap ket balitok.
>>ilo<< Christmas is fast approaching.	Nadaras ti isusungad ti Paskua.
>>ilo<< Did you get what you went for?	Naalam kadi ti napanmo ginagara?
>>ilo<< Do you know where we're going?	Ammom kadi no sadino ti papanantayo?
>>ilo<< Don't you believe in miracles?	Dika kadi mamati kadagiti milagro?
>>ilo<< He came in through the window.	Simrek babaen ti tawa.
>>ilo<< He came to ask us to help him.	Immay isuna tapno agkiddaw a tulongantayo isuna.
>>ilo<< He didn't like to be punished.	Saanna a kayat ti madusa.
>>ilo<< How many siblings do you have?	Mano ti kakabsatmo?
>>ilo<< I don't want to fail my exams.	Diak kayat a maibbongak kadagiti eksamenko.
>>ilo<< I eat meat three times a week.	Agsidsidaak iti karne tallo a daras iti makalawas.
>>ilo<< I need to buy some rat poison.	Masapul a gumatangak iti pagsabidong iti bao.
>>ilo<< I will go to America tomorrow.	Mapanak idiay America no bigat.
>>ilo<< I will pick you up around six.	Dagasenkanto inton agalas sais.
>>ilo<< It's now time for you to rest.	Orasen ti panaginanam.
>>ilo<< Mary has beautiful brown eyes.	Addaan ni Mary iti napipintas a maris kape a matmata.
>>ilo<< Perhaps it will rain tomorrow.	Nalabit agtudo no bigat.
>>ilo<< She tore a hole in her blouse.	Inabutanna ti blusana.
>>ilo<< The car crashed into the wall.	Naidungpar ti kotse iti pader.
>>ilo<< The rice is already harvested.	Naapiten ti pagay.
>>ilo<< There's a hole in this bucket.	Adda abutna daytoy a timba.
>>ilo<< These scissors don't cut well.	Saan a makagetteng a nalaing daytoy a kartib.
>>ilo<< They're not going to catch us.	Saandata a matiliw.
>>ilo<< This tape recorder is not new.	Saaan a baro daytoy a tape recorder.
>>ilo<< Tom is scared to talk to Mary.	Mabuteng ni Tom a makisarita ken ni Mary.
>>ilo<< Tom showed us around the city.	Inlawlawnakami ni Tom iti siudad.
>>ilo<< We know very little about Tom.	Bassit ti ammomi maipapan kenni Tom.
>>ilo<< We should get out of here now.	Masapul a rummuartayo itan ditoy.
>>ilo<< We visited our father's grave.	Sinarungkaranmi ti tanem ti amami.
>>ilo<< What are you trying to decide?	Ania kadi ti padpadasem nga ikeddeng?
>>ilo<< What do you think caused this?	Panagkunam ania ti nakaigapuan daytoy?
>>ilo<< Would you like some more beer?	Kayatmo ti uminum iti serbesa?
>>ilo<< An ugly man knocked on my door.	Maysa a nalaad a lalaki ti nagkukkok iti ridawko.
>>ilo<< An ugly man knocked on my door.	Isang pangit na lalaki ang kumatok sa aking pinto.
>>ilo<< As for me, I have no objection.	No siak la a maysa, awan ti tubngarek.
>>ilo<< Disease and famine go together.	Agkadua ti saksakit ken panagbisin.
>>ilo<< Do you realize what time it is?	Dimo kad madlaw no ania ti orasen?
>>ilo<< Do you want to end up like Tom?	Kayatmo kadi ti maipada iti kas ken ni Tom?
>>ilo<< Everyone has their own opinion.	Tunggal maysa ket addaan iti bukodna nga opinion.
>>ilo<< Have I made the right decision?	Umno kadi ti pangngeddengko?
>>ilo<< Have you ever climbed Mt. Fuji?	Inulim kadin ti Bantay Fuji?
>>ilo<< He came to Japan two years ago.	Simmangpet iti Japon dua a tawenen ti napalabas.
>>ilo<< He caught them stealing apples.	Natiliwanna ida nga agtaktakaw iti mansanas.
>>ilo<< He is qualified to be a lawyer.	Maikari isuna a kas abogado.
>>ilo<< He is used to getting up early.	Naruam isunan nga agriing a nasapa.
>>ilo<< He lives in a world of fantasy.	Agbibiag isuna iti lubong ti fantasia.
>>ilo<< He was laughed at by everybody.	Katkatawaan isuna ti amin.
>>ilo<< How much did this bicycle cost?	Mano ti presiona daytoy a bisekleta?
>>ilo<< I can't believe we got invited.	Diak makapamati a naawiskami.
>>ilo<< I could feel the house shaking.	Mariknak ti panagarigenggen ti balay.
>>ilo<< I could read between the lines.	Makabasaak met iti nagbabaetan dagiti linia.
>>ilo<< I couldn't have prevented this.	Diak koma nalappedan daytoy.
>>ilo<< I couldn't survive without Tom.	Saanak a makalasat no awan ni Tom.
>>ilo<< I don't care how much it costs.	Awan bibiangko no mano ti presiona.
>>ilo<< I don't get up as early as Tom.	Saanak nga agririing a kas ken ni Tom.
>>ilo<< I don't like Christmas anymore.	Diak kayaten ti Paskua.
>>ilo<< I had an operation last summer.	Naoperaak idi napan a kalgaw.
>>ilo<< I had business to take care of.	Adda nasken nga aramidek a masapul nga asikasuek.
>>ilo<< I hate terrorist organizations.	Kagurak dagiti gunglo dagiti terorista.
>>ilo<< I have to reply to this letter.	Masapul a subalitak daytoy a surat.
>>ilo<< I helped Tom clean the kitchen.	Tinulongak ni Tom a mangdalus iti kosina.
>>ilo<< I know only one way to do this.	Maysa a wagas laeng ti ammok a pangaramid iti daytoy.
>>ilo<< I learned how to cook from Tom.	Nasursurok ken ni Tom ti panagluto.
>>ilo<< I think Tom enjoyed doing that.	Panagkunak ket naragsakan ni Tom a nangaramid iti dayta.
>>ilo<< I think that would really hurt.	Panagkunak ket mangpasakit a talaga dayta.
>>ilo<< I told Tom to stay in his room.	Imbagak ken ni Tom nga agtalinaed iti siledna.
>>ilo<< I won't tell anyone about this.	Diak ibagbaga iti asino man ti maipanggep iti daytoy.
>>ilo<< I'm going to call Tom tomorrow.	Awagak ni Tom inton bigat.
>>ilo<< I'm going to go there with Tom.	Mapanak idiay a kaduak ni Tom.
>>ilo<< I'm sad for everyone concerned.	Malidayanak para iti amin a maseknan.
>>ilo<< I'm sure that Tom can fix this.	Siguradoak a matarimaan ni Tom daytoy.
>>ilo<< I'm very, very, very concerned.	Maseknanak la un-unay.
>>ilo<< Is it true that Tom kissed you?	Agpayso kadi nga inagkannaka ni Tom?
>>ilo<< Is it true that you kissed Tom?	Agpayso kadi nga inagkam ni Tom?
>>ilo<< Is there a contradiction there?	Adda kadi kontradiksion idiay?
>>ilo<< It was Tom who found your keys.	Ni Tom ti nakabirok kadagiti tulbekmo.
>>ilo<< It wasn't me who told Tom that.	Saan a siak ti nangibaga iti dayta ken ni Tom.
>>ilo<< It's just that I don't like it.	Umayka ditoy!
>>ilo<< Just seeing it made me nervous.	Iti pannakakitak laengen ket agnerbiosakon.
>>ilo<< Keep on working while I'm away.	Agtrabahokayo latta kabayatan nga awanak.
>>ilo<< Let's try to change the system.	Padasentayo a balbaliwan ti sistema.
>>ilo<< Life has become very difficult.	Nagbalinen a narikut ti biag.
>>ilo<< Maybe Tom has changed his mind.	Nalabit nagbaliwen ti panunot ni Tom.
>>ilo<< Nobody has seen him ever since.	Awanen ti nakakita kenkuana sipud idi.
>>ilo<< Submit your homework on Monday.	Idatagyo ti obrayo iti balay inton Lunes.
>>ilo<< Three days later, Tom was dead.	Napalabas ti tallo nga aldaw, natay ni Tom.
>>ilo<< Tom came here today by bicycle.	Immay ni Tom ditoy ita babaen ti bisekleta.
>>ilo<< Tom has gone back to Australia.	Nagsublin ni Tom didiay Australia.
>>ilo<< Tom has really helped us a lot.	Adu ti naitulong ni Tom kadakami.
>>ilo<< Tom was hiding behind the door.	Aglemlemmeng ni Tom iti likudan ti ridaw.
>>ilo<< We need to find Tom right away.	Masapul a masarakantayo a daus ni Tom.
>>ilo<< We were just talking about Tom.	Pagpatpatanganmi la itay ti maipanggep ken ni Tom.
>>ilo<< What made you change your mind?	Ania ti namagbaliw iti panunotmo?
>>ilo<< Which terrorist group did this?	Ania a grupo dagiti terorista ti akin-aramid iti daytoy?
>>ilo<< Why are you visiting Australia?	Apay a bisitaem ti Australia?
>>ilo<< Will you be home for Christmas?	Agawidka kadi inton Paskua?
>>ilo<< You'll forget about me someday.	Malipatannakto met laeng iti maysa nga aldaw.
>>ilo<< All we want is to be left alone.	Ti laeng kakaisuna a kalikagummi ket panawandakami a dakdakami.
>>ilo<< Are you for or against his idea?	Sumarurongka kadi wenno supringem ti kapanunotanna?
>>ilo<< Can you help me find a good job?	Mabalin kadi a tulonganna nga agsapul iti napintas a trabaho?
>>ilo<< Could you call a doctor, please?	Pangngaasim ta mangayabka man iti doktor.
>>ilo<< Do you think you could be a cop?	Panagkunam kabaelam ti agbalin a maysa a polis?
>>ilo<< Do you want me to come with you?	Kayatmo kadi a sumurotak kenka?
>>ilo<< Do you want me to throw it away?	Kayatmo kadi nga ibellengkon?
>>ilo<< Don't worry. It's not important.	Dika madanagan. Saan nga importante.
>>ilo<< Don't you have a train to catch?	Awan kadi ti kamakamem a tren?
>>ilo<< Don't you like your job anymore?	Dimo kadi kayaten ti trabahom?
>>ilo<< Everybody has their own opinion.	Tunggal maysa ket addaan iti bukodna nga opinion.
>>ilo<< Few people attended the meeting.	Manmano a tao ti timmabuno iti miting.
>>ilo<< He failed, due to lack of money.	Napaay isuna gapu iti panagkurang iti kuarta.
>>ilo<< He is proud of being a musician.	Ipagpampannakkelna ti kinamusikerona.
>>ilo<< I don't know if I have the time.	Diak ammo no adda orasko.
>>ilo<< I have my own way of solving it.	Adda bukodko a wagas a mangsolbar iti daytoy.
>>ilo<< I have nothing to apologize for.	Awan ti rumbeng nga idawatak iti pammakawan.
>>ilo<< I shouldn't have left Tom alone.	Diak koma ngamin pinanawan ni Tom nga is-isuna.
>>ilo<< I thought that she was pregnant.	Impagarupko no masikog isuna.
>>ilo<< I warned you to leave Tom alone.	Binallaaganka a panawam ni Tom nga is-isuna.
>>ilo<< I watch television twice a week.	Mamindua iti makalawas nga agbuyaak iti telebision.
>>ilo<< I would never have guessed that.	Diak la ketdi koma napugtuan dayta.
>>ilo<< I'm afraid to be alone at night.	Mabutengak nga agmaymaysa iti rabii.
>>ilo<< I'm leaving for Canada tomorrow.	Mapanak idiay Canada no bigat.
>>ilo<< I've been alone for a long time.	Nabayagen nga agmaymaysaak.
>>ilo<< It was a controversial decision.	Kontrobersial daydiay a pangngeddeng.
>>ilo<< Just don't try to do this alone.	DImo laeng padpadasen nga aramiden daytoy a siksika.
>>ilo<< Just tell Tom to leave me alone.	Ibagam laeng ken ni Tom a panawannak a sisiak.
>>ilo<< Let me take your blood pressure.	Bay-am a rukodek ti presion ti daram.
>>ilo<< May I speak with you alone, Tom?	Mabalin kadi nga agpatangta a data laeng, Tom?
>>ilo<< Maybe you should leave me alone.	Siguro ket masapul a panawannak nga agmaymaysa.
>>ilo<< People live only about 70 years.	Agbiag ti tao iti agarup a 70 a tawen laeng.
>>ilo<< There is a church near my house.	Adda simbaan iti asideg ti balayko.
>>ilo<< Tom and Mary don't want us here.	Saan a kayat da Tom ken Mary nga addata ditoy.
>>ilo<< Tom has been alone far too long.	Nabayagen nga agmaymaysa ni Tom.
>>ilo<< Tom has returned from Australia.	Simmangpeten ni Tom manipud Australia.
>>ilo<< Tom hopes to see you in October.	Mangnamnama ni Tom a makitanaka inton Oktubre.
>>ilo<< Tom is a good basketball player.	Nalaing a basketbolista ni Tom.
>>ilo<< Tom is tired of waiting in line.	Nabannogen ni Tom nga agpilpila.
>>ilo<< Tom is unable to work this week.	Saan a kabalinan ni Tom ti agtrabaho ita a lawas.
>>ilo<< Tom left at four in the morning.	Pimmanaw ni Tom itay alas kuatro ti agsapa.
>>ilo<< Tom was hiding in the mountains.	Aglemlemmeng ni Tom iti kabambantayan.
>>ilo<< Tom was in a hurry this morning.	Agdardaras ni Tom itay agsapa.
>>ilo<< Tom will arrive on October 20th.	Sumangpet ni Tom inton maika-20 ti Oktubre.
>>ilo<< Unless it rains, I will go, too.	Malaksid no agtudo, mapanak met.
>>ilo<< What prevented you from working?	Ania ti nanglapped kenka nga agtrabaho?
>>ilo<< What's the purpose of your trip?	Ania ti panggep ti panagbiahem?
>>ilo<< You'll never guess what Tom did.	Saanmo a mapugtuan no ania ti inaramid ni Tom.
>>ilo<< You're not very hungry, are you?	Saanka a mabisin unay, saan kadi?
>>ilo<< Your problem is similar to mine.	Agpadata iti parikut.
>>ilo<< All we need is a little patience.	Ti kangrunaan a kasapulantayo ita ket sangkabassit nga anus.
>>ilo<< Are you planning on buying a car?	Panggepmo kadi ti gumatang iti kotse?
>>ilo<< Did Tom say why he wasn't coming?	Imbaga kadi ni Tom no apay a saan nga umay isuna?
>>ilo<< Did you see what Tom did to Mary?	Nakitam kadi no ania ti inaramid ni Tom ken ni Mary?
>>ilo<< Do you agree with Tom's decision?	Umanamongka kadi iti pangngeddeng ni Tom?
>>ilo<< Do you agree with their decision?	Umanamongka kadi iti pangngeddengda?
>>ilo<< Do you have a better explanation?	Adda kadi nasaysayaat a panangilawlawagmo?
>>ilo<< Do you have brothers and sisters?	Adda kadi kakabsatmo a lallaki ken babbai?
>>ilo<< Do you know something about this?	Adda kadi ammom maipanggep iti daytoy a banag?
>>ilo<< Do you know where Tom was hiding?	Ammom kadi no sadino ti paglemlemmengan ni Tom?
>>ilo<< Do you really hate Tom that much?	Kaguram kadi ni Tom iti kasta la unay?
>>ilo<< Do you think Tom would like this?	Panagkunam kayat ni Tom daytoy?
>>ilo<< Do you want another one of these?	Kayatmo kadi ti maysa pay a kas kadagitoy?
>>ilo<< Do you want to know who did this?	Kayatmo kadi a maammuan no asino ti nangaramid iti daytoy?
>>ilo<< Don't worry. It's only temporary.	Dika madanagan. Temporario laeng daytoy.
>>ilo<< Don't worry. It's perfectly safe.	Dika madanagan. Natalged dayta.
>>ilo<< Everyone seems to be busy but me.	Makumikom sa ti amin malaksid kaniak.
>>ilo<< Everything that Tom said is true.	Agpayso amin nga imbaga ni Tom.
>>ilo<< Have you ever heard such a story?	Nakangngegka kadin iti kasta nga istoria?
>>ilo<< He had a large family to support.	Dakkel ti familiana a suportaranna.
>>ilo<< He put the ring on Mary's finger.	Inyusokna ti singsing iti ramay ni Mary.
>>ilo<< I don't know if you remember Tom.	Diak ammo no malagipmo ni Tom.
>>ilo<< I love movies with happy endings.	Kayatak dagiti pelikula nga addaan ti naragsak nga panungpalan.
>>ilo<< I was born on October 10th, 1972.	Nayanakak idi maika-10 ti Oktubre 1972.
>>ilo<< I'm three years younger than you.	In-inaudiak iti tallo a tawen kenka.
>>ilo<< My birthday is October twentieth.	Kasangayko ti maika-20 ti Oktubre.
>>ilo<< My little brother is watching TV.	Agbuybuya iti TV ti adingko a lalaki.
>>ilo<< Registration starts October 20th.	Mangrugi ti panagrerehistro iti maika-20 ti Oktubre.
>>ilo<< The children were swimming naked.	Dagidiay ubbing ket aglalangoy nga lamulamo.
>>ilo<< There's milk in the refrigerator.	Adda gatas iti repriheradura.
>>ilo<< Tom explained everything to Mary.	Inlawlawag ni Tom ti amin ken ni Mary.
>>ilo<< Tom is one of my closest friends.	Maysa kadagiti kaaasitgan a gayyemko ni Tom.
>>ilo<< Tom realized that Mary was lying.	Napaneknekan ni Tom nga agul-ulbod ni Mary.
>>ilo<< Tom visited Mary on October 20th.	Sinarungkaran ni Tom ni Mary idi maika-20 ti Oktubre.
>>ilo<< We did not expect many to attend.	Dimi ninamnama nga adu ti dumar-ay.
>>ilo<< We're getting married in October.	Agkallaysakami inton Oktubre.
>>ilo<< What time do you leave your work?	Ania nga oras a malpasmo ti obram?
>>ilo<< Where did you hide my cigarettes?	Nangilemmengam kadagiti sigariliok?
>>ilo<< Which one of you is Tom's doctor?	Asino kadakayo ti doktor ni Tom?
>>ilo<< Why is life so full of suffering?	Apay kadi a ti biag ket napnuan iti panagsagaba?
>>ilo<< You're in better shape than I am.	Nasalsalun-atka ngem iti siak.
>>ilo<< Applications are due October 20th.	Agpatingga iti maika-20 ti Oktubre dagiti aplikasion.
>>ilo<< Blood circulates through the body.	Aglawlawlaw ti dara iti entero a bagi.
>>ilo<< Do you have any idea what this is?	Adda kadi ideam no ania daytoy?
>>ilo<< Do you know why she couldn't come?	Ammom kadi no apay a saan a makaumay isuna?
>>ilo<< Don't smoke while you are on duty.	Saanka nga agsigarilio no addaka iti trabahom.
>>ilo<< He came at three in the afternoon.	Immay isuna iti alas tres iti malem.
>>ilo<< I am supposed to meet him at four.	Kasinnarakko koma isuna iti alas kuatro.
>>ilo<< I don't have any time to watch TV.	Awan la panawenko nga agbuya iti TV.
>>ilo<< I saw him coming out of the hotel.	Nakitak isuna a rimmuar manipud iti otel.
>>ilo<< I was with friends all last night.	Nagpatpatnag a kaduak dagiti gagayyemko.
>>ilo<< I wish I had never gotten married.	No laeng koma saanak a naikasar.
>>ilo<< I'd like you to have a blood test.	Kayatko a maipaamiris ti daram.
