>>ind<< Hi.	Hai.
>>ind<< I'm used to getting up early.	Aku terbiasa bangun pagi.
>>ind<< I'm very disappointed in Tom.	Aku sangat kecewa dengan Tom.
>>ind<< I'm writing a message to Tom.	Saya sedang menulis pesan kepada Tom.
>>ind<< I'm writing a song in French.	Aku menulis sebuah lagu dalam bahasa Prancis.
>>ind<< I've been wanting to see you.	Aku selalu ingin bertemu denganmu.
>>ind<< I've just finished breakfast.	Aku baru saja selesai sarapan.
>>ind<< I've just finished breakfast.	Saya baru saja selesai makan pagi.
>>ind<< I've read all of those books.	Aku sudah membaca semua buku itu.
>>ind<< If I have time, I'll drop by.	Jika ada waktu, aku akan mampir.
>>ind<< In case it rains, I won't go.	Jika turun hujan, maka aku tidak akan pergi.
>>ind<< In which direction did he go?	Ke arah mana dia pergi?
>>ind<< Is the customer always right?	Apakah pelanggan selalu benar?
>>ind<< Is there a hotel around here?	Apakah ada hotel di sekitar sini?
>>ind<< Is there really nothing left?	Apa benar-benar tidak ada yang tersisa?
>>ind<< It all started on the island.	Semua bermula dari pulau itu.
>>ind<< It kept raining all day long.	Hujan terus turun hingga sehari penuh.
>>ind<< It looks like you were right.	Kelihatannya kamu benar.
>>ind<< It seemed like a dream to me.	Ini terasa seperti mimpi bagiku.
>>ind<< It was a full moon yesterday.	Kemarin bulan purnama.
>>ind<< It was dark under the bridge.	Di bawah jembatan gelap.
>>ind<< It was good working with you.	Saya senang bisa bekerja dengan Anda.
>>ind<< It wasn't interesting at all.	Itu sama sekali tidak menarik.
>>ind<< It'll probably rain tomorrow.	Mungkin besok akan turun hujan.
>>ind<< It's Tom who deserves credit.	Tomlah yang pantas mendapatkan penghargaan.
>>ind<< It's a privilege to meet you.	Sebuah kehormatan bisa bertemu Anda.
>>ind<< It's about three inches wide.	Lebarnya sekitar tiga inci.
>>ind<< It's already started to rain.	Sudah mulai turun hujan.
>>ind<< It's been almost three years.	Sudah hampir tiga tahun.
>>ind<< It's clear that you're wrong.	Kau jelas-jelas sudah salah.
>>ind<< It's getting worse and worse.	Semakin buruk
>>ind<< It's important to read books.	Sangat penting untuk membaca buku.
>>ind<< It's never too late to learn.	Tiada kata terlambat untuk belajar.
>>ind<< It's never too late to learn.	Tidak ada kata terlambat untuk belajar.
>>ind<< It's no use arguing with Tom.	Tidak ada gunanya berdebat dengan Tom.
>>ind<< It's not going to snow today.	Salju tidak akan turun hari ini.
>>ind<< Japan is famous for Mt. Fuji.	Jepang terkenal akan Gunung Fujinya.
>>ind<< Keep a copy of that document.	Simpan salinan dari dokumen itu.
>>ind<< Leave the chairs as they are.	kembalikan kursinya seperti semula.
>>ind<< Let's go to the hospital now.	Ayo ke rumah sakit sekarang.
>>ind<< Let's just hope Tom is alone.	Semoga saja Tom sendirian.
>>ind<< Life is like a game of chess.	Hidup bagaikan permainan catur.
>>ind<< Life is like a game of chess.	Hidup itu seperti permainan catur.
>>ind<< Mary is studying in her room.	Mary belajar di kamarnya.
>>ind<< May I borrow your dictionary?	Apakah aku boleh meminjam kamusmu?
>>ind<< May I borrow your dictionary?	Apakah saya boleh meminjam kamus Anda?
>>ind<< May I borrow your dictionary?	Boleh saya pinjam kamus kamu?
>>ind<< Maybe she forgot my birthday.	Mungkin dia lupa hari ulang tahunku.
>>ind<< Maybe someone made Tom do it.	Mungkin seseorang membuat Tom melakukan hal itu.
>>ind<< Mayonnaise is made from eggs.	Mayones terbuat dari telur.
>>ind<< My bike needs to be repaired.	Sepeda saya perlu diperbaiki.
>>ind<< My boss was forced to resign.	Bosku dipaksa mengundurkan diri.
>>ind<< My brother is a veterinarian.	Kakak saya adalah seorang dokter hewan.
>>ind<< My car was stolen last night.	Mobilku dicuri kemarin malam.
>>ind<< My cat vomited on the carpet.	Kucingku muntah di atas karpet.
>>ind<< My father works in a factory.	Ayah saya bekerja di sebuah pabrik.
>>ind<< My friends don't play tennis.	Teman-temanku tidak bermain tenis.
>>ind<< My greatest fear is drowning.	Saya sangat takut tenggelam.
>>ind<< My hobby is collecting coins.	Hobiku mengoleksi koin.
>>ind<< My house faces a busy street.	Rumahku menghadap jalan ramai.
>>ind<< My house is near Tokyo Tower.	Rumahku dekat dengan Menara Tokyo.
>>ind<< My house is near the station.	Rumahku dekat stasiun.
>>ind<< My husband is a teacher, too.	Suamiku juga seorang guru.
>>ind<< My mom bought me a new skirt.	Ibuku membelikanku rok baru.
>>ind<< My older sister is beautiful.	Kakak perempuan saya cantik.
>>ind<< My wife died three years ago.	Istri saya meninggal tiga tahun yang lalu.
>>ind<< Naples is a picturesque city.	Naples adalah kota yang indah.
>>ind<< Next month is Tom's birthday.	Bulan depan adalah ulang tahun Tom.
>>ind<< No one believes that anymore.	Tidak ada yang percaya itu lagi.
>>ind<< No one welcomed the proposal.	Tidak ada yang menyambut baik proposal itu.
>>ind<< Nobody believes that anymore.	Tidak ada yang percaya itu lagi.
>>ind<< Nobody came to Tom's funeral.	Tidak ada yang datang ke pemakaman Tom.
>>ind<< Nothing ever makes him angry.	Tidak ada hal yang bisa membuatnya marah.
>>ind<< Now's your chance to do that.	Sekaranglah kesempatanmu melakukan itu.
>>ind<< Once a thief, always a thief.	Adakah buaya menolak bangkai?
>>ind<< Please don't change anything.	Tolong jangan ubah apa pun.
>>ind<< Please go on with your story.	Tolong lanjutkan ceritamu.
>>ind<< Please read page ninety-four.	Tolong baca halaman sembilan puluh empat.
>>ind<< Politics didn't interest him.	Dia tidak tertarik dengan politik.
>>ind<< Read and translate this text.	Baca dan terjemahkan teks ini!
>>ind<< She asked him where he lived.	Dia bertanya padanya di mana dia tinggal.
>>ind<< She complained of a headache.	Dia mengeluh sakit kepala.
>>ind<< She died yesterday afternoon.	Dia meninggal dunia kemarin siang.
>>ind<< She does not have much money.	Dia tidak punya banyak uang.
>>ind<< She is singing with a guitar.	Dia bernyanyi dengan gitar.
>>ind<< She plays golf every weekend.	Dia bermain golf tiap akhir pekan.
>>ind<< She ran as fast as she could.	Dia berlari secepatnya.
>>ind<< Should I stay or should I go?	Haruskah aku tinggal atau haruskah aku pergi?
>>ind<< So far, they haven't arrived.	Sekarang, mereka belum sampai.
>>ind<< Some animals eat their young.	Beberapa hewan memakan anaknya yang masih muda.
>>ind<< Some of the birds didn't fly.	Beberapa ekor dari burung-burung itu tidak terbang.
>>ind<< Some of the money was stolen.	Sejumlah uang telah dicuri.
>>ind<< Somebody knocked on the door.	Ada yang mengetuk pintu.
>>ind<< Something was wrong with Tom.	Ada yang salah dengan Tom.
>>ind<< Sorry, I can't stay for long.	Maaf, saya tidak bisa tinggal lebih lama.
>>ind<< Thank you for giving me this.	Terima kasih telah memberiku ini.
>>ind<< Thank you for the correction.	Terima kasih atas koreksinya.
>>ind<< Thank you for your hard work.	Terima kasih atas kerja kerasmu.
>>ind<< Thanks for your quick answer.	Terima kasih telah menjawabnya dengan cepat.
>>ind<< That toy is made out of wood.	Mainan itu terbuat dari kayu.
>>ind<< That was a really great plan.	Itu adalah rencana yang sangat bagus.
>>ind<< That's because you're a girl.	Itu karena kamu perempuan.
>>ind<< That's what Tom keeps saying.	Itulah yang terus dikatakan Tom.
>>ind<< That's why I have to do this.	Itulah kenapa aku harus melakukan ini.
>>ind<< The bowl is filled with milk.	Mangkuk itu terisi susu.
>>ind<< The chair hasn't arrived yet.	Kursinya belum sampai.
>>ind<< The decision was unavoidable.	Keputusan itu tak dapat dihindari.
>>ind<< The earth is round, not flat.	Bumi itu bulat, bukan datar.
>>ind<< The kids are playing outside.	Anak-anak sedang bermain di luar.
>>ind<< The king lives in the castle.	Raja tinggal di istana.
>>ind<< The king lives in the castle.	Raja itu tinggal di istana.
>>ind<< The king lives in the castle.	Sang raja tinggal di istana.
>>ind<< The knife punctured his lung.	Pisau itu menusuk paru-parunya.
>>ind<< The meeting finished at nine.	Rapatnya selesai pada pukul sembilan.
>>ind<< The meeting lasted two hours.	Rapatnya berlangsung selama dua jam.
>>ind<< The plate is made of plastic.	Piringnya terbuat dari plastik.
>>ind<< The problem remains unsolved.	Masalah itu tetap belum terselesaikan.
>>ind<< The room was fairly spacious.	Ruangannya cukup luas.
>>ind<< The rules should be followed.	Peraturan seharusnya dipatuhi.
>>ind<< The rules should be followed.	Peraturannya harus dipatuhi.
>>ind<< The snow lasted for two days.	Saljunya bertahan hingga 2 hari.
>>ind<< The train hasn't arrived yet.	Keretanya belum tiba.
>>ind<< The train was about to leave.	Keretanya sudah akan berangkat.
>>ind<< The tree fell down by itself.	Pohon itu tumbang dengan sendirinya.
>>ind<< There are thirty people here.	Ada tiga puluh orang di sini.
>>ind<< There is a desk in this room.	Ada sebuah meja di ruangan ini.
>>ind<< There is no clock in my room.	Tidak ada jam di kamarku.
>>ind<< There's a cat under the desk.	Ada kucing di bawah meja.
>>ind<< There's a spider on the wall.	Ada seekor laba-laba di dinding.
>>ind<< There's no grass on the moon.	Tidak ada rumput di bulan.
>>ind<< There's not enough room here.	Tidak ada cukup ruang di sini.
>>ind<< There's so much I want to do.	Ada banyak sekali hal yang ingin kulakukan.
>>ind<< There's somebody in the hall.	Ada seseorang di aula.
>>ind<< There's something wrong here.	Ada yang salah disini.
>>ind<< These hats are the same size.	Topi-topi ini berukuran sama.
>>ind<< They forgot to lock the door.	Mereka lupa mengunci pintu.
>>ind<< They shouldn't be doing that.	Mereka seharusnya tidak melakukan itu.
>>ind<< They'll probably come by car.	Mereka kemungkinan akan datang dengan mobil.
>>ind<< They're very cheerful people.	Mereka merupakan orang-orang yang ceria.
>>ind<< This fork is made of plastic.	Garpu ini terbuat dari plastik.
>>ind<< This has all happened before.	Semua ini telah terjadi sebelumnya.
>>ind<< This house has two bathrooms.	Rumah ini memiliki dua kamar mandi.
>>ind<< This house was built in 1870.	Rumah ini dibangun pada tahun 1870.
>>ind<< This is a very valuable ring.	Ini cincin yang sangat berharga.
>>ind<< This is my daughter's school.	Ini sekolah anak perempuanku.
>>ind<< This morning, I saw an angel.	Pagi ini, aku melihat seorang malaikat.
>>ind<< This morning, I saw an angel.	Tadi pagi, saya melihat malaikat.
>>ind<< This tea is called green tea.	Teh ini disebut teh hijau.
>>ind<< This watch needs to be fixed.	Jam tangan ini perlu diperbaiki.
>>ind<< Three civilians were wounded.	Tiga warga sipil terluka.
>>ind<< Tom and I are still together.	Tom dan aku masih bersama.
>>ind<< Tom and I got drunk together.	Tom dan Saya mabuk bersama.
>>ind<< Tom and Mary adopted a child.	Tom dan Mary mengadopsi seorang anak.
>>ind<< Tom and Mary are inseparable.	Tom dan Mary tidak bisa dipisahkan.
>>ind<< Tom and Mary are still alive.	Tom dan Mary masih hidup.
>>ind<< Tom and Mary didn't complain.	Tom dan Mary tidak mengeluh.
>>ind<< Tom and Mary played Scrabble.	Tom dan Mary bermain Scrabble.
>>ind<< Tom begged Mary not to leave.	Tom meminta Mary untuk tidak pergi.
>>ind<< Tom bought a second-hand car.	Tom membeli mobil bekas.
>>ind<< Tom buys and sells old books.	Tom membeli dan menjual buku-buku tua.
>>ind<< Tom can speak French as well.	Tom juga bisa bahasa Prancis.
>>ind<< Tom didn't follow the recipe.	Tom tidak mengikuti resepnya.
>>ind<< Tom didn't see the stop sign.	Tom tidak melihat rambu berhenti.
>>ind<< Tom died from lack of oxygen.	Tom meninggal karena kekurangan oksigen.
>>ind<< Tom doesn't get enough sleep.	Tom tidak mendapat tidur yang cukup.
>>ind<< Tom doesn't know anyone here.	Tom tidak mengenal siapa-siapa.
>>ind<< Tom doesn't really like cats.	Tom tidak terlalu suka kucing.
>>ind<< Tom doesn't watch war movies.	Tom tidak menonton film perang.
>>ind<< Tom fell asleep during class.	Tom tertidur saat pelajaran.
>>ind<< Tom felt like a caged animal.	Tom merasa seperti hewan yang dikurung.
>>ind<< Tom folded the folding chair.	Tom melipat kursi lipat itu.
>>ind<< Tom found a four-leaf clover.	Tom menemukan semanggi berdaun empat.
>>ind<< Tom got rid of his old books.	Tom menyingkirkan buku-buku lamanya.
>>ind<< Tom got stung by a jellyfish.	Tom disengat ubur-ubur.
>>ind<< Tom has a lot of friends now.	Tom sekarang memiliki banyak teman.
>>ind<< Tom has never had a mustache.	Tom tak pernah berkumis.
>>ind<< Tom has never had much money.	Tom tidak pernah punya banyak uang.
>>ind<< Tom has stopped smoking, too.	Tom juga sudah berhenti merokok.
>>ind<< Tom is a computer programmer.	Tom adalah seorang pemrogram komputer.
>>ind<< Tom is a high school student.	Tom adalah seorang siswa SMA.
>>ind<< Tom is a man you can rely on.	Tom laki-laki yang bisa kamu andalkan.
>>ind<< Tom is extremely trustworthy.	Tom sangat dapat dipercaya.
>>ind<< Tom is leaving in three days.	Tom akan berangkat dalam tiga hari.
>>ind<< Tom is mowing his front lawn.	Tom sedang memotong rumput di halaman depannya.
>>ind<< Tom is repairing his bicycle.	Tom sedang memperbaiki sepedanya.
>>ind<< Tom is still in the hospital.	Tom masih berada di rumah sakit.
>>ind<< Tom is the one who shot Mary.	Tom-lah yang menembak Mary.
>>ind<< Tom is trying to lose weight.	Tom berusaha menurunkan berat badan.
>>ind<< Tom knows he hears something.	Tom tahu dia mendengar sesuatu.
>>ind<< Tom knows he's being lied to.	Tom tahu dia dibohongi.
>>ind<< Tom knows something we don't.	Tom mengetahui sesuatu yang tidak kita ketahui.
>>ind<< Tom lives in a fantasy world.	Tom hidup di dunia fantasi.
>>ind<< Tom looked at the fuel gauge.	Tom melihat indikator bahan bakar.
>>ind<< Tom looked down at the floor.	Tom melihat ke arah lantai.
>>ind<< Tom looked like he was happy.	Tom terlihat seperti dia sedang bahagia.
>>ind<< Tom looks sleepy, doesn't he?	Bukankah Tom terlihat mengantuk?
>>ind<< Tom lost his reading glasses.	Tom kehilangan kacamata bacanya.
>>ind<< Tom made a terrible decision.	Tom membuat keputusan yang buruk.
>>ind<< Tom may already have started.	Tom mungkin sudah mulai.
>>ind<< Tom may not like this at all.	Tom mungkin tidak menyukai hal ini sama sekali.
>>ind<< Tom met Mary three years ago.	Tom bertemu Mary tiga tahun yang lalu.
>>ind<< Tom might have what you need.	Tom mungkin punya yang kamu butuhkan.
>>ind<< Tom must be hiding something.	Tom pasti menyembunyikan sesuatu.
>>ind<< Tom must've worked very hard.	Tom pasti telah bekerja sangat keras.
>>ind<< Tom mysteriously disappeared.	Tom menghilang secara misterius.
>>ind<< Tom often comes to Australia.	Tom sering datang ke Australia.
>>ind<< Tom often scratches his back.	Tom sering menggaruk punggungnya.
>>ind<< Tom opened the door for Mary.	Tom membukakan pintu untuk Mary.
>>ind<< Tom opened the gate for Mary.	Tom membukakan gerbang untuk Mary.
>>ind<< Tom peeled an apple for Mary.	Tom mengupas sebuah apel untuk Mary.
>>ind<< Tom practices yoga every day.	Tom melakukan yoga setiap hari.
>>ind<< Tom pretended to be ignorant.	Tom bertindak seolah-olah acuh.
>>ind<< Tom put his seatbelt back on.	Tom memakai kembali sabuk pengamannya.
>>ind<< Tom quietly entered the room.	Tom diam-diam memasuki ruangan itu.
>>ind<< Tom ran back down the stairs.	Tom berlari kembali menuruni tangga.
>>ind<< Tom really misses his family.	Tom sangat merindukan keluarganya.
>>ind<< Tom said I looked very young.	Tom berkata bahwa aku terlihat sangat muda.
>>ind<< Tom saw Mary eating an apple.	Tom melihat Mary memakan apel.
>>ind<< Tom saw his name on the list.	Tom berkata dia melihat namanya pada daftar.
>>ind<< Tom says I'm a good listener.	Tom berkata saya adalah pendengar yang baik.
>>ind<< Tom seems a little dangerous.	Tom terlihat sedikit berbahaya.
>>ind<< Tom studies French every day.	Tom belajar bahasa Prancis setiap hari.
>>ind<< Tom suddenly got very scared.	Tiba-tiba Tom menjadi sangat ketakutan.
>>ind<< Tom thought I was a criminal.	Tom mengira aku seorang kriminal.
>>ind<< Tom took Mary to the airport.	Tom mengantar Mary ke bandara.
>>ind<< Tom usually sits in the back.	Tom biasanya duduk di belakang.
>>ind<< Tom walked across the street.	Tom berjalan menyeberangi jalan itu.
>>ind<< Tom was bitten by a mosquito.	Tom digigit nyamuk.
>>ind<< Tom was bitten by mosquitoes.	Tom digigit nyamuk.
>>ind<< Tom was out with his friends.	Tom sedang pergi bersama dengan temannya.
>>ind<< Tom was wearing a blue shirt.	Tom memakai kemeja biru.
>>ind<< Tom won't have lunch with us.	Tom tidak akan makan siang dengan kita.
>>ind<< Tom's apartment is very tidy.	Apartemen Tom sangat rapi.
>>ind<< Tom's lunchbox is in the car.	Kotak makan Tom ada di dalam mobil.
>>ind<< Tom's parents live in Boston.	Orang tua Tom tinggal di Boston.
>>ind<< Tom's signature is illegible.	Tanda tangan Tom tidak bisa dibaca.
>>ind<< Tom, where did you find this?	Tom, dimana kamu menemukan ini?
>>ind<< Tomorrow will be even colder.	Besok akan lebih dingin lagi.
>>ind<< Turn down the volume, please.	Tolong kecilkan volume suaranya.
>>ind<< UN stands for United Nations.	UN adalah singkatan dari United Nations.
>>ind<< UN stands for United Nations.	PBB adalah singkatan dari Perserikatan Bangsa-Bangsa.
>>ind<< We all got a Christmas bonus.	Kami semua mendapat bonus Hari Natal.
>>ind<< We all got a Christmas bonus.	Kami semua mendapat THR Natal.
>>ind<< We don't have any more bread.	Kita sudah tidak punya roti lagi.
>>ind<< We don't know what it is yet.	Kami masih belum tahu itu apa.
>>ind<< We don't plan to change that.	Kami tidak berencana mengubah itu.
>>ind<< We enjoyed watching the game.	Kami menikmati pertandingan itu.
>>ind<< We have important work to do.	Kita memiliki pekerjaan penting yang harus dilakukan.
>>ind<< We have to water the flowers.	Kita harus menyirami tanaman.
>>ind<< We import flour from America.	Kami mengimpor tepung dari Amerika.
>>ind<< We live very near the school.	Kami tinggal sangat dekat dengan sekolah.
>>ind<< We maintain our independence.	Kami mempertahankan kemerdekaan kami.
>>ind<< We saw the monkey at the zoo.	Kami melihat monyet di kebun binatang.
>>ind<< We were unable to rescue Tom.	Kami tidak dapat menyelamatkan Tom.
>>ind<< We won't go back there again.	Kami tidak akan kembali ke sana lagi.
>>ind<< We'd better do what they ask.	Sebaiknya kita turuti saja kemauan mereka.
>>ind<< We're not going to stop here.	Kita tidak akan berhenti di sini.
>>ind<< We're very lucky to be alive.	Kita beruntung sudah hidup.
>>ind<< We're very lucky to be alive.	Kami beruntung sudah hidup.
>>ind<< We've been fooling ourselves.	Kita telah membodohi diri sendiri.
>>ind<< Welcome to my secret hideout.	Selamat datang di persembunyian rahasiaku.
>>ind<< What caused the power outage?	Apa yang menyebabkan pemadaman listrik?
>>ind<< What direction are you going?	Ke arah mana Anda akan pergi?
>>ind<< What do you have in your bag?	Apa yang kau simpan di dalam tasmu?
>>ind<< What do you have in your bag?	Apa yang ada di dalam tasmu?
>>ind<< What do you think this means?	Menurutmu apa arti ini?
>>ind<< What grade is your sister in?	Adikmu kelas berapa?
>>ind<< What have you done this week?	Apa saja yang kamu lakukan minggu ini?
>>ind<< What is your favorite animal?	Apa binatang kesukaanmu?
>>ind<< What language is he speaking?	Dia berbicara dalam bahasa apa?
>>ind<< What makes this so different?	Apa yang membuat ini begitu berbeda?
>>ind<< What would you like to drink?	Kamu mau minum apa?
>>ind<< What would you like to drink?	Anda mau minum apa?
>>ind<< What would you like to drink?	Kau mau minum apa?
>>ind<< What would you like to drink?	Mau minum apa?
>>ind<< What would you like to drink?	Apa yang ingin kau minum?
>>ind<< What would you like to drink?	Anda ingin minum apa?
>>ind<< What's your favorite subject?	Apa pelajaran favoritmu?
>>ind<< Whatever happened, it's over.	Apapun yang terjadi, semuanya sudah berakhir.
>>ind<< When could you start working?	Kapan kamu bisa mulai bekerja?
>>ind<< When did the accident happen?	Kapan kecelakaan itu terjadi?
>>ind<< When will you come back home?	Kapan kamu pulang ke rumah?
>>ind<< When will you come back home?	Kapan Anda pulang ke rumah?
>>ind<< When will you visit me again?	Kapan kau akan mengunjungiku lagi?
>>ind<< Where did you learn to shoot?	Di mana kamu belajar menembak?
>>ind<< Where do you want to go, sir?	Anda ingin pergi ke mana, Pak?
>>ind<< Where is the railway station?	Stasiun kereta ada di mana?
>>ind<< Where is the railway station?	Ada di mana stasiun kereta apinya?
>>ind<< Where is the railway station?	Stasiun kereta apinya di mana?
>>ind<< Which credit cards can I use?	Kartu kredit mana yang bisa saya gunakan?
>>ind<< Who did you play tennis with?	Dengan siapa kamu bermain tenis?
>>ind<< Who told you that I was sick?	Siapa yang memberitahumu kalau aku sakit?
>>ind<< Who will look after the baby?	Siapa yang akan menjaga bayinya?
>>ind<< Why are you holding my hands?	Mengapa kamu memegang tanganku?
>>ind<< Why didn't you say something?	Kenapa kau tidak berkata sepatah katapun?
>>ind<< Why does everybody love cats?	Mengapa semua orang menyukai kucing?
>>ind<< Why does everybody love cats?	Kenapa semua orang suka kucing?
>>ind<< Why don't you eat vegetables?	Kenapa kamu tidak makan sayur?
>>ind<< Winter is my favorite season.	Musim dingin adalah musim favoritku.
>>ind<< Work is so frustrating today.	Pekerjaan hari ini sangat melelahkan.
>>ind<< Would you like another apple?	Apa kau mau apel lagi?
>>ind<< Yesterday I helped my father.	Kemarin aku membantu ayahku.
>>ind<< You and I have the same idea.	Kamu dan saya punya ide yang sama.
>>ind<< You aren't busy now, are you?	Kamu nggak sibuk kan sekarang?
>>ind<< You bought it for Tom, right?	Kamu membelinya untuk Tom, kan?
>>ind<< You can go wherever you want.	Kamu bisa pergi kemana pun kamu mau.
>>ind<< You can't smoke in this room.	Kamu tidak boleh merokok di ruangan ini.
>>ind<< You don't have to believe me.	Kamu tidak harus memercayaiku.
>>ind<< You look very charming today.	Kau terlihat sangat menawan hari ini.
>>ind<< You may go anywhere you like.	Kamu boleh pergi ke mana pun yang kamu suka.
>>ind<< You may go anywhere you like.	Kalian boleh pergi ke mana pun yang kalian suka.
>>ind<< You must finish this by 2:30.	Kalian harus menyelesaikan ini sebelum pukul 2.30.
>>ind<< You must follow school rules.	Kamu harus menuruti aturan sekolah.
>>ind<< You must follow school rules.	Kalian harus menaati aturan sekolah.
>>ind<< You seem like a smart person.	Kamu sepertinya seorang yang pandai.
>>ind<< You should get your hair cut.	Kamu harus potong rambut.
>>ind<< You should have come earlier.	Seharusnya kamu datang lebih awal.
>>ind<< You should help your friends.	Kamu harus membantu teman-temanmu.
>>ind<< You should help your friends.	Kalian harus menolong teman-teman kalian.
>>ind<< You should've seen the movie.	Anda seharusnya telah menonton film itu.
>>ind<< You should've waited for Tom.	Kamu seharusnya menunggu Tom.
>>ind<< You're a student, aren't you?	Kamu pelajar, kan?
>>ind<< You're not busy now, are you?	Kamu nggak sibuk kan sekarang?
>>ind<< You're not going to die here.	Kamu tidak akan mati di sini.
>>ind<< You're still mad, aren't you?	Kamu masih marah, ya?
>>ind<< Your pen is better than mine.	Pulpenmu lebih baik daripada milikku.
>>ind<< "Thank you." "You're welcome."	"Terima kasih." "Sama-sama."
>>ind<< A rose has thorns on its stem.	Bunga mawar memiliki duri pada batangnya.
>>ind<< Actually, I've never seen one.	Sebenarnya, aku belum pernah melihatnya.
>>ind<< All of us went except for him.	Kami semua pergi kecuali dia.
>>ind<< All that glitters is not gold.	Tidak semua kertas kecil adalah cek.
>>ind<< Are any seats still available?	Apa masih ada kursi yang tersedia?
>>ind<< Boston is an interesting city.	Boston adalah kota yang menarik.
>>ind<< Can you print that out for me?	Bisakah kau mencetaknya untukku?
>>ind<< Close the door when you leave.	Tutup pintunya ketika kamu pergi.
>>ind<< Coincidences happen every day.	Kebetulan terjadi setiap hari.
>>ind<< Come back as soon as possible.	Kembalilah sesegera mungkin.
>>ind<< Construction began in October.	Pembangunannya dimulai pada bulan Oktober.
>>ind<< Could we have a table outside?	Bisakah kami duduk di meja luar?
>>ind<< Could we make this a priority?	Bisakah kita memprioritaskan ini?
>>ind<< Could you turn down the radio?	Bisakah kau kecilkan volume radionya?
>>ind<< Could you turn down the radio?	Bisa tolong kecilkan volume radionya?
>>ind<< Could you turn off the lights?	Bisakah kau mematikan lampu-lampunya?
>>ind<< Could you wait a little while?	Dapatkah kamu menunggu sebentar?
>>ind<< Did Tom ask you to write this?	Apakah Tom memintamu untuk menulis ini?
>>ind<< Did you know Tom worked there?	Apakah kamu tahu Tom berkerja di sana?
>>ind<< Did you leave the window open?	Apa kamu membiarkan jendelanya terbuka?
>>ind<< Do we have to go to Australia?	Apakah kita harus pergi ke Australia?
>>ind<< Do you happen to have matches?	Apa kamu mempunyai korek?
>>ind<< Do you know where we're going?	Apa kamu tahu kemana kita akan pergi?
>>ind<< Do you live with your parents?	Apa kamu tinggal dengan orangtuamu?
>>ind<< Do you mind turning on the TV?	Bisa minta tolong nyalakan TV-nya?
>>ind<< Do you want me to do anything?	Ada sesuatu yang kamu ingin aku lakukan?
>>ind<< Do you want me to go with you?	Kamu ingin aku ikut denganmu?
>>ind<< Do you want to drink some tea?	Kamu mau minum teh?
>>ind<< Does Tom Jackson work for you?	Apakah Tom Jackson bekerja untuk mu?
>>ind<< Don't come so early next time.	Lain kali jangan datang terlalu awal.
>>ind<< Don't drink coffee before bed.	Jangan minum kopi sebelum tidur.
>>ind<< Don't tell me you're quitting.	Jangan katakan kalau kau berhenti.
>>ind<< Don't worry too much about it.	Jangan terlalu mengkhawatirkannya.
>>ind<< Dry the pants on the radiator.	Keringkan celananya di atas radiator.
>>ind<< English is difficult to learn.	Bahasa Inggris sulit dipelajari.
>>ind<< English is difficult to learn.	Bahasa Inggris itu sulit dipelajari.
>>ind<< Everything she says is untrue.	Semua yang dia katakan tidak benar.
>>ind<< Excuse me, I'm coming through.	Permisi, saya lewat.
>>ind<< Feta cheese has a lot of salt.	Keju feta mengandung banyak garam.
>>ind<< First of all, I must say this.	Pertama-tama, aku harus mengatakan ini.
>>ind<< French is their mother tongue.	Bahasa Prancis adalah bahasa ibu mereka.
>>ind<< Give me three pieces of chalk.	Berikan aku tiga buah kapur.
>>ind<< Go and play with your friends.	Pergi dan bermainlah dengan teman-temanmu.
>>ind<< Have you already eaten dinner?	Kamu sudah makan malam?
>>ind<< Have you already eaten dinner?	Apa kau sudah makan malam?
>>ind<< Have you already eaten supper?	Kamu sudah makan malam?
>>ind<< Have you already eaten supper?	Apa kau sudah makan malam?
>>ind<< Have you ever been to America?	Pernah ke Amerika?
>>ind<< Have you ever been to America?	Apakah Anda pernah ke Amerika?
>>ind<< Have you ever been to America?	Pernahkah kamu ke Amerika?
>>ind<< Have you ever eaten an insect?	Apakah Anda pernah makan seekor serangga?
>>ind<< Have you ever lived in Boston?	Apakah kamu pernah tinggal di Boston?
>>ind<< Have you finished packing yet?	Apakah kau sudah selesai mengepaknya?
>>ind<< Have you thought this through?	Apa kamu sudah memikirkannya dengan baik?
>>ind<< He can cope with the problems.	Dia bisa mengatasi persoalan itu.
>>ind<< He doesn't know the truth yet.	Dia belum tahu kebenarannya.
>>ind<< He doesn't yet know the truth.	Dia belum tahu kebenarannya.
>>ind<< He encouraged me to try again.	Dia menyemangati saya untuk mencoba lagi.
>>ind<< He gets lost wherever he goes.	Dia selalu tersesat di mana pun dia pergi.
>>ind<< He is a teacher at our school.	Dia guru di sekolah kami.
>>ind<< He is accustomed to hard work.	Dia sudah terbiasa dengan kerja keras.
>>ind<< He is exactly like his father.	Dia persis seperti ayahnya.
>>ind<< He is no better than a beggar.	Dia tidak lebih baik daripada seorang pengemis.
>>ind<< He is the image of his father.	Dia adalah gambaran dari ayahnya.
>>ind<< He is too drunk to drive home.	Ia terlalu mabuk untuk berkemudi menuju rumah.
>>ind<< He took Tom on a fishing trip.	Dia mengajak Tom pergi memancing.
>>ind<< He took a book from the shelf.	Dia mengambil sebuah buku dari rak.
>>ind<< He whispered something to her.	Ia membisikkan sesuatu padanya.
>>ind<< He will return within 3 hours.	Dia akan kembali dalam tiga jam.
>>ind<< He's attracted to black women.	Dia tertarik pada wanita berkulit hitam.
