>>hrv<< Who?	Tko?
>>hrv<< I hear a dog barking in the woods.	Čujem psa koji laje u šumi.
>>hrv<< I'm tired and I want to go to bed.	Umorio sam se i hoću spavati.
>>hrv<< Is this your first visit to Japan?	Je li to tvoj prvi posjet Japanu?
>>hrv<< My boss called me into his office.	Šef me je pozvao u svoj ured.
>>hrv<< Please keep an eye on my suitcase.	Molim te pripazi na moj kofer.
>>hrv<< Some friends invited me to dinner.	Neki prijatelji su me pozvali na večeru.
>>hrv<< Stupid people tend to be arrogant.	Glup ljudi su često umišljeni.
>>hrv<< That fox must have killed the hen.	Sigurno je ta lisica ubila kokoš.
>>hrv<< That fox must have killed the hen.	Ta lisica je zasigurno ubila kokoš.
>>hrv<< The drowning man shouted for help.	Utopljenik je vikao upomoć.
>>hrv<< Tom came to Mary's birthday party.	Tom je došao na Marynu rođendansku zabavu.
>>hrv<< Tom has been arrested three times.	Tom je bio uhićen tri puta.
>>hrv<< Tom said Mary was driving the car.	Tom je rekao da je Mary vozila auto.
>>hrv<< Two bags of cement will be enough.	Dvije vreće cementa će biti dovoljne.
>>hrv<< We enjoyed singing songs together.	Uživali smo zajedno pjevati.
>>hrv<< We went to see a comedy in London.	Došli smo u London pogledati komediju.
>>hrv<< We're the only ones who know that.	Mi smo jedini koji to znamo.
>>hrv<< What's the price of this umbrella?	Koja je cijena ovoga kišobrana?
>>hrv<< Where did you have your suit made?	Gdje si izradio svoje odijelo?
>>hrv<< Where did you leave your umbrella?	Gdje si ostavio svoj kišobran?
>>hrv<< Where did you leave your umbrella?	Gdje si ostavila svoj kišobran?
>>hrv<< With freedom comes responsibility.	Sa slobodom dolazi odgovornost.
>>hrv<< You may as well tell us the truth.	Možeš nam jednostavno reći istinu.
>>hrv<< You may choose whichever you want.	Možeš odabrati kojeg god želiš.
>>hrv<< A childhood illness left her blind.	Bolest iz djetinjstva ju je oslijepila.
>>hrv<< Can you read that sign ahead of us?	Možeš li pročitati onaj znak ispred nas?
>>hrv<< Can you recommend any other hotels?	Možeš li preporučiti neke druge hotele?
>>hrv<< Come to my house whenever you like.	Dođi u moju kuću kad god hoćeš.
>>hrv<< Could I have another glass of beer?	Mogu li dobiti još jednu čašu piva?
>>hrv<< Diamonds are a girl's best friends.	Dijamanti su najbolji djevojčini prijatelji.
>>hrv<< Did you get the package I sent you?	Jesi li primio paket koji sam ti poslao?
>>hrv<< Did you get the package I sent you?	Jesi li primio paket koji sam ti poslala?
>>hrv<< Did you get the package I sent you?	Jesi li primila paket koji sam ti poslala?
>>hrv<< Did you get the package I sent you?	Jeste li primili paket koji sam vam poslao?
>>hrv<< Did you get the package I sent you?	Jeste li primili paket koji sam vam poslala?
>>hrv<< Do whatever you want. I don't care.	Radi što želiš. Uopće me ne zanima.
>>hrv<< Don't be afraid of making mistakes.	Nemoj se bojati grešaka.
>>hrv<< Don't bite the hand that feeds you.	Ne grizi ruku koja te hrani.
>>hrv<< Don't put your elbows on the table.	Ne stavljaj laktove na stol.
>>hrv<< Give this book to whoever wants it.	Daj ovu knjigu komugod tko je hoće.
>>hrv<< He arrived in time for the meeting.	Došao je na sastanak na vrijeme.
>>hrv<< He came in spite of the heavy snow.	Došao je usprkos jakog snijega.
>>hrv<< He caught a boy stealing his watch.	Uhvatio je dječaka kako mu krade sat.
>>hrv<< He didn't come to the last meeting.	Nije došao na posljednji sastanak.
>>hrv<< He doesn't live in my neighborhood.	On ne živi u mom susjedstvu.
>>hrv<< He is a doctor and also a novelist.	On je liječnik, a osim toga i pisac.
>>hrv<< He made up his mind to be a doctor.	Odlučio je postati liječnik.
>>hrv<< He's not always at home on Sundays.	On nije nedjeljom uvijek kod kuće.
>>hrv<< He's three inches taller than I am.	On je za 3 pedlja viši od mene.
>>hrv<< He's three inches taller than I am.	On je 7.5 centimetara viši od mene.
>>hrv<< I am so busy that I can't help you.	Tako sam zauzet da ti ne mogu pomoći.
>>hrv<< I am tired and I want to go to bed.	Umorio sam se i hoću spavati.
>>hrv<< I don't know what Tom was thinking.	Ne znam što si je Tom mislio.
>>hrv<< I don't like studying in this heat.	Ne volim učiti po ovakvoj vrućini.
>>hrv<< I like Tom, but he doesn't like me.	Sviđa mi se Tom, no ja se ne sviđam njemu.
>>hrv<< I want to know how he planned this.	Želim znati kako je to isplanirao.
>>hrv<< I was sick and had to stay indoors.	Bio sam bolestan i morao sam ostati u kući
>>hrv<< I was sick and had to stay indoors.	Bila sam bolesna i morala sam ostati u kući.
>>hrv<< I will give you the money tomorrow.	Dat ću ti novac sutra.
>>hrv<< I've done everything I can to help.	Napravio sam sve što mogu da pomognem.
>>hrv<< I've done everything I can to help.	Napravila sam sve što mogu da pomognem.
>>hrv<< My jacket is not the same as yours.	Moja jakna nije ista tvojoj.
>>hrv<< My older sister is good at singing.	Moja starija sestra dobro pjeva.
>>hrv<< One swallow does not make a spring.	Jedna lasta ne čini proljeće.
>>hrv<< The ceremony began with his speech.	Ceremonija je započela njegovim govorom.
>>hrv<< The lion is the king of the jungle.	Lav je kralj džungle.
>>hrv<< The man stood up and began to sing.	Muškarac je ustao i zapjevao.
>>hrv<< There are four people in my family.	U mojoj obitelji je četvero ljudi.
>>hrv<< This is the beginning of a new era.	Ovo je početak nove ere.
>>hrv<< Today I have a lot of things to do.	Danas imam puno toga za obaviti.
>>hrv<< Tom and Mary decided to adopt John.	Tom i Mary su odlučili posvojiti Johna.
>>hrv<< Tom gave Mary a piece of chocolate.	Tom je dao Mary komad čokolade.
>>hrv<< Tom is the best singer in my class.	Tom je najbolji pjevač u mom razredu.
>>hrv<< Tom's new girlfriend is very young.	Tomova nova djevojka je vrlo mlada.
>>hrv<< We saw something white in the dark.	Vidjeli smo nešto bijelo u mraku.
>>hrv<< We should've done what you advised.	Trebali smo učiniti to što si nam savjetovao.
>>hrv<< What do you think of Japanese food?	Što misliš o japanskoj hrani?
>>hrv<< What's your favorite YouTube video?	Koji je tvoj najomiljeniji youtube-video?
>>hrv<< Who was the man killed on the hill?	Tko je čovjek ubijen na brdu?
>>hrv<< Why do you think Tom would do that?	Zašto misliš da bi Tom to učinio?
>>hrv<< Why do you think Tom would do this?	Zašto misliš da bi Tom ovo učinio?
>>hrv<< Will we be in time for the concert?	Hoćemo li stići na koncert?
>>hrv<< You were supposed to tell Tom that.	Ti si to trebao reći Tomu.
>>hrv<< A friend of mine is studying abroad.	Jedan moj prijatelj studira u inozemstvu.
>>hrv<< All this running has made me hungry.	Ogladnio sam od svog ovog trčanja.
>>hrv<< Do you have any idea who killed Tom?	Imaš li ideju tko je mogao ubiti Toma?
>>hrv<< He has eyes at the back of his head.	On ima oči na potiljku.
>>hrv<< He is a lonely man with few friends.	On je usamljen čovjek, nema puno prijatelja.
>>hrv<< How much money does he make a month?	Koliko novca zarađuje mjesečno?
>>hrv<< I assume that you know what this is.	Pretpostavljam da znaš što je to.
>>hrv<< I could've killed you, but I didn't.	Mogao sam te ubiti, ali nisam.
>>hrv<< I thought a lot about what you said.	Puno sam razmišljao o onome što si rekao.
>>hrv<< I told Tom I was going to handle it.	Rekao sam Tomu da ću ja to riješiti.
>>hrv<< Ignorant people tend to be arrogant.	Neuki ljudi su često umišljeni.
>>hrv<< It will not be long before he comes.	On će doći uskoro.
>>hrv<< My mother told me to clean the room.	Majka mi je reka da očistim sobu.
>>hrv<< People who don't work, won't be fed.	Ljudi koji ne rade neće biti nahranjeni.
>>hrv<< Sugar replaced honey as a sweetener.	Šećer je zamijenio med kao zaslađivač.
>>hrv<< The doctors are looking at an X-ray.	Liječnici gledaju rendgensku sliku.
>>hrv<< The old lady was devoted to her dog.	Stara gospođa je bila posvećena svom psu.
>>hrv<< The workers were naked to the waist.	Radnici su bili goli do pasa.
>>hrv<< There's nothing as precious as love.	Ne postoji ništa vrijednije od ljubavi.
>>hrv<< Tom claimed that it was an accident.	Tom je tvrdio da je to bila nesreća.
>>hrv<< Tom did his homework in the kitchen.	Tom je napravio svoju zadaću u kuhinji.
>>hrv<< Tom explained how he lost his money.	Tom je objasnio kako je izgubio svoj novac.
>>hrv<< Tom hanged himself in his jail cell.	Tom se objesio u svojoj zatvorskoj ćeliji.
>>hrv<< Tom is an activist in his community.	Tom je aktivist u svojoj zajednici.
>>hrv<< Tom told Mary he had a lot of money.	Tom je rekao Mary da ima mnogo novca.
>>hrv<< We got to know each other in London.	Upoznali smo jedan drugoga u Londonu.
>>hrv<< We're here tonight for a good cause.	Ovdje smo večeras zbog dobrog razloga.
>>hrv<< Were you planning something special?	Jesi li planirao nešto specijalno?
>>hrv<< Were you planning something special?	Jesi li planirala nešto specijalno?
>>hrv<< Where there is smoke, there is fire.	Gdje je vatra, tu je i dim.
>>hrv<< Where were you the entire afternoon?	Gdje si bio cijelo popodne?
>>hrv<< Where were you the entire afternoon?	Gdje si bila cijelo popodne?
>>hrv<< Why are we having this conversation?	Zašto vodimo ovaj razgovor?
>>hrv<< A bird was flying high up in the sky.	Ptica je visoko letjela nebom.
>>hrv<< Do you think Tom will ever kiss Mary?	Misliš li da će Tom ikada poljubiti Mary?
>>hrv<< I borrow books from the city library.	Posuđujem knjige iz gradske knjižnice.
>>hrv<< I don't exercise as much as I should.	Ne vježbam koliko bih trebao.
>>hrv<< I no longer believe anything you say.	Ja ne vjerujem više u ono što mi govoriš.
>>hrv<< I think Tom and Mary like each other.	Mislim da se Tom i Mary sviđaju jedno drugome.
>>hrv<< I'm fairly sure I'm right about this.	Prilično sam siguran da sam u pravu o tome.
>>hrv<< Let me sleep for another ten minutes.	Pusti me da spavam još deset minuta.
>>hrv<< My upstairs neighbors are very noisy.	Susjedi na katu iznad mene su jako glasni.
>>hrv<< Next Monday and Tuesday are holidays.	Sljedeći ponedjeljak i utorak su praznici.
>>hrv<< Please tell me where the bus stop is.	Molim te reci mi gdje je stajalište za bus.
>>hrv<< The terrorists released the hostages.	Teroristi su oslobodili taoce.
>>hrv<< There were about one thousand people.	Bilo je oko tisuću ljudi.
>>hrv<< This sink is made of stainless steel.	Ovaj sudoper je napravljen od nehrđajućeg čelika.
>>hrv<< Tom is probably not hungry right now.	Tom vjerojatno nije gladan trenutno.
>>hrv<< Tom likes you more than anybody else.	Tom te voli više nego bilo koga drugoga.
>>hrv<< Tom thinks I don't know what he said.	Tom misli da ne znam što je rekao.
>>hrv<< Tom's house is shaped like a pyramid.	Tomova kuća je u obliku piramide.
>>hrv<< You won't be able to handle this job.	Nećeš biti sposoban podnijeti ovaj posao.
>>hrv<< Are there any book stores around here?	Ima li ovdje ijedna knjižara?
>>hrv<< Can you tell me where the restroom is?	Možete li mi reći gdje je zahod?
>>hrv<< He was driving a car along the street.	Vozio je auto ulicom.
>>hrv<< How did you arrive at this conclusion?	Kako si došao do tog zaključka?
>>hrv<< How did you arrive at this conclusion?	Kako si došla do tog zaključka?
>>hrv<< I can't be bothered to go out tonight.	Ne da mi se izaći večeras.
>>hrv<< I decided to tell her that I love him.	Odlučila sam joj reći da ga volim.
>>hrv<< I had an excellent breakfast at seven.	Odlično sam doručkovao u sedam.
>>hrv<< I'm developing an Android application.	Razvijam Android aplikaciju.
>>hrv<< Looks like that's a pretty big museum.	Čini se da je to prilično veliki muzej.
>>hrv<< My brother helped me with my homework.	Moj brat mi je pomogao s domaćom zadaćom.
>>hrv<< The most effective defense is offense.	Ofanziva je najefektivnija defanziva.
>>hrv<< There's no use trying to persuade him.	Nema koristi da ga se pokuša nagovoriti.
>>hrv<< Tom predicted that Mary would do that.	Tom je nagovjestio da će Mary to napraviti.
>>hrv<< Tom really enjoys watching basketball.	Tom stvarno uživa gledati košarku.
>>hrv<< Tom told me that I should've said yes.	Tom mi je rekao da sam trebao reći da.
>>hrv<< Water freezes at 0 degrees Centigrade.	Voda se ledi pri ništici.
>>hrv<< You can't help yourself, can you, Tom?	Ne možeš si pomoći, zar ne Tome?
>>hrv<< Your daughters have turned into women.	Tvoje kćerke su se pretvorile u žene.
>>hrv<< He has always devoted himself to music.	Uvijek je bio posvećen glazbi.
>>hrv<< He isn't the kind of person who steals.	On nije tip osobe koja krade.
>>hrv<< He took pictures of me with his camera.	Napravio je nekoliko mojih fotki svojom kamerom.
>>hrv<< He was hit by a car and died instantly.	Auto ga je udario i umro je na mjestu.
>>hrv<< How many blankets are there on the bed?	Koliko je pokrivača na krevetu?
>>hrv<< I ate absolutely nothing the whole day.	Uopće ništa nisam jeo cijeli dan.
>>hrv<< I didn't take part in the conversation.	Nisam sudjelovao u razgovoru.
>>hrv<< I love what you've done with the place.	Sviđa mi se kako si uredio stan.
>>hrv<< I still have a few things I need to do.	Moram obaviti još neke stvari.
>>hrv<< I told you I don't know how to do that.	Rekao sam ti da ne znam kako se to radi.
>>hrv<< I'll come when I have done my homework.	Doći ću kada završim svoju domaću zadaću.
>>hrv<< It was stormy the day before yesterday.	Bilo je olujno prekjučer.
>>hrv<< Several newspapers published the story.	Nekoliko je novina objavilo priču.
>>hrv<< She spends her holidays at her uncle's.	Ona provodi praznike kod strica.
>>hrv<< Tell me how can I be of service to you.	Reci mi, kako mogu biti od pomoći?
>>hrv<< They split up after a year of marriage.	Rastavili su se nakon godišnjice braka.
>>hrv<< Tom and I went to the same high school.	Tom i ja smo išli u istu srednju školu.
>>hrv<< Tom said that Mary was driving the car.	Tom je rekao da je Mary vozila auto.
>>hrv<< Tom will help whoever asks him to help.	Tom će pomoći bilo kome tko zatraži pomoć.
>>hrv<< You told me you wouldn't be here today.	Rekao si mi da nećeš biti ovdje danas.
>>hrv<< You told me you wouldn't be here today.	Rekla si mi da nećeš biti ovdje danas.
>>hrv<< Your examination results are excellent.	Tvoji rezultati ispita su odlični.
>>hrv<< He was late as a result of the accident.	Kasnio je zbog nesreće.
>>hrv<< I think we've wasted enough of our time.	Mislim da smo izgubili dovoljno vremena.
>>hrv<< I'm not satisfied with what you've done.	Nisam zadovoljan s onime što si napravio.
>>hrv<< I'm not satisfied with what you've done.	Nisam zadovoljan s onime što si napravila.
>>hrv<< The doctor gave her a thorough check-up.	Liječnik ju je temeljito pregledao.
>>hrv<< They speak English and French in Canada.	U Kanadi se govori engleski i francuski.
>>hrv<< Tom and Mary would make a lovely couple.	Tom i Mary bi bili prekrasan par.
>>hrv<< What happened to make you laugh so much?	Što se dogodilo da se tako smiješ?
>>hrv<< What kind of movie is it? Is it popular?	Kakav je ovo film? Je li popularan?
>>hrv<< You don't have to go to school tomorrow.	Sutra ne moraš ići u školu.
>>hrv<< Are you going to invite her to the party?	Hoćeš li je pozvati na zabavu?
>>hrv<< He has an interest in collecting insects.	Zanima ga skupljanje kukaca.
>>hrv<< He has never come on time that I know of.	Koliko ja znam, nikada nije došao na vrijeme.
>>hrv<< I asked him many questions about ecology.	Postavio sam mu mnogo pitanja o ekologiji.
>>hrv<< It is no use your trying to persuade him.	Nema koristi da ga se pokuša nagovoriti.
>>hrv<< The couple lived a happy life to the end.	Par je živio sretan život do kraja.
>>hrv<< The party won't start until Tom shows up.	Zabava neće započeti sve dok se Tom ne pojavi.
>>hrv<< There is almost no violence in that city.	Gotovo da nema nasilja u tom gradu.
>>hrv<< Tom accidentally set fire to the curtain.	Tom je slučajno zapalio zavjesu.
>>hrv<< Tom asked Mary to pretend to be his wife.	Tom je zamolio Mary da se pretvara da mu je žena.
>>hrv<< Tom finally realized that Mary was right.	Tom je napokon shvatio da je Mary bila u pravu.
>>hrv<< You have to solve your problems yourself.	Moraš rješavati svoje probleme sam.
>>hrv<< You sound like you're not having any fun.	Zvučiš kao da se ne zabavljaš.
>>hrv<< You sound like you're not having any fun.	Zvučite kao da se ne zabavljate.
>>hrv<< Everyone makes mistakes from time to time.	Svatko čini pogreške s vremena na vrijeme.
>>hrv<< He is always here between 5 and 6 o'clock.	Uvijek je ovdje između 5 i 6 sati.
>>hrv<< He organized a boycott of the bus service.	Organizirao je bojkot autobusnog prijevoza.
>>hrv<< His novels are popular among young people.	Njegovi romani su omiljeni među mladim osobama.
>>hrv<< I don't want to take up much of your time.	Ne želim ti uzeti više vremena.
>>hrv<< I'm going to leave the three of you alone.	Pustiti ću vas tri nasamo.
>>hrv<< Many economists are ignorant of that fact.	Mnogi ekonomisti se oglušuju o tu činjenicu.
>>hrv<< Mom is washing the dog because he's dirty.	Mama kupa psa, jer je prljav.
>>hrv<< Some of my friends can speak English well.	Neki moji prijatelji jako dobro govore engelski.
>>hrv<< The plants suffered damage from the frost.	Mraz je oštetio biljke.
>>hrv<< Tom allowed the police to search his home.	Tom je dopustio policiji da pretraži njegovu kuću.
>>hrv<< Tom asked Mary to take back what she said.	Tom je zamolio Mary da opovrgne rečeno.
>>hrv<< Tom didn't like the way Mary spoke to him.	Tomu se nije svidio način kako je Mary razgovarala s njime.
>>hrv<< Tom evidently was here early this morning.	Tom je očito bio ovdje rano jutros.
>>hrv<< Tom finally realized that he'd been wrong.	Tom je napokon shvatio da je bio u krivu.
>>hrv<< Tom plunged the hot metal into cold water.	Tom je uronio vrući metal u hladnu vodu.
>>hrv<< Tom thinks that I don't know what he said.	Tom misli da ne znam što je rekao.
>>hrv<< Tom wants to know when you'll be finished.	Tom želi znati kad ćete biti gotovi.
>>hrv<< Tom was so cold his teeth were chattering.	Tomu je bilo toliko hladno da su mu zubi cvokotali.
>>hrv<< Very young children don't know many words.	Mala djeca nemaju širok rječnik.
>>hrv<< Very young children don't know many words.	Mala djeca ne znaju mnogo riječi.
>>hrv<< You've definitely gotten better at French.	Tvoj francuski se definitivno poboljšao.
>>hrv<< Can you recommend a hotel near the airport?	Možeš li preporučiti hotel u blizini zračne luke?
>>hrv<< He has many enemies in the political world.	On ima mnogo neprijatelja u svijetu politike.
>>hrv<< He took the trouble to assist the poor man.	Uzeo si je truda da pomogne tome siromašnome čovjeku.
>>hrv<< I can't forgive him for behaving like that.	Ne mogu mu oprostiti zbog takvog ponašanja.
>>hrv<< I had not waited long before she turned up.	Nisam ga morao dugo čekati.
>>hrv<< I started liking Mary as soon as I met her.	Mary mi se počela sviđati od prvog susreta.
>>hrv<< In the fall, many birds head for the south.	Ujesen mnoge ptice sele se na jug.
>>hrv<< Money doesn't necessarily make you happier.	Novac te nužno ne čini sretnim.
>>hrv<< Money doesn't necessarily make you happier.	Novac te nužno ne čini sretnom.
>>hrv<< No student was able to answer the question.	Niti jedan student nije znao odgovor na pitanje.
>>hrv<< The plan was rejected as being impractical.	Plan je odbačen kao nepraktičan.
>>hrv<< We had an examination in mathematics today.	Imali smo danas ispit iz matematike.
>>hrv<< Wind is a cheap and clean source of energy.	Vjetar je jeftin i čist izvor energije
>>hrv<< A bird in the hand is worth two in the bush.	Bolje vrabac u ruci nego golub na grani.
>>hrv<< By the end of June, they were ready to vote.	Do kraja lipnja oni su bili spremni glasati.
>>hrv<< I don't know if those languages are related.	Ne znam jesu li ti jezici srodni.
>>hrv<< I don't want to work under these conditions.	Ne želim raditi pod tim uvjetima.
>>hrv<< I gave my mother 19 flowers on Mother's Day.	Dao sam svojoj majci devetnaest cvijetova za Majčin dan.
>>hrv<< It was obvious Tom didn't want to kiss Mary.	Bilo je očigledno da Tom nije htio poljubiti Mariju.
>>hrv<< You scratch my back, and I'll scratch yours.	Ruka ruku mije.
>>hrv<< You're about to make a very serious mistake.	Upravo ćeš napraviti veliku grešku.
>>hrv<< Are there any other hotels you can recommend?	Ima li nekih drugih hotela koje možeš preporučiti?
>>hrv<< English and German are two related languages.	Engleski i njemački su srodni jezici.
>>hrv<< Every little thing you say gets on my nerves.	Ide mi na živce svaka riječ koju izgovoriš.
>>hrv<< I am so tired that I can't walk another step.	Umoran sam toliko da ne mogu više ni korak.
>>hrv<< I broke down the door because I lost the key.	Provalio sam vrata jer sam izgubio ključ.
>>hrv<< That which is easily acquired is easily lost.	Kako došlo, tako prošlo.
>>hrv<< The government has imposed a new tax on wine.	Vlada je nametnula novi porez na vino.
>>hrv<< They spoke ill of the captain in his absence.	Govorili su ružno o kapetanu dok ga nije bilo.
>>hrv<< Tom spent the whole afternoon playing tennis.	Tom je proveo cijelo popodne igrajući tenis.
>>hrv<< Who's the man at the other side of the table?	Tko je taj čovjek s druge strane stola?
>>hrv<< Yesterday I played tennis for the first time.	Jučer sam po prvi puta igrao tenis.
>>hrv<< Yesterday I played tennis for the first time.	Jučer sam po prvi puta igrala tenis.
>>hrv<< You can't tell me who I can or can't talk to.	Ne možeš mi ti reći s kim mogu, a s kim ne mogu pričati.
>>hrv<< He has postponed his departure until tomorrow.	Odgodio je njegov odlazak do sutra.
>>hrv<< I regret not having studied hard for the test.	Žalim što nisam više učio za ispit.
>>hrv<< I want to see what you have inside your house.	Želim vidjeti što imaš u kući.
>>hrv<< Knowing is nothing. Imagination is everything.	Znati je ništa, mašta je sve.
>>hrv<< My guess is that Tom isn't going to want that.	Moja pretpostavka je da Tom to neće htjeti.
>>hrv<< Our teacher will return from abroad in August.	Naš učitelj će se vratiti iz inozemstva u kolovozu.
>>hrv<< The accident happened on Sunday at about 3:00.	Nesreća se dogodila u nedjelju oko 3:00.
>>hrv<< The game may have been put off till next week.	Igra može biti odgođena do sljedećeg tjedna.
>>hrv<< The lady dressed in white is a famous actress.	Ta gospođa, odjevena u bijelo, je poznata glumica.
>>hrv<< We walked together as far as the next station.	Šetali smo se sve do iduće stanice.
>>hrv<< All our teachers were young and loved teaching.	Svi učitelji su bili mladi i voljeli podučavati.
>>hrv<< I heard a strange sound coming from the garage.	Čuo sam čudni zvuk koji je dolazio iz garaže.
>>hrv<< It is not easy to speak naturally on the radio.	Nije jednostavno govoriti prirodno na radiju.
>>hrv<< She insisted that he should go to the hospital.	Inzistirala je da on ode u bolnicu.
>>hrv<< The war cost 2,000 million dollars every month.	Rat stoji 2 000 milijuna dolara mjesečno.
>>hrv<< Tom took a moment to consider the consequences.	Tom je nakratko promislio o posljedicama.
>>hrv<< When was the last time you angered your mother?	Kad si zadnji put razljutio svoju majku.
>>hrv<< When was the last time you angered your mother?	Kad si zadnji put razljutila svoju majku.
>>hrv<< You can't really expect Tom to change his mind.	Stvarno ne možeš očekivati da će Tom promijeniti svoje mišljenje.
>>hrv<< He is superior to his competitors in everything.	Nadmašuje svoje protivnike u svemu.
>>hrv<< He who lives by the sword will die by the sword.	Tko se mača laća, od mača i pogiba.
>>hrv<< I think we'll probably reach Boston before dark.	Mislim da ćemo stići u Boston prije mraka.
>>hrv<< I'd like you to look after my dog while I'm out.	Volio bih kad bi pripazio na mog psa dok sam vani.
>>hrv<< I'd like you to look after my dog while I'm out.	Volljela bih kad bi pripazila na mog psa dok sam vani.
>>hrv<< If you don't bother them, they won't bother you.	Ako im ne smetaš, ni oni tebi neće smetati.
>>hrv<< It is one of the biggest summer music festivals.	To je jedan od najvećih ljetnih muzičkih festivala.
>>hrv<< She seems to have been offended by what he said.	Izgleda da ju je uvrijedilo ono što joj je rekao.
>>hrv<< The light went out and we were left in the dark.	Nestalo je svjetla i ostali smo u mraku.
>>hrv<< There is a small teacup and an egg on the table.	Na stolu je šalica čaja i jaje.
>>hrv<< Tom certainly isn't as smart as he thinks he is.	Tom uopće nije toliko pametan koliko misli da jest.
>>hrv<< Why did you give up the idea of learning French?	Zašto si odustao od učenja francuskog?
>>hrv<< You still haven't told me when you get off work.	Nisi mi rekao kad odlaziš na posao.
>>hrv<< He always speaks of the government with contempt.	Uvijek govori o vladi s prijezirom.
>>hrv<< He hadn't eaten all day long and was very hungry.	Nije bio jeo cijeli dan i bio je gladan.
>>hrv<< He who lives by the sword shall die by the sword.	Tko se mača laća, od mača i pogiba.
>>hrv<< It looks like Tom is going to start working here.	Izgleda da će Tom početi raditi ovdje.
>>hrv<< Many people were killed as a result of the storm.	Mnogi su ljudi poginuli od posljedica oluje.
>>hrv<< Tom chopped wood for his wood-burning cook stove.	Tom je nacijepao drva za svoj štednjak na drva.
>>hrv<< Tom doesn't have to eat it if he doesn't want to.	Tom ne treba jesti ako ne želi.
>>hrv<< Tom finished his drink and asked for another one.	Tom je popio svoje piće i naručio još jedno.
>>hrv<< A bird in the hand is better than two in the bush.	Bolje vrabac u ruci nego golub na grani.
>>hrv<< Do you know the difference between silver and tin?	Možeš li razlikovati srebro od kositra?
>>hrv<< He told us such a funny story that we all laughed.	Ispričao nam je tako smiješnu priču da smo se svi smijali.
>>hrv<< His daughter has grown out of all her old clothes.	Njegova kćerka je prelasla svu svoju staru odjeću.
>>hrv<< I wrote down his phone number on a scrap of paper.	Zapisao sam njegov broj na komadiću papira.
>>hrv<< I wrote down his phone number on a scrap of paper.	Zapisala sam njegov broj na komadiću papira.
>>hrv<< She has a great affection for her little brothers.	Vrlo je privržena svojoj mlađoj braći.
>>hrv<< Tom was kind enough to lend me the money I needed.	Tom je bio toliko ljubazan da mi posudi novac koji mi je trebao.
>>hrv<< Tom was successful in finding a new job in Boston.	Tom je uspio pronaći posao u Bostonu.
>>hrv<< Who was the last person to log on to the computer?	Tko je bila posljednja osoba na tom računalu?
>>hrv<< "Have you seen my cell phone?" "It's on the table."	"Jesi li vidio moj mobitel?" "Na stolu je."
>>hrv<< American English isn't better than British English.	Američki engleski nije bolje od britanskog engleskog.
>>hrv<< He has given up smoking for the sake of his health.	Prestao je pušiti da očuva svoje zdravlje.
>>hrv<< I think all three of us know what needs to be done.	Mislim da svi troje znamo što treba napraviti.
>>hrv<< My dog is blind, but he loves to go out for a walk.	Moj pas je slijep, ali voli ići van i šetati se.
>>hrv<< No matter how he tried, he could not open the door.	Bez obzira kako pokušavao, nije uspijevao otvoriti vrata.
>>hrv<< There's no evidence this disease is caused by diet.	Nema dokaza da je ova bolest uzrokovana načinom prehrane.
>>hrv<< Tom must've tried cleaning this without using soap.	Tom mora da je pokušavao ovo očistiti bez sapuna.
>>hrv<< Without your consent, nothing can be done about it.	Bez tvoje suglasnosti, ništa se ne može učiniti u vezi toga.
>>hrv<< It was raining so hard that we decided to stay home.	Kiša je tako jako padala da smo odlučili ostati doma.
>>hrv<< He does not study hard, but does very well at school.	On ne uči mnogo, ali ima dobar uspjeh u školi.
>>hrv<< Our train was an hour late because of the heavy snow.	Zbog mećave naš vlak je kasnio jedan sat.
>>hrv<< Somebody spent a lot of money to decorate this place.	Netko je potrošio mnogo novca da bi ukrasio ovaj stan.
>>hrv<< Somebody spent a lot of money to decorate this place.	Netko je potrošio mnogo novca da bi ukrasio ovo mjesto.
>>hrv<< The film was inspired by the novel of the same title.	Film je bio inspiriran novelom istog naslova.
>>hrv<< You sort of hinted that you wanted me to ask you out.	Nekako si mi dao naslutiti da hoćeš da te pozovem vani.
>>hrv<< You sort of hinted that you wanted me to ask you out.	Nekako si mi dala naslutiti da hoćeš da te pozovem vani.
>>hrv<< How long does it take from here to your house by bike?	Koliko dugo ti treba s biciklom odavde do tvoje kuće?
>>hrv<< The old teacher began to talk about the good old days.	Stari učitelj je počeo nostalgično govoriti o dobrim, starim vremenima.
>>hrv<< Tom said he tried to do that the day before yesterday.	Tom je rekao kako je to probao napraviti prekjučer.
>>hrv<< I didn't have enough money to buy everything we needed.	Nisam imao dovoljno novca da kupim sve što nam je trebalo.
>>hrv<< Tom needs to study more if he hopes to pass this class.	Tom mora više učiti ako misli završiti razred.
>>hrv<< It would've been better if Tom hadn't bought Mary a gun.	Bilo bi bolje da Tom nije kupio pištolj Mary.
>>hrv<< She will arrive in Tokyo at the beginning of next month.	Ona će stići u Tokio početkom sljedećeg mjeseca.
>>hrv<< The sort of information we need is not always available.	Informacije kakve trebamo nisu uvijek dostupne.
>>hrv<< You should spend more time outside and less time inside.	Trebao bi provoditi više vremena vani, a manje unutra.
>>hrv<< If you guys are still hungry, we can order another pizza.	Ako ste (vi ljudi) još uvijek gladni, možemo naručiti još jednu pizzu.
>>hrv<< Please help me pick out a hat which matches my new dress.	Molim te pomogni mi odabrati šešir koji odgovara mom novom odijelu.
