>>nds<< Run!	Loop!
>>nds<< The word is no longer in use.	Dat Woord warrt nich mehr bruukt.
>>nds<< There were 30 members in all.	Dor weren alltohoop 30 Maten.
>>nds<< They are talking about music.	Se snackt över Musik.
>>nds<< They drink a lot of lemonade.	Se drinkt veel Bruus.
>>nds<< This chair is too low for me.	Disse Stohl is för mi to sied.
>>nds<< This hall holds 2,000 people.	Disse Hall hett Platz för 2.000 Lüüd.
>>nds<< This shirt costs ten dollars.	Dit Hemd köst teihn Dollar.
>>nds<< Tom walked across the street.	Tom güng över de Straat.
>>nds<< Turn left at the next corner.	Bi de nächste Eck links.
>>nds<< We could see nothing but fog.	Wi kunnen nix sehn as Mist.
>>nds<< We got a good price for that.	Wi hebbt dor en goden Pries för kregen.
>>nds<< We import coffee from Brazil.	Wi importeert Kaffe ut Brasilien.
>>nds<< We killed time playing cards.	Wi hebbt de Tied mit Koortenspelen doodslahn.
>>nds<< We might be able to help her.	Wi köönt ehr villicht helpen.
>>nds<< We played baseball yesterday.	Wi hebbt güstern Baseball speelt.
>>nds<< We're looking for each other.	Wi kiekt naenanner.
>>nds<< What's your favorite perfume?	Wat is dien leevst Parfüm?
>>nds<< What's your favorite podcast?	Wat is dien leevsten Podcast?
>>nds<< What's your favorite website?	Wat is dien leevste Websteed?
>>nds<< When I awoke, it was snowing.	As ik opwaken deed, deed dat sneen.
>>nds<< Where does your grandpa live?	Woneem wahnt dien Opa?
>>nds<< Where does your grandpa live?	Woneem leevt dien Opa?
>>nds<< Where is the railway station?	Woneem is de Bahnhoff?
>>nds<< Why are you drying your hair?	Worüm dröögst du di de Hoor?
>>nds<< Winter is my favorite season.	De Winter is mien leevste Johrstied.
>>nds<< Would you lend me your knife?	Lehnst du mi dien Kniev?
>>nds<< Would you like coffee or tea?	Wullt du Kaffe oder Tee?
>>nds<< Would you like to see it now?	Wullt du dat nu sehn?
>>nds<< You are not a child any more.	Du büst keen Kind mehr.
>>nds<< You have such beautiful eyes.	Du hest so glaue Ogen.
>>nds<< Antimatter is highly unstable.	Antimateer is temlich instabil.
>>nds<< Are you interested in flowers?	Intresseerst du di för Blomen?
>>nds<< At last we can afford a house.	Tominnst köönt wi uns en Huus tügen.
>>nds<< Can you pronounce these words?	Kannst du disse Wöör utspreken?
>>nds<< Did you call me up last night?	Hest du mi güstern avend anropen?
>>nds<< Do you have someplace to stay?	Hest du en Platz, wo du blieven kannst?
>>nds<< Do you understand what I mean?	Versteihst du, wat ik meen?
>>nds<< For me, this is not a problem.	För mi is dat keen Probleem.
>>nds<< He accused me of being a liar.	He hett mi anschülligt, en Löögner to wesen.
>>nds<< He asked me what I had bought.	He fröög mi, wat ik köfft harr.
>>nds<< He came in through the window.	He keem dör ’t Finster rin.
>>nds<< He doesn't know French at all.	He kann gorkeen Franzöösch.
>>nds<< He had more than enough money.	He harr mehr as noog Geld.
>>nds<< He has not spoken for an hour.	He hett nu een Stünn nix snackt.
>>nds<< He hid his toys under the bed.	He deed sien Speelkraam ünner dat Bedd versteken.
>>nds<< He is eager to meet her again.	He will ehr geern wedder drapen.
>>nds<< He painted a picture of a dog.	He deed en Bild von en Hund malen.
>>nds<< He whispered something to her.	He tuuster ehr wat to.
>>nds<< Her speech moved the audience.	Ehr Reed hett de Tokiekers anraakt.
>>nds<< How is your last name written?	Wo warrt dien Tonaam schreven?
>>nds<< How many children do you have?	Woveel Kinner hest du?
>>nds<< How much did the glasses cost?	Woveel hett de Brill köst?
>>nds<< Humans can't live without air.	Minschen köönt nich leven sünner Luft.
>>nds<< I always go to school on foot.	Ik gah jümmer to Foot na School.
>>nds<< I can't play tennis that well.	Ik speel nich so good Tennis.
>>nds<< I don't believe it any longer.	Ik glööv dat nich mehr.
>>nds<< I don't have a younger sister.	Ik heff keen jüngere Süster.
>>nds<< I don't have time for reading.	Ik heff keen Tied to lesen.
>>nds<< I have neither time nor money.	Ik heff keen Tied un ook keen Geld.
>>nds<< I knew this moment would come.	Ik wüss, dat disse Momang kummt.
>>nds<< I need some help with my work.	Ik bruuk en beten Hülp bi mien Arbeid.
>>nds<< I planted roses in the garden.	Ik heff in ’n Goorn Rosen plant.
>>nds<< I saw them walking arm in arm.	Ik heff jem Arm in Arm lopen sehn.
>>nds<< I usually drink a lot of milk.	Ik drink normalerwies veel Melk.
>>nds<< I will show you some pictures.	Ik wies di en poor Biller.
>>nds<< I write in my diary every day.	Ik schriev jeden Dag in mien Dagbook.
>>nds<< I wrote down her phone number.	Ik heff ehr Telefoonnummer opschreven.
>>nds<< I wrote this letter in French.	Ik heff dissen Breev op Franzöösch schreven.
>>nds<< I'll drive you to the airport.	Ik föhr di na ’n Flegerhaven.
>>nds<< I'm taking a shower right now.	Ik duusch mi jüst.
>>nds<< Isn't there a pharmacy nearby?	Gifft dat hier ümto keen Avtheek?
>>nds<< It's a little late for prayer.	Dat is en beten to laat för Beden.
>>nds<< It's not the end of the world.	Dor geiht de Welt nich von ünner.
>>nds<< Japan consumes a lot of paper.	Japan bruukt veel Poppeer.
>>nds<< Let's take a break for coffee.	Laat uns en Kaffepaus maken.
>>nds<< Many students bought the book.	Veel Schölers hebbt dat Book köfft.
>>nds<< My computer is my best friend.	Mien Reekner is mien besten Fründ.
>>nds<< My opinion differs from yours.	Ik heff en anner Verscheel as du.
>>nds<< My sister is very intelligent.	Miene Süster is temlich plietsch.
>>nds<< Our neighbor has broken a rib.	Uns Naver hett sik en Ribb braken.
>>nds<< She doesn't have any brothers.	Se hett keen Bröder.
>>nds<< She forced him to eat spinach.	Se möök em Spinaat eten.
>>nds<< She gave him a piece of paper.	Se geev em en Stück Poppeer.
>>nds<< She had died before I arrived.	Se weer doodbleven, bevör ik ankamen bün.
>>nds<< She had nothing else to drink.	Se harr ans nix to drinken.
>>nds<< She has a daughter named Mary.	Se hett en Dochter, de Mary heet.
>>nds<< She has never danced with him.	Se hett nie mit em danst.
>>nds<< She isn't good enough for him.	Se is nich good noog för em.
>>nds<< She married him for his money.	Se hett em för sien Geld heiraadt.
>>nds<< She plays tennis every Sunday.	Se speelt elk Sünndag Tennis.
>>nds<< She pointed her finger at him.	Se deed mit ’n Finger op em wiesen.
>>nds<< She pulled him out of the mud.	Se deed em ut ’n Mudd ruttrecken.
>>nds<< She trusts him with her money.	Se vertroot em mit ehr Geld.
>>nds<< She walked twenty miles a day.	Se lööp twintig Mielen an ’n Dag.
>>nds<< She was in America last month.	Se weer vergangen Maand in Amerika.
>>nds<< She was wearing a strange hat.	Se harr en Hoot op, de roor utsehn deed.
>>nds<< The bank lent her 500 dollars.	De Bank hett ehr 500 Dollar lehnt.
>>nds<< The bank lent him 500 dollars.	De Bank hett em 500 Dollar lehnt.
>>nds<< The boy was sold into slavery.	De Jung is in de Slaveree verköfft worrn.
>>nds<< The bus was two minutes early.	De bus keem twee Minuten to froh.
>>nds<< The navy defends our seacoast.	De Marine verdeffendeert uns Küst.
>>nds<< The ship is now in the harbor.	Dat Schipp is nu in ’n Haven.
>>nds<< There are 31 days in December.	De Dezember hett 31 Daag.
>>nds<< There is an apple on the desk.	Dor is en Appel op ’n Disch.
>>nds<< There was a seal on the shore.	Dor weer en Saalhund an de Küst.
>>nds<< There's no need to exaggerate.	Dat gifft keen Grund to överdrieven.
>>nds<< They invited me to play cards.	Se hebbt mi inlaadt, Koorten to spelen.
>>nds<< They started at the same time.	Se hebbt gliektiedig anfungen.
>>nds<< They're both expecting babies.	Se verwacht all beid Kinner.
>>nds<< They're running without shoes.	Se loopt ahn Schoh.
>>nds<< This knife has served me well.	Dit Kniev hett mi good deent.
>>nds<< This school has many students.	Disse School hett veel Schölers.
>>nds<< We like swimming in the ocean.	Wi swemmt geern in ’n Ozeaan.
>>nds<< We might have frost next week.	Tokamen Week schall dat villicht Frost geven.
>>nds<< We play soccer every Saturday.	Wi speelt elk Sünnavend Football.
>>nds<< We play soccer every Saturday.	Wi speelt elk Saterdag Football.
>>nds<< We still don't know the truth.	Wi kennt noch jümmer nich de Wohrheid.
>>nds<< We stored the hay in the barn.	Wi hebbt dat Hau in ’e Schüün lagert.
>>nds<< What do you have in your hand?	Wat hest du in ’e Hand?
>>nds<< What is the depth of the lake?	Wo deep is de See?
>>nds<< What kind of food do you like?	Wat för ’n Soort Eten magst du geern?
>>nds<< Where can I pick up my ticket?	Woneem kann ik mien Koort afhalen?
>>nds<< Which doctor is attending you?	Wat för ’n Dokter behannelt di?
>>nds<< Who was this window broken by?	’Keen hett dit Finster tweibraken?
>>nds<< Why won't my dog eat dog food?	Worüm fritt mien Hund keen Hunnfoder?
>>nds<< Will you let me try once more?	Lettst du mi dat ees noch wedder versöken?
>>nds<< Would you lend me your pencil?	Lehnst du mi dien Bleesticken?
>>nds<< Would you like me to help you?	Wullt du, dat ik di help?
>>nds<< Yesterday, I bought a red car.	Ik heff güstern en rood Auto köfft.
>>nds<< Both his grandfathers are dead.	All beid sien Grootvaders sünd dood.
>>nds<< Do you like playing volleyball?	Speelst du geern Volleyball?
>>nds<< Do you mind if I open the door?	Maakt di dat wat, wenn ik de Döör apen maak?
>>nds<< Don't throw away this magazine.	Smiet de Tiedschrift nich weg.
>>nds<< English is used by many people.	Engelsch warrt von veel Minschen bruukt.
>>nds<< Everybody agreed with his idea.	Elkeen deed sien Idee tostimmen.
>>nds<< He entered the garden secretly.	He güng stiekum in ’n Goorn.
>>nds<< He had his socks on inside out.	He harr sien Söcken verkehrt rüm an.
>>nds<< He has a son and two daughters.	He hett een Söhn un twee Döchter.
>>nds<< He is known as a great painter.	He is kennt as en groten Maler.
>>nds<< He told her that she was right.	He seed ehr, dat se recht harr.
>>nds<< He's just like his grandfather.	He is jüst as sien Grootvader.
>>nds<< How did you come by this money?	Woans büst du an dit Geld kamen?
>>nds<< How do you like your new class?	Wo gefallt di dien ne’e Klass?
>>nds<< How many guests did you invite?	Woveel Gäst hest du inlaadt?
>>nds<< I am terribly afraid of snakes.	Ik bün gresig bang vör Snaken.
>>nds<< I believe you know what I mean.	Mi dücht, du weetst, wat ik meen.
>>nds<< I bought two pairs of trousers.	Ik heff twee Büxen köfft.
>>nds<< I have almost no money with me.	Ik heff meist keen Geld bi mi.
>>nds<< I invited him over to my place.	Ik heff em na mi tohuus inlaadt.
>>nds<< I invited him over to my place.	Ik heff em to mi inlaadt.
>>nds<< I know almost nothing about it.	Ik weet dor meist nix över.
>>nds<< I quit smoking half a year ago.	Ik heff vör en halv Johr mit Smöken ophöört.
>>nds<< I told you that she was blonde.	Ik heff di seggt, dat se blond is.
>>nds<< I was expecting you last night.	Ik heff di güstern Nacht verwacht.
>>nds<< I was forced to work on Sunday.	Ik weer dwungen an ’n Sünndag to arbeiden.
>>nds<< I've always wanted to meet you.	Ik wull di al jümmer drepen.
>>nds<< I've never heard of this actor.	Ik heff von dissen Schauspeler noch nich höört.
>>nds<< If you bite me, I'll bite back.	Wenn du mi bittst, denn biet ik trügg.
>>nds<< It rained five successive days.	Dat regen fiev Daag an ’n Stück.
>>nds<< It rained gently the whole day.	Dat regent den ganze Dag sachten.
>>nds<< It was terribly cold yesterday.	Dat weer gresig koold güstern.
>>nds<< Last night I had a weird dream.	Vergangen Nacht harr ik en snaakschen Droom.
>>nds<< Let's measure how tall you are.	Laat uns meten, wo groot du büst.
>>nds<< Lincoln was opposed to slavery.	Lincoln weer gegen de Slaveree.
>>nds<< Mary stayed up late last night.	Mary is güstern avend laat opbleven.
>>nds<< My cat doesn't like to get wet.	Mien Katt warrt nich geern natt.
>>nds<< My sister goes to a university.	Miene Süster besöcht en Universität.
>>nds<< My wallet wasn't stolen by him.	He hett mien Portmaneet nich klaut.
>>nds<< Oranges grow in warm countries.	Appelsienen wasst in warme Länner.
>>nds<< Paris is the capital of France.	Paris is de Höövdstad von Frankriek.
>>nds<< She borrowed the book from him.	Se hett dat Book von em lehnt.
>>nds<< She called me in the afternoon.	Se hett mi namiddags anropen.
>>nds<< She did her best to rescue him.	Se hett ehr best daan, em to redden.
>>nds<< She has a daughter who is tall.	Se hett en grote Dochter.
>>nds<< She has quite a lot of clothes.	Se hett en ganzen Barg Kledaasch.
>>nds<< She kissed him on the forehead.	Se hett em op ’n Vörkopp küsst.
>>nds<< She kissed him on the forehead.	Se hett em op de Steern küsst.
>>nds<< She persuaded him to marry her.	Se deed em övertügen, ehr to freen.
>>nds<< She recognized him immediately.	Se deed em glieks kennen.
>>nds<< She sat next to him on the bus.	Se deed in ’n Bus blangen em sitten.
>>nds<< She scolded him for being late.	Se schell em ut, dat he to laat weer.
>>nds<< She's too young to get married.	Se is to jung üm to freen.
>>nds<< She's two years older than him.	Se is twee Johr öller as he.
>>nds<< Spanish is her native language.	Spaansch is ehr Moderspraak.
>>nds<< Strawberries are in season now.	Dat is opstunns Saison för Eerdbeern.
>>nds<< Sulfur burns with a blue flame.	Swevel brennt mit en blaue Flamm.
>>nds<< Sulfur is used to make matches.	Swevel warrt bruukt, üm Swevelsticken to maken.
>>nds<< Thank you for your cooperation.	Wees bedankt för dien Hülp.
>>nds<< That book has a bunch of pages.	Dat Book hett veel Sieden.
>>nds<< The cows looked big and docile.	De Keih segen groot un tamm ut.
>>nds<< The garden is behind the house.	De Goorn is achter ’t Huus.
>>nds<< The lady is now drinking water.	De Daam drinkt nu Water.
>>nds<< The second lesson is very easy.	Lex twee is temlich licht.
>>nds<< There are many slums in Mexico.	Dat gifft veel Slums in Mexiko.
>>nds<< There's a monster under my bed.	Dor sitt en Monster ünner mien Bedd.
>>nds<< There's a monster under my bed.	Dor is en Monster ünner mien Bedd.
>>nds<< There's no film in this camera.	Dor is keen Film in ’e Kamera.
>>nds<< There's no shame in being poor.	Arm wesen is keen Schann.
>>nds<< They are studying for the test.	Se lehrt för den Test.
>>nds<< They could ride and shoot well.	Se kunnen good rieden un scheten.
>>nds<< They had to start from scratch.	Se möten noch wedder von vörn anfangen.
>>nds<< This box is filled with apples.	Disse Kist is vull mit Appels.
>>nds<< This is the reason I came here.	Dat is de Grund, worüm as ik herkamen bün.
>>nds<< This old house is made of wood.	Dit ole Huus is ut Holt.
>>nds<< This room doesn't get much sun.	Disse Kamer kriggt nich veel Sünn af.
>>nds<< This table is made of good oak.	Disse Disch is ut gode Eek maakt.
>>nds<< Three people are still missing.	Dree Lüüd sünd noch jümmer misst.
>>nds<< Tom doesn't know his neighbors.	Tom kennt sien Navers nich.
>>nds<< We arrived here in the evening.	Wi sünd hier avends ankamen.
>>nds<< We had a long wait for the bus.	Wi müssen lang op ’n Bus töven.
>>nds<< We think we are over the worst.	Wi denkt, dat wi dör dat Slimmste dör sünd.
>>nds<< We took a walk along the river.	Wi möken en Spazeergang langs ’n Stroom.
>>nds<< What is better than friendship?	Wat is beter as Fründschop?
>>nds<< What's your favorite TV series?	Wat is dien leevste TV-Serie?
>>nds<< What's your favorite war movie?	Wat is dien leevsten Kriegsfilm?
>>nds<< When did you learn how to swim?	Wannehr hest du swemmen lehrt?
>>nds<< Where does this street lead to?	Wo föhrt disse Straat hen?
>>nds<< Which is heavier, lead or gold?	Wat is sworer, Blee oder Gold?
>>nds<< Who is the author of the novel?	’Keen is de Schriever von dissen Romaan?
>>nds<< Why are you washing your hands?	Worüm wascht du di de Hannen?
>>nds<< Why aren't you listening to me?	Worüm höörst du mi nich to?
>>nds<< Why aren't you listening to me?	Worüm höörst du nich op mi?
>>nds<< Why can't he play tennis today?	Worüm kann he vondaag nich Tennis spelen?
>>nds<< Would you lend me your bicycle?	Lehnst du mi dien Fohrrad?
>>nds<< You have no need to be ashamed.	Du musst di dor nich för schamen.
>>nds<< You have no need to be ashamed.	Du musst di nich schamen.
>>nds<< You're asking the wrong person.	Du fraagst de verkehrte Persoon.
>>nds<< A broken mirror brings bad luck.	En tweien Spegel bringt Unglück.
>>nds<< Are you busy tomorrow afternoon?	Hest du morgen namiddag to doon?
>>nds<< Belgium is not as big as France.	Belgien is nich so groot as Frankriek.
>>nds<< Both sisters are very beautiful.	De Süstern sünd all beid temlich smuck.
>>nds<< Come here and have a look at it.	Kaam her un kiek di dat an!
>>nds<< Did I understand that correctly?	Heff ik dat richtig verstahn?
>>nds<< Do you feel like going swimming?	Hest du Lust, swemmen to gahn?
>>nds<< Do you have a problem with this?	Hest du dor en Probleem mit?
>>nds<< Do you have any plans for today?	Hest du Plaans för vondaag?
>>nds<< Do you know what time they came?	Weetst du wannehr se kamen sünd?
>>nds<< Do you know who sings that song?	Weetst du, ’keen dat Leed singt?
>>nds<< Everything is all right at home.	Tohuus is allens bi de Reeg.
>>nds<< Have you done your homework yet?	Hest du dien Huusopgaven al maakt?
>>nds<< He comes back from Sydney today.	He kummt vondaag trügg ut Sydney.
>>nds<< He got dressed and went outside.	He hett sik antagen un is na buten gahn.
>>nds<< He intends to buy a new bicycle.	He will en neet Fohrrad köpen.
>>nds<< He is a complete stranger to me.	He is för mi en ganz Frömmen.
>>nds<< He is acquainted with the mayor.	He kennt den Börgermeester.
>>nds<< He lived to be eighty years old.	He is achtig Johr oold worrn.
>>nds<< He may be able to come tomorrow.	Villicht kann he morgen kamen.
>>nds<< He owns many valuable paintings.	He besitt veel düre Schilleraatsen.
>>nds<< He sat on the bench in the park.	He seet op de Bank in ’n Park.
>>nds<< He tried to get rid of the ants.	He wull de Pissmieren los warrn.
>>nds<< He will come home in a few days.	He kummt in en poor Daag na Huus.
>>nds<< He wiped his nose on his sleeve.	He hett sik den Snappen in ’n Mau smeert.
>>nds<< Helen Keller was deaf and blind.	Helen Keller weer doov un blind.
>>nds<< Her story turned out to be true.	Ehr Geschicht hett sik as wohr rutstellt.
>>nds<< His English is better than mine.	Sien Engelsch is beter as mien.
>>nds<< How long have you played soccer?	Wo lang hest du Football speelt?
>>nds<< How many languages do you speak?	Woveel Spraken snackst du?
>>nds<< I am thinking about my children.	Ik denk an mien Kinner.
>>nds<< I can only tell you what I know.	Ik kann di bloot seggen, wat ik weet.
>>nds<< I don't have a computer at home.	Ik heff keen Computer tohuus.
>>nds<< I heard someone calling my name.	Ik heff een mien Naam ropen höört.
>>nds<< I just ate sushi and drank beer.	Ik heff jüst Sushi eten un Beer drunken.
>>nds<< I received her letter last week.	Ik heff ehren Breev vergangen Week kregen.
>>nds<< I solved that problem by myself.	Ik heff dat Probleem al sülvs lööst.
>>nds<< I understand what you're saying.	Ik begriep, wat du seggst.
>>nds<< I wasn't listening to the radio.	Ik heff keen Radio höört.
>>nds<< I went swimming after I woke up.	Na ’t Opkamen bün ik Swemmen gahn.
>>nds<< I would never have guessed that.	Dat harr ik nie dacht.
>>nds<< I'd like to know if that's true.	Ik wull geern weten, wat dat wohr is.
>>nds<< I'd rather walk than take a bus.	Ik loop lever as mit ’n Bus to föhren.
>>nds<< I'll follow you wherever you go.	Ik kaam mit di, egaal wo du hen geihst.
>>nds<< In the winter, days are shorter.	In ’n Winter sünd de Daag körter.
>>nds<< It is not easy to speak English.	Engelsch snacken is nich licht.
>>nds<< It looks a lot worse than it is.	Dat sütt veel leger ut, as dat is.
>>nds<< It was not easy to convince him.	Dat weer nich licht, em to övertügen.
>>nds<< It's all part of their strategy.	Dat is allens Deel von jemehr Strategie.
>>nds<< Mom made a cake for my birthday.	Mama hett för mien Geboortsdag en Koken backt.
>>nds<< My idea is different from yours.	Ik heff en anner Verscheel as du.
>>nds<< My mother cut my hair too short.	Mien Mudder hett mi de Hoor to kort sneden.
>>nds<< Only adults may watch that film.	Bloot Vullwussen Lüüd dröfft dissen Film ankieken.
>>nds<< People used to live in villages.	De Lüüd hebbt in Dörper wahnt.
>>nds<< She always speaks ill of others.	Se snackt jümmer slecht von annere.
>>nds<< She and I are in the same class.	Se un ik, wi sünd in de sülve Klass.
>>nds<< She appears to have few friends.	Se hett woll nich veel Frünnen.
>>nds<< She asked me to open the window.	Se beed mi, dat Finster apen to maken.
>>nds<< She attacked him with her fists.	Se hett em mit ehr Fuusten angrepen.
>>nds<< She bought two pounds of butter.	Se hett twee Pund Botter köfft.
>>nds<< She gave him something to drink.	Se geev em wat to drinken.
>>nds<< She had nothing to do yesterday.	Se harr güstern nix to doon.
>>nds<< She looked him right in the eye.	Se hett em liek in ’t Oog keken.
>>nds<< She visited him on October 20th.	Se hett em an ’n 20. Oktober besöcht.
>>nds<< She wants to play golf with him.	Se will mit em Golf spelen.
>>nds<< She went with him to the movies.	Se is mit em in ’t Kino gahn.
>>nds<< The atomic number of iron is 26.	De Atoomtall von Iesen is 26.
>>nds<< The buses run every ten minutes.	Föhrt all teihn Minuten en Bus.
>>nds<< The doctor told me to go to bed.	De Dokter hett mi seggt, dat ik to Bedd gahn schull.
>>nds<< The dog was sleeping on the mat.	De Hund hett op de Matt slapen.
>>nds<< The dogs bayed at the full moon.	De Hunnen hebbt den Vullmaand anblafft.
>>nds<< The old man leaned on his staff.	De ole Mann löhn op sien Staff.
>>nds<< The plane flew above the clouds.	De Fleger flöög över de Wulken.
>>nds<< The price of rice has come down.	De Pries för Ries is fullen.
>>nds<< The train was late this morning.	De Tog weer vonmorgen laat.
>>nds<< The train went through a tunnel.	De Tog deed dör en Tunnel föhren.
>>nds<< The twins looked after the baby.	De Tweeschen keken na ’t Baby.
>>nds<< The world needs talented people.	De Welt bruukt Lüüd mit Talent.
>>nds<< There are many books in my room.	Dor sünd veel Böker in mien Kamer.
>>nds<< There are two boats on the lake.	Dor sünd twee Bööd op ’n See.
>>nds<< There is nothing to worry about.	Dor is nix, wo een sik över Sorgen maken mutt.
>>nds<< There's a huge hole in the wall.	Dor is en groot Lock in ’e Wand.
>>nds<< This computer runs on batteries.	Disse Computer löppt mit Batterien.
>>nds<< This soup needs a bit more salt.	Disse Supp bruukt en beten mehr Solt.
>>nds<< Tom doesn't have enough friends.	Tom hett nich noog Frünn.
>>nds<< Tom put another log on the fire.	Tom deed noch en Stück Holt bi ’t Füür leggen.
>>nds<< Vladivostok is a city in Russia.	Wladiwostok is en Stad in Russland.
>>nds<< War is a crime against humanity.	Krieg is en Verbreken gegen de Minschheid.
>>nds<< We killed time by playing cards.	Wi hebbt de Tied mit Koortenspelen doodslahn.
>>nds<< What are you up to this weekend?	Wat hest du dit Wekenenn vör?
>>nds<< What are your plans for tonight?	Wat hest du för Plään för vonavend?
>>nds<< What did you buy your boyfriend?	Wat hest du dien Fründ köfft?
>>nds<< What's the meaning of this word?	Wat bedüüdt dit Woord?
>>nds<< Would you like to dance with me?	Wullt du mit mi dansen?
>>nds<< You can run, but you can't hide.	Du kannst weglopen, aver du kannst di nich versteken.
>>nds<< You can't do two things at once.	Een kann keen twee Saken opmaal doon.
>>nds<< You have to be over 18 to drive.	Du musst öller as 18 wesen, dat du föhren dröffst.
>>nds<< You know quite a lot about sumo.	Du weetst temlich veel över Sumo.
>>nds<< You must read between the lines.	Du musst twüschen de Regen lesen.
>>nds<< "How old are you?" "I'm sixteen."	"Wo oold büst du?" "Ik bün sössteihn."
>>nds<< Can I borrow some money from you?	Kann ik wat Geld von di lehnen?
>>nds<< Can you show me how to tie a tie?	Kannst du mi wiesen, woans en Slips bunnen warrt?
>>nds<< Do you mind if I open the window?	Stöört di dat, wenn ik dat Finster apendo?
>>nds<< Don't come too close to the fire.	Kaam nich to dicht an ’t Füür ran.
>>nds<< Don't write me such long letters.	Schriev mi nich so lange Breev.
>>nds<< Even a teacher can make mistakes.	Ook en Meester kann Fehlers maken.
>>nds<< Everybody knows that old trapper.	Elkeen kennt den olen Trapper.
>>nds<< He asked if I liked Chinese food.	He fröög mi, wat ik chineesch Eten mag.
>>nds<< He doesn't know much about Japan.	He weet nich veel över Japan.
>>nds<< He fell asleep with the radio on.	He is bi dat ane Radio toslapen.
>>nds<< He has a lot of books on history.	He hett veel Böker över Geschicht.
>>nds<< He has been speaking for an hour.	He hett nu för een Stünn snackt.
>>nds<< He knows a lot about butterflies.	He weet veel över Botterlickers.
>>nds<< He lives at the top of this hill.	He leevt op ’n Topp von dissen Barg.
>>nds<< He sat surrounded by young girls.	He seet mank en Hümpel junge Deerns.
>>nds<< He seems to have known the truth.	Sütt ut, as wenn he de Wohrheid wüsst hett.
>>nds<< He speaks English better than me.	He snackt Engelsch beter as ik.
>>nds<< I am four years younger than him.	Ik bün veer Johr jünger as he.
>>nds<< I don't expect anything from you.	Ik verwacht nix von di.
>>nds<< I have two brothers and a sister.	Ik heff twee Bröder un een Süster.
>>nds<< I just wanted to see if you knew.	Ik wull bloot sehn, wat du dat weetst.
>>nds<< I know that you know that I know.	Ik weet, dat du weetst, dat ik dat weet.
>>nds<< I need a good pair of sunglasses.	Ik bruuk en gode Sünnbrill.
>>nds<< I saw a man dressed like a ninja.	Ik heff en Mann sehn, de as en Ninja antagen weer.
>>nds<< I think I've forgotten something.	Ik glööv, ik heff wat vergeten.
>>nds<< I was born on October 10th, 1972.	Ik bün an ’n 10. Oktober 1972 boren.
>>nds<< I will be at your house at eight.	Ik bün Klock acht bi di tohuus.
>>nds<< I'll give you a lift if you like.	Ik kann di mitnehmen, wenn du wullt.
>>nds<< I'll stay there till six o'clock.	Ik bliev dor bet Klock söss.
>>nds<< I'll take back everything I said.	Ik nehm allens trügg, wat ik seggt heff.
>>nds<< I'm going to watch a scary movie.	Ik will mi en Gruelfilm ankieken.
>>nds<< I've already been here two hours.	Ik bün al twee Stünnen hier.
>>nds<< I've just arrived at the airport.	Ik bün jüst an ’n Flegerhaven ankamen.
>>nds<< I've lived here for thirty years.	Ik heff hier dörtig Johr wahnt.
>>nds<< I've never seen a whale that big.	Ik heff noch nie so en groten Waal sehn.
>>nds<< It was a one hundred dollar bill.	Dat weer en Hunnert-Dollar-Schien.
>>nds<< It'll cost at least five dollars.	Dat schall opminnst fiev Dollar kösten.
>>nds<< It's a question of life or death.	Dat is en Fraag von Leven oder Dood.
>>nds<< Let me explain it with a diagram.	Laat mi dat mit de Hülp von en Schaubild verkloren.
>>nds<< Liquor is not sold at this store.	In dissen Laden warrt keen Alkohol verköfft.
>>nds<< Many young Romans went to Greece.	Veel junge Römers sünd na Grekenland gahn.
>>nds<< My brother wants to study abroad.	Mien Broder will in ’t Butenland studeren.
>>nds<< My little sister is kind of lazy.	Mien lütte Süster is en beten lösig.
>>nds<< My teacher has a very soft voice.	Mien Lehrersch hett en temlich sachte Stimm.
>>nds<< One boy is taller than the other.	Een Jung is grötter as de annere.
>>nds<< Science produced the atomic bomb.	Wetenschop hett de Atoombumm bröcht.
>>nds<< She can't have said such a thing.	Se kann sowat nich seggt hebben.
>>nds<< She did her best to persuade him.	Se hett ehr best daan, em to övertügen.
>>nds<< She gave birth to a healthy baby.	Se hett en gesund Baby kregen.
>>nds<< She got dressed and went outside.	Se hett sik antagen un is na buten gahn.
>>nds<< She hung the washing on the line.	Se hüng de Wäsch op de Lien.
>>nds<< She is less intelligent than you.	Se is minner plietsch as du.
>>nds<< She knitted her father a sweater.	Se hett ehren Vader en Pullover knütt.
>>nds<< She remained single all her life.	Se bleev ehr Leven lang Single.
>>nds<< She suffocated him with a pillow.	Se hett em mit en Küssen stickt.
>>nds<< She thanked him for all his help.	Se deed em för all sien Hülp danken.
>>nds<< She's two years younger than him.	Se is twee Johr jünger as he.
>>nds<< Smoke is rising from the chimney.	Ut ’n Schosteen kummt Rook.
>>nds<< Switzerland is a neutral country.	De Swiez is en neetraal Land.
>>nds<< That red dress looks good on her.	Dat rode Kleed lett good an ehr.
>>nds<< That small star is the brightest.	De lütte Steern dor is de hellst.
>>nds<< The Inca were a religious people.	De Inka weren en religiös Volk.
>>nds<< The atomic number for iron is 26.	De Atoomtall von Iesen is 26.
>>nds<< The boy entered by the back door.	De Jung keem dör de Achterdöör rin.
>>nds<< The bus arrived ten minutes late.	De Bus is teihn Minuten to laat ankamen.
>>nds<< The horse was lying on the straw.	Dat Peerd leeg op ’t Stroh.
