>>dtp<< Help!	Uhupai!
>>dtp<< I have a friend named Tom.	Kitambalut oku di ngaran i Tom.
>>dtp<< I have some money with me.	Haro po tusin dot owitan ku.
>>dtp<< I think things will be OK.	Osonong-sonong kangku daa.
>>dtp<< I'm sorry, I have no idea.	Siou no, aiso nopo toilaan ku dii.
>>dtp<< It rained hard last night.	Asapou nokopio rasam do kosodop totuong.
>>dtp<< Please bathe the children.	Ngoi momodsu do tanganak.
>>dtp<< She walked very carefully.	Momilogot-logot isido mamanau.
>>dtp<< Sorry to keep you waiting.	Mokiampun oku tu alaid ko' poingandad.
>>dtp<< Sorry to keep you waiting.	Siou tu alaid ko' poingandad.
>>dtp<< Thank you for remembering.	Kotoluadan tu kosorou.
>>dtp<< Thank you for the flowers.	Pounsikou tu onuon ko do tusak.
>>dtp<< That's what I want to ask.	Iri no uhoton ku dii.
>>dtp<< The box was full of books.	Nabagalan dilo kaban o buuk.
>>dtp<< They have twelve children.	Hopod om duo no kitanak diolo.
>>dtp<< Tom ignored Mary's advice.	Kologos i Tom do boros kad Mary.
>>dtp<< Tom is here to protect me.	Hiti i Tom tamangon doho.
>>dtp<< Tom is reading a magazine.	Mambasa i Tom do majala'.
>>dtp<< Tom sat down on the couch.	Mirikau i Tom do luluwion.
>>dtp<< Tom seemed really annoyed.	Otogod ginawo di Tom id tokito.
>>dtp<< Tom tried to open the jar.	Mumbal i Tom ukaban do kakanan.
>>dtp<< What do you want from Tom?	Nunu pokionuan nu mantad di Tom?
>>dtp<< Why are you angry with me?	Nokuro tu tumogod ko doho?
>>dtp<< Why doesn't Tom like Mary?	Nokuro tu au i Tom orohian di Mary?
>>dtp<< Yesterday was my birthday.	Kinosusuon ku id kosodop.
>>dtp<< You and I are old friends.	Tambalut kito ii talaid.
>>dtp<< You don't want to do that.	Au ko mumang maan dilo.
>>dtp<< Did you receive my letters?	Nakaanu ko' do surat ku?
>>dtp<< Do I look as bad as I feel?	Araat ko topurimanan ku id tokito ti?
>>dtp<< Do you want me to help you?	Manu ko' daa mokiuhup mantad doho?
>>dtp<< He is a teacher of English.	Isio nopo nga mongingia do boros Inggilis.
>>dtp<< Her beauty is incomparable.	Ingaa tulun milo tondingon mantad do kolundusan disido.
>>dtp<< I know that doesn't matter.	Nokoilo' oku tu amu monguro.
>>dtp<< I know that doesn't matter.	Nokoilo' oku tu amu tagal i.
>>dtp<< I read a book while eating.	Mambasa oku do buuk om mangakan po.
>>dtp<< I want to make Tom jealous.	Manu oku poposolon di Tom.
>>dtp<< It was a lovely experience.	Aramai no toilaan do noonuan ti.
>>dtp<< It's raining cats and dogs.	Asapou no rasam lo kopio.
>>dtp<< Leave me a message, please.	Paatadai komi nu hiti kio.
>>dtp<< Let's go and see him there.	Kanou moi ruba disio hilo.
>>dtp<< Let's pretend we're aliens.	Tomod-tomodon yahai dumadi do alian.
>>dtp<< Please show me another one.	Pokitonon oku do kawagu.
>>dtp<< Please write with a pencil.	Posurato maya do pinsil.
>>dtp<< Sit over there and shut up.	Irikau no hodi om pakadaada.
>>dtp<< Tell me how you're feeling.	Sunudai oku do topurimanan nu.
>>dtp<< That food's hard to digest.	Osusa' no tonoson dilo taakanon.
>>dtp<< The rain continued all day.	Tumilombus iri masam-rasam sangadau.
>>dtp<< This dictionary isn't mine.	Kamus nopo ti nga okon gia doho dii.
>>dtp<< Tom probably saved my life.	Minanampasi matu i Tom doho.
>>dtp<< Tom speaks French fluently.	Abalantas i Tom mimboros Poransis.
>>dtp<< Tom told Mary he'd do that.	Poiloon i Tom kumaa di Mary do minaan isio dilo.
>>dtp<< Tom used to be my roommate.	Koruhang miiso bilik ku i Tom.
>>dtp<< We also went to the temple.	Minoi tokou hilo'd walai sasambayang.
>>dtp<< We need some more firewood.	Manu yahai suduon do kawagu.
>>dtp<< We're practically brothers.	Oubas yahai sabaagi do tobpinai.
>>dtp<< What are you talking about?	Nu komoyon nu?
>>dtp<< What we need now is a rest.	Nunu nopo pokionuan ku nga mundorong.
>>dtp<< Where can I rent a costume?	Poingkuro daa milo oku moniwa do pakayan?
>>dtp<< Who would want to kill Tom?	Isai sipatai di Tom?
>>dtp<< You and I are good friends.	Tambalut kito ii tosonong.
>>dtp<< You look like an orangutan.	Miagal kogiu ko dii.
>>dtp<< Are you for or against this?	Awak ikut kah atau bantah?
>>dtp<< Both you and I are students.	Duo kou om yoku nopo nga susumikul.
>>dtp<< Have a look at that picture.	Antangai gambar lo.
>>dtp<< How do you like these poems?	Poingkuro ma minogihum ko' dilo sisindiron?
>>dtp<< I didn't know anybody there.	Au oku nokoilo do toinsanan hilo.
>>dtp<< I don't have an explanation.	Aiso o kotolinahasan ku.
>>dtp<< I know how busy you've been.	Noilaan oku do kosongkuro daa atangkangau ko dii.
>>dtp<< I'll pay you for everything.	Bayaran ku ndo nunu.
>>dtp<< I'm the one who has the key.	Yoku ti haro do kunsi.
>>dtp<< It's shockingly inexpensive.	Au oilaan tu omura gatang ti.
>>dtp<< Let's get back to the party.	Kanou gumuli hodi karamaian.
>>dtp<< Mary bought several dresses.	Minoboli i Mary do pipiro rasuk.
>>dtp<< Most people think I'm crazy.	Ondos di kogumuan tulun daa om noulau oku ih.
>>dtp<< My grandson is still a baby.	Baragang po i manangaki ku.
>>dtp<< My grandson is still a baby.	Baragang po i monongodu ku.
>>dtp<< Thank you for understanding.	Kotoluadan do orotian.
>>dtp<< The taxi is waiting outside.	Mangandad nopo ilo tiksi id labus.
>>dtp<< This is my business address.	Iti no kinoiyonon pogindopuan ku.
>>dtp<< This isn't a very good time.	Au osonong tomod timpu diti.
>>dtp<< Today I'm working from home.	Kumaraja oku hiti'd walai ku baino.
>>dtp<< Tom doesn't have hairy arms.	Aiso hulu longon di Tom.
>>dtp<< Tom is playing with his son.	Mamain i Tom do tanak kusai dau.
>>dtp<< What are you doing tomorrow?	Nu maan nu id suab?
>>dtp<< What are you thinking about?	Nunu pomusarahan nu?
>>dtp<< What time do you start work?	Jaam kopiro timpuun ko moi pakaraja?
>>dtp<< What's your daughter's name?	Isai ngaran di tanak tondu nu?
>>dtp<< Which house did you live in?	Hombo tiso walai kinoiyonon nu?
>>dtp<< You'll tell me later, right?	Posunudon nu doho do tiinu kon?
>>dtp<< Don't think I don't like you.	Kada koondos dot au oku muhang dika.
>>dtp<< Have you ever been to Mexico?	Nokoumbal ko' minongoi id Miksiko?
>>dtp<< How many people are infected?	Songkuro ginumu tulun do ruminoliu?
>>dtp<< I am trying to learn English.	Umbalan ku pisingilaan do boros Inggilis.
>>dtp<< I couldn't find her anywhere.	Au oku koihum disido hinonggo-honggo.
>>dtp<< I don't want to eat any more.	Mada oku mangakan nodi.
>>dtp<< I don't want to go to school.	Mada oku mongoi id sikul.
>>dtp<< I have a friend who loves me.	Haro oku do tambalut muhang maya doho.
>>dtp<< I like this better than that.	Orohian oku diti dot osonong ko mantad dilo.
>>dtp<< I never feed my dog raw meat.	Ingaa nopo pinapaakan oku do tasu ku do daging taata.
>>dtp<< I understand it more or less.	Orotian oku do togumu toi ko tokuri.
>>dtp<< I'm not sure I feel the same.	Au oku oilaan do piagalan diri.
>>dtp<< I'm not sure that's the case.	Au oku songkuro oilaan dilo kaantakan.
>>dtp<< I'm saving the best for last.	Mongikit oku montok sogigisom.
>>dtp<< I've got a frog in my throat.	Haro bonong id suang do tatalanan ku.
>>dtp<< I've lived here for 30 years.	Hiti oku daa poingiyon do 30 toun noddi.
>>dtp<< I've lost your email address.	Natagakan ku do imil atodon nu?
>>dtp<< It was very cold that winter.	Adalaan om osogit.
>>dtp<< May I borrow your dictionary?	Milo' oku daa mokianu kamus nu?
>>dtp<< My watch is ten minutes slow.	Oloyo' no jaam ku hopod minit.
>>dtp<< She wrote a book about birds.	Minonurat isido do buuk kaka tombolog.
>>dtp<< Speaking French is difficult.	Apagon no mimboros Poransis.
>>dtp<< Thank you for your hard work.	Kotoluadan tu tuminotos ko' do karaja kio.
>>dtp<< That was a pretty good movie.	Osonong kopio ilo wayang.
>>dtp<< This is an interesting story.	Kolihis ginawo iti tangon.
>>dtp<< Tom didn't let Mary kiss him.	Au i Tom pinotungubon di Mary.
>>dtp<< Tom eats more than Mary does.	Ogumu i Tom mangakan mantad ko di Mary.
>>dtp<< Tom is a failure as a father.	Au osonong kopio i Tom sabaagi do tapa.
>>dtp<< Tom is never late for school.	Au i Tom nokoumbal dot a'adahan moi sikul.
>>dtp<< Tom seems like a good friend.	I Tom nopo nga tambalut ii tosonong kanto.
>>dtp<< We don't have to do this now.	Ingaa no yahai maan diti baino.
>>dtp<< We're very lucky to be alive.	Kinasip tosonong tokou poimpasi.
>>dtp<< What does this sentence mean?	Nunu komoyon ayat ti?
>>dtp<< What time do you have dinner?	Jaam kopiro mangakan dougotuong?
>>dtp<< When will you come back home?	Soira ulion dualai nu?
>>dtp<< You have no right to be here.	Au ko' milo rumikot hiti.
>>dtp<< "Is she young?" "Yes, she is."	"Omulok isido?" "Oh"
>>dtp<< "Thank you." "You're welcome."	"Pounsikou." "Miagal nopo."
>>dtp<< A bird is singing in the tree.	Suminding o tombolog id sawat do guas.
>>dtp<< Actually, I've never seen one.	Otopot nopo om au oku nokoumbal nokokito diri.
>>dtp<< Do you know what Tom is doing?	Nokoilo ko' di nunu maan di Tom?
>>dtp<< Have Tom meet us here at 2:30.	Moi i Tom ruba dotokou hiti id jaam 2:30.
>>dtp<< He came back home a while ago.	Muli isio dualai di tiinu.
>>dtp<< His wife is one of my friends.	Sawo dau nopo nga tambalut ku.
>>dtp<< How do you say that in French?	Nunu ka do boros Poransis dilo?
>>dtp<< I didn't want to eat anything.	Au oku siakan do nunu.
>>dtp<< I do my homework after school.	Momonsoi oku do karaja sikul ku katalib muli mantad id sikul.
>>dtp<< I don't have any nice clothes.	Ingaa nopo do nunu pakayan ku.
>>dtp<< I know how you feel about Tom.	Nokoilo oku diya'd topurimanan kaka i Tom.
>>dtp<< I know that this is important.	Noilaan ku nopo oponsol ti.
>>dtp<< I think we're all a bit crazy.	Mulau yahai kangku daa.
>>dtp<< I took piano lessons as a kid.	Minanganu oku do kalas piano do tontok di tokoro oku po.
>>dtp<< I waited for him all day long.	Alaid oku poingandad disio sangadau.
>>dtp<< I've started to read the book.	Tumimpuun oku mambasa do buuk.
>>dtp<< Mary is Tom's daughter-in-law.	Mary nopo nga monongiwan Tom.
>>dtp<< My brother watches television.	Mintong i tobpinai kusai ku do TV.
>>dtp<< That's nothing to be proud of.	Aiso no otomon dilo.
>>dtp<< Tom died in 2013 of pneumonia.	Napatai i Tom id toun 2013 tu toruol do Pneumonia.
>>dtp<< Tom doesn't look very healthy.	Au olidas i Tom kopio.
>>dtp<< Tom is very worried about you.	Tumongob kopio i Tom kokomoi diya.
>>dtp<< Tom often gets ear infections.	Kiroliu i Tom id tolingo dau.
>>dtp<< Tom told Mary he was a doctor.	Pinoilo di Tom kumaa di Mary isio nopo nga dukutur.
>>dtp<< Two students are absent today.	A'haro duo susumikul hiti'd kalas dinondo.
>>dtp<< Which is better, this or that?	Honggo tiso dot osonong? Iti toi ko ilo?
>>dtp<< You haven't touched your food.	Amu po mangakan ko dilo taakanon nu.
>>dtp<< You shouldn't let Tom do that.	Apatut no au ko lumogos di Tom minaan dilo.
>>dtp<< You're busy today, aren't you?	Atangkangau ko' baino toi?
>>dtp<< Are we able to prevent disease?	Milo tokou nangku do nakaanu do angkang diri toruol?
>>dtp<< Are you going to do that alone?	Maan ko dilo songulun?
>>dtp<< Both his grandfathers are dead.	Napatai no taki dau goduo.
>>dtp<< Can I offer you ladies a drink?	Obuli oku daa mamalanja dokoyu tiinumon oi sumandak?
>>dtp<< Could you carry my bags for me?	Milo ko' mangangat do biig ku?
>>dtp<< Could you open this jar for me?	Obuli ko daa ukabai dilo kakanan?
>>dtp<< Do we need to do anything else?	Apatut ko yahai maan do kawawagu?
>>dtp<< Don't buy me any more presents.	Kada pogi pomoli do titahak montok doho.
>>dtp<< Have you ever seen this before?	Nokoumbal ko nokokito diti?
>>dtp<< He was a pioneer in this field.	Kumoiso isio hiti'd gana'.
>>dtp<< How do you say that in Italian?	Nunu ka do boros Itali dilo?
>>dtp<< I will make a new suit for you.	Maan oku ndo rasuk wagu montok diya.
>>dtp<< It stopped snowing an hour ago.	Tuminingkod nodi salju sajaam tiinu.
>>dtp<< It was her wish to go to Paris.	Kalansanan dau do minongoi hilo'd Paris.
>>dtp<< Let's get our photograph taken.	Kanou manganu tokou do gambar.
>>dtp<< My brother smokes a great deal.	Adalaan i tabang ku do momungkus.
>>dtp<< My homework is nearly complete.	Osomok no daa momongo do karaja sikul ku.
>>dtp<< That's not even the worst part.	Ilo okon ko boogian dot araat.
>>dtp<< The calf was born this morning.	Nokosusu no tampanak dongkosuabon diti.
>>dtp<< There is an apple on the table.	Haro no apol id timpak do mija'.
>>dtp<< This machine is familiar to me.	Miagal do koilo oku momoguno mosin ti.
>>dtp<< Tom and Mary argue quite often.	Migogut i Tom om i Mary.
>>dtp<< Tom drove Mary's car to Boston.	Papapanau i Tom korita di Mary montok pakayaan hilo'd id Boston.
>>dtp<< Tom is in a bad mood right now.	Au osonong ginawo di Tom dinondo.
>>dtp<< Tom is trying not to freak out.	Mongumbal i Tom au kotigog.
>>dtp<< Tom is way older than he looks.	Otuo i Tom mantad ko tokito dau.
>>dtp<< Tom knows nothing about Boston.	Au i Tom oilaan kopio kokomoi do Boston.
>>dtp<< Tom won $10,000 in the lottery.	Nakalantoi i Tom do numbur soginumu 10,000.
>>dtp<< We all know what happened here.	Nokoilo yahai do nunu kinaantakan hiti.
>>dtp<< We could understand each other.	Soroiso-iso tokou mogirati.
>>dtp<< Wet firewood doesn't burn well.	Au songkuro kosorob iri suduon toyopos.
>>dtp<< What do you think you're doing?	Nunu o mangan nu?
>>dtp<< Whatever it is, I didn't do it.	Nunu nopo kaantakan lo nga au oku numaan dilo.
>>dtp<< When does the next train leave?	Soira tongoyon ilo koritapui do kawagu?
>>dtp<< Which is cheaper, this or that?	Honggo tiso dot ouwai? Iti toi ko ilo?
>>dtp<< Who is the tallest of the five?	Isai nopo angaranggou do limo tulun?
>>dtp<< You don't need to say anything.	Au tagal poboroso diri.
>>dtp<< Can I get a little help, please?	Mokiuhup oku po, obuli?
>>dtp<< He showed me how to make a cake.	Minonuduk iyau doho poingkuro ma pomomonsoi do kiik.
>>dtp<< Hey, what are you talking about?	Nunu komoyon nu?
>>dtp<< How about another cup of coffee?	Ingkuro po sanggalas kupi kio?
>>dtp<< How do you say "love" in French?	Nunu ka do boros Poransis "guminawo"?
>>dtp<< I keep my hammer in the toolbox.	Poopion ku do dunsul ku id suang kaban pakakas.
>>dtp<< I personally don't care anymore.	Au oku monguro nogi.
>>dtp<< I teach French at a high school.	Monuduk oku do boros Poransis hilo'd sikul tasawat.
>>dtp<< I want you to do that right now.	Manu oku diya maan do baino.
>>dtp<< I was surprised by the question.	Nokotigog oku korongou dilo ponguhatan.
>>dtp<< My father-in-law is an engineer.	Tiwanon ku nopo nga injiniur.
>>dtp<< People like you are never happy.	Miagal dika, amu insan nopo ounsikou.
>>dtp<< There are no pyramids in Europe.	Ingaa no piramid hilo'd pomogunan do Eropah.
>>dtp<< There is a church near my house.	Haro gorija poinsomok do walai ku.
>>dtp<< This is the vase that Tom broke.	Iti no goroi do binobog di Tom.
>>dtp<< Tom brought Mary to the station.	Minongongoi i Tom di Mary hilo'd sitisin.
>>dtp<< Tom covered Mary with a blanket.	Monongkumut i Tom di Mary.
>>dtp<< Tom didn't even know I was here.	Au nokoilo i Tom do hiti oku dii.
>>dtp<< Tom disappeared into the jungle.	Natagak i Tom id suang gouton.
>>dtp<< Tom has a black dog, doesn't he?	Haro i Tom nangku do oitom tasu?
>>dtp<< Tom is waiting for Mary to call.	Mangandad i Tom do tolipounan di Mary.
>>dtp<< Tom made the same mistake again.	Minaan sala i Tom do kawawagu nogi.
>>dtp<< Tom said Mary didn't seem angry.	Au otogod i Mary ka di Tom.
>>dtp<< Tom, you're wanted on the phone.	Oi Tom, tolipoun montok diya.
>>dtp<< We have three minutes remaining.	Haro po tolu minit dahai.
>>dtp<< Do you want another one of these?	Manu ko' tiso kaagu?
>>dtp<< Do you want to come out and play?	Manu kou ongoi soliwan om main?
>>dtp<< Don't speak with your mouth full.	Kada boroso miampai do noponu taakanon id suang kabang nu.
>>dtp<< He introduced me to his daughter.	Popointutun iyau di tanak tondu dau kumaa doho.
>>dtp<< How do you say "hello" in French?	Nunu ka do boros Poransis "kopiwosian"?
>>dtp<< How do you say "yuri" in English?	Nunu ka do boros Inggilis "yuri"?
>>dtp<< How is it going with your family?	Okuro-kuro habar di paganakan nu?
>>dtp<< I am four years younger than him.	Omulok oku mantad dau apat toun.
>>dtp<< I can't make head nor tail of it.	Au oku milo maan do tulu toi ko tikiu dau.
>>dtp<< I just don't want to go with Tom.	Mada oku daa mongoi ruhang maya di Tom.
>>dtp<< I want to ask you one last favor.	Muhot oku diya po toruhai kio.
>>dtp<< I'd rather be a bird than a fish.	Orohian oku do silihon do sada’ mantad ko silihon do tombolog.
>>dtp<< I'm not sure what I was thinking.	Uka nunu pomusarahan ku?
>>dtp<< If I were you, I'd paint it blue.	Nung yoku nopo nga ika, maan oku'ndo saat do tobulou.
>>dtp<< Is Mrs. Smith an English teacher?	I Andi Smith songulun mongigia boros Inggilis?
>>dtp<< Malaria is a preventable disease.	Haro o angkang mantad do toruol Malaria.
>>dtp<< Not all of the staff was present.	Aiso koinsanai pakaraja tuminindapou.
>>dtp<< She was almost run over by a car.	Oruhai po tohubon isido do korita di tiinu.
>>dtp<< The storm caused a lot of damage.	Sabap nopo tongus ti nga kogumuan do naraag.
>>dtp<< This is more expensive than that.	Apagon iti gatang ko mantad dilo.
>>dtp<< Tom filled the bottle with water.	Monuang i Tom do waig id suang do butul.
>>dtp<< Tom has been a perfect gentleman.	I Tom nopo nga kusai dot osonong kopio.
>>dtp<< Tom is apparently a truck driver.	Pakarajaan di Tom nopo dinondo nga papapanau luri.
>>dtp<< Tom is suffering from a headache.	Kisinduol tulu di Tom.
>>dtp<< Tom thought Mary could beat John.	Andasan di Tom daa om kasaap i Mary di John.
>>dtp<< Tom told me not to do that again.	"Kada maai kaagu" ka di Tom kumaa doho.
>>dtp<< Tom wanted to wear his new shoes.	Manu i Tom panangkasut wagu dau.
>>dtp<< Tom weighs at least 70 kilograms.	Winagat nopo di Tom nga 70 kilogram.
>>dtp<< Tom went downtown to do shopping.	Minoi i Tom supping hilo'd talun-alun.
>>dtp<< We'd like another bottle of wine.	Onuai yahai do sombotol wain po kaagu.
>>dtp<< What did you do on your birthday?	Nunu mangan nu id ontok timpu do tadau kinosusuon nu?
>>dtp<< What happened to Tom? Is he dead?	Nokuro di Tom? Napatai iyau dii?
>>dtp<< Wild boars have dug up my garden.	Noukadan do tumo ku mantad do bakas.
>>dtp<< You're in better shape than I am.	Osonong tomod ura tinan nu mantad doho.
>>dtp<< Did you know Tom was unhappy here?	Oilaan ko di Tom tu au otood iyau hiti?
>>dtp<< Even Tom himself wasn't convinced.	I Tom nga amu no kalansan sondiri.
>>dtp<< Have you been able to contact Tom?	Nakaanu ko' nopongo monolipoun di Tom?
>>dtp<< Have you heard this story already?	Nokoumbal kou nokorongou diti tangon no?
>>dtp<< How do you say "pasta" in Italian?	Nunu ka do boros Itali "pasta"?
>>dtp<< How do you say "pizza" in Italian?	Nunu ka do boros Itali "piza"?
>>dtp<< I don't know how deep the lake is.	Au oku nokoilo songkuro rinalom do botung dilo.
>>dtp<< I study at a university in Boston.	Poingsikul oku id Unibisiti Boston.
>>dtp<< I was told to be here on the 13th.	Nosunudan ku do moi hiti id tadau ko-13.
>>dtp<< It is dangerous to drink too much.	Koligagaanan nung adalaan do moginum.
>>dtp<< My hens laid fewer eggs last year.	Minogontolu o golupo ku dot okuukuri id toun nakatalib.
>>dtp<< That fox must have killed the hen.	Atantu no ilo tompu mooi patayo do golupo.
>>dtp<< There are some cookies in the jar.	Haro tindalam hodi suang do kakanan.
>>dtp<< This is the temple where he stays.	Hiti no walai sambayang dot iyonon dau.
>>dtp<< Tom left school right after class.	Mongoi labus i Tom mantad sikul kalapas do kalas.
>>dtp<< Tom never wants to see Mary again.	Au i Tom siongoi ruba di Mary nodi.
>>dtp<< We managed to escape just in time.	Nokoidu' tokou daa ii.
>>dtp<< You don't want it to get infected.	Mada ko do koontok do rolihon.
>>dtp<< You may choose whichever you want.	Milo' ko' momili nunu pokionuan nu.
>>dtp<< Are we still on for tomorrow night?	Koongoi ko yahai id suab totuong dii?
>>dtp<< Do you really want to live forever?	Manu ko po nangku poingiyon do sogigisom?
>>dtp<< Do you think I should write to Tom?	Apatut po nangku monulis oku diti kumaa di' Tom?
>>dtp<< Have any of you ever talked to Tom?	Nokoumbal kou po nangku minonongkiboros miampai di Tom?
>>dtp<< He always listens to serious music.	Asaru kopio iyau mokinongou do loyuk.
>>dtp<< He broke up the chair for firewood.	Monipu isio do tirikohonon silihon do suduon.
>>dtp<< How do you say "kaisha" in English?	Nunu ka do boros Inggilis "kaisha"?
>>dtp<< I am married and have two children.	Nakasawo oku no om duo kitanak.
>>dtp<< I don't think what I did was wrong.	Au oku kosorou do nunu nopo sala ku.
>>dtp<< I missed my family, so I went back.	Langadon oku do paganakan ku, om gowoi poddi moi uli.
>>dtp<< I usually have a snack around 2:30.	Oubas oku mooi akan do taakanon id jam 2 satanga.
>>dtp<< Man is the only animal that laughs.	I tulun no koilo mongirak ko tayam do suai.
>>dtp<< Please answer this question for me.	Simbaro iti ponguhatan kumaa doho.
>>dtp<< She doesn't know that I'm Japanese.	Au yau noilaan kaka yoku nopo nga i tulun Gipun.
>>dtp<< The lion is the king of the jungle.	Ih singa nopo nga wowoyoon hiri'd gowuton.
>>dtp<< They wash their car every Saturday.	Asaru iyolo monusi korita diolo tikid tadau koonom.
>>dtp<< Tom didn't have time for breakfast.	Ingaa timpu i Tom mangakan dongkosuabon.
>>dtp<< Tom has already finished breakfast.	Nopongo nodi i Tom do moginduruk.
>>dtp<< Tom has already finished breakfast.	Nakaakan nodi i Tom dongkosuabon.
>>dtp<< Tom is the cutest boy in the class.	Ih Tom nopo nga tanakwagu tongoporodot id kalas.
>>dtp<< Tom may have taken the wrong train.	Nakasalu i Tom suminakai do kuritapui.
>>dtp<< Tom says he'll call Mary next week.	Lohowon iyau ndo Mary id minggu tobontol ka di Tom.
>>dtp<< Tom scolded his son for being lazy.	Otogod i Tom di tanak kusai dau tu gobulan.
>>dtp<< Tom should've arrived by this time.	Apatut no i Tom korikot hiti'd baino.
>>dtp<< What grade did you get on the test?	Nunu dot onuan diya'd ponisaan?
>>dtp<< Children don't need their own rooms.	Au i tangaanak mumang do linimput diolo.
>>dtp<< Did you know that Tom would be here?	Noilaan kou di Tom korikot hiti?
>>dtp<< Do you know Tom's girlfriend's name?	Nokoilo ko'd ngaran sumandak di Tom?
>>dtp<< He took something out of his pocket.	Onuan iyau id suang do pakit dau.
>>dtp<< I don't see how you can ignore this.	Au oku kokito poingkuro daa pologoson nu dilo.
>>dtp<< I don't think you really understand.	Au ko kopio orotian kangku daa.
>>dtp<< I don't want to see your face again.	Mada oku mintong turos nu nogi.
>>dtp<< I have to finish doing this by 2:30.	Mositi oku momongo diti id jaam ko-2 satanga.
>>dtp<< I think I should join a study group.	Sorohon ku nga apatut no mooi amung do pisompuruan do palajaran.
>>dtp<< I thought you guys had already left.	Andasan ku nopo daa om nokoongoi kou di.
>>dtp<< I would like you to go home with me.	Manu oku diya muli walai maya doho.
>>dtp<< Illness prevented me from going out.	Toruol diri nga mongodu doho mooi labus.
>>dtp<< Let's drink to our charming hostess!	Kanou moginum miampai do pakaraja tondu tolumis tokou!
>>dtp<< She got a part-time job as a typist.	Kikaraja isido dot oruhai sabaagi do mananaip.
>>dtp<< She talks as if she knew everything.	Mimboros iyau do nunu nopo di noilaan dau do ngawi.
>>dtp<< Tom and Mary live in the same house.	Poingiyon i Tom om i Mary do walai dot irad.
>>dtp<< Tom didn't want Mary to drive drunk.	Mada Tom manganu montok Mary papapanau lo korita dit lumogop.
>>dtp<< Tom has been asked to leave already.	Pinoposunud i Tom nodi do lumabus.
>>dtp<< Tom was entranced by Mary's singing.	Nokorongou i Tom do sinding di Mary.
>>dtp<< We're not lost. I know where we are.	Au yahai apalid. Oilaan oku do hombo yahai.
>>dtp<< "Why are you angry?" "I'm not angry!"	"Nokuro tu otogod ko?" "Au oku otogod bogia!"
>>dtp<< Christmas is just two weeks from now.	Haro po duo minggu do Krismas mantad baino.
>>dtp<< Couldn't you have just waited a week?	Au kou mangandad no sominggu?
>>dtp<< He rose from his chair to welcome me.	Minangangat iyau do tirikohonon dau mooi do porikoton montok doho.
>>dtp<< I bet Tom never kissed you like that.	Au ko tunguban di Tom miagal diri kangku daa.
>>dtp<< I don't know how to be happy anymore.	Au oku koilo songkuro daa kataadan diri.
>>dtp<< I tried to learn the melody by heart.	Umbalan ku pohondomon dilo loyuk.
>>dtp<< I'm sure Tom doesn't do that anymore.	Au i Tom maan diri nogi kangku daa.
>>dtp<< She divided the cake between the two.	Miniduo isido do kiik.
>>dtp<< She is very anxious about his health.	Tumongob i ginawo disido kokomoi kolidasan disio.
>>dtp<< She was beautiful when she was young.	Olumis isido id tontok do komulakan disido.
>>dtp<< She was born and brought up in Osaka.	Nosusu isido om guminayo nondo hilo'd Osaka.
>>dtp<< The store is open all the year round.	Mongiwang o kadai do sontob sontoun diri.
>>dtp<< This picture is from three years ago.	Gambar nopo ti nga mantad do tolu toun nodii.
>>dtp<< Those hens lay eggs almost every day.	Mogontolu ilo golupo do monikid tadau.
>>dtp<< Tom doesn't believe Mary can do that.	Au i Tom mumboyo di Mary do milo maan dilo.
>>dtp<< Tom doesn't really enjoy translating.	Mada i Tom kopio papadalin do boros.
>>dtp<< Tom wasn't able to do what he wanted.	Au i Tom koilo do nunu kopio wonsoyon dau.
>>dtp<< Were you able to watch TV last night?	Nakaanu ko do mintong TV kosodop?
>>dtp<< What foods should a diabetic not eat?	Nunu taakanon dot au milo akanon di toruol do diabetik?
>>dtp<< While napping, I had a strange dream.	Donkoodopon ku, osuai-suai tinipi ku.
>>dtp<< Your dress is already out of fashion.	Alaid kopio kokitanan pakaian nu.
>>dtp<< He traveled to Hawaii with the family.	Moi iyau tombului hilo'd pogun Hawaii maya di paganakan.
>>dtp<< How do you say "I love you" in French?	Nunu ka do boros Poransis "muhang oku dika"?
>>dtp<< I didn't know you were looking for me.	Au oku oilaan tu iya mongilot doho.
>>dtp<< I don't believe we've been introduced.	Au oku kotumbaya dot nointutunan dahai.
>>dtp<< I don't even know who you are anymore.	Au oku kointutun diya nodi.
>>dtp<< I had never seen her before that time.	Au oku nokoumbal nokokito disido.
>>dtp<< I thought your remark was interesting.	Andasan ku daa om osonong do tanda nu.
>>dtp<< My nephew is getting married tomorrow.	Misawo i manangaman ku id suab.
>>dtp<< The children were playing in the park.	Mogimaamain ilo tangaanak hilo'd taman.
>>dtp<< The death penalty should be abolished.	Mongotus no kama ilo sogit kapatayan.
>>dtp<< Tom would like to paint his room blue.	Manaat i Tom do bulou hodi bilik dau.
>>dtp<< Artists are highly respected in France.	Pantangon o atis-atis hilo'd pogun Poransis.
>>dtp<< For God's sake, what are you up to now?	Atuukoi, nunu maan nu dinondo?
>>dtp<< He killed himself at the age of thirty.	Kuminiros iyau tontok do tumur tolu nohopod toun.
>>dtp<< He wasn't at home when I called on him.	Ingaa no iyau hilo'd dualai dau soira tinolipoun ku dau.
>>dtp<< How do you say "thank you" in Japanese?	Nunu ka do boros Gipun "pounsikou"?
>>dtp<< I don't know anything about their plan.	Au oku oilaan nunu nopo pomomonsoyon diolo.
